orf	hom | growth (relative abundance in pooled culture) | gamma-irradiation [200 Gy] | Game JC~Brown JM, 2003
YAL002W	0.07311841810712469
YAL004W	-0.2313785506066734
YAL005C	-0.13449315147046492
YAL007C	-0.17140187495092526
YAL008W	0.3499338442105775
YAL009W	-1.9660885541883109
YAL011W	-0.886508392384845
YAL012W	0.3084115302950595
YAL014C	0.05466405636689452
YAL015C	-0.7019647749825432
YAL017W	-0.1529475132106951
YAL018C	-0.7111919558526583
YAL019W	0.5944541372686274
YAL020C	2.310709779110035
YAL021C	0.548318232918052
YAL022C	-0.0745164758147168
YAL023C	0.16077663637321807
YAL024C	-1.4309120637216355
YAL026C	-1.7630905750457786
YAL027W	-0.9972345628262261
YAL028W	-0.42514934887909034
YAL029C	-0.24983291234690355
YAL030W	-0.05144852363942907
YAL031C	-0.19446982712621302
YAL034C	-0.5543298810607016
YAL036C	-0.7250327271578308
YAL037W	-0.3651726732233422
YAL039C	0.1930717694186209
YAL040C	-0.21753777930150073
YAL042C-A	0.013141742451376594
YAL042W	0.15154945550310298
YAL045C	0.0039145615812614925
YAL046C	
YAL048C	
YAL049C	-0.41592216800897525
YAL051W	-0.12987956103540735
YAL053W	0.5667725946582821
YAL054C	0.202298950288736
YAL055W	-0.30058240713253653
YAL056C-A	1.83089637386405
YAL056W	
YAL058W	1.8539643260393375
YAL059W	0.1653902268082756
YAL060W	-0.02838057146414133
YAL061W	0.07773200854218221
YAL062W	0.08234559897723978
YAL064C-A	-0.07913006624977435
YAL065C	-0.40669498713886015
YAL066W	0.2622756259444841
YAL067C	0.1146407320226426
YAL068C	-0.245219321911846
YAR002C-A	0.5759997755283972
YAR002W	0.8389744303266774
YAR003W	0.3176387111651747
YAR014C	0.5437046424829943
YAR015W	3.477948159179594
YAR018C	1.1204034468651878
YAR020C	-0.13910674190552244
YAR023C	0.4283648816065557
YAR027W	0.497568738132419
YAR028W	0.6728851746646057
YAR029W	1.268038340787029
YAR030C	0.9081782868525405
YAR031W	1.2219024364364537
YAR035W	0.5437046424829943
YAR042W	0.25304844507436897
YAR047C	0.6359764511841454
YAR050W	0.32225230160023216
YBL001C	-0.245219321911846
YBL002W	-0.5220347480152988
YBL003C	-0.3605590827882847
YBL005W	-0.10219801842506207
YBL006C	-4.41129148476881
YBL007C	
YBL008W	-0.6881240036773705
YBL009W	-1.0433704671768014
YBL010C	-0.6835104132423129
YBL011W	0.013141742451376594
YBL012C	0.08234559897723978
YBL013W	-0.24060573147678846
YBL015W	-0.02838057146414133
YBL017C	0.0961863702824124
YBL019W	-0.4436037106193205
YBL021C	
YBL022C	-1.3986169306762324
YBL024W	-1.292504350669909
YBL027W	0.2715028068145992
YBL028C	0.13770868419793036
YBL029W	-0.12065238016529227
