orf	hom | growth (relative abundance in pooled culture) | gamma-irradiation [200 Gy] | Game JC~Brown JM, 2003
YAL002W	0.04
YAL004W	-0.026000000000000002
YAL005C	-0.005
YAL007C	-0.013000000000000001
YAL008W	0.1
YAL009W	-0.402
YAL011W	-0.168
YAL012W	0.091
YAL014C	0.036000000000000004
YAL015C	-0.128
YAL017W	-0.009000000000000001
YAL018C	-0.13
YAL019W	0.153
YAL020C	0.525
YAL021C	0.14300000000000002
YAL022C	0.008
YAL023C	0.059000000000000004
YAL024C	-0.28600000000000003
YAL026C	-0.358
YAL027W	-0.192
YAL028W	-0.068
YAL029C	-0.03
YAL030W	0.013000000000000001
YAL031C	-0.018000000000000002
YAL034C	-0.096
YAL036C	-0.133
YAL037W	-0.055
YAL039C	0.066
YAL040C	-0.023
YAL042C-A	0.027000000000000003
YAL042W	0.057
YAL045C	0.025
YAL046C	
YAL048C	
YAL049C	-0.066
YAL051W	-0.004
YAL053W	0.147
YAL054C	0.068
YAL055W	-0.040999999999999995
YAL056C-A	0.42100000000000004
YAL056W	
YAL058W	0.426
YAL059W	0.06
YAL060W	0.018000000000000002
YAL061W	0.040999999999999995
YAL062W	0.042
YAL064C-A	0.006999999999999999
YAL065C	-0.064
YAL066W	0.081
YAL067C	0.049
YAL068C	-0.028999999999999998
YAR002C-A	0.149
YAR002W	0.20600000000000002
YAR003W	0.09300000000000001
YAR014C	0.142
YAR015W	0.778
YAR018C	0.267
YAR020C	-0.006
YAR023C	0.11699999999999999
YAR027W	0.132
YAR028W	0.17
YAR029W	0.299
YAR030C	0.221
YAR031W	0.289
YAR035W	0.142
YAR042W	0.079
YAR047C	0.162
YAR050W	0.094
YBL001C	-0.028999999999999998
YBL002W	-0.08900000000000001
YBL003C	-0.054000000000000006
YBL005W	0.002
YBL006C	-0.932
YBL007C	
YBL008W	-0.125
YBL009W	-0.20199999999999999
YBL010C	-0.124
YBL011W	0.027000000000000003
YBL012C	0.042
YBL013W	-0.027999999999999997
YBL015W	0.018000000000000002
YBL017C	0.045
YBL019W	-0.07200000000000001
YBL021C	
YBL022C	-0.27899999999999997
YBL024W	-0.256
YBL027W	0.083
YBL028C	0.054000000000000006
YBL029W	-0.002
YBL031W	-1.328
YBL032W	-0.03
YBL036C	0.031
YBL037W	0.087
