ORF	hom | growth (relative abundance in pooled culture) | gamma-irradiation [200 Gy] | Game JC~Brown JM, 2003
YJL217W	-0.349
YAL029C	-0.340
YDR276C	0.219
YHR037W	-0.073
YML019W	-0.048
YPL259C	-0.821
YEL036C	0.248
YER059W	0.066
YMR285C	0.217
YPL046C	0.044
YPL244C	-0.781
YPL042C	0.358
YJR018W	0.362
YMR172C-A	-0.448
YOR091W	0.076
YML055W	-0.074
YPL269W	-0.003
YPR039W	-0.242
YPR133W-A	0.589
YJL164C	-0.588
YJR060W	0.192
YER046W	-0.051
YER051W	-0.278
YHL041W	-0.755
YIL076W	-0.051
YLR261C	0.302
YMR195W	-0.350
YPL191C	-0.028
YMR012W	0.047
YML058W	-0.167
YMR226C	-0.241
YBL007C	NaN
YHR039C	0.143
YBR077C	-0.016
YJL186W	-0.535
YMR058W	-0.927
YHL030W	-0.026
YMR140W	-0.288
YMR295C	-0.608
YNL322C	0.036
YAL042W	-0.037
YMR186W	-0.206
YER038W-A	-0.104
YER115C	0.047
YMR022W	-0.205
YMR204C	-0.301
YPR038W	-0.315
YJR140C	-0.049
YOR147W	0.174
YOR358W	-0.596
YAR020C	-0.016
YBR219C	-0.590
YBR208C	0.021
YMR025W	0.163
YDR254W	-0.020
YDR495C	NaN
YER092W	1.136
YJL123C	-0.282
YCR003W	0.446
YDR439W	0.504
YER045C	-0.266
YER103W	-0.004
YFL056C	-0.226
YNL237W	0.134
YER060W-A	-0.288
YJL073W	-0.385
YNL052W	-0.091
YER087C-A	0.032
YJL131C	0.179
YER088C	-0.067
YMR009W	-0.006
YAR023C	-0.112
YAR029W	-0.028
YMR011W	0.187
YMR263W	0.158
YAR030C	-0.156
YEL024W	-0.991
YHL047C	-0.496
YHR200W	0.472
YIR023W	0.026
YML009C	0.277
YOR051C	0.330
YER114C	0.174
YGR163W	0.249
YNL259C	-0.967
YER124C	-0.064
YBR058C	-0.162
YBR195C	0.094
YDR260C	0.221
YJL201W	-0.302
YMR193W	NaN
YMR199W	-0.181
YOL035C	0.307
YER065C	-0.654
YER143W	0.136
YHL023C	-0.283
YJL153C	-0.335
YJL144W	-0.318
YLL032C	-0.275
YMR007W	0.269
YMR158W-A	-0.147
YDR049W	0.193
YMR155W	-0.243
YMR196W	-0.129
YER123W	0.158
YER140W	-0.013
YML059C	-0.011
YMR187C	-0.566
YOR088W	0.136
YML102C-A	0.116
YMR210W	-0.427
