orf	hap a | growth (colony size) | Fe(NH4)2(SO4)2 (ferrous ammonium sulfate (anhydrous) [10 mM]) | Bleackley MR~MacGillivray RT, 2011	hap a | growth (colony size) | copper(II) chloride [7 mM] | Bleackley MR~MacGillivray RT, 2011	hap a | growth (colony size) | manganese(II) chloride [4 mM] | Bleackley MR~MacGillivray RT, 2011	hap a | growth (colony size) | nickel dichloride [3 mM] | Bleackley MR~MacGillivray RT, 2011	hap a | growth (exponential growth rate) | zinc dichloride [7 mM] | Bleackley MR~MacGillivray RT, 2011	hap a | growth (exponential growth rate) | cobalt dichloride [2.5 mM] | Bleackley MR~MacGillivray RT, 2011
YAL002W	0.050300944054186905	-0.7770079730407283	-0.47752831585051364	0.9939469720018488	-1.0881169473646024	-2.058424122937885
YAL004W	0.45501011296631616	0.2143069606022556	-0.08996783616808156	-0.36208205520701775	-0.4577691434650357	0.17255058394614217
YAL005C	-0.1289807621828272	-0.18166034352125002	-0.465119572497359	0.2918966342248721	0.24926104555032616	-1.0019920056138003
YAL007C	0.03490603188445587	-0.3118327211858486	0.23012626104386516	-0.02361255554244022	-0.23085234468433316	-0.5503294446398713
YAL008W	-0.16373697358024972	0.19011488834982118	0.14524225839818947	-0.47714403878334155	0.44291451594359105	-0.35685251584910926
YAL009W	0.3434806728096416	0.8037912994872698	-0.9610889363437518	0.10115614266886769	0.46285169832718653	-0.6122255793155815
YAL010C	0.0700809735199186	-1.1811266127367663	-3.1021857271116566	-0.06023625543555152	-0.7573020661873032	-2.543897996658085
YAL011W	0.1516769449886028	-0.015344475651143294	-0.9072421590589322	0.4234243422452064	0.2261613973358373	1.5803263605060156
YAL012W	0.13608874348544048	-4.754375925524615	-0.419369478987581	0.8773000205135107	0.7442293772605902	-2.4618221343320195
YAL013W	0.051522158775006655	2.2405200136354764	-0.3461046533009537	1.8407230667371701	-0.31273477441622327	1.626051737075745
YAL014C	-0.24510943473570365	0.16015292968019726	0.47402881021888016	0.7786158481235832	0.2687103252688387	-0.5136293195287455
YAL015C	-0.24555525528376462	0.3412180072631197	0.4013351525408448	0.5778505735669587	0.5716392578696778	-0.3107887283120721
YAL016W	1.100353751792391	-3.698743632470706	-4.593611362257212	-2.7027514314989847	-6.259891019417032	-2.667081631597555
YAL017W	0.6507434705702865	0.49693867236303085	-0.11677292674337057	-0.08801671275038385	-0.44702153150347285	-0.12646304514457588
YAL018C	-0.1327362244807001	0.34194289318999377	0.07487032357792461	0.23276895551077176	-0.09534951387128708	-0.48895836840538187
YAL019W	-0.17538612219312327	0.4947265820678637	-0.30880159918896494	0.49039106783858055	-0.06278423721521635	-0.41796379199479106
YAL020C	0.11978968285485728	0.7093432408683092	0.9940655954369818	1.3606404454869359	-0.2544644863880907	0.27092956347211783
YAL021C	1.0136551672452245	-4.706526768815755	-2.342793486160318	-3.0256061874719946	-3.1893349764196683	-2.916819797148808
YAL022C	0.36887030019987116	-0.1378939079515584	-0.0470741757032135	-0.4614755220216189	-0.6557298057181239	0.17316940770226383
YAL023C	0.3469266962193377	0.00018264841035280858	0.22656279586298333	0.4900779935077077	-0.19873928214918501	-0.0682829883894745
YAL024C	0.6437595517249879	0.3978654538150973	-0.039413320841806	-0.43139737173969195	-0.651748859581227	-0.17341916789908518
YAL026C	-0.07538240816493307	2.004615326932241	0.3907814015203012	-2.56898743045629	-2.456588069030349	-3.36892305709668
YAL027W	-0.023657883536188327	0.6175443799729777	-1.0032240197905693	-0.004034562978090247	0.4272092956222439	-0.9212899318398643
YAL028W	0.19111220452344765	-0.7911904133125347	-0.4900954933382927	-0.06679583439997092	0.42342898647132654	0.00776435929085042
YAL029C	-0.2269694760869326	0.8120916582546691	0.28854998876300725	0.3115319108504892	0.17133458458043074	-0.15597192129405915
YAL030W	-0.12391904496323937	-1.3175292960744505	-0.390069613116404	-0.5048527807604808	0.14352422693473704	-0.4789727092546173
YAL031C	0.35540644025127077	-0.4079592551581398	-0.38625822118632813	-0.2587156047065294	-0.32174669595965966	0.09406556503341564
YAL034C	-0.19646603138561966	-2.5840295558520556	0.15552600167711975	0.3045360277522942	0.05133913700772049	-0.5243437517302948
YAL035W						
YAL036C	0.2503842300164642	0.6087341337253919	-0.4642275334835178	-0.20346225157841358	-0.8417847036520328	0.4324941758825467
YAL037W	0.2195679350537256	-0.6695593493251	-1.3658282881428323	-0.5590632936787364	0.11903783301019398	-1.4227040220976577
YAL039C			1.2554072253169808	7.348388096802741	2.022697638804978	
YAL040C	0.048279042654152456	-1.399636649490096	-0.4400827489006232	-0.1484451837005379	-0.4227394238557242	-0.6434819679019532
YAL042C-A	0.5106265456899739	0.1522202368605732	-0.40883834142275977	0.34508488990075187	-1.5261339065613364	0.09522898025470769
YAL042W	0.2057129707833093	-0.975723820330764	0.29360084805142955	0.5568422882901163	-0.1988042348719294	-0.21636103638738496
YAL044C	-0.09402471810443327	1.1139273609923812	0.16714141883414277	0.5185375110583269	-0.4690185419890652	0.13825193144554634
YAL045C	-0.02182211773811185	1.1597037154170933	0.46480369066615923	0.7230084871370425	0.3276421468535868	-0.33652573235520994
YAL046C	-0.09256618577736601	0.6902089043544393	0.7201746341240849	0.8068600125538061	1.3796709421404187	-0.5699001767209912
YAL047C	0.5467293389708893	0.701216666751716	0.6898575662128278	0.3226126643237992	-0.6615688375174518	-0.4110957512535971
YAL048C						
YAL049C	-0.008507437077671666	0.32351339175228716	-0.07705539594896937	0.41246892914216027	0.1756791650642286	-0.25864814627531063
YAL051W	0.2517508552156259	-0.0050941112799539855	0.03313577203796662	0.45088896572054593	-0.0711609278324104	0.31672301090235205
YAL053W	0.0852724139338741	-0.5603165013990389	-0.8336025186064829	0.2626505751493577	-0.15513390951320613	-0.6196919636340115
YAL054C	0.39765056404223936	-0.5117967452481358	-0.45812272493025286	-0.386324061466735	-0.21867366985480055	-0.026907952269505094
YAL055W	-0.06580631352516689	-0.4297776999338844	0.15115182462647814	0.21231456776907054	0.3437978867611376	-0.130602176272426
YAL056C-A	0.1346486986051081	-0.15423779886087574	0.3370636982394477	-0.1369604093199865	-0.057888231241674526	-0.2791407728515714
YAL056W	0.0789420256718604	-0.8508940137083927	-0.397955784758603	-0.2587969397414334	-0.37462425370694286	0.11052259143766902
YAL058W	0.1541612578412007	-1.4656781917825086	-0.5233489919252979	0.44119988088621853	-0.861410221921028	-0.32407277556801845
YAL059W	0.03293172036415177	-0.5289885364764514	0.5170182208284836	0.08580908824530507	0.6385991245669583	-0.12421042559154921
YAL060W	0.011243619451353154	0.16292056395771198	0.16995232026010687	0.4893468285608002	0.5722972632469858	-0.10987976360854289
YAL061W	-0.08390132559463077	-0.3900695902702069	-0.4925311948261625	-0.5124123364067881	0.9032751036793103	-0.23470187412819843
YAL062W	-0.17367036850360112	0.6389901571779819	0.414324044973497	0.8996323734935707	0.39470504760007935	-0.39609357134264833
YAL064C-A						
YAL065C	-0.09308846102376009	0.6175217397998114	0.07950091182287197	0.5360388900045306	0.719251764329263	-0.6444202584161712
YAL066W	0.12952290184713705	0.890695193112467	0.2181499997457707	0.0938139889493629	0.16210499554878613	-0.15669086323577203
YAL067C	0.26396555888608303	0.37197949305479416	-1.244835748928168	-0.8801771642935275	0.12285111753022555	-1.2825623784712004
YAL068C	-0.021882311954318355	0.20085670566041453	-0.5015194669277542	-0.0864446903625078	-0.14688049692060526	-0.28890511334295643
YAR002C-A	0.10068349459113393	-0.3439798206694397	-1.532879953518638	0.22809779337726896	-0.12762804827584498	-1.671928053978802
YAR002W	0.014375170012850444	0.21138980418309186	1.0682555164136465	0.0990208857613713	1.0128784897486471	0.9019599720565306
YAR003W	0.16149183984083273	0.2817183209453594	-0.28602340979892493	0.5726950231973998	0.15129247610848998	0.22633600408762064
YAR014C	-0.24955490143076595	-1.8580407172324034	0.1527731833102444	0.15602944679917966	-0.37096916887346365	-1.1183084466267412
YAR015W	0.2854152996652277	0.34197986851945633	0.20700849433867696	0.15078370091363008	0.3170367253621918	-0.9763340656266791
YAR018C	1.3150123555141586	-0.2516849970659898	0.6208085211958466	0.6191454898906712	0.09769262594700782	-0.11942134132410151
YAR020C	0.7986436126328322	-0.2480254285882991	-0.3977259828736061	-0.033268044426083575	-1.0764831213199584	0.4918927917127086
YAR023C	0.2705469806530071	-1.1899978585889452	-0.1973476467317269	0.18168837387895326	-0.2017628935534602	0.7063663479423093
YAR027W	0.5135862220728641	0.22336776200948963	-0.39437354566385724	-0.7158315036467643	-0.9598941886581908	0.7148416552125497
YAR028W	0.5535657530409146	0.19954491005895308	-0.1750654980711984	-0.16109566592249336	-0.9839922602521479	0.42333321505992316
YAR029W	0.3914912721708631	0.28232504421550936	-1.0079005695278376	-0.9533576727585233	0.9531599539019379	-0.9017382313800777
YAR030C	0.5779245432367925	-0.6875145119584692	-0.04407100901659105	-0.4351987124006131	-0.8775439116514344	-0.00670336591133399
YAR031W	-0.1012630425748811	-0.20823249984139205	-0.4302803687282485	0.023297817708190588	-0.14445831437471196	-1.1417953558514005
YAR035W	-0.22345866473203246	0.7463725414637112	0.7646553877264782	0.9439483466131846	1.4334932258903397	-0.34534284808235954
YAR042W	0.08881206578824068	-1.1957202669010283	-0.27806615322662265	0.041597330282900205	-0.33168692176071796	-0.1999776479985933
YAR047C	0.7167267648468897	-0.5308639960765914	-0.5467869972384551	-0.6007966422558209	-1.8334524457869081	0.043856873584593364
YAR050W	0.22215187575853002	-0.5904079428590624	-0.9667127281909187	-0.300614607213344	-0.6450730643042607	-1.779923122429763
YBL001C	-0.2439707250571338	-0.2560038970196792	-0.2208244659800824	1.4120668237016345	-0.5898433474942106	0.9409521494416254
YBL002W	-0.4654705774218195	0.021705247799716342	0.2564942358514629	1.0545211290798107	-0.27181737941060136	0.1994447088443324
YBL003C	-0.017726557462795944	-0.12961570827373825	0.04072847710886647	0.6661373053373313	0.1272165873010555	0.6305315702672395
YBL005W	-0.1728267788894795	-0.050342147917121036	-0.16119691693861163	0.5438478881130864	-0.3980363993126795	0.28638458222687774
YBL006C	0.40077441078747184	-0.08353434960077498	-1.3741166137110714	1.1650157546365008	-0.29568289279622106	1.4538174693838686
YBL007C	0.16453190750811997	-1.8254898040946281	-0.09843534568375348	1.2379207122941198	0.2551031543963853	-2.196256230793438
