orf	hom | growth (pooled culture) | temperature [40 C] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | ethanol [7%] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | hydrogen peroxide [3 mM] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | sodium chloride [1.25 M], sodium chloride [1.25 M] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | cobalt chloride [1 mM] | YPD | Maclean CJ~Zhang J, 2017	hom | growth (pooled culture) | paraquat [4 mM] | YPD | Maclean CJ~Zhang J, 2017
YAL001C	0.9556566417022951	1.0469749882682444	0.9479274402264056	0.986013318011695	0.902596166675852	0.9472438570369422
YAL002W	0.8368105502700548	1.012242714158662	1.0172816171418977	0.7275881047729392	0.836118004921941	0.7531724753805873
YAL004W	0.9702558987010119	0.9887688246595588	1.0234507698522246	1.0246694352536625	0.9650459124691021	1.0398183378507977
YAL005C	0.9511583737302624	0.987665812985578	1.0060565996492905	0.9997401149033346	0.962265906844715	1.001684574418897
YAL007C	0.983390308337732	1.0331392592085231	0.9892394897206074	0.9697919026075185	0.9302636566447035	0.9659116455436131
YAL008W	1.0315629946757296	0.9692552213046564	0.9990658187485156	0.9826798863932882	1.070381872073271	1.0198660914874023
YAL009W	0.7830837412992985	0.8962411129365009	0.9151559088248666	0.8863435551098767	0.8814699682791298	1.0661834916176047
YAL011W	0.9165473422938749	0.9416111642224736	0.9502415540640551	0.8765370650701527	1.1189642155368016	0.918202831088281
YAL013W	0.8817174205262125	0.9750042400792834	0.9141146075494903	0.8955576960832565	0.9567921318947633	1.2862582652325167
YAL014C	0.9427806977011368	0.9757145170326392	0.9986228032136479	0.9576019196384494	0.9630250390879396	0.8704274617775811
YAL015C	0.8848959309582779	0.9612083906843745	0.9577211238440513	0.920804589856056	0.8659460192866189	0.9739931068360385
YAL017W	0.9794034046658379	0.9811153145729891	0.9905118695633083	0.9858064631059711	1.0170586645102808	0.9670370345284419
YAL018C	1.0250641329073502	1.016465152498866	1.0262502487182517	1.0019505925166465	1.0017364971704072	1.0220593623781093
YAL019W	0.9255257000438619	1.0492195281726957	0.9622133196288606	0.9381297475185287	0.9892825409230804	0.7613466980186085
YAL020C	0.9383471135769827	0.9583030895947428	0.8830660057510582	0.908420021102524	1.0673127040888524	0.917971824693582
YAL021C	0.49137471392821375	0.8892543877457995	0.879396425534544	0.8690948216401696	0.8093684316056771	0.8971638956078241
YAL022C	0.9869143756478794	0.9814141462047123	0.9684171388014792	0.9435491260375615	0.9474653691920342	0.9607277930994894
YAL023C	0.5396573335745031	0.9962881478192405	0.9384677857344197	1.0404352846674327	1.0269116935770235	0.987347739988194
YAL024C	0.8069464697427059	0.9667938304828393	0.9148636462676661	0.8487935926322034	0.7739138407995733	0.9613315011337231
YAL026C	0.8896291873040088	0.9675657559909302	0.883453805274578	0.8994613053172664	0.7871251124613529	1.186962147535708
YAL027W	0.9301107965556251	0.9546873669022204	0.9248138657828944	0.9186685534674109	0.9269338788774188	0.9207254587124784
YAL028W	1.0034912928627366	0.987074606887414	0.9697878836698965	0.9598956788705032	0.96080920292556	0.9497232568074483
