ORF	hom | growth (spot assay) | temperature [30°C] | SC - Ino - Cho | Villa-Garcia MJ~Henry SA, 2011	hom | growth (spot assay) | temperature [30°C] | SC - Ino + Cho | Villa-Garcia MJ~Henry SA, 2011	hom | growth (spot assay) | temperature [37ºC] | SC - Ino + Cho | Villa-Garcia MJ~Henry SA, 2011
YAL021C	0.000	0.000	-2.000
YAL023C	-2.000	-2.000	-3.000
YAL024C	-2.000	-2.000	-2.000
YAL026C	0.000	0.000	-3.000
YAL040C	0.000	0.000	-2.000
YAL051W	0.000	0.000	-2.000
YAL056W	0.000	0.000	-3.000
YAL058W	-2.000	-2.000	-3.000
YAR003W	0.000	0.000	-3.000
YBL011W	-1.000	-2.000	-3.000
YBL027W	0.000	-1.000	-2.000
YBL047C	0.000	0.000	-2.000
YBL058W	0.000	0.000	-2.000
YBL061C	0.000	0.000	-2.000
YBL091C-A	0.000	0.000	-2.000
YBL102W	0.000	-2.000	-1.000
YBL105C	NaN	NaN	NaN
YBR015C	0.000	0.000	-2.000
YBR026C	0.000	-2.000	-2.000
YBR058C	0.000	-1.000	-3.000
YBR077C	0.000	0.000	-2.000
YBR081C	NaN	NaN	NaN
YBR103W	-2.000	-2.000	-3.000
YBR106W	-2.000	-2.000	-3.000
YBR107C	-2.000	-2.000	-3.000
YBR126C	-2.000	-2.000	NaN
YBR127C	-3.000	-3.000	-3.000
YBR133C	0.000	0.000	-3.000
YBR135W	NaN	NaN	NaN
YBR175W	-1.000	0.000	-3.000
YBR183W	-1.000	0.000	-2.000
YBR189W	0.000	-2.000	-2.000
YBR191W	0.000	-1.000	-2.000
YBR221C	-1.000	0.000	-2.000
YBR272C	0.000	0.000	-3.000
YBR279W	-3.000	-3.000	NaN
YBR289W	-3.000	-3.000	-3.000
YCL032W	0.000	0.000	-3.000
YCL033C	0.000	0.000	-3.000
YCL045C	0.000	0.000	-2.000
YCR021C	0.000	0.000	-2.000
YCR033W	-2.000	-3.000	-3.000
YCR045C	0.000	0.000	-2.000
YCR047C	0.000	0.000	-3.000
YCR076C	0.000	0.000	-2.000
YCR089W	0.000	0.000	-2.000
YCR094W	0.000	0.000	-2.000
YCR098C	0.000	-1.000	-2.000
YDL001W	0.000	0.000	-3.000
YDL002C	0.000	0.000	-3.000
YDL006W	-2.000	-2.000	NaN
YDL010W	0.000	0.000	-2.000
YDL020C	0.000	-1.000	-1.000
YDL021W	0.000	0.000	-2.000
YDL022W	0.000	0.000	-2.000
YDL033C	0.000	0.000	-2.000
YDL040C	-1.000	-2.000	-3.000
YDL048C	0.000	0.000	-3.000
YDL066W	0.000	-1.000	-3.000
YDL069C	0.000	0.000	-2.000
YDL072C	-3.000	-3.000	-3.000
YDL073W	0.000	0.000	-3.000
YDL074C	-2.000	-2.000	-3.000
YDL077C	0.000	0.000	-2.000
YDL081C	0.000	0.000	-3.000
YDL083C	0.000	0.000	-3.000
YDL095W	0.000	-1.000	-3.000
YDL130W	0.000	0.000	-3.000
YDL140C	NaN	NaN	NaN
YDL173W	0.000	-1.000	-2.000
YDL185W	-2.000	-3.000	-3.000
YDL190C	0.000	0.000	-3.000
YDL191W	-2.000	-2.000	-3.000
YDL192W	0.000	-2.000	-3.000
YDL194W	0.000	0.000	-2.000
YDL201W	0.000	0.000	-3.000
YDL203C	0.000	0.000	-3.000
YDR017C	-2.000	-2.000	-3.000
YDR043C	0.000	0.000	-3.000
YDR049W	-1.000	-2.000	-3.000
YDR050C	NaN	NaN	NaN
