orf	hom | growth (spot assay) | temperature [30 C] | SC - Ino - Cho | Villa-Garcia MJ~Henry SA, 2011	hom | growth (spot assay) | temperature [30 C] | SC - Ino + Cho | Villa-Garcia MJ~Henry SA, 2011	hom | growth (spot assay) | temperature [37 C] | SC - Ino + Cho | Villa-Garcia MJ~Henry SA, 2011
YAL021C	0.0	0.0	-2.5634595498825115
YAL023C	-5.3639679248420356	-4.502445761720537	-3.845189324823767
YAL024C	-5.3639679248420356	-4.502445761720537	-2.5634595498825115
YAL026C	0.0	0.0	-3.845189324823767
YAL040C	0.0	0.0	-2.5634595498825115
YAL051W	0.0	0.0	-2.5634595498825115
YAL056W	0.0	0.0	-3.845189324823767
YAL058W	-5.3639679248420356	-4.502445761720537	-3.845189324823767
YAR003W	0.0	0.0	-3.845189324823767
YBL011W	-2.6819839624210178	-4.502445761720537	-3.845189324823767
YBL027W	0.0	-2.2512228808602686	-2.5634595498825115
YBL047C	0.0	0.0	-2.5634595498825115
YBL058W	0.0	0.0	-2.5634595498825115
YBL061C	0.0	0.0	-2.5634595498825115
YBL091C-A	0.0	0.0	-2.5634595498825115
YBL102W	0.0	-4.502445761720537	-1.2817297749412557
YBL105C			
YBR015C	0.0	0.0	-2.5634595498825115
YBR026C	0.0	-4.502445761720537	-2.5634595498825115
YBR058C	0.0	-2.2512228808602686	-3.845189324823767
YBR077C	0.0	0.0	-2.5634595498825115
YBR081C			
YBR103W	-5.3639679248420356	-4.502445761720537	-3.845189324823767
YBR106W	-5.3639679248420356	-4.502445761720537	-3.845189324823767
YBR107C	-5.3639679248420356	-4.502445761720537	-3.845189324823767
YBR126C	-5.3639679248420356	-4.502445761720537	
YBR127C	-8.045951887263055	-6.753668642580806	-3.845189324823767
YBR133C	0.0	0.0	-3.845189324823767
YBR135W			
YBR175W	-2.6819839624210178	0.0	-3.845189324823767
YBR183W	-2.6819839624210178	0.0	-2.5634595498825115
YBR189W	0.0	-4.502445761720537	-2.5634595498825115
YBR191W	0.0	-2.2512228808602686	-2.5634595498825115
YBR221C	-2.6819839624210178	0.0	-2.5634595498825115
YBR272C	0.0	0.0	-3.845189324823767
YBR279W	-8.045951887263055	-6.753668642580806	
YBR289W	-8.045951887263055	-6.753668642580806	-3.845189324823767
YCL032W	0.0	0.0	-3.845189324823767
YCL033C	0.0	0.0	-3.845189324823767
YCL045C	0.0	0.0	-2.5634595498825115
YCR021C	0.0	0.0	-2.5634595498825115
YCR033W	-5.3639679248420356	-6.753668642580806	-3.845189324823767
YCR045C	0.0	0.0	-2.5634595498825115
YCR047C	0.0	0.0	-3.845189324823767
YCR076C	0.0	0.0	-2.5634595498825115
YCR089W	0.0	0.0	-2.5634595498825115
YCR094W	0.0	0.0	-2.5634595498825115
YCR098C	0.0	-2.2512228808602686	-2.5634595498825115
YDL001W	0.0	0.0	-3.845189324823767
YDL002C	0.0	0.0	-3.845189324823767
YDL006W	-5.3639679248420356	-4.502445761720537	
YDL010W	0.0	0.0	-2.5634595498825115
YDL020C	0.0	-2.2512228808602686	-1.2817297749412557
YDL021W	0.0	0.0	-2.5634595498825115
YDL022W	0.0	0.0	-2.5634595498825115
YDL033C	0.0	0.0	-2.5634595498825115
YDL040C	-2.6819839624210178	-4.502445761720537	-3.845189324823767
YDL048C	0.0	0.0	-3.845189324823767
YDL066W	0.0	-2.2512228808602686	-3.845189324823767
YDL069C	0.0	0.0	-2.5634595498825115
YDL072C	-8.045951887263055	-6.753668642580806	-3.845189324823767
YDL073W	0.0	0.0	-3.845189324823767
YDL074C	-5.3639679248420356	-4.502445761720537	-3.845189324823767
YDL077C	0.0	0.0	-2.5634595498825115
YDL081C	0.0	0.0	-3.845189324823767
YDL083C	0.0	0.0	-3.845189324823767
YDL095W	0.0	-2.2512228808602686	-3.845189324823767
YDL130W	0.0	0.0	-3.845189324823767
YDL140C			
YDL173W	0.0	-2.2512228808602686	-2.5634595498825115
YDL185W	-5.3639679248420356	-6.753668642580806	-3.845189324823767
YDL190C	0.0	0.0	-3.845189324823767
YDL191W	-5.3639679248420356	-4.502445761720537	-3.845189324823767
YDL192W	0.0	-4.502445761720537	-3.845189324823767
YDL194W	0.0	0.0	-2.5634595498825115
YDL201W	0.0	0.0	-3.845189324823767
YDL203C	0.0	0.0	-3.845189324823767
YDR017C	-5.3639679248420356	-4.502445761720537	-3.845189324823767
YDR043C	0.0	0.0	-3.845189324823767
YDR049W	-2.6819839624210178	-4.502445761720537	-3.845189324823767
YDR050C			
YDR057W	0.0	0.0	-2.5634595498825115
YDR069C	-8.045951887263055	-6.753668642580806	
YDR071C	0.0	0.0	-3.845189324823767
YDR074W	0.0	0.0	-3.845189324823767
YDR080W	0.0	-2.2512228808602686	-2.5634595498825115
YDR123C	-8.045951887263055	-6.753668642580806	-3.845189324823767
YDR138W			
YDR162C	0.0	0.0	-3.845189324823767
YDR173C	-8.045951887263055	-6.753668642580806	
YDR174W	0.0	0.0	-2.5634595498825115
YDR176W	-2.6819839624210178	-4.502445761720537	-2.5634595498825115
YDR200C	0.0	0.0	-3.845189324823767
