orf	hap a | growth (spot assay) | quinine [1.5-1.7 g/L] | Dos Santos SC~Sa Correia I, 2011
YKR055W	-2.620585789383372
YLL007C	2.620585789383372
YLL010C	-2.620585789383372
YLL018C-A	-2.620585789383372
YLL020C	2.620585789383372
YLL046C	-2.620585789383372
YLR003C	-2.620585789383372
YLR015W	-2.620585789383372
YLR024C	2.620585789383372
YLR027C	-2.620585789383372
YLR055C	-2.620585789383372
YLR056W	-2.620585789383372
YLR058C	-2.620585789383372
YLR148W	-5.241171578766744
YLR182W	-5.241171578766744
YLR239C	-2.620585789383372
YLR242C	-2.620585789383372
YLR264W	2.620585789383372
YLR268W	-2.620585789383372
YLR287C-A	2.620585789383372
YLR320W	-2.620585789383372
YLR330W	-5.241171578766744
YLR337C	-5.241171578766744
YLR357W	2.620585789383372
YLR370C	-5.241171578766744
YLR371W	-2.620585789383372
YLR372W	-5.241171578766744
YLR373C	-2.620585789383372
YLR384C	-2.620585789383372
YLR418C	-2.620585789383372
YLR433C	-2.620585789383372
YLR451W	-2.620585789383372
YML008C	-5.241171578766744
YML036W	-2.620585789383372
YML055W	-5.241171578766744
YML063W	2.620585789383372
YML076C	-2.620585789383372
YML112W	-2.620585789383372
YMR032W	-5.241171578766744
YMR035W	-2.620585789383372
YMR058W	-5.241171578766744
YMR062C	-2.620585789383372
YMR070W	-2.620585789383372
YMR078C	-2.620585789383372
YMR097C	-2.620585789383372
YMR100W	2.620585789383372
YMR123W	-5.241171578766744
YMR135C	-5.241171578766744
YMR139W	-2.620585789383372
YMR145C	-5.241171578766744
YMR179W	-2.620585789383372
YMR184W	-2.620585789383372
YMR194C-B	2.620585789383372
YMR198W	-5.241171578766744
YMR207C	-2.620585789383372
YMR214W	-2.620585789383372
YMR216C	-2.620585789383372
YMR224C	-2.620585789383372
YMR228W	0.0
YMR304W	-2.620585789383372
YMR307W	-2.620585789383372
YMR310C	-2.620585789383372
YMR312W	-2.620585789383372
YMR313C	2.620585789383372
YNL005C	2.620585789383372
YNL015W	2.620585789383372
YNL084C	-2.620585789383372
YNL117W	-2.620585789383372
YNL119W	-5.241171578766744
YNL133C	-2.620585789383372
YNL136W	-2.620585789383372
YNL139C	2.620585789383372
YNL183C	-5.241171578766744
YNL192W	-2.620585789383372
YNL201C	-2.620585789383372
YNL206C	-2.620585789383372
YNL214W	-2.620585789383372
YNL225C	-2.620585789383372
YNL229C	-5.241171578766744
YNL238W	-5.241171578766744
YNL257C	2.620585789383372
YNL280C	-2.620585789383372
YNL307C	-2.620585789383372
YNL319W	2.620585789383372
YNL322C	-2.620585789383372
YNL323W	-2.620585789383372
YNR010W	-2.620585789383372
YNR051C	-2.620585789383372
YOL006C	-5.241171578766744
YOL012C	-2.620585789383372
YOL049W	-5.241171578766744
YOL072W	2.620585789383372
YOL076W	-2.620585789383372
YOL096C	-2.620585789383372
YOR035C	-5.241171578766744
YOR068C	2.620585789383372
YOR069W	2.620585789383372
YOR096W	2.620585789383372
YOR153W	-5.241171578766744
YOR187W	-2.620585789383372
YOR198C	-5.241171578766744
YOR226C	-5.241171578766744
YOR297C	2.620585789383372
YOR298C-A	-5.241171578766744
YOR299W	-2.620585789383372
YOR312C	2.620585789383372
YOR359W	2.620585789383372
YOR360C	-5.241171578766744
YOR379C	2.620585789383372
YPL013C	-5.241171578766744
YPL086C	-2.620585789383372
YPL097W	-2.620585789383372
YPL101W	-5.241171578766744
YPL161C	-5.241171578766744
YPL234C	-5.241171578766744
YPL259C	-2.620585789383372
YPR036W	-5.241171578766744
YPR040W	2.620585789383372
YPR047W	2.620585789383372
YPR049C	-5.241171578766744
YPR100W	-2.620585789383372
YPR135W	-2.620585789383372
YPR139C	-2.620585789383372
YPR141C	-2.620585789383372
YPR159W	-2.620585789383372
