orf	hom | growth (culture turbidity) | glycolaldehyde [0.01 mM] | CSM | Jayakody LN~Kitagaki H, 2011
YBL031W	-2.741774480577374
YBR059C	-3.9745102935501477
YBR092C	-3.5706830444728594
YBR169C	-3.294380189841031
YBR299W	-3.0818395324319323
YCL021W-A	-5.292262369486559
YCL026C-B	-7.481431140800275
YCL057C-A	-3.655699307436499
YCL063W	-2.274185034277356
YCR009C	-2.699266349095554
YCR020W-B	-15.00537041308237
YCR069W	-13.113758562141392
YDL041W	-2.678012283354644
YDL056W	-3.655699307436499
YDL067C	-3.315634255581941
YDL068W	-7.630209600986644
YDL080C	-3.6344452416955892
YDL095W	-3.6344452416955892
YDL205C	-2.337947231500086
YDR027C	-3.932002162068328
YDR063W	-4.675894463000172
YDR074W	-2.486725691686455
YDR135C	-3.52817491299104
YDR148C	-5.547311158377477
YDR202C	-2.8055366778001036
YDR290W	-4.803418857445631
YDR352W	-2.507979757427365
YDR447C	-2.869298875022833
YDR512C	-3.4431586500274003
YER076C	-3.4006505185455804
YER087C-B	-3.0605854666910224
YER103W	-3.932002162068328
YER110C	-3.1456017296546617
YER116C	-6.610014445422972
YER118C	-3.0818395324319323
YER119C-A	-2.656758217613734
YER131W	-2.8055366778001036
YER134C	-3.3793964528046705
YER155C	-2.699266349095554
YFR016C	-3.0605854666910224
YFR055W	-4.654640397259262
YGL006W	-3.740715570400139
YGL014W	-2.890552940763743
YGL063W	-4.144542819477424
YGL070C	-2.529233823168275
YGL095C	-4.633386331518352
YGL135W	-3.0605854666910224
YGL177W	-2.6142500861319147
YGR097W	-2.869298875022833
YGR104C	-3.3793964528046705
YGR166W	-2.720520414836464
YGR177C	-2.4229634944637253
YGR178C	-4.824672923186541
YGR188C	-4.527116002813803
YGR200C	-6.524998182459332
YGR215W	-8.246577507473031
YGR217W	-3.868239964845598
YHL009C	-11.923530880650437
YHL011C	-2.380455362981906
YHL023C	-10.159443424154919
YHR051W	-3.868239964845598
YIL056W	-2.507979757427365
YIL111W	-4.123288753736515
YJL003W	-6.269949393568414
YJL007C	-3.52817491299104
YJL024C	-3.932002162068328
YJL095W	-6.078662801900225
YJL184W	-2.911807006504653
YJL187C	-4.378337542627433
YJL189W	-3.0818395324319323
YJL208C	-4.442099739850163
YJR097W	-10.22320562137765
YJR149W	-4.5058619370728925
YKL025C	-2.720520414836464
YKL098W	-2.465471625945545
YKL135C	-3.1456017296546617
YKL139W	-3.2518720583592113
YKL143W	-3.953256227809238
YKL151C	-3.4219045842864904
YKL184W	-4.548370068554712
YKR061W	-2.7630285463182838
YKR065C	-4.229559082441064
YKR091W	-4.718402594481992
YLL006W	-2.9755692037273827
YLL030C	-8.267831573213941
YLR013W	-2.337947231500086
YLR032W	-3.9745102935501477
YLR034C	-2.550487888909185
YLR061W	-10.903335725086766
YLR091W	-3.889494030586508
YLR139C	-3.995764359291055
YLR194C	-4.463353805591073
YLR232W	-2.4229634944637253
YLR234W	-2.7949096449296484
YLR251W	-10.457000344527659
YLR263W	-4.5058619370728925
YLR294C	-4.612132265777442
YLR312W-A	-3.698207438918319
YLR332W	-3.655699307436499
YLR338W	-2.6142500861319147
YLR360W	-4.654640397259262
YLR366W	-2.933061072245563
YLR372W	-3.995764359291055
YLR384C	-2.9968232694682926
YLR398C	-3.5919371102137694
YML005W	-4.8459269889274506
YML017W	-3.0393314009501124
YML032C	-4.229559082441064
YML056C	-2.911807006504653
YML066C	-7.800242126913924
YML111W	-5.929884341713856
YMR008C	-4.335829411145613
YMR096W	-2.507979757427365
YMR097C	-16.323122489018782
YMR104C	-7.460177075059366
YMR116C	-2.9968232694682926
YMR118C	-5.632327421341117
YMR141C	-3.0818395324319323
YMR209C	-10.03191902970946
YMR230W	-10.01066496396855
YMR242C	-3.3368883213228506
YMR276W	-3.294380189841031
YMR293C	-4.590878200036532
YNL004W	-2.741774480577374
YNL010W	-6.907571365795708
YNL054W	-4.5058619370728925
YNL100W	-3.8044777676228683
YNL147W	-3.4219045842864904
YNL193W	-2.295439100018266
YNL209W	-2.699266349095554
YNL225C	-3.3793964528046705
YNL268W	-2.529233823168275
YNL279W	-2.4229634944637253
YNL294C	-5.01595951485473
YNL311C	-11.98729307787317
YNL329C	-12.348612195468636
YNL335W	-2.2529309685364463
YNR032W	-3.0818395324319323
YOL002C	-6.461235985236603
YOL016C	-2.4229634944637253
YOL017W	-4.1657968852183345
YOL039W	-2.465471625945545
YOL073C	-2.529233823168275
YOL086C	-5.887376210232036
YOL108C	-4.88843512040927
YOL148C	-3.5706830444728594
YOL151W	-2.571741954650095
YOR022C	-3.315634255581941
YOR028C	-3.1456017296546617
YOR035C	-11.923530880650437
YOR045W	-2.8055366778001036
YOR053W	-2.6142500861319147
YOR199W	-9.883140569523091
YOR251C	-6.567506313941152
YOR298C-A	-2.699266349095554
YOR306C	-8.267831573213941
YOR322C	-4.867181054668361
YPL054W	-2.571741954650095
YPL089C	-2.720520414836464
YPL183C	-3.719461504659229
YPL262W	-3.2518720583592113
YPR026W	-2.486725691686455
YPR032W	-2.2316769027955363
YPR047W	-2.656758217613734
YPR061C	-8.034036850063933
YPR131C	-8.65040475655032
