orf	hom | growth (culture turbidity) | glycolaldehyde [0.01 mM] | CSM | Jayakody LN~Kitagaki H, 2011
YAR037W	-0.134
YBL031W	-0.129
YBR059C	-0.18700000000000006
YBR092C	-0.16800000000000004
YBR169C	-0.15500000000000003
YBR299W	-0.14500000000000002
YCL021W-A	-0.249
YCL026C-B	-0.352
YCL057C-A	-0.17200000000000004
YCL063W	-0.10699999999999998
YCR009C	-0.127
YCR020W-B	-0.706
YCR069W	-0.617
YDL041W	-0.126
YDL056W	-0.17200000000000004
YDL067C	-0.15600000000000003
YDL068W	-0.359
YDL080C	-0.17100000000000004
YDL095W	-0.17100000000000004
YDL205C	-0.10999999999999999
YDR027C	-0.18500000000000005
YDR063W	-0.21999999999999997
YDR074W	-0.11699999999999999
YDR135C	-0.16600000000000004
YDR148C	-0.261
YDR202C	-0.132
YDR290W	-0.22599999999999998
YDR352W	-0.118
YDR447C	-0.135
YDR512C	-0.16200000000000003
YER076C	-0.16000000000000003
YER087C-B	-0.14400000000000002
YER103W	-0.18500000000000005
YER110C	-0.14800000000000002
YER116C	-0.31100000000000005
YER118C	-0.14500000000000002
YER119C-A	-0.125
YER131W	-0.132
YER134C	-0.15900000000000003
YER155C	-0.127
YFR016C	-0.14400000000000002
YFR055W	-0.21899999999999997
YGL006W	-0.17600000000000005
YGL014W	-0.136
YGL063W	-0.19499999999999995
YGL070C	-0.119
YGL095C	-0.21799999999999997
YGL135W	-0.14400000000000002
YGL177W	-0.123
YGR097W	-0.135
YGR104C	-0.15900000000000003
YGR166W	-0.128
YGR177C	-0.11399999999999999
YGR178C	-0.22699999999999998
YGR188C	-0.21299999999999997
YGR200C	-0.30700000000000005
YGR215W	-0.388
YGR217W	-0.18200000000000005
YHL009C	-0.5609999999999999
YHL011C	-0.11199999999999999
YHL023C	-0.478
YHR051W	-0.18200000000000005
YIL056W	-0.118
YIL111W	-0.19399999999999995
YJL003W	-0.29500000000000004
YJL007C	-0.16600000000000004
YJL024C	-0.18500000000000005
YJL095W	-0.28600000000000003
YJL184W	-0.137
YJL187C	-0.20599999999999996
YJL189W	-0.14500000000000002
YJL208C	-0.20899999999999996
YJR097W	-0.481
YJR149W	-0.21199999999999997
YKL025C	-0.128
YKL098W	-0.11599999999999999
YKL135C	-0.14800000000000002
YKL139W	-0.15300000000000002
YKL143W	-0.18600000000000005
YKL151C	-0.16100000000000003
YKL184W	-0.21399999999999997
YKR061W	-0.13
YKR065C	-0.19899999999999995
YKR091W	-0.22199999999999998
YLL006W	-0.14
YLL030C	-0.389
YLR013W	-0.10999999999999999
YLR032W	-0.18700000000000006
YLR034C	-0.12
YLR061W	-0.513
YLR091W	-0.18300000000000005
YLR139C	-0.18799999999999994
YLR194C	-0.20999999999999996
YLR232W	-0.11399999999999999
YLR234W	-0.1315
YLR251W	-0.492
YLR263W	-0.21199999999999997
YLR294C	-0.21699999999999997
YLR312W-A	-0.17400000000000004
YLR332W	-0.17200000000000004
YLR338W	-0.123
YLR360W	-0.21899999999999997
YLR366W	-0.138
YLR372W	-0.18799999999999994
YLR384C	-0.14100000000000001
YLR398C	-0.16900000000000004
YML005W	-0.22799999999999998
YML017W	-0.14300000000000002
YML032C	-0.19899999999999995
YML056C	-0.137
YML066C	-0.367
YML111W	-0.279
YMR008C	-0.20399999999999996
YMR096W	-0.118
YMR097C	-0.768
YMR104C	-0.351
YMR116C	-0.14100000000000001
YMR118C	-0.265
YMR141C	-0.14500000000000002
YMR209C	-0.472
YMR230W	-0.471
YMR242C	-0.15700000000000003
YMR276W	-0.15500000000000003
YMR293C	-0.21599999999999997
YNL004W	-0.129
YNL010W	-0.32499999999999996
YNL054W	-0.21199999999999997
YNL100W	-0.17900000000000005
YNL147W	-0.16100000000000003
YNL193W	-0.10799999999999998
YNL209W	-0.127
YNL225C	-0.15900000000000003
YNL268W	-0.119
YNL279W	-0.11399999999999999
YNL294C	-0.236
YNL311C	-0.5640000000000001
YNL329C	-0.581
YNL335W	-0.10599999999999998
YNR032W	-0.14500000000000002
YOL002C	-0.30400000000000005
YOL016C	-0.11399999999999999
YOL017W	-0.19599999999999995
YOL039W	-0.11599999999999999
YOL073C	-0.119
YOL086C	-0.277
YOL108C	-0.22999999999999998
YOL148C	-0.16800000000000004
YOL151W	-0.121
YOR022C	-0.15600000000000003
YOR028C	-0.14800000000000002
YOR035C	-0.5609999999999999
YOR045W	-0.132
YOR053W	-0.123
YOR199W	-0.46499999999999997
YOR251C	-0.30900000000000005
YOR298C-A	-0.127
YOR306C	-0.389
YOR322C	-0.22899999999999998
YPL054W	-0.121
YPL089C	-0.128
YPL183C	-0.17500000000000004
YPL262W	-0.15300000000000002
YPR026W	-0.11699999999999999
YPR032W	-0.10499999999999998
YPR047W	-0.125
YPR061C	-0.378
YPR131C	-0.40700000000000003
