orf	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015
YAL001C	0.0267594238092175	-0.574844894508351	0.0760302510529701	-0.0777012940841217	-2.19902632272632	-2.27484390282268
YAL002W	0.0532439947236228	-1.48587593140244	0.006302997670877905	-0.0760000094464896	0.610906323009646	-3.036788609951615
YAL003W	0.0806865296251398	-0.483061959656956	0.2861961733430148			
YAL004W	-0.369822498892518	-1.21489988113077	0.221975092946335	-0.014743568317093	-1.00172821273798	-0.1884562476268035
YAL005C	0.171241477126878	0.224125959500409	0.26968619765940266	0.310499624391681	-1.27886512830646	-0.02034123517874399
YAL007C	0.10864720617465	-0.446359641589845	-0.20660648689998715	1.62425526639253	0.133623638874645	-0.7154008947848868
YAL008W	-0.155229703694059	-0.399517529765692	0.20350680985828748	-0.123755395976705	0.440390498395203	0.02889987809052124
YAL009W	-0.151470753202647	-1.42735221815103	0.05916467420915251	-4.05942954407022	-1.20452868975079	-3.0432246356622
YAL010C	0.652530145206539	-0.675179442008708	0.21330970970737004		-1.07639144459097	-1.22965272639643
YAL011W	0.0463887184661576	-0.137474780820109	-0.355288389068002	0.138047358728291	-0.0524055902162657	-0.0402887568972282
YAL012W	0.47432295208162	-0.26182677260917	-0.1313286265204165			-0.0255194750734345
YAL013W	1.16259949975677	-0.0281497340264921	0.2522798269944123	-0.0465715370647449	-0.0482336030506434	0.0559953913732385
YAL014C	-0.0797660929747068	-0.610965990397581	-0.21912322491379782	-0.0232052251525537	0.0397913738249111	0.11364334564462597
YAL015C	1.00971492430021	-1.81483519272973	0.29039402488212673	-2.2889661416407	1.13242886630457	0.011724712099145914
YAL016W	-0.100213621395361	-1.83900138650307	0.452324918618754			
YAL017W	-0.0673267851081	-0.196254241936412	0.13056660578010795	-0.495909129436412	0.167871917088439	-0.13739513984104978
YAL018C	-0.36718655489989	-0.280051274882487	0.076290242523867	-0.0128196243541656	0.333899155926544	0.1245229256113223
YAL019W	0.323338598568454	-0.645285169864605	0.3164128750289437	1.44060297913056	0.0700814778643612	0.2198170340690932
YAL020C	-0.0769822885239605	-0.52469909274099	-0.9064836718024416	0.619705691537048	-0.191160072270979	-0.023799923522218314
YAL021C	-0.0626224765021271	-0.811903635847064	0.8996451343313979	-0.214414258726974	0.0803890579940526	-0.2890705845309546
YAL022C	0.479257313071745	-0.53941968362114	0.3361999552621175	0.221883676198945	-2.76708096570376	-0.3771297690094685
YAL023C	-1.08981729210267	-0.100114378449164	0.044644671447662834	-0.747693839129406	0.568850412494102	-0.010156057069480851
YAL024C	-0.00285237649813057	-0.700382522967097	0.06744276206360031	-0.0484350642460327	-0.70428370687069	-0.010208250942339448
YAL025C	0.0792970669351428	0.0146727690287398	0.2635690358176362			
YAL026C	-0.845588995997089	-0.0390652232952546	-0.03735267035475165	-1.95037674607561	0.627284318176332	-2.15590547888007
YAL027W	0.138036742645731	-0.62742575241698	-0.30809449565694147	-0.0119622729667122	-0.0963557876528958	0.5530565221789525
YAL028W	1.03749948575821	-0.157172726317541	-0.06284459583990251	0.372774202354374	-0.728902177092717	-0.0176894059504007
YAL029C	-0.27808345570494	-0.0517268281148857	0.9800239826230126	-0.0204564929389548	1.6735705791905	-0.14237971794773718
YAL030W	0.115785633369546	-0.899541340794632	0.053465871170325543	-0.100474121987437	0.732846576676697	-0.21849357404232336
YAL031C	-0.0243332190112849	-1.39047189885485	-0.6352349730768735	0.0942433027126535	0.218298979826173	-1.403976013508389
YAL032C	0.0273001816304261	-0.0726284013721093	0.01360541657442273			
YAL033W	0.0371916458646243	-3.10948118707139	0.1792341854100013			
YAL034C-B	-1.73825252021298	-0.17756953087453	-0.038974226897352006			
YAL034W-A	0.0585304472032417	-0.167839072063478	-2.276202880204564			
YAL035W	0.0158179063261032	-0.0309897534954281	0.0885723514242845	0.741949107947022	0.197886236896702	0.0405918494629004
YAL036C	0.169688190489329	-0.223486049892252	0.23567565477070837	0.0102445904278204	-0.107158261305407	0.055095880549814354
YAL037W	0.177704199752563	-1.12071713545003	0.1528189619688327	0.464337581128935	0.185180855495733	-0.00520034767073011
YAL038W	0.0348622485396916	-0.447722458070594	-0.04027270567662615			
YAL039C	0.0329125085554752	-0.639839548235186	0.537105746397782	0.315454461225378	1.57140525120104	0.264821432232326
YAL040C	0.0144203215767093	-2.39312133882903	-0.05591610351865077	-0.998823892627528	0.209495604703016	0.1934167151377975
YAL041W	-0.687999168799615	-0.194139351303126	-0.042389652945938355			
YAL042C-A	-0.0289134786764374	-0.204294558298495	0.9355321913096315	0.827092651327429	-1.12094945136377	-0.14394374154158301
YAL042W	0.00472136443910321	-0.0996496847119997	0.01297091766682	0.0828023911978495	-0.0346646865865047	-0.18080786469897617
YAL043C	0.0069135644302851	-1.28969543070161	-0.1657331579970984			
YAL044C	0.228323600567713	-0.350184492655207	0.35622569892568523	0.19060935542576	0.604244470459905	0.0912558338084348
YAL045C	0.179793352716977	-0.011583266859152	0.7154003115056488	-0.0995127194278024	0.6751213589693	-0.052232680581029305
