orf	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015
YAL001C	0.13471250218622519	-0.7582430037059943	-0.1150977050744035	-0.1241871086382739	-2.2182414238704244	-1.9302179848676868
YAL002W	0.1525984420953433	-1.685507571370186	-0.17406575166213686	-0.12293914852937128	0.48504005938241274	-2.606917144075213
YAL003W	0.17113132797024477	-0.6648246019640748	0.06263873649804162			
YAL004W	-0.1331128842023325	-1.4097030379054045	0.008327237377403901	-0.07800510677535379	-1.0663868356201882	-0.07725311898917174
YAL005C	0.23228619261668232	0.054964596821506256	0.04867631910668599	0.16057374194546428	-1.3330050028986622	0.07205336809495445
YAL007C	0.19001413268696438	-0.6274682905799986	-0.35412241238196795	1.124265882459206	0.025872668214775244	-0.545243770206388
YAL008W	0.011808997003667308	-0.5797915059150318	-0.007291312396293741	-0.1579696284718008	0.32099617314147355	0.11578543898670192
YAL009W	0.01434754530894404	-1.625941032505407	-0.1293608528798304	-3.04494352444262	-1.2614900083369784	-2.6126331142056465
YAL010C	0.5573169519985582	-0.8603653980504109	0.000998959010611342		-1.1382162200199473	-1.001961664321997
YAL011W	0.1479688387086131	-0.31307945498541007	-0.4798620752617342	0.03407312971556123	-0.15309581030316596	0.0543375534841602
YAL012W	0.43696751692912944	-0.4396472569974832	-0.29046024066895654			0.06745446406671377
YAL013W	0.9017842969464019	-0.20180636093632584	0.03395582422827855	-0.10135219077639003	-0.14908217116120662	0.13984953561360902
YAL014C	0.06277216386083823	-0.7950077361979538	-0.36470776537558525	-0.08421206941540658	-0.06439818757443239	0.19104789924878096
YAL015C	0.7985360948711423	-2.0203285103732145	0.06618884198936614	-1.7462380335264915	0.9867681831961561	0.10053181194937064
YAL016W	0.04896324598923006	-2.0449253180711398	0.20313312163178082			
YAL017W	0.07117285548360243	-0.37290629884943444	-0.0689765379512346	-0.43095922907344275	0.05882105097018891	-0.031904672594652204
YAL018C	-0.13133274073660234	-0.4581964990507229	-0.11487783137474333	-0.07659381717431488	0.21854671597775457	0.2007102836017556
YAL019W	0.33500259996365594	-0.8299384441786297	0.08819287474839636	0.9895496078617582	-0.03525774625463661	0.2853429904995965
YAL020C	0.06465216256973565	-0.7072036611227713	-0.9460056207863727	0.38738871969378585	-0.2865838576505079	0.06898163405429278
YAL021C	0.0743498365761907	-0.9995258605973053	0.5814299573788287	-0.2244715187071021	-0.025341390948389917	-0.16661083294168885
YAL022C	0.44029986029404566	-0.7221865560906302	0.10492672575255302	0.09557041098549159	-2.7647355187260376	-0.2448180513127552
YAL023C	-0.6193500842632288	-0.2750533329881175	-0.14164035849296042	-0.6156533518428243	0.4445803834786042	0.08109903951760661
