ORF	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015
YOR110W	NaN	-0.932	NaN	-0.011	NaN	1.440
YOR111W	0.078	0.033	0.195	0.012	0.190	0.346
YOR112W	0.200	0.082	-0.028	-1.582	0.115	0.332
YOR113W	0.542	0.073	0.458	0.036	-0.679	0.511
YOR114W	1.367	0.251	0.492	-0.057	-0.268	-0.101
YOR115C	0.181	0.245	-0.019	-1.299	0.929	1.240
YOR116C	NaN	-0.094	NaN	-0.063	NaN	1.055
YOR117W	NaN	0.081	NaN	-0.070	NaN	-0.119
YOR118W	1.253	0.170	-1.504	-0.069	-0.420	0.028
YOR119C	NaN	1.083	NaN	-0.010	NaN	0.296
YOR120W	0.075	-0.948	-0.054	-0.047	1.146	-0.032
YOR121C	0.240	0.390	0.386	0.285	0.325	0.867
YOR122C	NaN	0.933	NaN	0.527	NaN	0.307
YOR123C	-0.132	0.239	-0.720	-0.017	-0.072	0.547
YOR124C	-0.241	-0.312	-0.017	-0.007	-0.196	1.191
YOR125C	0.126	0.117	0.140	-0.003	0.009	0.022
YOR126C	-0.264	0.027	0.014	0.000	-0.201	0.069
YOR127W	-1.198	-0.206	-1.366	-0.071	-0.004	0.144
YOR128C	NaN	-2.566	NaN	-0.216	NaN	2.018
YOR129C	0.023	0.039	0.028	-0.149	0.199	0.168
YOR130C	-0.033	0.033	-0.003	0.467	-1.526	0.015
YOR131C	0.002	-0.081	-0.019	-0.116	-2.899	0.049
YOR132W	-3.303	-0.084	-0.220	1.406	-0.049	0.443
YOR133W	0.432	-0.561	-1.109	2.011	0.004	0.066
YOR134W	0.011	-0.850	-0.911	-0.076	-0.018	0.208
YOR135C	0.052	-0.071	-0.085	0.048	-0.810	0.046
YOR136W	0.025	-0.005	-0.003	-0.204	-0.148	-0.055
YOR137C	0.113	0.001	-0.002	0.226	0.826	0.221
YOR138C	0.162	-0.106	-0.032	0.783	0.197	0.009
YOR139C	0.082	-0.098	0.007	-0.005	-0.122	1.369
YOR140W	0.036	-0.140	0.981	-0.048	0.081	0.138
YOR141C	0.044	-0.141	-4.161	0.038	-3.167	2.060
YOR142W	0.133	-0.001	-0.027	-0.203	0.318	0.432
YOR143C	NaN	0.702	NaN	0.067	NaN	1.020
YOR144C	0.039	-0.068	-0.213	1.102	1.000	0.037
YOR145C	NaN	0.703	NaN	0.280	NaN	0.099
YOR146W	NaN	0.743	NaN	0.092	NaN	0.291
YOR147W	NaN	0.348	NaN	-0.010	NaN	1.700
YOR148C	NaN	0.893	NaN	0.034	NaN	0.635
YOR149C	NaN	0.278	NaN	0.403	NaN	0.577
YOR150W	0.040	0.212	0.315	0.091	0.103	0.004
YOR151C	NaN	-0.112	NaN	0.026	NaN	0.863
YOR152C	-0.317	-0.197	-0.336	0.202	-0.102	0.044
YOR153W	0.077	0.148	0.815	1.547	0.917	0.113
YOR154W	-0.045	0.043	-0.372	0.027	0.750	0.126
YOR155C	-0.032	-0.223	0.031	0.048	-0.056	-0.094
YOR156C	-0.311	0.435	0.170	0.040	-0.386	1.447
YOR157C	NaN	-0.234	NaN	0.392	NaN	0.156
YOR158W	0.477	0.514	0.148	0.077	0.095	1.395
YOR159C	NaN	0.226	NaN	0.138	NaN	1.758
