ORF	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015
YAL001C	-2.275	0.076	-0.078	0.027	-2.199	-0.575
YAL002W	-3.037	0.006	-0.076	0.053	0.611	-1.486
YAL003W	NaN	0.286	NaN	0.081	NaN	-0.483
YAL004W	-0.188	0.222	-0.015	-0.370	-1.002	-1.215
YAL005C	-0.020	0.270	0.310	0.171	-1.279	0.224
YAL007C	-0.715	-0.207	1.624	0.109	0.134	-0.446
YAL008W	0.029	0.204	-0.124	-0.155	0.440	-0.400
YAL009W	-3.043	0.059	-4.059	-0.151	-1.205	-1.427
YAL010C	-1.230	0.213	NaN	0.653	-1.076	-0.675
YAL011W	-0.040	-0.355	0.138	0.046	-0.052	-0.137
YAL012W	-0.026	-0.131	NaN	0.474	NaN	-0.262
YAL013W	0.056	0.252	-0.047	1.163	-0.048	-0.028
YAL014C	0.114	-0.219	-0.023	-0.080	0.040	-0.611
YAL015C	0.012	0.290	-2.289	1.010	1.132	-1.815
YAL016W	NaN	0.452	NaN	-0.100	NaN	-1.839
YAL017W	-0.137	0.131	-0.496	-0.067	0.168	-0.196
YAL018C	0.125	0.076	-0.013	-0.367	0.334	-0.280
YAL019W	0.220	0.316	1.441	0.323	0.070	-0.645
YAL020C	-0.024	-0.906	0.620	-0.077	-0.191	-0.525
YAL021C	-0.289	0.900	-0.214	-0.063	0.080	-0.812
YAL022C	-0.377	0.336	0.222	0.479	-2.767	-0.539
YAL023C	-0.010	0.045	-0.748	-1.090	0.569	-0.100
YAL024C	-0.010	0.067	-0.048	-0.003	-0.704	-0.700
YAL025C	NaN	0.264	NaN	0.079	NaN	0.015
YAL026C	-2.156	-0.037	-1.950	-0.846	0.627	-0.039
YAL027W	0.553	-0.308	-0.012	0.138	-0.096	-0.627
YAL028W	-0.018	-0.063	0.373	1.037	-0.729	-0.157
YAL029C	-0.142	0.980	-0.020	-0.278	1.674	-0.052
YAL030W	-0.218	0.053	-0.100	0.116	0.733	-0.900
YAL031C	-1.404	-0.635	0.094	-0.024	0.218	-1.390
YAL032C	NaN	0.014	NaN	0.027	NaN	-0.073
YAL033W	NaN	0.179	NaN	0.037	NaN	-3.109
YAL034C	0.673	0.143	-0.033	0.019	0.196	-0.500
YAL034W-A	NaN	-2.276	NaN	0.059	NaN	-0.168
YAL035C-A	NaN	-0.039	NaN	-1.738	NaN	-0.178
YAL035W	0.041	0.089	0.742	0.016	0.198	-0.031
YAL036C	0.055	0.236	0.010	0.170	-0.107	-0.223
YAL037W	-0.005	0.153	0.464	0.178	0.185	-1.121
YAL038W	NaN	-0.040	NaN	0.035	NaN	-0.448
YAL039C	0.265	0.537	0.315	0.033	1.571	-0.640
YAL040C	0.193	-0.056	-0.999	0.014	0.209	-2.393
YAL041W	NaN	-0.042	NaN	-0.688	NaN	-0.194
YAL042W	-0.181	0.013	0.083	0.005	-0.035	-0.100
YAL043C	NaN	-0.166	NaN	0.007	NaN	-1.290
YAL043C-A	-0.144	0.936	0.827	-0.029	-1.121	-0.204
YAL044C	0.091	0.356	0.191	0.228	0.604	-0.350
YAL045C	-0.052	0.715	-0.100	0.180	0.675	-0.012
YAL046C	0.098	0.100	0.185	0.058	1.538	-0.554
YAL047C	0.062	0.131	-0.127	1.901	-1.088	-0.212
YAL048C	0.772	0.433	0.339	-0.042	2.030	-0.267
YAL049C	0.229	-0.044	-0.003	-0.051	0.925	-0.205
YAL051W	0.020	0.883	-0.122	-0.245	-0.106	-0.709
YAL053W	-0.014	0.372	0.094	-0.033	0.031	-0.574
YAL054C	0.356	0.202	0.126	-0.068	-0.172	-0.954
YAL055W	-0.235	0.202	0.332	0.158	-1.616	-0.465
YAL056W	-0.729	0.190	0.011	-0.519	0.010	-0.134
YAL058C-A	-2.534	-0.272	-2.820	0.109	-0.144	-0.459
YAL058W	-2.497	0.057	-2.965	-0.007	-1.327	-0.778
YAL059W	0.538	-0.047	0.907	0.601	0.707	-0.544
YAL060W	-0.089	0.125	-0.209	-0.044	-0.026	-0.157
YAL061W	-0.317	-0.106	-0.284	0.582	-0.010	-0.058
YAL062W	0.082	-0.259	0.389	0.059	-1.591	-0.319
YAL064C-A	-0.088	-0.858	0.494	0.109	0.163	-0.115
YAL065C	0.007	-0.373	0.404	0.488	-0.628	-1.377
YAL066W	0.256	0.092	0.523	2.104	-0.447	-0.252
YAL067C	0.274	0.008	-1.570	0.125	-0.084	-0.075
YAL068C	-0.010	-0.943	-0.054	-0.088	0.087	-0.110
YAR002C-A	1.260	-0.072	2.150	0.240	-0.691	-1.552
YAR002W	0.054	0.023	-0.081	0.232	0.004	-0.049
YAR003W	-0.640	0.111	-0.021	0.020	-0.004	-0.347
YAR007C	NaN	0.306	NaN	0.040	NaN	-1.655
YAR008W	NaN	0.281	NaN	0.223	NaN	-0.071
YAR014C	-0.259	-0.044	0.596	-0.728	-0.575	-0.840
YAR015W	NaN	-0.060	NaN	0.160	NaN	-0.389
YAR018C	-1.784	-0.069	-1.650	-0.002	-0.078	-0.754
YAR019C	NaN	0.474	NaN	-0.023	NaN	-0.514
YAR020C	-0.041	0.710	0.345	1.730	-0.983	-0.109
YAR023C	-1.039	0.699	0.726	0.637	-0.239	-0.939
YAR027W	0.074	-0.119	0.523	0.070	-2.392	-1.139
YAR028W	-0.406	0.231	-0.117	-0.070	0.194	-0.155
YAR029W	-0.007	0.121	-0.276	-0.926	-0.181	-0.392
YAR030C	0.608	0.246	-0.018	-0.075	0.077	-0.301
YAR031W	0.124	0.299	0.438	0.165	-0.096	-1.825
YAR035W	-0.612	0.216	0.468	0.024	0.065	-0.192
YAR040C	0.201	0.670	0.009	0.028	-0.115	-2.067
YAR042W	-0.440	-1.327	-0.072	0.055	-0.013	-1.100
YAR043C	-0.044	0.421	0.200	1.182	-0.522	-0.274
YAR044W	-0.293	-0.107	-0.042	0.054	0.184	-0.384
YAR047C	0.016	0.176	-0.014	-0.278	0.674	-0.245
YAR050W	1.470	0.100	1.350	0.070	-0.966	-2.655
YBL001C	0.163	-0.625	0.250	0.075	-0.001	-0.004
YBL002W	-0.264	1.221	-0.685	-0.322	-0.159	-0.014
YBL003C	0.121	NaN	0.009	NaN	0.033	NaN
YBL004W	NaN	-0.175	NaN	0.207	NaN	0.034
YBL005W	0.047	NaN	0.166	NaN	-0.061	NaN
YBL006C	-1.065	-0.056	1.385	0.204	-0.008	0.325
YBL007C	-0.079	-1.898	-0.035	1.275	0.046	0.025
YBL008W	0.014	-0.194	-0.198	1.866	-0.095	0.740
YBL009W	-0.112	-0.658	0.001	0.141	0.978	-0.053
YBL010C	0.514	-0.058	-0.054	-0.154	-1.042	-0.110
YBL011W	-0.002	-1.032	0.159	0.501	-0.010	-0.106
YBL012C	0.322	-0.007	2.435	0.027	0.036	-0.137
YBL013W	-0.536	0.127	0.092	0.013	-0.936	1.085
YBL015W	-0.524	-1.291	0.004	0.015	-0.370	0.006
YBL016W	NaN	0.435	NaN	0.276	NaN	0.003
YBL017C	-0.075	-0.417	-0.063	-0.778	-0.956	-0.088
YBL018C	NaN	-0.022	NaN	0.550	NaN	-0.028
YBL019W	0.535	-0.965	-0.164	0.142	-0.111	0.520
YBL020W	NaN	-0.031	NaN	0.210	NaN	-0.818
YBL022C	0.602	NaN	-0.776	NaN	0.056	NaN
YBL023C	NaN	-0.115	NaN	-0.025	NaN	0.110
YBL024W	0.021	0.077	-0.016	-0.024	-1.019	-0.828
YBL025W	NaN	-0.102	NaN	0.136	NaN	0.036
YBL026W	NaN	1.072	NaN	0.061	NaN	0.137
YBL027W	0.230	0.046	1.251	0.220	0.027	0.023
YBL028C	-0.024	0.483	0.169	-0.015	-0.746	0.325
YBL029W	0.083	-0.638	0.310	-0.033	0.692	-0.018
YBL030C	NaN	-0.018	NaN	0.322	NaN	0.026
YBL031W	-0.923	0.186	0.013	-0.084	-0.012	-0.007
YBL032W	-0.202	0.481	-0.008	0.040	0.179	0.068
YBL033C	NaN	-0.128	NaN	-0.126	NaN	0.046
YBL034C	NaN	0.074	NaN	2.284	NaN	-0.625
YBL035C	NaN	0.612	NaN	0.049	NaN	-0.550
YBL036C	-0.007	-0.082	0.000	-0.848	-0.675	0.099
YBL037W	-0.196	-0.139	0.579	-0.157	-0.134	-0.433
YBL038W	-0.095	0.953	0.621	0.009	0.768	-0.483
YBL039C	0.289	0.572	0.014	0.151	0.064	0.031
YBL040C	NaN	-0.001	NaN	-0.057	NaN	-0.054
YBL041W	NaN	-1.068	NaN	0.292	NaN	0.007
YBL042C	-0.160	0.533	0.507	0.731	0.001	0.119
YBL043W	-0.128	0.724	-0.008	-0.220	-0.115	-0.767
YBL044W	0.144	0.852	0.113	0.180	0.330	-0.174
YBL045C	0.037	-0.644	-0.316	-0.189	0.774	-0.044
YBL046W	-0.441	-0.179	0.148	-0.260	0.142	-0.029
YBL047C	-0.308	0.111	0.216	0.143	0.034	0.010
YBL048W	0.373	1.054	0.799	0.005	-1.661	-0.649
YBL049W	-0.039	-0.135	-0.048	-0.069	0.039	0.012
YBL050W	NaN	-0.589	NaN	-0.774	NaN	-0.075
YBL051C	0.096	-0.832	-0.059	0.059	0.015	-0.962
YBL052C	-0.219	0.023	0.253	-0.185	-0.025	-1.800
YBL053W	0.767	0.137	-0.638	-0.019	-0.108	0.097
YBL054W	0.842	0.165	-0.053	0.250	-0.127	-0.031
YBL055C	1.058	-0.028	0.064	-0.070	0.623	-0.496
YBL056W	1.117	-0.101	-1.317	-0.083	0.367	0.314
YBL057C	0.402	-0.293	0.091	-1.819	0.151	-0.198
YBL058W	0.160	-0.108	0.110	0.074	0.053	-0.972
YBL059W	0.268	0.362	0.020	-0.298	-0.069	-0.033
YBL060W	0.763	-0.091	0.049	-0.282	-0.768	-0.078
YBL061C	0.660	-0.081	0.776	-0.077	-0.011	0.148
YBL062W	0.203	0.009	1.423	0.079	1.118	-0.377
YBL063W	-0.446	-0.216	-0.047	0.352	-0.034	-0.818
YBL064C	-0.384	0.058	-0.015	0.293	-0.039	-0.006
YBL065W	0.365	-0.117	0.010	1.284	1.180	0.081
YBL066C	-0.081	-0.113	-0.066	1.925	-1.758	0.027
YBL067C	0.924	0.708	0.016	0.020	1.738	0.214
YBL068W	0.006	0.062	0.196	-0.143	-0.630	-0.005
YBL069W	-0.969	NaN	-0.078	NaN	-0.707	NaN
YBL070C	-0.030	0.022	1.161	-0.264	-1.928	-0.348
YBL071C	0.707	0.837	0.058	0.332	0.593	0.106
YBL072C	-0.031	0.037	0.120	-0.299	-1.067	-0.000
YBL073W	NaN	0.789	NaN	1.820	NaN	-0.404
YBL074C	NaN	-1.378	NaN	-0.075	NaN	-0.045
YBL075C	-0.412	NaN	-0.084	NaN	-0.221	NaN
YBL076C	NaN	-0.004	NaN	-0.079	NaN	-0.014
YBL077W	NaN	0.093	NaN	0.075	NaN	-0.997
YBL078C	-0.006	-0.059	0.170	0.659	-0.250	-0.034
YBL079W	0.047	-0.217	-0.104	-0.015	0.019	-0.192
YBL080C	0.161	0.054	0.271	0.048	0.415	-1.599
YBL081W	-1.191	-1.180	-0.200	0.080	-0.372	-0.111
YBL082C	-0.556	-0.109	0.798	0.240	-0.133	-0.054
YBL083C	-1.980	-0.197	-2.080	0.361	-0.573	-0.192
YBL084C	NaN	-0.052	NaN	-0.686	NaN	-0.233
YBL085W	0.922	-0.177	0.016	-0.989	-0.481	-0.271
YBL086C	-0.749	-0.085	-1.854	-1.710	-0.603	-0.200
YBL087C	0.042	0.459	0.589	0.689	-2.161	-0.106
YBL088C	-0.063	0.213	-2.102	1.385	0.902	-0.129
YBL089W	0.112	0.697	0.001	-0.834	-0.012	-0.046
YBL090W	0.014	0.032	0.029	-0.025	0.048	-0.204
YBL091C	1.522	0.013	0.449	0.034	1.499	0.074
YBL091C-A	-0.048	0.087	-0.597	-0.666	0.256	-0.116
YBL092W	NaN	-0.074	NaN	-1.313	NaN	-0.790
YBL093C	0.123	0.020	0.211	NaN	-0.001	NaN
YBL094C	-1.118	0.031	-0.003	0.056	-0.076	-0.211
YBL095W	0.226	0.117	0.184	0.153	0.659	-1.669
YBL096C	0.062	0.074	-0.017	1.249	-0.037	-0.060
YBL097W	NaN	-0.042	NaN	0.126	NaN	-0.068
YBL098W	-0.127	-0.246	0.051	-0.973	-2.305	0.099
YBL099W	0.320	-0.265	-0.026	0.048	0.196	0.001
YBL100C	0.079	-0.400	0.478	0.725	0.010	-0.227
YBL101C	0.259	-0.098	0.447	0.089	-0.331	-2.034
YBL102W	-0.226	0.135	-0.079	0.014	1.017	-0.030
YBL103C	NaN	-0.040	NaN	0.044	NaN	0.019
YBL104C	-0.071	-0.275	0.921	0.141	1.311	-1.232
YBL105C	NaN	-0.008	NaN	-0.085	NaN	-0.117
YBL106C	-0.774	0.018	0.032	0.030	-0.160	-0.477
YBL107C	-0.105	-0.102	-2.756	-2.675	1.624	0.121
YBR001C	-0.304	0.206	-3.946	-0.065	1.198	0.863
YBR002C	NaN	0.484	NaN	0.267	NaN	-1.314
YBR003W	0.019	-0.740	0.005	0.218	0.804	-0.019
YBR004C	NaN	-0.762	NaN	0.858	NaN	1.781
YBR005W	0.006	-0.014	0.010	-0.109	1.924	0.011
YBR006W	0.090	-0.192	0.298	-0.441	-0.113	-0.309
YBR007C	-0.023	-0.604	-0.042	-0.406	-0.733	0.091
YBR008C	0.090	-0.956	-0.237	-0.010	-0.184	0.473
YBR009C	-0.007	-0.017	0.300	0.349	0.087	-0.011
YBR010W	-0.038	-0.241	-1.551	-0.234	0.616	-0.004
YBR011C	NaN	-0.122	NaN	-0.007	NaN	0.704
YBR012C	-0.506	-0.029	-0.041	-0.021	-2.108	-0.309
YBR013C	-0.709	0.027	-0.388	0.083	-1.884	0.149
YBR014C	-0.373	-0.024	-0.672	0.102	-0.131	0.892
YBR015C	-2.490	-0.883	-2.263	0.267	-0.073	0.315
YBR016W	-0.304	0.430	0.060	-2.040	0.796	-1.797
YBR017C	NaN	0.278	NaN	0.392	NaN	0.034
YBR018C	-0.443	0.425	-1.653	-0.189	0.321	1.026
YBR019C	0.046	-0.032	-0.023	0.266	2.037	0.104
YBR020W	-0.365	-0.015	-0.109	0.967	-0.223	-0.301
YBR021W	NaN	0.313	NaN	-0.231	NaN	-0.455
YBR022W	-0.020	-0.077	-0.136	0.126	0.006	0.015
YBR023C	0.060	-0.033	0.558	-0.631	0.695	-0.019
YBR024W	-0.728	-0.719	0.190	-1.395	-1.634	0.110
YBR025C	0.172	0.169	0.183	0.723	0.053	-0.028
YBR026C	-0.229	-0.875	0.179	-0.005	0.014	0.049
YBR027C	-1.449	-0.033	-0.183	-0.426	-0.027	0.005
YBR028C	0.245	-1.018	1.164	-0.258	-0.608	0.027
YBR029C	NaN	0.018	NaN	-1.975	NaN	0.860
YBR030W	-0.037	-0.032	-0.125	-0.049	0.057	0.310
YBR031W	-0.040	0.447	0.493	0.109	1.163	1.554
YBR032W	0.639	0.981	0.469	-0.012	0.624	-0.007
YBR033W	0.179	-0.475	-0.175	-1.626	-0.628	-0.028
YBR034C	0.058	-0.013	0.201	-1.995	-0.068	-0.015
YBR035C	0.431	-0.056	0.779	0.120	-0.243	0.013
YBR036C	-3.031	0.166	-6.965	-0.352	-5.791	-0.298
YBR037C	0.001	-0.788	0.105	-0.036	-0.075	-0.105
YBR038W	NaN	-0.425	NaN	-0.029	NaN	0.196
YBR039W	NaN	0.101	NaN	-1.247	NaN	1.019
YBR040W	0.112	-0.400	-0.058	0.019	0.011	0.230
YBR041W	1.345	0.142	-0.027	0.040	0.003	NaN
YBR042C	0.322	0.577	1.828	-0.611	-0.141	0.616
YBR043C	0.114	0.648	-0.125	0.063	0.461	0.594
YBR044C	-0.257	0.635	-0.016	0.153	0.004	0.369
YBR045C	0.999	-0.331	-0.843	0.006	0.105	0.302
YBR046C	-0.006	0.053	-0.009	-0.096	0.030	-0.097
YBR047W	0.014	0.023	0.188	-0.019	-0.581	1.575
YBR048W	0.077	-0.335	-0.004	-0.082	0.447	-0.181
YBR049C	NaN	-1.433	NaN	-0.008	NaN	-0.170
YBR050C	0.534	-0.108	-0.304	0.026	0.111	0.396
YBR051W	-0.089	-0.226	-0.191	0.044	0.022	0.182
YBR052C	0.073	-0.315	0.127	-1.178	0.607	0.227
YBR053C	0.460	0.196	-1.843	-0.417	-0.141	0.208
YBR054W	-1.542	-0.857	-0.086	0.056	-0.081	-0.053
YBR055C	NaN	-0.131	NaN	0.026	NaN	1.030
YBR056W	-0.476	-0.202	0.021	-0.043	0.010	-1.434
YBR057C	0.416	-0.223	0.073	0.470	0.293	0.074
YBR058C	-0.122	0.572	-0.019	-1.854	0.192	-0.900
YBR059C	0.065	-0.625	-0.017	0.026	0.604	0.116
YBR060C	NaN	-0.769	NaN	-0.123	NaN	-0.209
YBR061C	NaN	-0.087	NaN	-0.124	NaN	0.149
YBR062C	0.338	-0.457	-0.014	-3.042	0.089	-0.223
YBR063C	0.593	0.274	0.045	-0.097	-0.040	-0.098
YBR064W	-0.053	-0.083	0.033	-0.128	-2.688	0.290
YBR065C	-0.064	0.098	-0.022	-0.495	-0.130	0.547
YBR066C	-0.025	-1.281	-0.189	-2.912	0.774	0.053
YBR067C	-0.609	-0.270	-0.544	-0.128	-0.037	1.361
YBR068C	-0.382	-0.214	-0.051	0.181	-0.146	0.873
YBR069C	-0.075	0.033	0.038	0.074	0.021	0.000
YBR070C	NaN	-0.742	NaN	0.473	NaN	-1.048
YBR071W	0.001	0.012	-0.236	-0.257	-1.057	-0.127
YBR072W	-0.232	0.751	-0.157	-0.003	0.052	0.354
YBR073W	-0.285	0.087	0.024	-2.218	-0.965	0.114
YBR074W	0.117	0.104	0.028	1.027	1.233	-0.140
YBR076W	-0.268	-0.269	0.015	-0.223	-0.057	0.114
YBR077C	0.011	-0.060	-1.766	0.166	-0.424	0.006
YBR078W	NaN	-1.293	NaN	0.001	NaN	-0.067
YBR079C	NaN	0.381	NaN	-0.376	NaN	1.244
YBR080C	NaN	0.137	NaN	-0.053	NaN	-0.087
YBR081C	NaN	-0.814	NaN	0.020	NaN	-0.024
YBR082C	NaN	-0.006	NaN	-2.485	NaN	0.098
YBR083W	-0.021	0.046	1.418	0.006	-1.592	0.116
YBR084C-A	0.047	0.023	0.004	-0.691	0.168	1.164
YBR084W	-0.028	-0.019	-1.803	0.023	0.362	0.417
YBR085W	NaN	-0.078	NaN	-0.166	NaN	-0.068
YBR086C	NaN	0.374	NaN	0.138	NaN	0.020
YBR087W	NaN	-1.135	NaN	-0.503	NaN	-0.082
YBR088C	NaN	0.618	NaN	-1.172	NaN	0.010
YBR089W	NaN	0.445	NaN	-0.881	NaN	-0.034
YBR090C	0.047	-0.206	-1.267	-1.126	-0.164	-0.125
YBR091C	NaN	0.928	NaN	0.334	NaN	0.684
YBR092C	0.656	0.016	0.161	-1.009	0.154	-0.116
YBR093C	-0.053	-0.319	-0.493	1.513	1.173	0.045
YBR094W	-0.038	0.964	-1.878	0.027	-0.046	0.024
YBR095C	NaN	0.585	NaN	0.181	NaN	-0.024
YBR096W	NaN	-0.586	NaN	-0.307	NaN	0.566
YBR097W	NaN	0.002	NaN	-0.214	NaN	0.096
YBR098W	-0.050	0.234	0.077	0.053	2.321	-0.038
YBR099C	0.177	-0.009	-0.024	0.369	-0.147	1.157
YBR101C	1.107	NaN	0.496	-0.096	0.563	-0.246
YBR102C	NaN	-1.209	NaN	0.177	NaN	-0.013
YBR103W	0.516	-0.027	0.007	-0.121	0.314	0.102
YBR104W	-0.291	0.749	-0.047	-0.036	-0.041	0.045
YBR105C	0.289	NaN	-0.059	NaN	0.004	NaN
YBR106W	-0.409	-1.000	-0.943	-0.015	0.026	0.029
YBR107C	0.382	-1.138	-0.358	-0.992	-0.042	0.006
YBR108W	-0.212	0.621	-1.546	-0.035	-1.349	0.488
YBR109C	NaN	-0.109	NaN	-0.805	NaN	0.306
YBR110W	NaN	-1.698	NaN	-1.654	NaN	0.769
YBR111C	NaN	-0.455	NaN	-0.160	NaN	0.558
YBR112C	NaN	0.209	NaN	0.007	NaN	0.134
YBR113W	-0.185	-0.922	-0.191	-0.630	-0.041	-0.079
YBR114W	-0.009	0.005	0.028	0.019	0.158	-0.013
YBR115C	NaN	0.012	NaN	-0.095	NaN	-0.056
YBR116C	0.989	-0.835	0.090	-0.142	0.222	1.824
YBR117C	NaN	-1.857	NaN	0.054	NaN	0.056
YBR118W	NaN	-0.764	NaN	0.012	NaN	-1.199
YBR119W	0.159	-0.650	-0.059	0.427	-1.752	-1.303
YBR120C	-0.012	0.136	1.390	-0.317	-0.468	-0.009
YBR121C	NaN	-0.059	NaN	-0.093	NaN	1.359
YBR123C	NaN	-1.563	NaN	-1.563	NaN	0.070
YBR124W	NaN	-0.113	NaN	-1.197	NaN	0.042
YBR125C	0.018	0.232	0.016	-0.046	-0.224	0.836
YBR126C	-0.125	1.240	-0.044	0.073	0.855	0.148
YBR127C	-2.307	0.934	-1.267	0.037	-0.708	-1.378
YBR128C	0.468	1.102	-0.044	0.046	0.402	0.586
YBR129C	0.143	0.090	-0.191	0.012	1.635	0.012
YBR130C	0.600	0.019	-0.883	-0.016	0.857	0.574
YBR131W	-0.016	0.008	0.058	-2.016	0.086	0.632
YBR132C	NaN	-0.014	NaN	-0.137	NaN	0.351
YBR133C	0.232	0.105	-1.191	-0.127	0.033	-0.830
YBR134W	-0.069	-0.382	-0.130	0.311	-0.942	0.079
YBR135W	0.432	0.081	NaN	-0.269	NaN	1.504
YBR136W	NaN	0.119	NaN	-0.075	NaN	0.218
YBR137W	-0.003	-0.477	-0.003	0.103	-1.298	0.317
YBR138C	-0.841	-0.032	-0.015	-0.741	2.074	1.577
YBR139W	-0.000	0.434	-0.204	0.116	-0.450	0.224
YBR140C	NaN	-0.837	NaN	-0.974	NaN	1.301
YBR141C	0.040	0.427	-1.027	0.575	0.021	0.033
YBR142W	NaN	-0.008	NaN	-0.192	NaN	0.205
YBR143C	NaN	0.669	NaN	-2.017	NaN	0.005
YBR144C	0.809	0.086	-0.030	-0.152	-0.031	-0.552
YBR145W	0.052	0.141	-0.169	0.000	-1.037	0.040
YBR146W	-0.637	0.033	0.029	0.264	-0.104	-0.160
YBR147W	-0.010	-0.616	-0.354	-0.111	-0.297	0.238
YBR148W	0.067	0.335	0.108	-0.055	-1.233	0.016
YBR149W	0.050	-2.089	0.040	0.686	-0.064	1.083
YBR150C	0.684	-1.073	-0.478	0.067	-0.400	-0.031
YBR151W	0.078	0.009	-0.044	1.769	0.392	0.005
YBR152W	NaN	-0.352	NaN	0.064	NaN	-0.143
YBR153W	NaN	0.063	NaN	-0.007	NaN	0.419
YBR154C	NaN	-0.064	NaN	0.141	NaN	-0.083
YBR155W	NaN	0.327	NaN	-0.130	NaN	0.650
YBR156C	0.634	0.480	-1.825	0.186	1.044	-0.074
YBR157C	0.139	0.012	-0.344	-0.009	-0.295	-0.076
YBR158W	0.030	0.002	-0.521	0.167	-0.039	0.258
YBR159W	-0.430	0.152	-0.242	-0.174	0.082	-2.574
YBR160W	NaN	0.131	NaN	-1.219	NaN	0.071
YBR161W	0.117	-0.727	-0.100	-0.027	-0.484	0.693
YBR162C	0.075	-0.048	-0.515	-0.663	-0.023	1.104
YBR162W-A	0.014	0.543	-0.007	-0.782	-0.002	0.662
YBR163W	-0.044	-1.066	0.321	-0.015	0.353	-0.439
YBR164C	-5.436	-0.100	-2.660	-0.002	-1.778	0.390
YBR165W	NaN	-0.155	NaN	0.011	NaN	-1.245
YBR166C	NaN	-0.304	NaN	-0.372	NaN	0.129
YBR167C	NaN	-0.397	NaN	-1.545	NaN	0.403
YBR168W	0.126	0.336	0.147	0.008	0.325	1.281
YBR169C	0.057	-0.314	-1.772	0.145	1.541	-0.497
YBR170C	2.166	0.071	0.117	0.500	0.078	0.069
YBR171W	-7.659	-19.652	-2.008	-6.608	-0.559	-0.531
YBR172C	0.509	-0.066	0.135	-0.147	-0.139	-0.099
YBR173C	-0.201	0.926	-0.214	0.138	-0.236	0.298
YBR174C	0.188	-1.403	-0.149	-0.011	0.443	-0.428
YBR175W	0.051	0.518	-0.006	0.056	0.003	0.767
YBR176W	-0.432	-0.230	0.588	0.333	-2.129	-0.215
YBR177C	-1.020	-0.588	-1.569	-0.115	0.140	1.702
YBR178W	0.387	0.917	-2.228	-0.088	-0.015	0.903
YBR179C	-0.028	0.147	0.020	-0.008	0.081	0.120
YBR180W	1.233	-0.132	-0.232	-0.032	-0.013	-0.032
YBR181C	-0.145	0.461	0.042	-0.036	1.031	0.042
YBR182C	-0.333	0.298	-0.091	-0.088	-0.090	0.009
YBR183W	0.276	0.413	-0.024	-0.340	-0.506	-0.103
YBR184W	0.670	-0.733	-0.438	-0.192	0.017	0.112
YBR185C	-0.011	1.227	-1.415	-0.523	1.323	0.111
YBR186W	-0.193	-0.260	0.001	-0.465	-0.006	-0.343
YBR187W	0.600	0.349	-2.255	-0.660	2.416	-0.057
YBR188C	0.573	-0.066	-0.358	0.022	0.868	1.015
YBR189W	0.961	0.098	0.023	0.020	-0.013	0.848
YBR190W	NaN	0.223	NaN	0.038	NaN	-0.081
YBR191W	0.369	0.171	0.144	1.609	0.002	0.009
YBR192W	NaN	0.156	NaN	-0.503	NaN	0.143
YBR193C	NaN	-0.112	NaN	-0.080	NaN	0.796
YBR194W	NaN	0.078	NaN	0.420	NaN	0.000
YBR195C	0.640	0.189	-1.817	-0.010	-0.029	0.026
YBR196C	NaN	-0.015	NaN	0.038	NaN	1.541
YBR197C	0.061	0.090	-0.056	0.025	0.092	0.065
YBR198C	NaN	0.483	NaN	-0.005	NaN	-0.611
YBR199W	-0.773	0.369	-0.143	0.024	-0.113	0.638
YBR200W	-0.384	-0.043	NaN	-0.001	-0.024	0.160
YBR201W	-0.031	-0.083	-2.777	-0.918	-1.352	0.242
YBR202W	NaN	0.224	NaN	0.012	NaN	0.122
YBR203W	-0.096	-0.262	-0.580	-0.156	-2.457	-0.050
YBR204C	-0.592	-0.223	-0.585	-1.807	0.261	-0.084
YBR205W	-0.721	-0.003	-0.200	-0.039	0.847	0.457
YBR206W	0.041	-0.012	0.242	0.129	-1.289	0.067
YBR207W	0.072	-0.391	-0.375	-0.290	0.164	-0.087
YBR208C	-0.034	0.373	-0.262	0.046	0.063	-0.021
YBR209W	NaN	0.442	NaN	-1.220	NaN	1.516
YBR210W	0.200	0.225	-0.142	0.022	0.746	0.223
YBR211C	NaN	0.081	NaN	0.230	NaN	0.096
YBR212W	-0.754	-0.677	-1.267	-0.013	0.150	-1.669
YBR213W	0.079	-0.527	-0.368	-0.039	0.022	0.162
YBR214W	-0.160	-0.614	-0.108	-0.226	0.868	-0.098
YBR215W	0.936	-0.087	0.017	0.345	0.201	0.664
YBR216C	-0.051	-0.557	-0.011	0.017	1.185	-0.021
YBR217W	-0.737	-0.065	-0.313	-0.065	-0.008	0.022
YBR218C	-0.188	0.016	-1.625	-0.237	-0.176	-0.215
YBR219C	0.296	0.067	-2.319	0.005	-0.010	-0.043
YBR220C	-0.831	-0.201	-0.045	-1.591	-0.070	-0.188
YBR221C	-1.087	-0.968	0.575	-0.248	0.097	-0.071
YBR222C	-0.993	-0.156	0.972	1.445	-1.389	0.132
