orf	hom | growth (colony size) | 6-azauracil [200 ug/ml] | Riles L~Reines D, 2004
YAL002W	0.030921560553576206
YAL004W	0.030921560553576206
YAL005C	0.030921560553576206
YAL007C	0.030921560553576206
YAL008W	0.030921560553576206
YAL009W	0.030921560553576206
YAL011W	0.030921560553576206
YAL013W	0.030921560553576206
YAL014C	0.030921560553576206
YAL015C	0.030921560553576206
YAL017W	0.030921560553576206
YAL018C	0.030921560553576206
YAL019W	0.030921560553576206
YAL020C	0.030921560553576206
YAL022C	0.030921560553576206
YAL023C	0.030921560553576206
YAL024C	0.030921560553576206
YAL026C	0.030921560553576206
YAL027W	0.030921560553576206
YAL028W	0.030921560553576206
YAL029C	0.030921560553576206
YAL030W	0.030921560553576206
YAL031C	0.030921560553576206
YAL034C	0.030921560553576206
YAL035W	0.030921560553576206
YAL036C	0.030921560553576206
YAL037W	0.030921560553576206
YAL040C	0.030921560553576206
YAL042W	0.030921560553576206
YAL042C-A	0.030921560553576206
YAL045C	0.030921560553576206
YAL046C	0.030921560553576206
YAL047C	0.030921560553576206
YAL048C	0.030921560553576206
YAL049C	0.030921560553576206
YAL051W	0.030921560553576206
YAL053W	0.030921560553576206
YAL054C	0.030921560553576206
YAL055W	0.030921560553576206
YAL056W	0.030921560553576206
YAL056C-A	0.030921560553576206
YAL058W	0.030921560553576206
YAL059W	0.030921560553576206
YAL060W	0.030921560553576206
YAL061W	0.030921560553576206
YAL062W	0.030921560553576206
YAL064C-A	0.030921560553576206
YAL065C	0.030921560553576206
YAL066W	0.030921560553576206
YAL067C	0.030921560553576206
YAL068C	0.030921560553576206
YAR002C-A	0.030921560553576206
YAR002W	0.030921560553576206
YAR003W	0.030921560553576206
YAR014C	0.030921560553576206
YAR015W	0.030921560553576206
YAR018C	0.030921560553576206
YAR020C	0.030921560553576206
YAR023C	0.030921560553576206
YAR027W	0.030921560553576206
YAR028W	0.030921560553576206
YAR029W	0.030921560553576206
YAR030C	0.030921560553576206
YAR031W	0.030921560553576206
YAR035W	0.030921560553576206
YAR042W	0.030921560553576206
YAR047C	0.030921560553576206
YAR050W	0.030921560553576206
YBL069W	0.030921560553576206
YBL070C	0.030921560553576206
YBL071C	0.030921560553576206
YBL086C	0.030921560553576206
YBL091C-A	0.030921560553576206
YBL095W	0.030921560553576206
YBL096C	0.030921560553576206
YBL098W	0.030921560553576206
YBL101C	0.030921560553576206
YBL106C	0.030921560553576206
YBR007C	0.030921560553576206
YBR008C	0.030921560553576206
YBR009C	0.030921560553576206
YBR010W	0.030921560553576206
YBR016W	0.030921560553576206
YBR018C	0.030921560553576206
YBR020W	0.030921560553576206
YBR022W	0.030921560553576206
YBR023C	0.030921560553576206
YBR024W	0.030921560553576206
YBR025C	0.030921560553576206
YBR036C	0.030921560553576206
YBR037C	0.030921560553576206
YBR038W	0.030921560553576206
YBR040W	0.030921560553576206
YBR041W	0.030921560553576206
YBR042C	0.030921560553576206
YBR043C	0.030921560553576206
YBR044C	0.030921560553576206
YBR045C	0.030921560553576206
YBR046C	0.030921560553576206
YBR047W	0.030921560553576206
YBR048W	0.030921560553576206
YBR050C	0.030921560553576206
YBR051W	0.030921560553576206
YBR052C	0.030921560553576206
YBR053C	0.030921560553576206
YBR054W	0.030921560553576206
YBR056W	0.030921560553576206
YBR057C	0.030921560553576206
YBR058C	0.030921560553576206
YBR059C	0.030921560553576206
YBR062C	0.030921560553576206
YBR063C	0.030921560553576206
YBR064W	0.030921560553576206
YBR065C	0.030921560553576206
YBR066C	0.030921560553576206
YBR067C	0.030921560553576206
YBR069C	-9.152781923858699
YBR071W	0.030921560553576206
YBR072W	0.030921560553576206
YBR073W	0.030921560553576206
