orf	hap a | growth (pooled culture, microarray) | FTase inhibitor I [10 uM] | YPD | Porcu G~Ragnini-Wilson A, 2013
YAL058W	-0.5389
YBL007C	-0.53335
YBR270C	-0.6555500000000001
YCL057W	-0.59965
YCR009C	-0.9164000000000001
YDL020C	-0.567
YDL099W	-0.6175
YDL185W	-1.5739
YDR140W	-0.88305
YDR207C	-0.5831500000000001
YDR248C	-0.6681
YDR316W	-0.511
YDR392W	-0.87405
YEL051W	-0.94155
YER174C	-0.57225
YFR036W	-1.11925
YGL084C	-0.71335
YGL089C	-0.66255
YGL167C	-0.7523500000000001
YGR131W	-0.5709500000000001
YHR111W	-0.55965
YHR139C-A	-0.5094000000000001
YIL044C	-0.744
YIL157C	-0.70755
YJL056C	-0.78505
YJL120W	-0.6770499999999999
YJR033C	-0.57355
YJR122W	-1.0339
YKL043W	-0.54745
YLL043W	-0.72105
YLR038C	-0.5388
YLR097C	-0.57945
YLR131C	-0.9249
YLR342W	-0.6930000000000001
YLR352W	-0.5414
YLR357W	-1.0673
YLR372W	-0.67085
YLR452C	-0.56315
YML008C	-0.61015
YMR021C	-0.9982500000000001
YMR052W	-0.52925
YMR088C	-0.6029
YMR109W	-0.51185
YMR140W	-0.51095
YNL107W	-0.6286499999999999
YNL298W	-0.756325
YNR008W	-0.6374500000000001
YNR073C	-1.12515
YOL051W	-0.994
YOL092W	-0.6634
YOL113W	-0.5145
YOL118C	-0.7439
YOL124C	-0.741225
YOL126C	-0.5841000000000001
YOR096W	-0.95425
YOR328W	-0.5383
YPL018W	-0.6723
YPL033C	-0.53185
YPL055C	-0.6149
YPL062W	-0.5035000000000001
YPL105C	-0.5206
YPL150W	-0.5528500000000001
YPL214C	-0.60445
YPR043W	-0.9289
