orf	hap alpha | growth (colony size) | L-lactic acid [4.0%], pH [2.8] | YPD + Ade [0.4 g/L] | Suzuki T~Harashima S, 2012
YBL058W	-5.045048460270769
YBR011C	-5.045048460270769
YBR035C	-10.090096920541537
YBR036C	-5.045048460270769
YBR068C	-5.045048460270769
YBR097W	-10.090096920541537
YBR166C	-7.567572690406152
YBR260C	-2.5225242301353843
YBR289W	-5.045048460270769
YCL007C	-5.045048460270769
YCR047C	-10.090096920541537
YCR053W	-2.5225242301353843
YDL185W	-5.045048460270769
YDR027C	-7.567572690406152
YDR065W	-5.045048460270769
YDR127W	-7.567572690406152
YDR137W	-5.045048460270769
YDR173C	-2.5225242301353843
YDR323C	-5.045048460270769
YDR448W	-5.045048460270769
YDR456W	-2.5225242301353843
YDR484W	-7.567572690406152
YDR495C	-5.045048460270769
YEL029C	-2.5225242301353843
YEL036C	-2.5225242301353843
YEL046C	-10.090096920541537
YEL051W	-2.5225242301353843
YER086W	-7.567572690406152
YFL016C	-10.090096920541537
YFL025C	-5.045048460270769
YGL007W	-5.045048460270769
YGL012W	-5.045048460270769
YGL038C	-10.090096920541537
YGL058W	-5.045048460270769
YGL070C	-10.090096920541537
YGL095C	-7.567572690406152
YGL135W	-5.045048460270769
YGL148W	-7.567572690406152
YGL173C	-5.045048460270769
YGL206C	-10.090096920541537
YGL223C	-2.5225242301353843
YGL244W	-10.090096920541537
YGR020C	-5.045048460270769
YGR036C	-2.5225242301353843
YGR167W	-7.567572690406152
YGR196C	-2.5225242301353843
YGR217W	-2.5225242301353843
YGR262C	-10.090096920541537
YGR271C-A	-10.090096920541537
YHR025W	-5.045048460270769
YHR030C	-7.567572690406152
YHR039C-A	-5.045048460270769
YHR060W	-10.090096920541537
YHR111W	-2.5225242301353843
YJL095W	-7.567572690406152
YJL128C	-2.5225242301353843
YJL129C	-10.090096920541537
YJL154C	-5.045048460270769
YJL159W	-2.5225242301353843
YJL176C	-5.045048460270769
YJL188C	-10.090096920541537
YJL204C	-10.090096920541537
YKL054C	-5.045048460270769
YKL080W	-2.5225242301353843
YKL190W	-2.5225242301353843
YKL212W	-7.567572690406152
YKR001C	-7.567572690406152
YKR020W	-7.567572690406152
YLR056W	-5.045048460270769
YLR074C	-10.090096920541537
YLR113W	-2.5225242301353843
YLR148W	-7.567572690406152
YLR240W	-10.090096920541537
YLR262C	-2.5225242301353843
YLR337C	-5.045048460270769
YLR403W	-10.090096920541537
YLR447C	-2.5225242301353843
YML008C	-7.567572690406152
YMR077C	-5.045048460270769
YMR202W	-2.5225242301353843
YMR231W	-7.567572690406152
YMR263W	-2.5225242301353843
YMR307W	-2.5225242301353843
YNL138W	-5.045048460270769
YNL148C	-10.090096920541537
YNL243W	-10.090096920541537
YNL280C	-2.5225242301353843
YNL291C	-2.5225242301353843
YNL297C	-5.045048460270769
YNL323W	-5.045048460270769
YNR023W	-5.045048460270769
YNR052C	-10.090096920541537
YOL018C	-2.5225242301353843
YOL051W	-5.045048460270769
YOL148C	-10.090096920541537
YOR035C	-10.090096920541537
YOR068C	-2.5225242301353843
YOR069W	-5.045048460270769
YOR092W	-5.045048460270769
YOR332W	-2.5225242301353843
YPL031C	-2.5225242301353843
YPL045W	-7.567572690406152
YPL234C	-2.5225242301353843
YPL254W	-7.567572690406152
YPR022C	-5.045048460270769
YPR060C	-10.090096920541537
YPR131C	-2.5225242301353843
