orf	hap alpha | growth (colony size) | polygodial [2 ug/ml] | SD + his + leu + lys + ura | Kipanga PN~Luyten W, 2021	hap alpha | growth (colony size) | polygodial [6 ug/ml] | SD + his + leu + lys + ura | Kipanga PN~Luyten W, 2021
YAL068C	3.5	3.5
YAL067C	3.5	3.5
YAL066W	3.5	3.5
YAL065C	3.5	3.5
YAL062W	3.5	6.0
YAL061W	3.5	3.5
YAL060W	3.5	3.5
YAL059W	3.5	3.5
YAL058W	3.5	3.5
YAL056W	3.5	3.5
YAL055W	3.5	3.5
YAL053W	3.5	3.5
YAL051W	3.5	3.5
YAL049C	3.5	3.5
YAL048C	3.5	3.5
YAL046C	3.5	3.5
YAL045C	3.5	3.5
YAL044C	3.5	3.5
YAL042W	3.5	3.5
YAL042C-A	3.5	3.5
YAL040C	3.5	3.5
YAL037W	3.5	3.5
YAL036C	3.5	3.5
YAL035W	3.5	3.5
YAL034C	3.5	3.5
YAL031C	3.5	3.5
YAL030W	3.5	3.5
YAL029C	3.5	3.5
YAL028W	3.5	3.5
YAL026C	3.5	3.5
YAL023C	3.5	3.5
YAL022C	3.5	3.5
YAL021C	3.5	3.5
YAL020C	3.5	3.5
YAL019W	3.5	3.5
YAL018C	3.5	3.5
YAL017W	3.5	3.5
YAL015C	3.5	3.5
YAL014C	3.5	3.5
YAL013W	3.5	3.5
YAL011W	3.5	3.5
YAL010C	3.5	3.5
YAL009W	3.5	3.5
YAL008W	3.5	3.5
YAL007C	3.5	3.5
YAL004W	3.5	3.5
YAL005C	3.5	3.5
YAL002W	3.5	6.0
YAR002W	3.5	3.5
YAR003W	3.5	3.5
YAR014C	3.5	3.5
YAR015W	3.5	3.5
YAR018C	3.5	3.5
YAR020C	3.5	3.5
YAR023C	3.5	3.5
YAR027W	3.5	3.5
YAR028W	3.5	3.5
YAR029W	3.5	3.5
YAR031W	3.5	3.5
YAR030C	3.5	3.5
YAR035W	3.5	3.5
YAR042W	3.5	3.5
YAR047C	3.5	3.5
YLL001W	3.5	6.0
YLL002W	3.5	3.5
YLL005C	3.5	3.5
YLL010C	3.5	3.5
YLL012W	3.5	3.5
YLL013C	3.5	3.5
YLL014W	3.5	3.5
YLL015W	3.5	6.0
YLL019C	3.5	3.5
YLL020C	3.5	3.5
YLL021W	3.5	3.5
YLL023C	3.5	3.5
YLL024C	3.5	3.5
YLL025W	3.5	3.5
YLL026W	3.5	3.5
YLL028W	3.5	3.5
YLL029W	3.5	3.5
YLL032C	3.5	3.5
YLL038C	3.5	3.5
YLL039C	3.5	6.0
YLL040C	3.5	3.5
YLL041C	3.5	3.5
YLL043W	3.5	3.5
YLL045C	3.5	3.5
YLL046C	3.5	3.5
YLL047W	3.5	5.0
YLL051C	3.5	3.5
YLL052C	3.5	3.5
YLL053C	3.5	3.5
YLL054C	3.5	3.5
YLL055W	3.5	3.5
YLL056C	3.5	3.5
YLL057C	3.5	3.5
YLL058W	3.5	3.5
YLL060C	3.5	3.5
YLL061W	3.5	3.5
YLL062C	3.5	3.5
YLL063C	3.5	3.5
YLR001C	3.5	3.5
YLR003C	3.5	3.5
YLR004C	3.5	3.5
YLR011W	3.5	3.5
YLR012C	3.5	3.5
YLR013W	3.5	3.5
YLR014C	3.5	3.5
YLR015W	3.5	3.5
YLR016C	3.5	3.5
YLR017W	3.5	3.5
YLR018C	3.5	3.5
YLR019W	3.5	3.5
YLR020C	3.5	3.5
YLR021W	3.5	3.5
YLR023C	3.5	3.5
YLR024C	3.5	6.0
YLR025W	3.5	3.5
YLR028C	3.5	3.5
YLR042C	3.5	3.5
YLR043C	3.5	3.5
YLR044C	3.5	3.5
YLR046C	3.5	3.5
YLR047C	3.5	3.5
YLR048W	3.5	3.5
YLR049C	3.5	3.5
YLR053C	3.5	3.5
YLR054C	3.5	3.5
YLR055C	3.5	3.5
YLR056W	0.0	3.5
YLR057W	3.5	3.5
YLR058C	3.5	3.5
YLR059C	3.5	3.5
YLR061W	3.5	3.5
YLR062C	3.5	5.0
YLR063W	3.5	3.5
YLR064W	3.5	3.5
YLR065C	3.5	3.5
YLR068W	3.5	3.5
YLR072W	3.5	3.5
YLR073C	3.5	3.5
YLR074C	3.5	6.0
YLR077W	3.5	3.5
YLR079W	3.5	3.5
YLR080W	3.5	3.5
YLR081W	3.5	3.5
YLR082C	3.5	3.5
YLR083C	3.5	3.5
YLR084C	3.5	3.5
YLR085C	3.5	3.5
YLR087C	3.5	3.5
YLR089C	3.5	6.0
YLR090W	3.5	3.5
YLR092W	3.5	3.5
YLR093C	3.5	3.5
YLR094C	3.5	3.5
YLR095C	3.5	3.5
YLR096W	3.5	3.5
YLR097C	3.5	3.5
YLR098C	3.5	3.5
YLR099C	3.5	3.5
YLR102C	3.5	3.5
YLR104W	3.5	3.5
YLR107W	3.5	3.5
YLR108C	3.5	3.5
YLR109W	3.5	3.5
YLR111W	3.5	3.5
YLR112W	3.5	3.5
YLR113W	3.5	3.5
YLR114C	3.5	3.5
YLR118C	3.5	3.5
YLR119W	3.5	3.5
YLR120C	3.5	3.5
YLR121C	3.5	3.5
YLR122C	3.5	3.5
YLR123C	3.5	3.5
YLR124W	3.5	3.5
YLR125W	3.5	5.0
YML089C	3.5	3.5
YML088W	3.5	3.5
YML087C	3.5	3.5
YML084W	3.5	5.0
YML083C	3.5	5.0
YML082W	3.5	3.5
YML081W	3.5	3.5
YML080W	3.5	3.5
YML079W	3.5	3.5
YML078W	3.5	5.0
YML063W	3.5	5.0
YML062C	3.5	3.5
YML060W	3.5	3.5
YML059C	3.5	3.5
YML058W	3.5	3.5
YML057W	3.5	3.5
YML057C-A	3.5	3.5
YML056C	3.5	3.5
YML055W	3.5	3.5
YML054C	3.5	3.5
YML053C	3.5	3.5
YML052W	3.5	3.5
YML051W	3.5	3.5
YML050W	3.5	3.5
YML048W	3.5	3.5
YML047W-A	3.5	3.5
YML037C	3.5	3.5
YML034W	3.5	3.5
YML034C-A	3.5	3.5
YML032C	3.5	3.5
YML030W	3.5	3.5
YML029W	3.5	3.5
YML028W	3.5	3.5
YML026C	3.5	3.5
YML024W	3.5	3.5
YML020W	3.5	3.5
YML019W	3.5	3.5
YML018C	3.5	3.5
YML017W	3.5	3.5
YML016C	3.5	3.5
YML014W	3.5	3.5
YML013W	3.5	3.5
YML012C-A	1.0	3.5
YML012W	3.5	3.5
YML011C	3.5	3.5
YML009W-B	3.5	3.5
YML009C	3.5	3.5
YML008C	3.5	3.5
YML007W	3.5	3.5
YML006C	3.5	5.0
YML005W	3.5	3.5
YML004C	3.5	3.5
YML003W	3.5	3.5
YML002W	3.5	3.5
YMR002W	3.5	3.5
YMR003W	3.5	3.5
YMR006C	3.5	3.5
YMR007W	3.5	3.5
YMR008C	3.5	3.5
YMR009W	3.5	3.5
YMR010W	3.5	3.5
YMR011W	3.5	3.5
YMR012W	3.5	3.5
YMR014W	3.5	3.5
YMR016C	3.5	3.5
YMR017W	3.5	3.5
YMR018W	3.5	3.5
YMR019W	3.5	3.5
YMR020W	3.5	3.5
YMR022W	3.5	3.5
YMR023C	3.5	3.5
YMR024W	3.5	3.5
YMR025W	3.5	5.0
YMR026C	3.5	3.5
YMR027W	3.5	3.5
YMR029C	3.5	3.5
YMR030W	3.5	3.5
YMR031W-A	3.5	3.5
YMR031C	3.5	3.5
YMR032W	3.5	3.5
YMR034C	3.5	3.5
YMR036C	3.5	3.5
YMR039C	3.5	3.5
YMR040W	3.5	3.5
YMR041C	3.5	3.5
YMR042W	3.5	3.5
YMR044W	3.5	3.5
YMR140W	3.5	6.0
YMR141C	3.5	5.0
YMR143W	3.5	5.0
YMR144W	3.5	3.5
YMR145C	3.5	3.5
YMR147W	3.5	3.5
YMR148W	3.5	3.5
YMR153W	3.5	3.5
YMR153C-A	3.5	3.5
YMR155W	3.5	3.5
YMR156C	3.5	3.5
YMR157C	3.5	3.5
YMR158W-B	3.5	3.5
YMR159C	3.5	3.5
YMR160W	3.5	3.5
YMR161W	3.5	3.5
YMR162C	3.5	3.5
YMR163C	3.5	3.5
YMR164C	3.5	5.0
YMR166C	3.5	3.5
YMR167W	3.5	3.5
YMR169C	3.5	3.5
YMR170C	3.5	3.5
YMR172C-A	3.5	3.5
YMR173W-A	3.5	3.5
YMR174C	3.5	3.5
YMR175W	3.5	3.5
YMR176W	3.5	3.5
YMR177W	3.5	3.5
YMR178W	3.5	3.5
YMR179W	3.5	3.5
YMR180C	3.5	3.5
YMR182C	3.5	3.5
YMR183C	3.5	3.5
YMR184W	3.5	3.5
YMR185W	3.5	3.5
YMR186W	3.5	3.5
YMR187C	3.5	3.5
YMR188C	3.5	3.5
YMR189W	3.5	3.5
YMR190C	3.5	3.5
YMR192W	3.5	3.5
YMR194W	3.5	3.5
YMR193C-A	3.5	3.5
YMR195W	3.5	3.5
YMR196W	3.5	3.5
YMR198W	0.0	3.5
YMR199W	3.5	3.5
YMR201C	3.5	3.5
YMR202W	1.0	3.5
YMR204C	3.5	3.5
YMR205C	0.0	3.5
YMR206W	3.5	3.5
YMR207C	3.5	3.5
YMR210W	3.5	3.5
YMR214W	3.5	3.5
YMR215W	3.5	3.5
YMR216C	3.5	3.5
YMR219W	3.5	3.5
YMR221C	3.5	3.5
YMR222C	3.5	3.5
YMR223W	3.5	3.5
YMR224C	1.0	3.5
YMR225C	3.5	3.5
YMR226C	3.5	3.5
YMR230W	3.5	3.5
YMR232W	3.5	3.5
YMR233W	3.5	3.5
YMR234W	3.5	3.5
YMR237W	3.5	3.5
YMR238W	3.5	3.5
YMR241W	3.5	3.5
YMR242C	3.5	3.5
YMR243C	3.5	3.5
YMR244W	3.5	3.5
YMR245W	3.5	3.5
YMR244C-A	3.5	3.5
YMR246W	3.5	3.5
YMR247C	3.5	3.5
YMR250W	3.5	3.5
YMR251W	3.5	3.5
YMR251W-A	3.5	3.5
YMR252C	3.5	3.5
YMR253C	3.5	3.5
YMR254C	3.5	3.5
YMR255W	3.5	3.5
YMR258C	3.5	3.5
YMR259C	3.5	3.5
YMR261C	3.5	3.5
YMR262W	3.5	3.5
