ORF	hom | growth (relative abundance in pooled culture) | YPGal, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | YPGal, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Lys, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Trp, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Thr, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | standard | YPD | Giaever G~Johnston M, 2002	hom | cell size | standard | YPAD | Giaever G~Johnston M, 2002	hom | elongated cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | round cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | clumped cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | football cell shape | standard | YPAD | Giaever G~Johnston M, 2002
YAL002W	-32.693	5.029	-16.207	-7.336	32.627	0.700	5.609	-1.852	-1.462	-3.860	-237.284	-59.263	0.135	0.848	4.292	-1.906	0.000	0.000	0.000	0.000	0.000	0.000
YAL004W	-2.725	4.471	-3.278	-46.123	-23.488	-3.093	-1.130	2.402	0.168	2.883	0.507	2.530	3.582	3.421	5.179	-1.715	0.000	0.000	0.000	0.000	0.000	0.000
YAL005C	-1.686	-1.920	-2.191	-0.105	-2.286	-0.132	0.338	-2.695	-0.520	-0.733	2.027	0.203	0.481	0.692	0.073	1.107	0.000	0.000	0.000	0.000	0.000	0.000
YAL007C	0.077	-2.841	-1.996	-4.412	-1.079	0.188	0.681	-2.743	2.416	0.053	-0.002	-0.017	0.771	1.262	-2.487	2.721	0.000	0.000	0.000	0.000	0.000	0.000
YAL008W	0.871	0.990	-2.301	-14.160	-9.157	-1.377	0.459	-14.712	-5.782	-8.503	1.675	1.638	0.551	0.500	-1.121	2.391	0.000	0.000	0.000	0.000	0.000	0.000
YAL009W	0.163	3.107	0.164	-0.247	-10.823	1.391	0.228	-7.999	1.014	-1.264	-0.013	1.501	1.777	-0.215	-0.549	-1.640	0.000	2.000	0.000	3.000	0.000	0.000
YAL010C	1.590	0.863	1.409	0.558	0.411	-0.010	-0.333	-0.182	-0.208	-0.229	1.800	-0.192	-0.190	-0.174	-0.178	-0.211	-3.800	0.000	0.000	0.000	0.000	0.000
YAL011W	-4.863	0.135	-0.081	-31.748	-131.481	-1.489	-0.117	-77.653	-10.465	-2.548	-49.912	-27.245	0.744	0.965	1.637	-1.886	0.000	2.000	2.000	0.000	0.000	0.000
YAL012W	-21.029	0.825	-21.237	13.399	-7.276	-21.011	14.330	-20.226	8.926	-7.260	-9.761	-4.504	-9.092	-9.022	-3.036	-2.367	0.000	0.000	0.000	0.000	0.000	0.000
YAL013W	0.352	1.946	7.557	27.774	-0.798	1.707	1.721	2.580	9.958	0.421	0.441	0.234	2.754	1.717	3.522	2.184	0.000	0.000	0.000	2.000	0.000	0.000
YAL014C	-0.168	-1.647	0.302	-6.104	-4.377	-0.779	-2.568	2.486	-1.306	1.357	-4.768	1.558	0.226	0.200	-1.725	3.001	0.000	0.000	0.000	0.000	0.000	0.000
YAL015C	-0.038	1.145	-0.444	-7.986	-3.364	1.270	-2.399	-0.812	-0.957	-1.642	0.088	1.487	2.354	2.273	-2.562	-0.534	0.000	0.000	0.000	0.000	0.000	0.000
YAL016W	0.566	0.665	-2.943	57.898	14.032	1.160	-1.538	5.663	2.519	4.120	0.568	-1.516	1.505	1.038	1.413	-0.352	-9.500	0.000	0.000	0.000	0.000	0.000
YAL017W	1.305	-0.579	0.033	-4.096	0.172	2.990	-1.778	2.572	0.012	2.874	-0.702	-0.170	3.196	-0.533	3.911	-1.975	0.000	0.000	0.000	0.000	0.000	0.000
YAL018C	1.647	2.615	1.855	-11.753	-2.740	1.852	-0.741	-0.243	-0.189	-0.145	1.410	2.567	2.424	2.124	2.739	1.471	0.000	0.000	0.000	0.000	0.000	0.000
YAL019W	-0.225	-7.302	-0.231	-5.115	0.085	0.110	-11.697	-0.248	1.724	-3.594	-1.423	0.037	1.070	-1.664	1.648	-0.574	0.000	0.000	0.000	0.000	0.000	0.000
YAL020C	0.789	-3.056	-0.371	0.269	1.138	0.793	-7.474	0.691	1.254	0.153	-0.816	-2.239	-2.190	-1.881	0.024	2.258	0.000	0.000	0.000	0.000	0.000	0.000
YAL021C	2.692	-0.362	-5.626	1.356	-7.614	-1.456	-1.560	-6.698	-0.336	-4.462	-5.980	-6.799	-1.133	-0.573	0.251	-1.668	-3.100	0.000	0.000	3.000	0.000	0.000
YAL022C	-0.719	-2.489	-1.097	0.450	-1.242	1.953	-17.554	-0.185	1.620	2.316	0.979	2.676	1.706	2.129	2.587	1.364	0.000	0.000	0.000	0.000	0.000	0.000
YAL023C	-1.516	12.483	1.415	39.707	0.485	0.675	2.246	-0.744	3.388	-0.076	-0.097	0.052	0.616	-0.742	0.467	0.776	-6.300	-2.000	0.000	2.000	0.000	0.000
YAL024C	-9.385	6.729	2.927	0.822	-136.195	2.820	-0.477	-8.237	0.507	2.229	0.092	1.652	-4.197	-16.468	-0.502	-0.032	0.000	0.000	2.000	0.000	0.000	0.000
YAL026C	-0.556	-91.820	-52.438	-50.435	-179.271	2.227	-57.489	-103.287	-35.906	-70.523	-39.317	-11.181	-1.737	0.284	-0.489	-2.513	0.000	0.000	2.000	0.000	0.000	0.000
YAL027W	0.075	-0.553	-1.415	0.652	-1.271	0.030	-19.415	-2.979	-0.511	-2.617	-1.502	-1.327	0.608	-0.340	0.060	-1.039	0.000	0.000	0.000	0.000	0.000	0.000
YAL028W	-0.032	0.807	0.085	0.329	-3.933	2.590	-9.373	2.492	1.597	-0.032	1.173	-2.333	0.143	0.348	-2.371	2.261	0.000	0.000	0.000	0.000	0.000	0.000
YAL029C	-1.203	0.045	1.357	-6.615	-11.134	1.518	-1.653	-1.595	-1.389	1.037	0.161	0.062	-1.855	-1.972	-1.718	-2.101	0.000	0.000	0.000	0.000	0.000	0.000
YAL030W	-0.035	-1.339	-0.045	-2.618	-6.529	-0.404	-1.514	0.213	-3.502	0.469	0.010	-2.569	0.161	0.452	-1.880	2.269	0.000	0.000	0.000	0.000	0.000	0.000
YAL031C	1.687	15.609	0.862	-18.691	-15.805	0.728	-0.707	0.123	-3.791	6.230	-0.897	-1.655	-0.533	0.648	3.021	-2.639	0.000	0.000	0.000	0.000	0.000	0.000
YAL034C	1.159	-0.629	0.719	-15.786	-7.059	1.214	1.113	-6.347	-5.278	-0.544	0.302	1.988	-2.210	1.880	0.008	1.201	0.000	0.000	0.000	0.000	0.000	0.000
YAL035W	-1.064	1.152	0.546	5.600	0.961	-0.090	-0.359	-0.229	-0.225	-0.272	-2.239	-0.162	-0.085	-0.045	-0.064	0.002	-5.200	0.000	0.000	0.000	0.000	0.000
YAL036C	-0.859	-1.217	0.009	-2.049	-1.074	1.412	-7.475	1.762	0.804	2.084	1.893	2.494	1.788	1.683	2.093	1.057	0.000	0.000	0.000	0.000	0.000	0.000
YAL037W	1.503	-0.409	-0.149	-6.205	-2.858	2.714	0.573	0.569	-0.431	-0.253	-2.383	0.005	0.982	-1.220	-0.619	1.830	0.000	0.000	0.000	0.000	0.000	0.000
YAL039C	-101.837	-0.980	-23.797	-1.202	-1.132	-0.437	-2.413	-0.408	0.895	-2.826	-2.048	-2.284	0.195	0.023	-1.453	1.935	0.000	0.000	0.000	0.000	0.000	0.000
YAL040C	-1.406	-0.266	0.889	-17.148	-92.930	1.532	-0.926	-36.738	-7.906	-5.214	-16.084	-12.378	-0.836	-0.257	-3.271	-0.515	0.000	3.000	0.000	0.000	0.000	0.000
YAL042C-A	-0.593	-37.154	1.257	-9.819	-2.715	-2.725	-22.615	1.819	0.846	-14.879	1.074	2.004	-1.667	-1.532	-1.086	-1.695	0.000	0.000	0.000	0.000	0.000	0.000
YAL042W	-2.015	-5.990	1.769	-4.069	-1.118	1.915	-6.781	1.086	-0.066	-0.794	-0.389	1.267	0.017	-2.092	-1.975	2.230	0.000	0.000	0.000	0.000	0.000	0.000
YAL044C	-1.487	1.866	-1.993	19.087	-1.055	0.639	-3.516	1.611	0.099	-1.176	1.289	-2.808	-0.306	-0.844	-0.798	3.021	0.000	0.000	0.000	0.000	0.000	2.000
YAL045C	-2.901	2.248	-0.754	-13.450	-7.891	2.469	-1.363	-0.905	-1.864	1.716	3.051	-0.042	-0.404	0.123	-2.277	1.173	0.000	2.000	0.000	0.000	0.000	0.000
YAL046C	-1.539	-0.721	-1.768	18.639	3.762	-0.928	-2.997	1.846	-0.525	0.074	1.065	-2.312	1.314	-0.257	0.021	-0.468	0.000	0.000	0.000	0.000	0.000	0.000
YAL047C	0.503	-2.637	-0.029	31.633	5.939	-0.360	-1.652	2.331	10.407	1.826	-0.236	0.193	-1.324	-1.377	-1.576	-2.200	-11.400	0.000	2.000	2.000	0.000	0.000
YAL048C	-1.094	2.420	-2.111	17.744	7.060	1.273	-1.598	9.296	1.320	4.445	0.179	2.415	13.557	18.608	11.707	5.651	0.000	0.000	0.000	0.000	0.000	0.000
YAL049C	-1.685	-1.240	-0.507	-11.821	-2.990	2.232	0.462	0.882	0.978	0.753	-2.011	-1.720	-1.342	-1.619	-1.650	-1.895	0.000	0.000	0.000	0.000	0.000	0.000
YAL051W	-2.329	0.625	-0.149	-1.905	-4.337	-1.369	-0.894	0.230	-3.544	-1.414	2.072	-0.026	-0.573	-0.050	0.194	1.841	0.000	0.000	0.000	0.000	0.000	0.000
YAL053W	-4.803	-0.663	-1.506	-10.747	-374.499	1.929	-2.700	-99.115	-3.080	0.751	-2.556	0.182	-2.299	-2.334	-2.341	-2.828	0.000	0.000	0.000	0.000	0.000	0.000
YAL054C	-0.633	1.000	-0.166	-22.613	-4.150	1.383	-2.124	0.220	-4.465	0.405	1.710	-0.544	-6.104	-10.693	-7.783	-7.941	0.000	0.000	0.000	0.000	0.000	0.000
YAL055W	-1.956	1.597	-0.895	0.178	-26.770	1.651	-7.749	1.352	1.838	2.476	-0.028	-2.953	-0.873	-2.885	-0.415	1.275	0.000	0.000	0.000	0.000	0.000	0.000
YAL056C-A	-0.145	18.904	-2.681	-14.851	-85.434	2.800	-0.264	-25.604	-3.281	-1.454	-117.024	-40.201	-5.403	-8.275	-12.418	-6.138	0.000	-3.000	0.000	3.000	0.000	0.000
YAL056W	-1.492	-1.590	-2.568	18.217	2.059	-0.715	1.696	0.399	0.171	-0.599	1.293	-1.625	-0.887	-0.935	-0.884	-1.492	0.000	0.000	0.000	0.000	0.000	0.000
YAL058W	-2.354	8.274	-0.403	-0.758	-17.172	1.646	0.511	-10.763	0.457	0.814	-23.670	-12.083	1.482	0.122	-0.898	-1.544	0.000	-2.000	0.000	0.000	0.000	0.000
YAL059W	-3.034	-2.381	1.043	-1.943	-37.238	-2.954	2.183	-14.944	1.675	1.281	-0.262	0.110	-0.575	2.381	2.404	1.486	0.000	0.000	0.000	0.000	0.000	0.000
YAL060W	-1.154	0.111	0.516	-3.314	-3.104	2.393	-1.091	0.876	-1.979	2.762	0.026	-2.986	-0.308	0.119	-2.750	2.642	0.000	0.000	0.000	0.000	0.000	0.000
YAL061W	-1.420	-1.874	0.238	0.044	-9.298	1.898	-1.783	1.252	1.020	0.894	1.303	-0.002	2.139	0.103	-2.294	2.448	0.000	0.000	0.000	0.000	0.000	0.000
YAL062W	-1.458	0.519	0.244	-3.402	-6.513	0.198	0.670	1.695	-0.269	0.397	1.314	2.196	1.242	1.881	1.767	0.972	0.000	0.000	0.000	0.000	0.000	0.000
YAL064C-A	1.943	10.871	-2.582	-36.847	-6.274	1.889	-0.260	2.060	-2.316	1.149	-1.475	2.258	1.466	-0.034	0.663	0.062	0.000	0.000	0.000	0.000	0.000	0.000
YAL065C	0.912	-2.072	0.873	-12.094	-6.707	1.504	-2.918	-8.786	-2.224	-2.031	-0.801	1.620	7.797	4.317	4.770	6.078	0.000	0.000	0.000	0.000	0.000	0.000
YAL066W	-0.224	-2.122	-1.283	-0.194	0.010	1.886	-6.916	1.099	1.886	1.696	0.758	-9.877	-6.699	-0.263	-1.688	-5.392	0.000	0.000	0.000	0.000	0.000	0.000
YAL067C	-0.986	3.400	-1.871	-35.210	-19.695	2.086	1.789	-2.473	-2.252	-2.234	0.065	-0.032	-1.238	-1.087	-1.210	1.226	0.000	0.000	0.000	0.000	0.000	0.000
YAL068C	-0.192	4.492	-1.113	-32.161	-84.889	0.089	5.026	-16.428	-13.138	0.476	-0.515	0.467	2.086	1.433	1.062	-0.078	0.000	0.000	0.000	0.000	0.000	0.000
YAR002C-A	0.028	3.328	-1.402	-11.834	0.781	2.023	0.753	0.376	-3.948	-0.257	-5.606	-3.113	-7.426	-8.041	-8.060	-6.536	0.000	0.000	0.000	0.000	0.000	0.000
YAR002W	-0.445	34.106	27.672	16.445	4.575	-0.173	6.755	0.115	-0.881	-0.878	-2.069	1.847	-1.506	-0.134	0.067	0.032	-3.000	2.000	0.000	0.000	0.000	0.000
YAR003W	2.640	2.032	-5.831	-37.723	-174.482	-2.457	1.148	-12.746	-0.103	-0.307	-10.502	0.426	0.021	-0.109	0.219	1.463	0.000	0.000	0.000	0.000	0.000	0.000
YAR014C	-9.897	0.747	-3.679	-1.519	-0.418	1.705	0.644	1.904	1.051	-1.132	-26.874	-6.115	0.563	1.117	1.727	1.665	0.000	0.000	3.000	0.000	0.000	0.000
YAR015W	-0.002	13.014	-1.292	5.424	-1.309	-0.351	5.477	0.109	1.486	-0.600	-0.007	-0.267	0.431	0.177	0.144	-0.109	0.000	0.000	0.000	0.000	0.000	0.000
YAR018C	-3.426	1.444	-4.049	-2.932	-12.517	1.328	0.206	-3.173	-1.614	-1.737	-24.471	-3.803	1.040	0.374	1.000	-0.248	0.000	0.000	0.000	0.000	0.000	0.000
YAR020C	-1.207	-13.439	0.463	-18.222	-5.540	0.273	-14.165	-1.863	-1.954	-0.021	3.484	-2.841	-0.165	0.019	-1.334	2.686	0.000	0.000	0.000	0.000	0.000	0.000
YAR023C	-0.809	-0.277	0.825	-17.587	-6.727	0.361	0.167	-0.192	-1.601	0.306	-0.941	-0.020	0.218	0.006	-2.136	2.869	0.000	0.000	0.000	0.000	0.000	0.000
YAR027W	-2.018	-2.543	1.361	-45.120	-22.580	0.527	-2.766	1.243	0.557	2.290	-10.043	1.308	0.479	0.253	-1.041	-3.444	0.000	0.000	0.000	0.000	0.000	0.000
YAR028W	-0.686	9.578	-1.517	-49.821	-8.056	2.820	1.958	0.984	-0.025	2.862	2.049	-0.551	0.198	0.046	1.974	-1.996	0.000	0.000	0.000	0.000	0.000	0.000
YAR029W	-1.263	-2.660	-2.163	-1.293	-1.082	-0.158	0.778	-2.171	-0.132	-1.964	0.006	-1.967	0.121	-1.886	-1.742	-2.001	0.000	0.000	0.000	0.000	0.000	0.000
YAR030C	-0.246	-2.086	0.407	-15.657	-5.370	0.081	-2.160	-2.836	1.287	-1.051	-0.032	-2.266	0.787	-1.664	-0.860	-2.426	0.000	0.000	0.000	0.000	0.000	0.000
YAR031W	-0.130	0.090	0.114	-56.985	-8.523	-3.372	0.608	-2.056	-5.181	-1.766	-0.916	-3.068	1.706	-0.190	0.696	-1.796	0.000	3.000	0.000	0.000	0.000	0.000
YAR035W	-4.616	-2.534	0.617	-31.406	-8.816	2.241	-2.241	1.351	0.238	-0.141	-3.525	-1.211	-0.628	0.169	0.679	-1.346	0.000	2.000	0.000	0.000	0.000	0.000
YAR037W	-2.058	6.128	1.981	-28.014	-8.587	3.277	1.856	2.326	-0.676	9.277	2.059	-2.907	0.060	0.204	-1.380	-0.213	0.000	0.000	0.000	0.000	0.000	0.000
YAR040C	2.665	2.223	1.318	-30.119	-2.493	3.742	-2.252	1.741	-1.303	2.981	-1.875	-1.177	1.131	0.605	2.151	-1.711	0.000	0.000	0.000	0.000	0.000	0.000
YAR042W	-0.182	7.107	-0.734	-26.538	-1.737	-1.874	1.989	-0.157	0.687	2.816	0.187	-0.018	4.154	3.230	5.526	0.066	0.000	0.000	0.000	0.000	0.000	0.000
YAR043C	-0.057	-1.946	2.734	-2.077	-5.493	1.266	-0.002	-0.207	0.636	-0.641	-12.177	-0.239	1.030	1.186	1.207	0.952	0.000	0.000	0.000	0.000	0.000	0.000
YAR047C	-1.824	-6.224	-0.067	-38.247	-10.330	2.448	-4.553	1.119	-0.004	1.660	-3.355	-2.713	0.430	-2.005	-1.993	2.150	0.000	0.000	0.000	0.000	0.000	0.000
YAR050W	-1.680	-4.978	-0.993	-28.972	-12.807	1.239	-1.720	-0.163	-6.173	-0.416	-3.822	1.386	-4.258	-3.098	-2.721	-7.852	0.000	0.000	0.000	0.000	0.000	0.000
YBL001C	2.224	-0.741	-0.161	-17.040	0.388	0.109	-0.844	1.138	-2.705	-0.151	1.161	-2.285	-1.424	0.023	0.152	-0.139	0.000	0.000	0.000	0.000	0.000	0.000
YBL002W	-1.338	2.690	2.436	-35.555	-0.375	0.564	-1.246	-0.927	-1.369	1.061	-7.566	-1.133	-4.846	-3.131	-4.092	-10.165	0.000	0.000	0.000	0.000	0.000	0.000
YBL003C	-2.600	2.351	-2.413	-37.101	-13.276	-2.770	-1.688	0.506	1.033	-0.162	0.307	-8.995	-20.784	-16.988	-15.191	-18.702	0.000	0.000	0.000	0.000	0.000	2.000
YBL005W	0.307	-0.525	-0.071	-38.109	-9.661	-1.270	0.922	-1.589	-1.847	0.796	-1.540	2.092	0.569	0.472	1.504	-0.947	0.000	0.000	0.000	0.000	0.000	0.000
YBL006C	-1.541	-3.634	-3.277	-28.053	-29.479	-2.164	-2.213	-39.146	-10.056	-3.063	-31.578	-25.916	-1.899	-3.562	-3.464	-1.733	0.000	2.000	0.000	0.000	0.000	0.000
YBL007C	1.362	8.275	2.185	-6.373	-1.725	-7.516	22.028	-16.747	-11.848	-4.072	1.483	-13.278	-13.648	-14.735	-2.316	-2.518	0.000	0.000	0.000	3.000	0.000	0.000
YBL008W	0.357	-40.510	1.880	-118.225	-47.484	0.213	-1.842	1.099	-3.686	2.618	-5.384	-5.760	-4.251	-5.693	-5.706	-7.012	0.000	0.000	0.000	0.000	0.000	0.000
YBL009W	0.536	7.777	-2.701	-67.642	-18.577	0.118	-0.999	1.754	-0.727	0.945	-1.510	-1.176	-1.294	0.687	-1.077	1.895	0.000	0.000	0.000	0.000	0.000	0.000
YBL010C	-1.326	-89.821	-3.078	-21.300	-71.474	-2.969	-4.315	-0.966	-0.090	-6.079	-1.584	-5.528	-5.325	-7.263	-5.143	-6.537	0.000	0.000	0.000	0.000	0.000	0.000
YBL011W	-1.980	6.351	-18.430	-25.220	-64.586	2.986	1.041	-16.191	-8.335	-10.060	3.107	-2.375	-1.776	-0.143	-0.030	1.621	0.000	0.000	0.000	0.000	0.000	0.000
YBL012C	-2.664	1.671	-18.987	-40.984	-26.014	0.092	1.171	-1.543	-0.504	-1.033	-2.450	-2.029	2.375	2.658	2.755	2.632	0.000	0.000	0.000	0.000	0.000	0.000
YBL013W	0.531	-3.626	-3.046	-19.856	-4.650	1.564	-1.340	-21.981	-11.821	-16.534	-1.544	0.052	5.130	-1.476	-0.916	-8.456	0.000	0.000	0.000	0.000	0.000	0.000
YBL015W	2.871	-1.555	-0.551	-16.171	-4.240	0.881	-1.855	0.052	-0.761	0.701	1.616	-2.495	-1.042	-1.407	-0.777	-2.452	0.000	0.000	0.000	0.000	0.000	0.000
YBL017C	2.171	-0.312	-0.056	-15.790	-10.770	-1.499	-2.945	-1.200	-3.028	0.201	-8.204	2.387	1.520	2.118	-0.088	1.259	0.000	0.000	0.000	0.000	0.000	0.000
YBL019W	-1.533	3.497	-3.170	-7.518	-5.029	2.379	-1.734	1.730	0.829	-0.140	1.078	-6.995	-17.511	-19.070	-15.796	-17.399	0.000	0.000	0.000	0.000	0.000	0.000
YBL021C	-1.792	0.673	1.250	-5.782	3.703	0.184	1.457	-1.099	-1.023	0.282	0.129	-0.588	-5.138	-5.532	-3.518	-3.561	0.000	-2.000	0.000	0.000	0.000	0.000
YBL022C	-0.734	0.037	-0.206	-0.760	-57.056	0.111	-0.132	-7.307	-0.080	-0.965	-6.022	0.243	-0.690	-0.650	-1.419	-0.702	0.000	0.000	3.000	0.000	3.000	0.000
YBL024W	-0.126	-0.412	-2.343	-1.351	28.789	-0.222	-1.017	-1.439	2.179	-0.345	1.168	-0.166	0.826	-1.880	-1.866	0.130	0.000	0.000	0.000	0.000	0.000	0.000
YBL027W	-1.553	1.274	-2.234	2.134	-5.806	-1.237	-1.803	-0.378	2.161	-1.473	-0.973	-0.883	-12.587	-0.713	-19.037	-7.354	-3.400	0.000	0.000	0.000	0.000	0.000
YBL028C	1.915	1.327	-0.693	-21.744	0.405	0.324	0.305	-2.658	-1.102	0.751	-8.880	-1.217	-7.388	-5.330	-3.700	-5.299	0.000	0.000	0.000	0.000	0.000	0.000
YBL029W	0.708	3.166	-0.262	-50.273	-12.792	-0.785	1.074	-2.392	-9.127	0.896	-11.485	-1.050	-6.171	-3.067	-0.276	-3.809	0.000	0.000	0.000	0.000	0.000	0.000
YBL031W	3.296	19.145	-0.847	-14.447	-293.030	-1.510	0.804	-5.751	-0.353	3.894	-28.454	-2.938	-0.076	-3.212	-0.157	-0.751	0.000	0.000	0.000	0.000	0.000	0.000
YBL032W	-1.132	3.239	-2.315	-8.660	0.172	-2.767	0.713	-0.308	-1.169	1.849	-1.192	-2.065	0.083	-1.024	-0.901	0.073	0.000	0.000	3.000	0.000	0.000	0.000
YBL033C	2.197	1.580	3.010	38.236	4.553	-1.295	1.631	0.349	0.099	0.126	0.256	-0.404	2.060	1.141	1.731	1.358	-10.300	3.000	2.000	2.000	0.000	0.000
YBL036C	0.568	6.595	0.212	-10.445	-4.024	1.505	3.835	2.970	-1.135	9.003	-2.324	6.308	1.309	1.575	1.510	-11.529	0.000	0.000	0.000	0.000	0.000	0.000
YBL037W	2.459	-0.003	-0.927	-18.799	-137.979	2.439	-0.205	-4.201	-2.113	0.207	1.910	-0.109	1.120	-0.045	0.020	0.342	0.000	-2.000	0.000	0.000	0.000	0.000
YBL038W	-4.269	21.217	-5.078	62.331	23.489	-4.823	14.543	0.606	0.770	-3.407	-1.772	-4.841	-32.120	-28.829	-27.499	-15.220	0.000	-3.000	0.000	0.000	0.000	0.000
YBL039C	12.101	-1.917	-1.026	7.727	-0.340	-0.200	0.354	1.094	2.498	1.719	0.062	-2.460	0.773	-0.155	0.152	0.660	-3.200	0.000	0.000	0.000	0.000	0.000
YBL042C	-2.157	7.107	-0.755	-8.865	-40.897	0.105	1.389	-7.977	-3.792	-0.552	-12.542	-2.866	-0.145	-0.023	0.386	-2.051	0.000	0.000	0.000	0.000	0.000	0.000
YBL043W	-1.575	6.905	-1.217	-4.383	-1.216	-1.827	-5.580	-1.386	1.468	-0.828	-2.231	0.743	-3.119	-0.109	0.304	-2.313	0.000	0.000	0.000	0.000	0.000	0.000
YBL044W	0.232	-1.028	-2.975	-17.994	-0.745	0.053	-5.974	-1.671	-1.072	-1.456	0.520	0.368	-1.112	1.216	-0.912	1.037	0.000	0.000	0.000	0.000	0.000	0.000
YBL045C	-0.002	0.375	0.656	-0.083	0.862	1.282	1.465	0.066	0.713	0.982	1.067	1.315	1.470	1.501	1.490	-0.960	-4.000	0.000	0.000	0.000	0.000	0.000
YBL046W	7.993	1.360	-0.198	-3.735	-124.192	1.251	-0.357	-6.098	0.433	0.708	-11.278	-1.753	-2.125	0.571	-2.013	-2.720	0.000	0.000	0.000	0.000	0.000	0.000
YBL047C	6.741	8.626	16.409	-3.058	52.885	-1.856	5.951	6.278	1.344	4.658	-16.078	-5.615	0.686	0.276	-0.460	0.789	0.000	0.000	0.000	0.000	0.000	0.000
YBL048W	2.406	2.269	-0.323	-35.909	-6.392	0.040	1.666	3.072	-0.699	1.918	-6.452	1.346	-2.653	-2.334	0.260	-3.515	0.000	0.000	0.000	0.000	0.000	0.000
YBL049W	2.684	-51.920	-0.652	-15.366	-9.403	0.168	-1.837	2.909	-2.813	3.865	-1.099	-2.075	-0.808	-0.369	0.119	-2.365	0.000	0.000	0.000	0.000	0.000	0.000
YBL051C	0.133	-22.641	-5.823	-73.153	3.050	2.435	-1.417	0.131	-5.152	-4.587	-34.069	-6.229	-1.205	-0.119	0.442	-0.692	0.000	0.000	0.000	0.000	0.000	0.000
YBL052C	0.956	-15.236	1.622	-17.207	-12.386	0.101	0.033	1.509	-0.263	-4.006	-7.030	-1.860	-0.720	-0.902	-1.085	-1.545	0.000	0.000	0.000	0.000	0.000	0.000
YBL053W	-0.342	9.135	1.085	-20.976	-12.202	-1.613	1.505	-0.354	-5.067	1.040	1.248	1.934	1.359	1.898	1.652	1.368	0.000	0.000	0.000	0.000	0.000	0.000
YBL054W	-2.139	0.731	1.851	-3.830	-1.220	0.132	2.699	2.235	0.323	-0.919	0.736	-1.037	4.100	5.464	3.142	9.127	0.000	0.000	0.000	0.000	0.000	0.000
YBL055C	-1.051	6.363	0.296	-16.041	-2.264	-1.843	-3.090	1.416	-0.657	0.737	0.798	-6.690	-10.311	-12.585	-10.083	-17.644	0.000	0.000	0.000	0.000	0.000	0.000
YBL056W	2.063	2.156	-0.520	-10.699	-2.694	-0.001	3.134	1.974	0.349	1.161	-2.996	-0.159	0.229	-0.098	0.297	-1.107	0.000	0.000	0.000	0.000	0.000	0.000
YBL057C	0.248	1.854	3.138	-11.170	-1.501	-2.878	-0.686	1.584	-0.679	2.457	-2.296	1.402	0.246	-2.546	0.676	-1.850	0.000	0.000	0.000	0.000	0.000	0.000
YBL058W	0.875	2.750	-2.180	34.827	8.405	2.055	-1.065	2.209	0.352	1.645	1.699	-0.819	5.409	8.258	5.903	0.394	-9.100	0.000	3.000	0.000	3.000	0.000
YBL059W	1.847	2.402	-0.718	-46.404	5.006	0.554	-0.809	0.517	-0.091	-0.742	1.331	-1.752	7.185	5.310	5.133	6.870	0.000	0.000	0.000	0.000	0.000	0.000
YBL060W	-0.968	-7.173	2.357	-14.627	-3.326	-1.007	-3.508	-0.746	-0.200	-4.063	-1.680	0.098	1.085	1.586	0.950	-1.909	0.000	0.000	0.000	0.000	0.000	0.000
YBL061C	-0.384	4.716	-0.182	-10.110	-197.359	-0.135	0.713	-25.558	-1.654	0.830	-1.504	-5.022	-3.820	-6.445	-3.746	-4.541	0.000	0.000	0.000	0.000	0.000	0.000
