ORF	hom | growth (relative abundance in pooled culture) | YPGal, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | YPGal, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Lys, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Trp, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Thr, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | standard | YPD | Giaever G~Johnston M, 2002	hom | cell size | standard | YPAD | Giaever G~Johnston M, 2002	hom | elongated cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | round cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | clumped cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | football cell shape | standard | YPAD | Giaever G~Johnston M, 2002
YJL218W	-0.897	2.328	-5.633	-132.485	-24.082	-1.175	-1.171	-9.890	-16.344	1.016	-7.759	-1.094	2.000	-1.066	1.117	-0.170	0.000	0.000	0.000	0.000	0.000	0.000
YJR001W	1.011	-11.655	-40.496	-67.512	-20.057	-2.808	-11.304	-2.561	-4.430	-5.154	-1.356	2.017	-1.383	-2.351	-0.116	-3.873	0.000	2.000	0.000	0.000	0.000	0.000
YJR003C	-2.261	-19.103	2.537	-24.909	-4.464	2.071	-19.329	1.293	-0.331	-6.254	1.029	-1.916	-0.241	-1.600	0.873	-3.593	0.000	0.000	0.000	0.000	0.000	0.000
YJR004C	2.704	-1.885	-1.570	-23.468	-4.949	-0.068	-3.394	0.894	-2.028	0.483	0.456	-0.536	-0.276	1.017	-0.679	-2.304	0.000	0.000	0.000	0.000	0.000	0.000
YJR005W	-1.612	7.721	1.379	-19.247	-297.624	2.409	-0.536	-41.734	-6.534	-1.863	1.535	-4.510	-21.664	-16.706	-17.379	-19.502	0.000	0.000	0.000	0.000	0.000	0.000
YJR008W	1.799	-3.471	-1.054	-11.589	-2.011	0.820	-0.376	0.969	0.928	-2.817	-4.719	-7.411	-17.008	-7.570	-10.857	-14.444	0.000	0.000	0.000	0.000	0.000	0.000
YJR009C	0.069	10.434	0.185	-12.936	14.274	-0.479	5.085	-2.223	1.996	0.706	0.113	-1.252	-0.035	-3.400	0.364	-0.753	0.000	0.000	0.000	0.000	0.000	0.000
YJR010C-A	2.437	-5.564	0.904	3.923	3.343	-0.779	-5.448	2.242	3.069	-8.770	-1.581	-1.150	5.614	7.147	5.604	1.994	0.000	0.000	0.000	0.000	0.000	0.000
YJR010W	-2.385	0.987	-188.344	-9.759	-1.673	1.592	-0.009	2.128	1.657	-0.827	0.126	-2.037	0.043	1.511	-0.033	1.500	0.000	0.000	0.000	0.000	0.000	0.000
YJR011C	-1.456	10.714	3.679	-18.304	3.691	2.360	3.039	-0.469	1.037	2.090	0.132	0.073	0.109	-0.674	-2.754	2.836	0.000	0.000	0.000	0.000	0.000	0.000
YJR014W	2.030	-7.048	1.882	-6.172	-3.956	-0.769	-0.630	-0.217	0.724	0.571	1.188	-0.343	-1.282	-0.657	-1.717	2.274	0.000	0.000	0.000	0.000	0.000	0.000
YJR015W	0.014	10.692	0.315	-32.361	-21.516	2.682	2.125	0.651	-1.518	2.458	6.157	0.838	-1.392	-1.518	-0.011	-1.518	0.000	0.000	0.000	0.000	0.000	0.000
YJR018W	1.507	-1.440	-0.393	11.950	-4.915	-2.906	-1.387	-5.200	-0.260	-2.918	-1.202	0.031	-2.676	-1.797	-3.963	1.471	-3.800	0.000	0.000	0.000	0.000	0.000
YJR019C	-1.660	-0.820	-2.354	-4.504	1.653	1.646	0.848	1.784	0.229	-2.942	1.123	0.455	2.884	4.801	1.529	2.730	0.000	0.000	0.000	0.000	0.000	0.000
YJR020W	-1.469	2.794	0.736	-7.794	-3.686	-2.481	0.277	0.846	-1.050	4.214	-1.811	-3.053	-10.068	-11.479	-8.732	-17.577	0.000	0.000	0.000	0.000	0.000	0.000
YJR021C	0.615	2.898	2.090	-22.818	-1.430	-1.537	-0.310	-0.254	-0.252	-1.360	-0.571	-5.770	-14.041	-13.393	-11.718	-14.339	0.000	0.000	0.000	0.000	0.000	0.000
YJR024C	-2.115	-3.904	2.168	-12.702	-9.232	-2.402	-0.382	0.109	-0.868	-0.548	-3.410	3.160	0.802	1.268	2.222	1.752	0.000	0.000	0.000	0.000	0.000	0.000
YJR025C	1.121	-3.943	3.344	-21.499	-6.495	-2.494	0.597	2.534	0.558	4.226	2.255	1.025	-3.515	-2.779	-2.205	-1.160	0.000	0.000	0.000	0.000	0.000	0.000
YJR026W	-0.133	-42.951	1.203	-14.102	-5.422	-2.939	-86.507	0.943	-2.588	-58.655	1.146	-2.406	-8.127	-5.223	1.685	-3.850	0.000	0.000	0.000	0.000	0.000	0.000
YJR030C	0.181	-0.270	-2.696	16.813	5.639	-0.243	0.450	3.478	2.745	3.013	0.101	0.420	2.397	4.999	4.377	1.798	0.000	0.000	0.000	0.000	0.000	0.000
YJR031C	0.593	-1.957	-6.423	-34.024	-11.418	2.426	-0.134	-1.648	-2.220	-2.193	0.352	-3.591	0.142	-0.310	-1.359	-12.666	0.000	-2.000	0.000	0.000	0.000	0.000
YJR032W	-0.250	1.102	-1.105	2.173	-0.104	0.615	2.695	2.001	3.262	5.223	-1.855	-0.003	0.493	0.046	0.749	-1.015	-6.000	0.000	0.000	0.000	0.000	0.000
YJR033C	-57.862	1.166	-8.453	8.100	-59.364	-7.521	2.184	-12.375	0.693	-2.510	-0.555	-0.073	0.928	1.341	1.057	1.569	0.000	-2.000	0.000	0.000	0.000	0.000
YJR034W	-0.242	0.423	0.049	24.337	5.970	-0.625	-0.233	2.846	2.625	1.953	-1.697	0.266	1.211	-0.086	0.128	4.053	-4.600	NaN	NaN	NaN	NaN	NaN
YJR035W	0.559	26.876	2.005	-42.122	-22.529	0.295	5.362	1.289	-3.764	3.915	-7.316	1.295	-2.635	-1.389	-3.517	-2.397	0.000	0.000	0.000	0.000	0.000	0.000
YJR036C	1.062	2.345	-20.865	-46.980	-19.756	2.338	1.740	-6.321	-15.621	-9.437	-2.176	-2.316	-1.569	-1.861	-1.947	-2.261	0.000	0.000	0.000	0.000	0.000	0.000
YJR037W	1.077	6.580	-3.079	-27.849	-4.047	-1.200	0.141	0.470	-1.316	3.258	-3.457	-1.799	-3.388	-3.117	-6.083	-2.903	0.000	0.000	0.000	0.000	0.000	0.000
YJR038C	-0.797	-11.523	-1.632	-17.222	-5.580	2.548	-14.029	0.194	0.251	-2.329	-0.145	-6.151	-8.438	-10.365	-11.546	-3.484	0.000	0.000	0.000	0.000	0.000	0.000
YJR039W	1.922	-2.142	-3.121	-14.336	-2.162	3.406	0.445	-2.439	-0.149	-0.275	-1.626	1.684	0.864	0.543	-4.356	0.750	0.000	NaN	NaN	NaN	NaN	NaN
YJR040W	-211.305	10.156	-328.117	-1.232	-136.454	-19.562	-1.088	-17.287	-0.972	-13.659	-68.196	-20.315	0.070	2.752	0.045	-2.994	0.000	0.000	0.000	0.000	0.000	0.000
YJR043C	16.563	27.023	0.274	-21.689	-28.987	-0.801	2.108	-5.110	-2.229	0.268	-59.331	-21.262	0.445	-3.213	-2.252	1.510	0.000	0.000	0.000	0.000	0.000	0.000
YJR044C	2.030	-18.099	2.999	-16.426	4.823	-0.991	-5.285	0.946	2.901	-6.541	1.976	2.023	3.032	5.664	3.716	6.662	0.000	NaN	NaN	NaN	NaN	NaN
YJR047C	0.124	1.436	-0.183	-21.325	-23.715	2.663	1.062	-5.448	-3.334	-4.380	-1.809	-2.749	-0.001	-2.292	-2.051	-2.748	0.000	0.000	0.000	0.000	0.000	0.000
YJR048W	0.423	2.951	-2.121	-38.761	-17.411	-0.739	2.359	-14.581	14.289	-3.768	2.418	-0.314	1.988	4.094	2.192	0.142	0.000	0.000	0.000	0.000	0.000	0.000
YJR049C	2.432	0.602	-12.772	-1.658	-4.224	2.384	1.762	-8.212	-1.355	-3.237	1.655	-1.452	1.555	1.344	-0.189	0.063	0.000	0.000	0.000	0.000	0.000	0.000
YJR050W	1.570	-21.819	8.893	-24.564	3.590	-1.568	-2.784	-0.942	-0.786	1.461	-1.622	-1.534	1.858	2.013	-1.910	1.901	0.000	0.000	0.000	0.000	0.000	0.000
