orf	hom | growth (relative abundance in pooled culture) | YPGal, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | YPGal, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | glucitol [1.5 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | pH [8], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | sodium chloride [1 M], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SD + His + Leu + Ura, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [15 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | nystatin [10 uM], time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Lys, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Trp, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | SC -Thr, time [5 gen] | YPD | Giaever G~Johnston M, 2002	hom | growth (relative abundance in pooled culture) | standard | YPD | Giaever G~Johnston M, 2002	hom | cell size | standard | YPAD | Giaever G~Johnston M, 2002	hom | elongated cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | round cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | football cell shape | standard | YPAD | Giaever G~Johnston M, 2002	hom | clumped cell shape | standard | YPAD | Giaever G~Johnston M, 2002
YKL116C	-1.124821	0.5784410000000002	2.717201	-36.07956949999999	-3.849918	-4.793763	0.13106549999999983	2.2493355	-0.7153420000000001	3.092685	0.13027149999999998	0.03061750000000002	6.6070945	4.441094	5.992143	0.632121	0.0	0.0	0.0	0.0	0.0	0.0
YKL117W	1.3507025	-2.646669	2.628643	-7.9540370000000005	-8.284483	0.02515349999999994	2.1841135	-0.6517595	0.10005900000000012	1.491625	0.014176500000000036	1.1966925	0.239703	0.26296549999999996	-0.33963299999999996	-3.14131	0.0	0.0	0.0	0.0	0.0	0.0
YKL118W	-0.09273149999999997	1.767734	1.9768065	8.677893000000001	3.996024	0.697559	-0.8755545	0.03859849999999998	0.18389650000000002	0.522729	-0.21274000000000004	-1.127875	-0.38385149999999996	0.601205	-1.6750099999999999	1.398758	-7.7	0.0	0.0	0.0	0.0	0.0
YKL119C	2.4780115	-0.06254150000000003	2.3378375	7.2057395	0.26619950000000014	-0.09194999999999998	-2.3390105	1.77846	0.44182049999999995	-0.8796584999999999	-1.699303	-1.9044634999999999	0.13166199999999995	-0.7346149999999998	0.8984099999999999	-1.7911599999999999	-5.5	0.0	0.0	2.0	0.0	0.0
YKL120W	1.955344	0.4257440000000001	-0.24536000000000024	-14.920202999999999	-11.078142500000002	1.4996720000000001	1.9827834999999998	0.4668259999999999	-1.5776720000000002	-0.02547150000000009	-0.18020950000000002	1.42604	-2.4767885000000005	-2.290329	-2.7033145000000003	-3.275721	0.0	0.0	0.0	0.0	0.0	0.0
YKL121W	1.034432	-15.341908999999998	2.7793515	-10.266584	-96.3557385	1.3376275	1.1802255000000001	-4.1087085000000005	-4.490195	1.5453625	-2.433265	-0.5278539999999999	0.44473450000000003	0.20142750000000004	-0.06474099999999999	-1.208824	0.0	0.0	0.0	0.0	0.0	0.0
YKL123W	0.3686920000000001	2.149096	2.7458785	-4.0975445	-0.9162244999999999	0.550844	0.0693355	-1.5108929999999998	0.6024635	1.858228	-0.374655	-0.24795799999999996	-7.261150499999999	-7.852955	-8.935195	-7.794622	0.0	0.0	0.0	0.0	0.0	0.0
YKL124W	1.6506629999999998	1.0364235000000002	1.8515540000000001	-18.482965000000004	-5.8864375	0.766011	-1.7597535	0.22507100000000002	-2.7308835	0.6503115	-3.179835	1.171006	-2.143269	-2.1784790000000003	-2.461859	-2.6453759999999997	0.0	0.0	0.0	0.0	0.0	0.0
YKL126W	4.1960935	-4.9050555000000005	-0.947258	0.5967199999999999	-4.1013470000000005	0.7002580000000003	-9.041033500000001	-29.1515405	-3.086755	0.21468750000000014	-2.5859975000000004	-32.420334000000004	-7.9357925	-7.19702	-11.0317525	-2.329577	0.0	-3.0	0.0	0.0	3.0	0.0
YKL127W	0.6173815	-2.1000735	2.454106	-1.774446	-0.9015545	1.5540555	1.4357505	-2.2195465	0.7915489999999998	1.5983334999999999	-1.125594	-1.7275615	-1.4132825	-2.059451	-3.3245525000000002	-4.272039	0.0	0.0	0.0	0.0	0.0	0.0
YKL128C	-0.17972449999999995	6.2460675000000005	2.0556045	-32.193819	-10.429895	1.0162435	-2.0456625	1.6461284999999999	-2.4665239999999997	2.3774715	0.18770900000000001	-2.0038225	-0.10379499999999998	-0.362531	-0.5238145000000001	0.350838	0.0	0.0	0.0	0.0	0.0	0.0
YKL129C	0.20007350000000002	7.2392294999999995	2.0047965	-25.55036	-18.191025	2.4631795	-1.2143199999999998	-0.48434749999999993	0.06726049999999995	0.507667	-3.3365135	-2.670858	-6.5607915000000006	-8.321041	-8.2480045	-10.001808	0.0	0.0	0.0	0.0	0.0	0.0
YKL130C	1.2357259999999999	-0.7015269999999998	0.9842405000000002	-26.758629000000003	-3.6536510000000004	2.0696875	0.46038099999999993	2.1933689999999997	-1.5431789999999999	-2.0634699999999997	0.6158795	0.12367949999999994	-3.7079575	-3.2727755	-3.3239385	-2.5051400000000004	0.0	0.0	0.0	0.0	0.0	0.0
YKL131W	0.3945295	3.715516	-3.4930399999999997	-16.3531185	-9.3730525	2.0495535	-0.22300899999999999	0.96739	-5.537602999999999	1.572035	-0.8486485	-3.6631550000000006	-8.0003675	-8.697509499999999	-6.543614	-13.374904	0.0	0.0	0.0	0.0	0.0	0.0
YKL132C	2.160541	7.521991	2.0400305000000003	-20.6274695	-16.380886	2.7408725	0.539193	-1.161645	-2.8985825	-0.023806499999999953	1.0257669999999999	-0.277172	-0.344667	-0.4582645000000001	0.28084799999999993	-0.052551	0.0	0.0	0.0	0.0	0.0	0.0
YKL133C	0.437789	0.31638750000000004	-3.3788975	-15.230022000000002	-11.683398500000001	0.7086064999999999	-1.727884	-4.7281414999999996	-5.5670225	-4.5982495	-2.7892215	0.8567914999999999	1.694793	1.2503760000000002	1.2340955	0.9879610000000001	0.0	0.0	0.0	0.0	0.0	0.0
YKL134C	-0.012480500000000117	2.27439	-2.536811	8.455417500000001	-1.162952	1.342634	4.0275170000000005	0.06327799999999983	0.2868964999999999	-0.13371149999999998	-1.833151	-1.5081315	-1.377952	-1.1557325	-0.2981475	-0.5700109999999999	-8.5	0.0	0.0	0.0	0.0	0.0
YKL135C	-0.6277150000000001	-0.9921584999999999	1.205443	-55.4899175	-139.13362800000002	0.758001	-2.1960344999999997	-20.0216565	-1.492651	-1.4485385	-1.4708765	1.601092	0.48855400000000015	9.613443	4.4529045	-3.4523870000000003	0.0	0.0	0.0	0.0	0.0	0.0
