ORF	hap a | growth (culture turbidity) | 4-chlorophenol [1 mM] | Yadav V~Yadav J, 2011	hap a | growth (culture turbidity) | 2,4-dichlorophenol [0.3 mM] | Yadav V~Yadav J, 2011	hap a | growth (culture turbidity) | pentachlorophenol [0.156 mM] | Yadav V~Yadav J, 2011
YAL010C	NaN	-1.000	NaN
YAL012W	-1.000	NaN	NaN
YAL035W	NaN	NaN	-1.000
YBL002W	NaN	-1.000	NaN
YBL033C	NaN	-1.000	NaN
YBL038W	NaN	NaN	-1.000
YBL044W	NaN	NaN	-1.000
YBL045C	NaN	NaN	-1.000
YBL052C	NaN	NaN	-1.000
YBL053W	NaN	NaN	-1.000
YBL058W	NaN	NaN	-1.000
YBL090W	NaN	-1.000	-1.000
YBL094C	NaN	NaN	-1.000
YBR077C	-1.000	NaN	NaN
YBR081C	-1.000	NaN	NaN
YBR106W	-1.000	-1.000	NaN
YBR112C	NaN	-1.000	NaN
YBR122C	NaN	-1.000	NaN
YBR125C	-1.000	NaN	NaN
YBR163W	NaN	-1.000	NaN
YBR177C	NaN	NaN	-1.000
YBR179C	NaN	-1.000	NaN
YBR189W	-1.000	NaN	NaN
YBR194W	NaN	NaN	-1.000
YBR251W	NaN	-1.000	NaN
YBR267W	NaN	NaN	-1.000
YBR268W	NaN	-1.000	-1.000
YBR283C	-1.000	NaN	NaN
YBR288C	-1.000	NaN	NaN
YCR003W	NaN	-1.000	NaN
YCR004C	NaN	-1.000	NaN
YCR024C	-1.000	-1.000	NaN
YCR028C-A	NaN	-1.000	NaN
YCR044C	-1.000	-1.000	NaN
YCR063W	NaN	-1.000	NaN
YCR071C	NaN	NaN	-1.000
YCR084C	NaN	-1.000	NaN
YDL044C	NaN	-1.000	NaN
YDL045W-A	NaN	-1.000	NaN
YDL047W	-1.000	-1.000	NaN
YDL049C	NaN	-1.000	NaN
YDL057W	NaN	-1.000	NaN
YDL063C	-1.000	-1.000	NaN
YDL116W	-1.000	NaN	NaN
YDL160C	-1.000	-1.000	NaN
YDL172C	-1.000	NaN	NaN
YDL198C	NaN	-1.000	NaN
YDR008C	NaN	NaN	-1.000
YDR017C	-1.000	NaN	NaN
YDR027C	-1.000	NaN	NaN
YDR065W	-1.000	-1.000	NaN
YDR078C	NaN	-1.000	-1.000
YDR079W	NaN	-1.000	NaN
YDR127W	-1.000	-1.000	-1.000
YDR136C	-1.000	NaN	NaN
YDR137W	-1.000	NaN	NaN
YDR149C	-1.000	NaN	NaN
YDR154C	NaN	NaN	-1.000
YDR159W	NaN	NaN	-1.000
YDR176W	NaN	NaN	-1.000
YDR185C	NaN	NaN	-1.000
YDR195W	NaN	NaN	-1.000
YDR200C	-1.000	NaN	-1.000
