orf	hap alpha | H2S excretion | H2S detection mix [10%] | grape juice (2) | Winter G~Curtin C, 2014
YPL102C	-2.6445030852165132
YPL123C	-5.343532007241614
YPL135W	5.452583680858789
YPL226W	-2.6445030852165132
YPL239W	-2.6445030852165132
YPL246C	2.7535547588336886
YPR036W	-2.6445030852165132
YPR060C	-5.343532007241614
YPR074C	-5.343532007241614
YPR117W	-2.6445030852165132
