orf	hap a | growth (colony size) | sodium bicarbonate [40 mM] | YPD + G418 [200 ug/ml] | Cao X~Liu B, 2022
YAL002W	-0.2309266666666667
YAL004W	-0.21604666666666664
YAL005C	-0.28628333333333333
YAL007C	-0.17431333333333332
YAL008W	0.18479666666666664
YAL010C	0.11723333333333334
YAL011W	-0.34933666666666663
YAL013W	-0.20731333333333332
YAL014C	0.10965333333333332
YAL015C	-0.23798333333333335
YAL017W	-0.20040666666666665
YAL018C	0.26152333333333333
YAL019W	0.08033333333333333
YAL020C	0.06744666666666667
YAL022C	-0.13731000000000002
YAL023C	-0.46247999999999995
YAL024C	0.08412666666666668
YAL026C	-0.15130333333333335
YAL027W	0.059879999999999996
YAL028W	0.16352999999999998
YAL029C	-0.19565
YAL030W	-0.21155333333333334
YAL031C	-0.1912866666666667
YAL034C	0.014830000000000001
YAL036C	0.025790000000000004
YAL037W	-0.18133333333333332
YAL040C	-0.11552333333333333
YAL042C-A	-0.19974666666666666
YAL042W	-0.1802
YAL045C	-0.17054999999999998
YAL046C	0.007076666666666669
YAL048C	-0.07981
YAL049C	-0.009413333333333333
YAL051W	-0.09797
YAL053W	0.10831666666666667
YAL054C	0.07643666666666667
YAL055W	-0.15096
YAL056C-A	0.06334000000000001
YAL056W	-0.23904999999999998
YAL058W	-0.24422333333333332
YAL059W	0.19844000000000003
YAL060W	-0.26099999999999995
YAL061W	0.029353333333333332
YAL062W	0.015149999999999999
YAL064C-A	-0.2947233333333333
YAL065C	-0.09426
YAL066W	0.002493333333333333
YAL067C	0.17807666666666666
YAL068C	-0.23401333333333332
YAR002C-A	0.10850666666666668
YAR002W	0.05168
YAR003W	0.11757000000000001
YAR014C	-0.14070666666666667
YAR015W	-0.10418333333333334
YAR018C	0.13804333333333332
YAR020C	-0.03299666666666667
YAR023C	-0.24919000000000002
YAR027W	0.18848
YAR028W	-0.2832233333333333
YAR029W	0.05471666666666667
YAR030C	0.014503333333333333
YAR031W	0.21161666666666668
YAR035W	-0.22407333333333335
YAR042W	-0.045018333333333334
YAR047C	-0.03478333333333333
YAR050W	-0.17507000000000003
YBL001C	-0.11623666666666665
YBL003C	-0.012093333333333336
YBL005W	-0.17168000000000003
YBL007C	-0.4509533333333333
YBL008W	0.24356999999999998
YBL009W	0.17434333333333332
YBL010C	-0.08775
YBL011W	0.07999666666666667
YBL013W	-0.2540633333333333
YBL015W	-0.37615
YBL017C	0.12700999999999998
YBL019W	0.08560666666666666
YBL021C	-0.04337666666666667
YBL024W	-0.14767666666666665
YBL027W	0.26021
YBL028C	0.2607466666666667
YBL029W	0.24226666666666663
YBL031W	0.05437333333333333
YBL032W	0.2049466666666667
YBL036C	-0.10596
YBL037W	-0.048113333333333334
YBL039C	0.14234
YBL042C	-0.14893
YBL043W	-0.14335333333333333
YBL046W	-0.14538666666666666
YBL047C	0.14585333333333336
YBL048W	0.08147
YBL049W	0.04946
YBL051C	0.22228
YBL052C	0.19597
YBL053W	-0.061810000000000004
YBL054W	-0.12551
YBL055C	-0.034756666666666665
YBL056W	0.26353333333333334
YBL057C	0.25364666666666663
YBL059W	0.16698999999999997
YBL060W	0.24957
YBL061C	-0.06482333333333333
YBL062W	-0.30884666666666666
YBL063W	0.3133933333333333
YBL064C	-0.024749999999999998
YBL065W	0.12723666666666666
YBL066C	0.20434666666666668
YBL067C	0.07447333333333332
YBL068W	0.17222
YBL069W	0.09539333333333333
YBL070C	0.01971666666666667
YBL071C	0.10532666666666668
YBL072C	0.22426666666666664
YBL075C	-0.06216666666666667
YBL078C	-0.42224666666666666
YBL079W	-0.31982000000000005
YBL081W	0.18032666666666666
YBL082C	-0.4000333333333333
YBL083C	-0.34245666666666663
YBL085W	-0.14672333333333334
YBL086C	-0.1616233333333333
YBL087C	0.1640633333333333
YBL088C	0.22688666666666668
YBL089W	0.02118666666666667
YBL091C	0.12743666666666667
YBL091C-A	0.16774
YBL094C	-0.40341999999999995
YBL095W	-0.15493666666666667
YBL096C	0.11213
YBL098W	0.03170333333333333
YBL100C	-0.25116666666666665
YBL101C	0.09425333333333334
YBL102W	0.06087666666666666
YBL103C	-0.11566833333333333
YBL104C	0.13084666666666667
YBL106C	0.11152333333333335
YBL107C	-0.0003566666666666666
YBR001C	0.01639
YBR005W	-0.15553666666666668
YBR006W	0.0717
YBR007C	0.04496
YBR008C	0.21817999999999999
YBR009C	0.19316333333333333
YBR010W	0.23352666666666666
YBR012C	-0.24847
YBR013C	0.15574
YBR014C	0.10996333333333334
YBR015C	-0.3287333333333333
YBR016W	-0.34490333333333334
YBR018C	0.024136666666666678
YBR019C	0.15058333333333332
YBR020W	0.2139633333333333
YBR022W	0.30190333333333336
YBR023C	-0.16818
YBR024W	-0.31783999999999996
YBR025C	0.13189333333333333
YBR026C	-0.12677333333333332
YBR027C	0.17212333333333332
YBR028C	0.11131
YBR030W	-0.30130666666666667
YBR031W	-0.18735333333333334
YBR032W	-0.3885066666666666
YBR033W	0.05871666666666667
YBR034C	0.21341333333333334
YBR036C	0.16539666666666666
YBR040W	-0.11328
YBR041W	-0.09531333333333335
YBR042C	0.04271
YBR043C	0.04331666666666667
YBR044C	0.02173
YBR045C	0.21405666666666667
YBR046C	-0.014780000000000001
YBR047W	0.24603666666666668
YBR048W	-0.04080333333333334
YBR050C	0.24040666666666666
YBR051W	0.23736333333333334
YBR052C	0.15345666666666666
YBR053C	-0.014246666666666666
YBR054W	-0.08559333333333334
YBR056W	-0.1617666666666667
YBR057C	0.15101666666666666
YBR062C	0.06343666666666666
YBR063C	-0.26557000000000003
YBR064W	0.038636666666666666
YBR065C	-0.14169333333333334
YBR066C	0.00419
YBR067C	-0.22233333333333336
YBR068C	-0.03055333333333333
YBR069C	0.07149333333333333
YBR071W	0.05623999999999999
YBR072W	0.09949999999999999
YBR073W	0.24327999999999997
YBR074W	-0.0033133333333333318
YBR076W	-0.24114333333333335
YBR078W	-0.44650000000000006
YBR082C	-0.13941833333333334
YBR083W	0.05276333333333333
YBR084W	0.036436666666666666
YBR085W	0.23885333333333333
YBR086C	0.26319000000000004
YBR090C	-0.26727666666666666
YBR092C	-0.010569999999999998
YBR094W	-0.21991666666666668
YBR095C	0.06409666666666668
YBR098W	-0.05780166666666667
YBR099C	0.07482
YBR103W	0.15899333333333332
YBR104W	0.040979999999999996
YBR105C	-0.06897666666666667
YBR106W	-0.4531233333333334
YBR107C	-0.36843999999999993
YBR108W	-0.17798666666666665
YBR111C	0.13159333333333334
YBR114W	0.23311666666666664
YBR116C	0.3017433333333333
YBR118W	0.13503666666666667
YBR119W	-0.19272666666666663
YBR125C	-0.07284
YBR126C	0.12195333333333332
YBR128C	-0.19344333333333333
YBR129C	0.17662999999999998
YBR130C	0.022160000000000003
YBR131W	-0.17789666666666668
YBR132C	-0.31962333333333337
YBR134W	-0.3390433333333333
YBR137W	0.023099999999999996
YBR138C	-0.03369
YBR139W	-0.20142666666666664
YBR141C	0.10669333333333332
YBR145W	0.15405333333333335
YBR147W	-0.006583333333333333
YBR148W	-0.10564333333333333
YBR149W	-0.07945333333333332
YBR150C	0.026306666666666662
YBR151W	0.003693333333333333
YBR157C	0.2903466666666667
YBR158W	-0.06909333333333334
YBR161W	-0.14314333333333332
YBR162C	-0.17842000000000002
YBR162W-A	-0.035666666666666666
YBR164C	0.07437
YBR165W	-0.09336666666666667
YBR168W	-0.15417
YBR169C	-0.04244333333333333
YBR170C	0.13798999999999997
YBR171W	-0.18892333333333333
YBR172C	-0.34475666666666666
YBR176W	-0.1368
YBR177C	-0.31455666666666665
YBR178W	0.061549999999999994
YBR180W	0.17417000000000002
YBR181C	0.2744433333333334
YBR182C	0.14249
YBR183W	-0.10959333333333332
YBR184W	0.11578
YBR185C	-0.24833333333333332
YBR186W	-0.2698633333333333
YBR187W	0.11554333333333333
YBR188C	0.050906666666666676
YBR189W	0.16663999999999998
YBR194W	-0.13458666666666666
YBR195C	0.16826333333333332
YBR197C	0.20187333333333335
YBR199W	0.026333333333333334
YBR201W	0.05136333333333334
YBR203W	-0.12669
YBR204C	0.29072000000000003
YBR205W	0.08075
YBR206W	0.12912333333333334
YBR207W	-0.14503666666666667
YBR208C	0.13340333333333335
YBR210W	-0.35019333333333336
YBR212W	0.057333333333333326
YBR213W	-0.07931666666666666
YBR214W	-0.2204533333333333
YBR215W	0.21569000000000002
YBR216C	0.34376999999999996
YBR217W	-0.19968666666666668
YBR218C	0.26866
YBR219C	-0.22187
YBR220C	-0.23600333333333334
YBR221C	0.015843333333333334
YBR222C	-0.4372566666666667
YBR223C	0.10658000000000001
YBR224W	0.4490633333333333
YBR225W	0.3930133333333334
YBR226C	-0.15486333333333333
YBR227C	0.4530666666666667
YBR228W	0.19157666666666665
YBR229C	0.13618
YBR230C	0.31081
YBR231C	-0.20569
YBR232C	-0.06051
YBR233W	0.14864999999999998
YBR235W	-0.13513
YBR238C	-0.09311666666666667
YBR239C	0.12627666666666668
YBR240C	-0.07971
YBR241C	-0.11495333333333334
YBR242W	0.18853
YBR244W	0.11002666666666666
YBR245C	-0.06807333333333333
YBR246W	0.037989999999999996
YBR249C	0.14361000000000002
YBR250W	-0.05829333333333333
YBR255W	0.2922666666666667
YBR258C	-0.05012666666666666
YBR259W	0.047563333333333326
YBR260C	-0.15355666666666667
YBR261C	0.22187
YBR262C	-0.20721
YBR263W	0.036553333333333334
YBR264C	0.30335666666666666
YBR266C	-0.041670000000000006
YBR267W	0.06534666666666666
YBR269C	0.17081000000000002
YBR270C	-0.21959666666666666
YBR271W	0.1309
YBR272C	0.22756666666666667
YBR273C	-0.20293666666666668
YBR274W	-0.19237
YBR275C	0.2422133333333333
YBR276C	-0.31738666666666665
YBR277C	0.254
YBR278W	-0.024656666666666664
YBR280C	-0.23290333333333332
YBR281C	-0.09079666666666668
YBR283C	-0.19135
YBR284W	0.09371333333333333
YBR285W	0.18638666666666667
YBR286W	-0.17879333333333333
YBR287W	-0.08766333333333333
YBR288C	-0.17931
YBR289W	-0.33653
YBR290W	-0.11803333333333332
YBR291C	-0.12926
YBR292C	0.17006999999999997
YBR293W	-0.04463333333333333
YBR294W	0.20781333333333332
YBR295W	-0.06442666666666667
YBR296C	-0.12863666666666668
YBR297W	0.24044999999999997
YBR298C	-0.13737
YBR299W	0.17194333333333334
YBR300C	-0.06502666666666666
YBR301W	-0.10473333333333333
YCL001W	0.24555666666666665
YCL001W-A	0.00561
YCL002C	-0.14127666666666666
YCL009C	0.21242666666666668
YCL010C	-0.05545666666666666
YCL011C	-0.04244666666666667
YCL014W	0.13938333333333333
YCL016C	-0.04110666666666666
YCL022C	0.03417
YCL023C	0.23731
YCL024W	0.07273333333333333
YCL025C	-0.09073999999999999
YCL026C-A	0.20438333333333333
YCL027W	0.06360333333333333
YCL028W	-0.13976333333333332
YCL029C	-0.10507666666666667
YCL032W	-0.36664666666666673
YCL033C	-0.10739
YCL034W	-0.07762666666666668
YCL035C	0.17635333333333333
YCL036W	-0.09573333333333334
YCL037C	-0.10344666666666667
YCL038C	0.23671333333333333
