orf	hap a | growth (colony size) | sodium bicarbonate [40 mM] | YPD + G418 [200 ug/ml] | Cao X~Liu B, 2022
YAL002W	-1.6935736616622237
YAL004W	-1.6100211161585187
YAL005C	-2.004406350546635
YAL007C	-1.3756846758121086
YAL008W	0.6407504462198267
YAL010C	0.2613762202308978
YAL011W	-2.3584565187249655
YAL013W	-1.560982659792098
YAL014C	0.21881383481973657
YAL015C	-1.7331974830850148
YAL017W	-1.5222011019328514
YAL018C	1.0715776174573408
YAL019W	0.054179383598728106
YAL020C	-0.01818041499386151
YAL022C	-1.1679076131694968
YAL023C	-2.9937665662232247
YAL024C	0.07547929327238759
YAL026C	-1.2464814451642436
YAL027W	-0.060667932532707525
YAL028W	0.5213361898771671
YAL029C	-1.4954919884844229
YAL030W	-1.5847906431883148
YAL031C	-1.4709914772692911
YAL034C	-0.31362775611751076
YAL036C	-0.2520863650744598
YAL037W	-1.4151026105860338
YAL040C	-1.0455735098065462
YAL042C-A	-1.5184951422532516
YAL042W	-1.4087388414392463
YAL045C	-1.3545532188511584
YAL046C	-0.35716342386876876
YAL048C	-0.8450399138104249
YAL049C	-0.4497562649545269
YAL051W	-0.9470099559036552
YAL053W	0.21130833062014315
YAL054C	0.03229924791462641
YAL055W	-1.2445535974521287
YAL056C-A	-0.041239719666926786
YAL056W	-1.7391869128702266
YAL058W	-1.768235647328504
YAL059W	0.7173589965663013
YAL060W	-1.8624381476690373
YAL061W	-0.2320779261982368
YAL062W	-0.31183092718194727
YAL064C-A	-2.0517977137221233
YAL065C	-0.9261779704319656
YAL066W	-0.3828992549771006
YAL067C	0.6030170385729927
YAL068C	-1.7109055741031796
YAR002C-A	0.21237519780063405
YAR002W	-0.10671167400652298
YAR003W	0.26326663400685524
YAR014C	-1.1869802036417805
YAR015W	-0.9818983844025139
YAR018C	0.3782262519467635
YAR020C	-0.5821788141119434
YAR023C	-1.7961239297658962
YAR027W	0.6614326959468864
YAR028W	-1.987224173850309
YAR029W	-0.08966051608674819
YAR030C	-0.3154620189892319
YAR031W	0.7913471713817453
YAR035W	-1.6550915752922377
YAR042W	-0.6496815594880878
YAR047C	-0.5922111090021731
YAR050W	-1.3799334275659936
YBL001C	-1.0495789409754066
YBL003C	-0.4648047072898715
YBL005W	-1.3608982710298674
YBL007C	-2.9290432906067805
YBL008W	0.9707680273849951
YBL009W	0.5820540343247514
YBL010C	-0.8896237317740949
YBL011W	0.052288969822770724
YBL013W	-1.8234881370970821
YBL015W	-2.5090158099507267
YBL017C	0.3162730876059793
YBL019W	0.08378962709936881
YBL021C	-0.6404634527092855
YBL024W	-1.2261173838945234
YBL027W	1.0642031320342988
YBL028C	1.0672165638949835
YBL029W	0.9634496928661894
YBL031W	-0.09158836379886327
YBL032W	0.7538945182560931
YBL036C	-0.9918745283885071
YBL037W	-0.6670602643492415
YBL039C	0.4023524238003197
YBL042C	-1.2331549638921475
YBL043W	-1.2018414762963372
YBL046W	-1.2132588268243971
YBL047C	0.4220801081553612
YBL048W	0.060561869713594445
YBL049W	-0.11917717474699498
YBL051C	0.8512227522657841
YBL052C	0.7034897232199202
YBL053W	-0.7439682861849763
YBL054W	-1.1016495461705915
YBL055C	-0.5920613732575427
YBL056W	1.0828639492088494
YBL057C	1.0273494218871675
YBL059W	0.5407644027429478
YBL060W	1.0044585699268114
YBL061C	-0.7608884253281996
YBL062W	-2.131101507471943
YBL063W	1.3628323577313417
YBL064C	-0.5358730350850249
YBL065W	0.3175458414353368
YBL066C	0.7505254640019113
YBL067C	0.021274953716220936
YBL068W	0.5701313256585644
YBL069W	0.13874264537868677
YBL070C	-0.2861886809140093
YBL071C	0.19451921025347146
YBL072C	0.8623780652407409
YBL075C	-0.7459710017694066
YBL078C	-2.7678527615122688
YBL079W	-2.192717766387309
YBL081W	0.6156509920261738
YBL082C	-2.6431228862352336
YBL083C	-2.31982469661035
YBL085W	-1.2207643310239906
YBL086C	-1.3044291783361674
YBL087C	0.5243309047697731
YBL088C	0.8770896021506676
YBL089W	-0.27793449799126435
YBL091C	0.3186688595200641
YBL091C-A	0.544975720560675
YBL094C	-2.662139325803281
YBL095W	-1.2668829403701212
YBL096C	0.23272054210227516
YBL098W	-0.2188824637026921
YBL100C	-1.8072230918366166
YBL101C	0.13234144229574177
YBL102W	-0.05507155907715028
YBL103C	-1.0463876979179736
YBL104C	0.33781631786466293
YBL106C	0.2293140539119361
YBL107C	-0.3989022626844633
YBR001C	-0.3048682150566385
YBR005W	-1.270251994624303
YBR006W	0.005702436274670403
YBR007C	-0.1444450816533571
YBR008C	0.8282008815288764
YBR009C	0.6877300360975817
YBR010W	0.9143738025636107
YBR012C	-1.7920810646608778
YBR013C	0.4775946354770425
YBR014C	0.22055451285106384
YBR015C	-2.242766939029985
YBR016W	-2.3335629511801796
YBR018C	-0.261369981241538
YBR019C	0.44863948585915936
YBR020W	0.804523916909211
YBR022W	1.298314968763764
YBR023C	-1.341245454547141
YBR024W	-2.181599887348509
YBR025C	0.343693445841402
YBR026C	-1.1087432770724517
YBR027C	0.5695885335842795
YBR028C	0.22811616795489367
YBR030W	-2.0887637256777274
YBR031W	-1.4489054549363227
YBR032W	-2.578399610618789
YBR033W	-0.06720015439220409
YBR034C	0.8014356171762114
YBR036C	0.5318176920012878
YBR040W	-1.0329769902895227
YBR041W	-0.9320925323448623
YBR042C	-0.15707903510653817
YBR043C	-0.15367254691619897
YBR044C	-0.27488363219442213
YBR045C	0.8050479920154172
YBR046C	-0.4798905835613737
YBR047W	0.9846185837632976
YBR048W	-0.626013953352462
YBR050C	0.9530056246782266
YBR051W	0.9359170328222943
YBR052C	0.46477351234307357
YBR053C	-0.4768958686687678
YBR054W	-0.8775138534271201
YBR056W	-1.3052340079635554
YBR057C	0.4510726917094017
YBR062C	-0.040696927592642075
YBR063C	-1.8880991109050544
YBR064W	-0.17995117009881562
YBR065C	-1.1925204261931013
YBR066C	-0.37337231822499817
YBR067C	-1.6453213179551112
YBR068C	-0.5684592765101927
YBR069C	0.004541984253785579
YBR071W	-0.08110686167474271
YBR072W	0.16180195005175205
YBR073W	0.9691396511621406
YBR074W	-0.41550421337034715
YBR076W	-1.750941168823705
YBR078W	-2.9040374212535216
YBR082C	-1.1797460954793293
YBR083W	-0.10062865938091729
YBR084W	-0.19230436903081488
YBR085W	0.944283517553512
YBR086C	1.0809361014967345
YBR090C	-1.897682198561393
YBR092C	-0.45625105287786594
YBR094W	-1.6317515160979905
YBR095C	-0.03699096791304217
YBR098W	-0.7214611320702352
YBR099C	0.02322151839641481
YBR103W	0.4958623963219384
YBR104W	-0.16679314153942854
YBR105C	-0.784209767554368
YBR106W	-2.9412280368260713
YBR107C	-2.4657234627844926
YBR108W	-1.3963107746349317
YBR111C	0.3420089187143112
YBR114W	0.9120716154899198
YBR116C	1.297416554295982
YBR118W	0.36134354673969793
YBR119W	-1.4790772074793266
YBR125C	-0.8059027335576818
YBR126C	0.2878794470304597
YBR128C	-1.4831013556162658
YBR129C	0.5948938744267992
YBR130C	-0.27246914331225863
YBR131W	-1.3958054164968046
YBR132C	-2.191613465270661
YBR134W	-2.300658521297672
YBR137W	-0.26719095831404077
YBR138C	-0.586071943472331
YBR139W	-1.5279284941649602
YBR141C	0.2021931671657739
YBR145W	0.4681238496291765
YBR147W	-0.43386555905563695
YBR148W	-0.9900964164210222
YBR149W	-0.8430371982259947
YBR150C	-0.24918523502224793
YBR151W	-0.3761611464687374
YBR157C	1.2334232404346102
YBR158W	-0.7848648614371254
YBR161W	-1.2006623073073734
YBR162C	-1.3987439804851742
YBR162W-A	-0.5971711055430516
YBR164C	0.02069472770577864
YBR165W	-0.9211618229868506
YBR168W	-1.2625780377120002
YBR169C	-0.6352227016472252
YBR170C	0.37792678045750283
YBR171W	-1.457721146901431
YBR172C	-2.332739404584713
YBR176W	-1.1650439170534423
YBR177C	-2.163163673790905
YBR178W	-0.05129073152523536
YBR180W	0.5810807519846547
YBR181C	1.1441245857307185
YBR182C	0.40319468736386516
YBR183W	-1.0122760235943846
YBR184W	0.25321562214854665
YBR185C	-1.7913136689696476
YBR186W	-1.9122065657905314
YBR187W	0.25188671741495283
YBR188C	-0.11105401060080144
YBR189W	0.5387991210946752
YBR194W	-1.152615850249128
YBR195C	0.5479142845490445
YBR197C	0.7366374736874516
