ORF	hap alpha | growth (colony size) | oleic acid [0.1%] | Lockshon D~Kennedy BK, 2007
YJR105W	-2.000
YNL197C	-3.000
YCR077C	-3.000
YDR017C	-3.000
YDR162C	-3.000
YHL011C	-3.000
YKL212W	-3.000
YLR438W	-2.000
YMR238W	-3.000
YOL081W	-3.000
YOR360C	-3.000
YNL215W	-3.000
YLR357W	-2.000
YOR038C	-2.000
YOL004W	-2.000
YOL012C	-3.000
YDR334W	-1.000
YLR085C	-3.000
YML041C	-3.000
YNL107W	-3.000
YEL033W	-2.000
YGL152C	-3.000
YJL211C	-3.000
YLL020C	-2.000
YNL120C	-2.000
YOL050C	-3.000
YPR087W	-2.000
YJL101C	-3.000
YOR080W	-1.000
YCR034W	-3.000
YKR067W	-3.000
YLR362W	-2.000
YOR297C	-2.000
YAL010C	-2.000
YLR368W	-3.000
YOL076W	-3.000
YMR060C	-3.000
YPR131C	-2.000
YML120C	-3.000
YMR145C	-3.000
YDL198C	-2.000
YPL060W	-3.000
YPL270W	-2.000
YHR191C	-2.000
YOR073W	-3.000
YJR074W	-3.000
YDR264C	-3.000
YAL051W	-3.000
YAL055W	-3.000
YDL065C	-3.000
YDR142C	-3.000
YDR244W	-3.000
YDR265W	-3.000
YDR329C	-3.000
YEL031W	-3.000
YGL153W	-3.000
YGL205W	-1.000
YGR077C	-3.000
YGR133W	-3.000
YIL160C	-3.000
YIR004W	-1.000
YKL197C	-3.000
YKR009C	-1.000
YLR191W	-3.000
YMR026C	-3.000
YNL214W	-3.000
YNL329C	-3.000
YOL044W	-3.000
YPL112C	-1.000
YBR106W	-3.000
YNL248C	-2.000
YBL025W	-3.000
YGR104C	-2.000
YHR041C	-3.000
YDL005C	-3.000
YGL025C	-3.000
YOL051W	-3.000
YBL058W	-3.000
YDL020C	-2.000
YGR135W	-3.000
YHR111W	-3.000
YIL008W	-3.000
YLR024C	-3.000
YNL119W	-2.000
YDL090C	-3.000
YEL003W	-2.000
YGR078C	-2.000
YHR064C	-3.000
YOR265W	-2.000
YLL019C	-2.000
YNL298W	-1.000
YDL006W	-3.000
YER054C	-3.000
YBL027W	-3.000
YBL072C	-3.000
YDR025W	-3.000
YDR418W	-3.000
YHL033C	-2.000
YIL052C	-3.000
YGR070W	-1.000
YPL213W	-3.000
YJR104C	-2.000
YBR084W	-2.000
YLR423C	-2.000
YPR032W	-2.000
YPR139C	-3.000
YPR173C	-2.000
YIL128W	-3.000
YDR216W	-2.000
YMR179W	-2.000
YBR081C	-2.000
YJL140W	-3.000
YJL056C	-3.000
YHR206W	-1.000
YDL069C	-3.000
YPR163C	-2.000
YJL212C	-3.000
YAL009W	-3.000
YAR014C	-2.000
YCR047C	-3.000
YCR063W	-1.000
YFR035C	-2.000
YGL127C	-3.000
YGL173C	-3.000
YGR132C	-3.000
YHR100C	-3.000
YJL184W	-3.000
YJR118C	-3.000
YKR028W	-3.000
YLR021W	-2.000
YLR114C	-1.000
YMR014W	-1.000
YMR032W	-1.000
YMR100W	-3.000
YNR018W	-1.000
YOL072W	-3.000
