orf	hap alpha | growth (colony size) | oleic acid [0.1%] | Lockshon D~Kennedy BK, 2007
YAL009W	-6.652979477071164
YAL010C	-4.435319651380776
YAL051W	-6.652979477071164
YAL055W	-6.652979477071164
YAR014C	-4.435319651380776
YBL025W	-6.652979477071164
YBL027W	-6.652979477071164
YBL058W	-6.652979477071164
YBL072C	-6.652979477071164
YBR081C	-4.435319651380776
YBR084W	-4.435319651380776
YBR106W	-6.652979477071164
YCR034W	-6.652979477071164
YCR047C	-6.652979477071164
YCR063W	-2.217659825690388
YCR077C	-6.652979477071164
YDL005C	-6.652979477071164
YDL006W	-6.652979477071164
YDL020C	-4.435319651380776
YDL065C	-6.652979477071164
YDL069C	-6.652979477071164
YDL090C	-6.652979477071164
YDL198C	-4.435319651380776
YDR017C	-6.652979477071164
YDR025W	-6.652979477071164
YDR142C	-6.652979477071164
YDR162C	-6.652979477071164
YDR216W	-4.435319651380776
YDR244W	-6.652979477071164
YDR264C	-6.652979477071164
YDR265W	-6.652979477071164
YDR329C	-6.652979477071164
YDR334W	-2.217659825690388
YDR418W	-6.652979477071164
YEL003W	-4.435319651380776
YEL031W	-6.652979477071164
YEL033W	-4.435319651380776
YER054C	-6.652979477071164
YFR035C	-4.435319651380776
YGL025C	-6.652979477071164
YGL127C	-6.652979477071164
YGL152C	-6.652979477071164
YGL153W	-6.652979477071164
YGL173C	-6.652979477071164
YGL205W	-2.217659825690388
YGR070W	-2.217659825690388
YGR077C	-6.652979477071164
YGR078C	-4.435319651380776
YGR104C	-4.435319651380776
YGR132C	-6.652979477071164
YGR133W	-6.652979477071164
YGR135W	-6.652979477071164
YHL011C	-6.652979477071164
YHL033C	-4.435319651380776
YHR041C	-6.652979477071164
YHR064C	-6.652979477071164
YHR100C	-6.652979477071164
YHR111W	-6.652979477071164
YHR191C	-4.435319651380776
YHR206W	-2.217659825690388
YIL008W	-6.652979477071164
YIL052C	-6.652979477071164
YIL128W	-6.652979477071164
YIL160C	-6.652979477071164
YIR004W	-2.217659825690388
YJL056C	-6.652979477071164
YJL101C	-6.652979477071164
YJL140W	-6.652979477071164
YJL184W	-6.652979477071164
YJL211C	-6.652979477071164
YJL212C	-6.652979477071164
YJR074W	-6.652979477071164
YJR104C	-4.435319651380776
YJR105W	-4.435319651380776
YJR118C	-6.652979477071164
YKL197C	-6.652979477071164
YKL212W	-6.652979477071164
YKR009C	-2.217659825690388
YKR028W	-6.652979477071164
YKR067W	-6.652979477071164
YLL019C	-4.435319651380776
YLL020C	-4.435319651380776
YLR021W	-4.435319651380776
YLR024C	-6.652979477071164
YLR085C	-6.652979477071164
YLR114C	-2.217659825690388
YLR191W	-6.652979477071164
YLR357W	-4.435319651380776
YLR362W	-4.435319651380776
YLR368W	-6.652979477071164
YLR423C	-4.435319651380776
YLR438W	-4.435319651380776
YML041C	-6.652979477071164
YML120C	-6.652979477071164
YMR014W	-2.217659825690388
YMR026C	-6.652979477071164
YMR032W	-2.217659825690388
YMR060C	-6.652979477071164
YMR100W	-6.652979477071164
YMR145C	-6.652979477071164
YMR179W	-4.435319651380776
YMR238W	-6.652979477071164
YNL107W	-6.652979477071164
YNL119W	-4.435319651380776
YNL120C	-4.435319651380776
YNL197C	-6.652979477071164
YNL214W	-6.652979477071164
YNL215W	-6.652979477071164
YNL248C	-4.435319651380776
YNL298W	-2.217659825690388
YNL329C	-6.652979477071164
YNR018W	-2.217659825690388
YOL004W	-4.435319651380776
YOL012C	-6.652979477071164
YOL044W	-6.652979477071164
YOL050C	-6.652979477071164
YOL051W	-6.652979477071164
YOL072W	-6.652979477071164
YOL076W	-6.652979477071164
YOL081W	-6.652979477071164
YOR038C	-4.435319651380776
YOR073W	-6.652979477071164
YOR080W	-2.217659825690388
YOR265W	-4.435319651380776
YOR297C	-4.435319651380776
YOR360C	-6.652979477071164
YPL060W	-6.652979477071164
YPL112C	-2.217659825690388
YPL213W	-6.652979477071164
YPL270W	-4.435319651380776
YPR032W	-4.435319651380776
YPR087W	-4.435319651380776
YPR131C	-4.435319651380776
YPR139C	-6.652979477071164
YPR163C	-4.435319651380776
YPR173C	-4.435319651380776
