ORF	growth (colony size);Camptothecin	growth (colony size);Hydroxyurea	growth (colony size);Benomyl	growth (colony size);Caffeine	growth (colony size);Cycloheximide	growth (colony size);CsA	growth (colony size);FK506	growth (colony size);Fluconazole	growth (colony size);Rapamycin	growth (colony size);Sulfometuron methyl	growth (colony size);Tunicamycin	growth (colony size);Wortmannin
YMR038C	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YGL086W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJL030W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YEL053C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YOR298C-A	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR306C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-2.000	-0.000
YOR221C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YOL076W	-1.000	-2.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YLR288C	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YIL128W	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR241W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YDR461W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YML062C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YNL291C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-1.000	-0.000
YLR332W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YPR188C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YMR167W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YPR164W	-3.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGL087C	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR320W	-3.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YBR098W	-3.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR245W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-2.000	-0.000	-0.000
YJL183W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-0.000
YJR074W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-3.000
YER068W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YCL061C	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YMR224C	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YNL005C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000
YKR006C	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR462W	-0.000	-0.000	-1.000	-0.000	-2.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000
YKL138C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000
YIR021W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YNR049C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YMR164C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YDR386W	-3.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YKR048C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YPR131C	-2.000	-1.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YBL024W	-0.000	-0.000	-1.000	-2.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-0.000	-0.000
YMR145C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-2.000	-0.000	-1.000	-0.000	-2.000
YHR004C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YDR176W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000
YLR138W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000
YDL002C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YPL174C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000
YNL175C	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YER002W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YDR432W	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YMR091C	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YBR188C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YDR150W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YKR082W	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YML103C	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YAR002W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YDL116W	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGL151W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000
YNL099C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YKL134C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000
YHL020C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000
YPR194C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YGR078C	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YER007W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YCR077C	-3.000	-2.000	-0.000	-3.000	-3.000	-0.000	-0.000	-1.000	-3.000	-0.000	-0.000	-0.000
YNL015W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YPL058C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YNL231C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000
YOR153W	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-3.000
YOR036W	-0.000	-1.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YJL053W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YCR044C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000
YER153C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YLR067C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YOR201C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YJL179W	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YMR205C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YGL025C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YNL097C	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOL001W	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YBR106W	-0.000	-1.000	-2.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-2.000
YGL023C	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YMR123W	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YPL268W	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGL167C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-2.000
YAL023C	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR321W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDL093W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJR043C	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YNR052C	-2.000	-2.000	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YPL188W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-1.000
YHR026W	-0.000	-0.000	-0.000	-0.000	-3.000	-3.000	-3.000	-0.000	-2.000	-1.000	-3.000	-2.000
YDR075W	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YML016C	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YGR135W	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR323C	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YHL011C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-3.000
YDR126W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-3.000
YDL006W	-0.000	-1.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YDR496C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YOR368W	-2.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YCR066W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000
YER173W	-3.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YER162C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR032W	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YNL250W	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YER095W	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YML032C	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YGL163C	-3.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR076W	-3.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR004W	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDL059C	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR217C	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJR033C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YJL204C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000
YDR195W	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-3.000	-0.000	-3.000
YBR260C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YDR137W	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-1.000	-0.000	-2.000	-0.000
YHL027W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-1.000	-0.000
YMR154C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YFL033C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YOR275C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YNL294C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000
YMR063W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-1.000	-0.000
YPL089C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YNL139C	-1.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YCL028W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YLR371W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000
YBR229C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YBL093C	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000
YDR156W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YJL148W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YNL248C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJL140W	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YGL070C	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJL121C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000
YDR418W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YMR142C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YKL006W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YBR084C-A	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR312C	-0.000	-0.000	-0.000	-1.000	-2.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-0.000
YBR191W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YPL079W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR061W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YHR010W	-0.000	-1.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YIL018W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YIL052C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-2.000	-0.000	-0.000
YDL191W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YNL162W	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YLL045C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YNL067W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YDL020C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-2.000	-0.000	-0.000	-1.000	-0.000
YOR293W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YMR143W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YML024W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YJL190C	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YIL153W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YLR357W	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YKL155C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YGL244W	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGL252C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJL047C	-3.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YHR154W	-2.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLL002W	-3.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YCR009C	-3.000	-2.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR388W	-2.000	-2.000	-0.000	-0.000	-2.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YKL212W	-0.000	-0.000	-0.000	-2.000	-0.000	-1.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR484W	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-2.000
YDR159W	-1.000	-1.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-3.000
YDR129C	-0.000	-0.000	-1.000	-3.000	-3.000	-0.000	-0.000	-1.000	-2.000	-0.000	-0.000	-0.000
YDR389W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-2.000	-0.000
YGL175C	-2.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YFR040W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YMR263W	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YJL080C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YMR272C	-1.000	-1.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YIL076W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YBR171W	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR363W-A	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YAL067C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YOR184W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000
YGR208W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YKR029C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YPL165C	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJR095W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YLR403W	-2.000	-2.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YGL066W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YMR190C	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR035C	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-3.000	-2.000	-0.000	-0.000	-3.000
YDR393W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YBR263W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000
YBL058W	-2.000	-2.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-3.000	-0.000
YDL225W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGR112W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YOL004W	-0.000	-0.000	-0.000	-1.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000
YNL236W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YDL047W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
YNL032W	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YHR206W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YBL007C	-0.000	-0.000	-0.000	-3.000	-3.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YOR008C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-2.000
YHR030C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000	-3.000	-0.000
YER116C	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YGR229C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-1.000	-0.000
YML058W	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR327C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-2.000	-0.000	-0.000	-0.000
YOR290C	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-2.000	-0.000
YBR289W	-0.000	-2.000	-0.000	-1.000	-3.000	-0.000	-0.000	-0.000	-0.000	-1.000	-2.000	-2.000
YHL025W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-2.000	-0.000
YLR025W	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-1.000	-0.000
YPL002C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-1.000	-0.000
YCR033W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000
