ORF	growth (colony size);Camptothecin	growth (colony size);Hydroxyurea	growth (colony size);Benomyl	growth (colony size);Caffeine	growth (colony size);Cycloheximide	growth (colony size);CsA	growth (colony size);FK506	growth (colony size);Fluconazole	growth (colony size);Rapamycin	growth (colony size);Sulfometuron methyl	growth (colony size);Tunicamycin	growth (colony size);Wortmannin
YPL259C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YML022W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YHR013C	-0.000	-0.000	-0.000	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YMR042W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YDR173C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000
YBR164C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YDR127W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000
YGL148W	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YHR129C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-2.000	-0.000	-0.000
YLR085C	-0.000	-0.000	-1.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR141C	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000
YDL100C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YLR242C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YMR116C	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YJL115W	-2.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YNL159C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YGR097W	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YLR295C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YPL271W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YDR298C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-3.000	-0.000
YCL038C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YBL078C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YJL095W	-0.000	-0.000	-0.000	-3.000	-2.000	-0.000	-0.000	-0.000	-2.000	-0.000	-3.000	-0.000
YLR399C	-2.000	-2.000	-3.000	-0.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YBR200W	-1.000	-2.000	-0.000	-2.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000
YER155C	-0.000	-0.000	-1.000	-2.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YOR198C	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-1.000	-0.000	-0.000
YCL029C	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YER016W	-0.000	-1.000	-1.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YER177W	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000
YDR099W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000
YDL074C	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-1.000	-0.000	-0.000	-0.000	-0.000
YNR051C	-0.000	-0.000	-0.000	-2.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
