orf	hap a | growth (colony size) | camptothecin [15 ug/ml]	hap a | growth (colony size) | hydroxyurea [100 mM]	hap a | growth (colony size) | benomyl [15 ug/ml]	hap a | growth (colony size) | caffeine [0.15 %]	hap a | growth (colony size) | cycloheximide [0.1 ug/ml]	hap a | growth (colony size) | cyclosporin A [100 ug/ml]	hap a | growth (colony size) | tacrolimus (anhydrous) [2 ug/ml]	hap a | growth (colony size) | fluconazole [15 ug/ml]	hap a | growth (colony size) | sirolimus [0.015 ug/ml]	hap a | growth (colony size) | sulfometuron methyl [3 ug/ml]	hap a | growth (colony size) | tunicamycin [5 ug/ml]	hap a | growth (colony size) | wortmannin [1.3 ug/ml]
YAL002W	-0.0	-1.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YAL013W	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YAL021C	-2.0	-2.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-3.0
YAL023C	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0
YAL026C	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0	-3.0	-0.0	-0.0	-0.0	-0.0
YAL035W	-1.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YAL047C	-0.0	-0.0	-2.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-2.0	-0.0	-2.0
YAL067C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YAR002W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YBL006C	-0.0	-0.0	-1.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBL007C	-0.0	-0.0	-0.0	-3.0	-3.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YBL024W	-0.0	-0.0	-1.0	-2.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0	-0.0	-0.0
YBL047C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YBL058W	-2.0	-2.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-3.0	-0.0
YBL078C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YBL089W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBL093C	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0
YBL094C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR032W	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR036C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0
YBR076W	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YBR081C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0
YBR082C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0
YBR083W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YBR084C-A	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR090C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YBR094W	-3.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR097W	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR098W	-3.0	-2.5	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR099C	-3.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR106W	-0.0	-1.0	-2.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-2.0
YBR126C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0
YBR127C	-0.0	-2.0	-0.0	-0.0	-0.0	-3.0	-3.0	-0.0	-0.0	-2.0	-3.0	-0.0
YBR131W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0
YBR132C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0	-0.0
YBR133C	-1.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR164C	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR171W	-0.0	-3.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR173C	-0.0	-0.0	-0.5	-0.5	-0.0	-0.0	-0.0	-0.0	-0.0	-0.5	-0.0	-0.0
YBR188C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YBR191W	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR200W	-1.0	-2.0	-0.0	-2.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR215W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YBR229C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YBR231C	-0.0	-0.0	-2.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR245C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-2.0
YBR260C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.0	-0.0
YBR263W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0
YBR267W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-1.0
YBR281C	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
YBR289W	-0.0	-2.0	-0.0	-1.0	-3.0	-0.0	-0.0	-0.0	-0.0	-1.0	-2.0	-2.0
YBR290W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
YBR301W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YCL005W	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YCL007C	-1.0	-2.0	-0.0	-2.0	-0.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-0.0
YCL008C	-0.0	-0.0	-0.0	-2.0	-0.0	-0.0	-0.0	-3.0	-0.0	-0.0	-1.0	-1.0
YCL009C	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
YCL016C	-2.0	-2.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
YCL028W	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0
