orf	hap a | growth (colony size) | edelfosine [190 uM], SD [unknown] | Czyz O~Zaremberg V, 2013
YBR026C	-7.6061796096311225
YBR035C	-3.8030898048155612
YBR081C	-11.409269414446685
YBR127C	-11.409269414446685
YBR178W	-7.6061796096311225
YBR200W	-11.409269414446685
YBR267W	-11.409269414446685
YBR289W	-7.6061796096311225
YCL005W-A	-11.409269414446685
YCR034W	-7.6061796096311225
YDR071C	-7.6061796096311225
YDR264C	-7.6061796096311225
YDR477W	-11.409269414446685
YDR521W	-7.6061796096311225
YEL031W	-7.6061796096311225
YER016W	-7.6061796096311225
YER017C	-11.409269414446685
YER178W	-7.6061796096311225
YFR010W	-7.6061796096311225
YGL025C	-11.409269414446685
YGL115W	-7.6061796096311225
YGR020C	-7.6061796096311225
YGR092W	-11.409269414446685
YGR105W	-7.6061796096311225
YGR112W	-7.6061796096311225
YHL025W	-11.409269414446685
YHR026W	-11.409269414446685
YHR039C-A	-7.6061796096311225
YHR041C	-7.6061796096311225
YJL129C	-7.6061796096311225
YJL140W	-7.6061796096311225
YJL175W	-11.409269414446685
YKL054C	-7.6061796096311225
YKL080W	-11.409269414446685
YKL119C	-11.409269414446685
YKR031C	-7.6061796096311225
YKR048C	-7.6061796096311225
YLL009C	-7.6061796096311225
YLR056W	-11.409269414446685
YLR182W	-7.6061796096311225
YLR268W	-7.6061796096311225
YLR372W	-7.6061796096311225
YLR447C	-3.8030898048155612
YMR116C	-7.6061796096311225
YNL257C	-11.409269414446685
YOL004W	-11.409269414446685
YOL012C	-11.409269414446685
YOL051W	-11.409269414446685
YOR037W	-7.6061796096311225
YOR184W	-7.6061796096311225
YOR196C	-7.6061796096311225
YOR290C	-11.409269414446685
YOR332W	-11.409269414446685
YPL234C	-7.6061796096311225
