orf	hom | expression of human amyloid-beta peptide isoform 42 (Ab42-GFP) | expression of amyloid-beta 42 [unknown] | Nair S~Perrone GG, 2014
YBL003C	6.437814423036326
YBL008W	6.437814423036326
YBL021C	6.437814423036326
YBL024W	6.437814423036326
YBL033C	6.437814423036326
YBL058W	6.437814423036326
YBL080C	6.437814423036326
YBR035C	6.437814423036326
YBR187W	6.437814423036326
YBR194W	6.437814423036326
YBR213W	6.437814423036326
YBR218C	6.437814423036326
YBR231C	6.437814423036326
YCL016C	6.437814423036326
YCR028C-A	6.437814423036326
YCR047C	6.437814423036326
YCR063W	6.437814423036326
YCR081W	6.437814423036326
YDL041W	6.437814423036326
YDL066W	6.437814423036326
YDL088C	6.437814423036326
YDL242W	6.437814423036326
YDR006C	6.437814423036326
YDR014W	6.437814423036326
YDR015C	6.437814423036326
YDR031W	6.437814423036326
YDR051C	6.437814423036326
YDR123C	6.437814423036326
YDR143C	6.437814423036326
YDR148C	6.437814423036326
YDR178W	6.437814423036326
YDR207C	6.437814423036326
YDR226W	6.437814423036326
YDR230W	6.437814423036326
YDR231C	6.437814423036326
YDR237W	6.437814423036326
YDR257C	6.437814423036326
YDR281C	6.437814423036326
YDR315C	6.437814423036326
YDR322W	6.437814423036326
YDR334W	6.437814423036326
YDR425W	6.437814423036326
YDR430C	6.437814423036326
YDR443C	6.437814423036326
YDR485C	6.437814423036326
YDR516C	6.437814423036326
YEL008W	6.437814423036326
YEL017W	6.437814423036326
YER016W	6.437814423036326
YER042W	6.437814423036326
YER050C	6.437814423036326
YER058W	6.437814423036326
YER068W	6.437814423036326
YER111C	6.437814423036326
YER119C-A	6.437814423036326
YER120W	6.437814423036326
YER164W	6.437814423036326
YFL001W	6.437814423036326
YFL018C	6.437814423036326
YFL021W	6.437814423036326
YGL062W	6.437814423036326
YGL237C	6.437814423036326
YGL261C	6.437814423036326
YGR008C	6.437814423036326
YGR157W	6.437814423036326
YGR162W	6.437814423036326
YGR184C	6.437814423036326
YGR244C	6.437814423036326
YIL090W	6.437814423036326
YIL122W	6.437814423036326
YIL125W	6.437814423036326
YJL003W	6.437814423036326
YJL128C	6.437814423036326
YJL200C	6.437814423036326
YJR053W	6.437814423036326
YJR073C	6.437814423036326
YJR113C	6.437814423036326
YKL085W	6.437814423036326
YKL139W	6.437814423036326
YKL148C	6.437814423036326
YLL041C	6.437814423036326
YLR286C	6.437814423036326
YLR304C	6.437814423036326
YML041C	6.437814423036326
YMR151W	6.437814423036326
YNL037C	6.437814423036326
YNL077W	6.437814423036326
YNL147W	6.437814423036326
YNL169C	6.437814423036326
YNL220W	6.437814423036326
YNL315C	6.437814423036326
YNR001C	6.437814423036326
YOL108C	6.437814423036326
YOR008C	6.437814423036326
YOR136W	6.437814423036326
YOR142W	6.437814423036326
YOR179C	6.437814423036326
YOR187W	6.437814423036326
YOR364W	6.437814423036326
YPL042C	6.437814423036326
YPL046C	6.437814423036326
YPL215W	6.437814423036326
YPL250C	6.437814423036326
YPL254W	6.437814423036326
YPL262W	6.437814423036326
YPR001W	6.437814423036326
YPR070W	6.437814423036326
YPR101W	6.437814423036326
YPR116W	6.437814423036326
YPR167C	6.437814423036326
