orf	hap a | growth (spot assay) | yttrium [3.75 mM] | YPD | Grosjean N~Blaudez D, 2018
YAL016W	1.9541765957524266
YAL020C	1.9541765957524266
YAL053W	1.9541765957524266
YAL058W	1.9541765957524266
YAR018C	1.9541765957524266
YAR020C	1.9541765957524266
YBL007C	1.9541765957524266
YBL071W-A	-4.0915572473566435
YBR036C	-6.106801861726333
YBR058C-A	3.9694212101221167
YBR085C-A	3.9694212101221167
YBR085W	1.9541765957524266
YBR101C	5.984665824491806
YBR105C	3.9694212101221167
YBR147W	3.9694212101221167
YBR191W	5.984665824491806
YBR200W	1.9541765957524266
YBR279W	1.9541765957524266
YBR282W	-2.0763126329869532
YBR284W	1.9541765957524266
YCL007C	-2.0763126329869532
YCL008C	3.9694212101221167
YCL032W	1.9541765957524266
YCR023C	3.9694212101221167
YCR024C-A	3.9694212101221167
YCR025C	3.9694212101221167
YCR026C	3.9694212101221167
YCR034W	5.984665824491806
YCR050C	3.9694212101221167
YCR061W	3.9694212101221167
YCR063W	-2.0763126329869532
YCR068W	3.9694212101221167
YCR081W	3.9694212101221167
YCR087C-A	3.9694212101221167
YCR094W	-4.0915572473566435
YDL006W	1.9541765957524266
YDL068W	1.9541765957524266
YDL077C	3.9694212101221167
YDL081C	1.9541765957524266
YDL100C	1.9541765957524266
YDL151C	-4.0915572473566435
YDL159W	1.9541765957524266
YDL160C	-4.0915572473566435
YDL232W	1.9541765957524266
YDR027C	-6.106801861726333
YDR069C	3.9694212101221167
YDR127W	3.9694212101221167
YDR159W	1.9541765957524266
YDR162C	1.9541765957524266
YDR173C	-2.0763126329869532
YDR200C	1.9541765957524266
YDR203W	1.9541765957524266
YDR264C	3.9694212101221167
YDR294C	3.9694212101221167
YDR297W	5.984665824491806
YDR300C	3.9694212101221167
YDR326C	3.9694212101221167
YDR363W-A	1.9541765957524266
YDR372C	-2.0763126329869532
YDR382W	-4.0915572473566435
YDR432W	1.9541765957524266
YDR433W	3.9694212101221167
YDR442W	1.9541765957524266
YDR444W	-2.0763126329869532
YDR455C	1.9541765957524266
YDR456W	1.9541765957524266
YDR461W	1.9541765957524266
YDR462W	1.9541765957524266
YDR463W	3.9694212101221167
YDR484W	-6.106801861726333
YDR486C	3.9694212101221167
YDR500C	1.9541765957524266
YDR514C	1.9541765957524266
YEL045C	1.9541765957524266
YEL046C	3.9694212101221167
YEL053C	3.9694212101221167
YEL062W	1.9541765957524266
YER019W	3.9694212101221167
YER031C	1.9541765957524266
YER037W	5.984665824491806
YER087W	5.984665824491806
YER090W	3.9694212101221167
YER111C	1.9541765957524266
YER151C	1.9541765957524266
YER155C	1.9541765957524266
YER169W	-2.0763126329869532
YER174C	1.9541765957524266
YFL025C	1.9541765957524266
YFR010W	5.984665824491806
YFR013W	3.9694212101221167
YFR034C	-4.0915572473566435
YGL007W	1.9541765957524266
YGL019W	3.9694212101221167
YGL020C	5.984665824491806
YGL058W	-2.0763126329869532
YGL070C	-4.0915572473566435
YGL079W	1.9541765957524266
YGL124C	3.9694212101221167
YGL140C	3.9694212101221167
YGL158W	1.9541765957524266
YGL173C	3.9694212101221167
YGL203C	3.9694212101221167
YGL212W	3.9694212101221167
YGL223C	-4.0915572473566435
YGL253W	1.9541765957524266
YGR020C	-2.0763126329869532
YGR026W	3.9694212101221167
YGR028W	3.9694212101221167
YGR036C	3.9694212101221167
YGR037C	3.9694212101221167
YGR039W	1.9541765957524266
YGR044C	1.9541765957524266
YGR072W	1.9541765957524266
YGR096W	1.9541765957524266
YGR097W	1.9541765957524266
YGR105W	-4.0915572473566435
YGR139W	3.9694212101221167
YGR160W	-4.0915572473566435
YGR206W	1.9541765957524266
YGR208W	5.984665824491806
YGR227W	1.9541765957524266
YGR228W	1.9541765957524266
YGR229C	3.9694212101221167
YGR258C	3.9694212101221167
YGR270W	1.9541765957524266
YGR271C-A	-6.106801861726333
YGR289C	1.9541765957524266
YHL023C	1.9541765957524266
YHR026W	-4.0915572473566435
YHR050W	-2.0763126329869532
YHR060W	-6.106801861726333
YHR064C	-4.0915572473566435
YHR111W	-4.0915572473566435
YHR135C	3.9694212101221167
YHR153C	3.9694212101221167
YHR191C	3.9694212101221167
YHR193C	3.9694212101221167
YIL084C	1.9541765957524266
YIL097W	1.9541765957524266
YIL128W	1.9541765957524266
YIL134W	1.9541765957524266
YIL148W	3.9694212101221167
YIL157C	1.9541765957524266
YIR033W	3.9694212101221167
YJL075C	-4.0915572473566435
YJL095W	-2.0763126329869532
YJL096W	1.9541765957524266
YJL120W	1.9541765957524266
YJL124C	1.9541765957524266
YJL131C	1.9541765957524266
YJL134W	5.984665824491806
YJL137C	3.9694212101221167
YJL154C	1.9541765957524266
YJL157C	3.9694212101221167
YJL188C	-4.0915572473566435
YJL204C	-4.0915572473566435
YJR055W	1.9541765957524266
YJR074W	3.9694212101221167
YJR086W	1.9541765957524266
YJR087W	1.9541765957524266
YJR102C	5.984665824491806
YJR105W	-2.0763126329869532
YKL002W	3.9694212101221167
YKL016C	1.9541765957524266
YKL023W	3.9694212101221167
YKL041W	5.984665824491806
YKL048C	3.9694212101221167
YKL053W	1.9541765957524266
YKL054C	3.9694212101221167
YKL055C	3.9694212101221167
YKL077W	3.9694212101221167
YKL096C-B	3.9694212101221167
YKL101W	1.9541765957524266
YKL135C	-2.0763126329869532
YKL143W	-6.106801861726333
YKL176C	-2.0763126329869532
YKL212W	3.9694212101221167
YKL213C	3.9694212101221167
YKR001C	-2.0763126329869532
YKR004C	1.9541765957524266
YKR020W	-4.0915572473566435
YKR024C	-2.0763126329869532
YKR035C	5.984665824491806
YKR035W-A	3.9694212101221167
YKR042W	3.9694212101221167
YKR050W	3.9694212101221167
YKR055W	3.9694212101221167
YKR092C	1.9541765957524266
YKR101W	3.9694212101221167
YLL030C	3.9694212101221167
YLL038C	3.9694212101221167
YLL045C	1.9541765957524266
YLR025W	3.9694212101221167
YLR027C	3.9694212101221167
YLR056W	5.984665824491806
YLR062C	-2.0763126329869532
YLR068W	1.9541765957524266
YLR083C	1.9541765957524266
YLR087C	1.9541765957524266
YLR119W	5.984665824491806
YLR148W	-4.0915572473566435
YLR181C	1.9541765957524266
YLR206W	1.9541765957524266
YLR216C	1.9541765957524266
YLR217W	1.9541765957524266
YLR226W	-4.0915572473566435
YLR242C	3.9694212101221167
YLR262C-A	3.9694212101221167
YLR268W	1.9541765957524266
YLR312C	1.9541765957524266
YLR337C	1.9541765957524266
YLR342W	3.9694212101221167
YLR350W	5.984665824491806
YLR357W	1.9541765957524266
YLR361C	3.9694212101221167
YLR370C	1.9541765957524266
YLR371W	1.9541765957524266
YLR372W	5.984665824491806
YLR374C	-2.0763126329869532
YLR381W	1.9541765957524266
YLR403W	-4.0915572473566435
YLR407W	5.984665824491806
YLR408C	1.9541765957524266
YLR417W	5.984665824491806
YLR425W	3.9694212101221167
YML012C-A	3.9694212101221167
YML057C-A	-2.0763126329869532
YML057W	-4.0915572473566435
YML097C	1.9541765957524266
YML111W	1.9541765957524266
YML116W	1.9541765957524266
YMR010W	5.984665824491806
YMR054W	3.9694212101221167
