	condition_id_fix	dataset_id
0	48H-24D	22094
1	48H-20	22111
2	48H-37	22112
3	48H-39	22113
4	72H-39	22114
5	48H-42	22115
6	48H-6AU	22116
7	48H-6AU39	22117
8	72H-6AU39	22118
9	48H-AA	22119
10	48H-Min	22120
11	48H-Ampho	22121
12	48H-AmphoAna	22122
13	48H-Ana37	22123
14	48H-Ana	22124
15	72H-Ars	22125
16	48H-Ars	22126
17	48H-Ator	22127
18	48H-AtorAna	22128
19	48H-BCSA	22129
20	72H-Ben	22130
21	48H-Ben	22131
22	48H-Cd	22132
23	48H-Caff15	22133
24	48H-Caff	22134
25	48H-Cw	22135
26	72H-Cant	22136
27	48H-Cant	22137
28	72H-Caspo	22138
29	48H-Caspo	22139
30	48H-Chmt	22140
31	48H-Cis	22141
32	48H-Cloz	22142
33	72H-Cu	22143
34	48H-Chx	22144
35	48H-DMSO1	22145
36	48H-DMSO6	22146
37	48H-Doxo	22147
38	48H-ECE	22148
39	48H-EtOH	22149
40	72H-EtOH39	22150
41	48H-EtOH39	22151
42	48H-EtOH20	22152
43	48H-EDTA	22153
44	48H-Feno	22154
45	48H-FenoAna	22155
46	48H-Flu	22156
47	48H-5FU	22157
48	48H-XlGlu	22158
49	72H-XlGlu	22159
50	48H-Lglu	22160
51	48H-Hglu	22161
52	48H-Glyc	22162
53	72H-Glyc	22163
54	48H-GjW	22164
55	48H-Halo	22165
56	48H-Hyd	22166
57	48H-keto	22167
58	48H-LiCl	22168
59	48H-MYXOP	22169
60	48H-MYXPM	22170
61	48H-MYXM	22171
62	48H-Mal	22172
63	72H-Mal	22173
64	48H-Mtrx	22174
65	48H-MMS	22175
66	48H-MG132	22176
67	48H-Myr	22177
68	48H-NaCl639	22178
69	72H-NaCl639	22179
70	48H-Ni	22180
71	48H-Nitr	22181
72	48H-Nati	22182
73	48H-Noco	22183
74	48H-Nys	22184
75	48H-PSU	22185
76	72H-Para	22186
77	48H-Para	22187
78	48H-pH3	22188
79	48H-pH4	22189
80	48H-pH75	22190
81	48H-pH85	22191
82	48H-PP1	22192
83	48H-PP2	22193
84	48H-Rapa	22194
85	72H-Rapa39	22195
86	48H-Rapa39	22196
87	48H-Simva	22197
88	48H-SimvaAna	22198
89	48H-NaCl4	22199
90	48H-NaCl439	22200
91	72H-NaCl439	22201
92	48H-NaCl6	22202
93	72H-NaCl6	22203
94	48H-SDS	22204
95	48H-Sorb	22205
96	48H-Staur	22206
97	48H-SCH	22207
98	48H-EGTA	22208
99	48H-Tuni	22209
100	48H-UV39	22210
101	48H-UV	22211
