orf	hap a (post-SGA) | protein stability (tFT-Pex15Δ30) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019	hap a (post-SGA) | protein stability (tFT-Tom5) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019
YAL002W	1.70492593354876	1.02754663816987
YAL004W	-0.763434817627119	0.129615966227956
YAL007C	-0.0502763189086965	0.0688008391729664
YAL008W	0.229162995049971	-0.372181782774223
YAL009W	1.75167326537595	1.17366533468085
YAL011W	0.569806538597606	0.258487635307028
YAL014C	0.0257877462105733	0.51666371552243
YAL015C	-1.02139713129333	-0.0140554804570643
YAL016C-B	0.207626126867646	-1.03070228560346
YAL017W	0.457372439294011	-0.00423862720738141
YAL018C	0.100077640441642	-0.238001489551473
YAL019W	-0.257797658372444	1.39887628515603
YAL020C	-0.622722494095542	0.297176795044268
YAL021C	5.97084668884194	
YAL022C	-0.549911664547172	-0.194174053759968
YAL023C	0.165082725995463	0.0820827882140747
YAL024C	6.79674144000943	2.2385367211223
YAL027W	-0.748318859934213	0.246032466470695
YAL028W	0.652296216156105	-0.448953331868689
YAL029C	0.564730854833094	-0.0534269039795266
YAL030W	-1.12819623298276	-0.728392933853831
YAL031C	-0.540541061479642	0.880267143490081
YAL034C	0.242348914015195	-0.305722248312023
YAL036C	0.566985752575441	-0.105099708947361
YAL037C-A	-1.06653409678056	-0.0429290625092824
YAL037W	0.318510760813502	0.0431742297546208
YAL039C	6.62912864250046	32.9261559661338
YAL040C	-0.289340839411047	-0.851378859401599
YAL042W	0.946232747453262	0.791610916227451
YAL043C-A	0.319102555491453	-0.311256853306675
YAL044W-A	0.248662152767116	0.0586884686493821
YAL045C	0.653399609799442	0.794000232377239
YAL046C	0.011144948858242	-0.90940721045239
YAL048C	1.52763597307526	3.85047991196298
YAL049C	-0.3996273038251045	0.11846180923174249
YAL051W	-0.32206237523504	0.189086210563542
YAL053W	0.321051615351231	-0.400974110959192
YAL054C	0.863921055815417	-0.390973284480732
YAL055W	-0.463382014429958	-0.319262735185271
YAL056W	0.614640872572928	0.505798061799584
YAL058C-A	-0.35366496509079	-1.37191411177694
YAL058W	-0.434804746344527	-2.96727407775999
YAL059W	-0.420852970151108	-0.708126550449188
YAL060W	-1.10639582467658	-0.497090579697631
YAL061W	-0.377434009719441	-0.389218362734059
YAL062W	-0.406025200903482	-0.431345192742275
YAL064C-A	-0.244685661463616	-0.378738947252819
YAL065C	-0.566057708905708	-0.507690149437506
YAL066W	-0.0498974799345735	-0.0538864253881506
YAL067C	-0.570867295496968	-0.428833023844999
YAL067W-A	-0.131252318253519	-0.197324658455198
YAL068C	-0.111371656691189	-0.647341508457082
YAR002C-A	0.48162335896203	-0.260997902139156
YAR003W	1.93266929060014	0.980128849364918
YAR014C	0.159846908219045	-0.0480157738249124
YAR020C	-0.188569488421905	-0.562973300814688
YAR023C	-0.792474157620574	0.0596013968704853
YAR027W	0.129197244622591	0.434472912463572
YAR028W	-0.307475602936093	-0.23946042135905
YAR029W	-0.700028911824335	-0.639311512392507
YAR030C	-0.244026384234848	0.105101229900521
YAR031W	0.0378315681648195	0.21503407633382
YAR035C-A	0.00612366102188407	-0.478304181346569
YAR035W	0.485632084962935	-0.562299635253688
YAR037W	-0.659820050900002	-0.408181536792859
YAR040C	-0.408938361319696	-0.263804012282898
YAR042W	0.09863983591345454	-0.15840061366435554
YAR043C	-0.109215050609935	0.316496246604241
YAR047C	0.1959460807918	-0.114739513817241
YAR050W	-0.377503008012434	0.0929960147826516
YBL006C	2.38677467354823	1.89650151256441
YBL007C	6.9518279840793	2.14993967752612
YBL008W	-0.18151210312938099	-0.760061776027077
YBL008W-A	0.396321580929045	-0.941715751790499
YBL009W	-0.300102187328983	0.362141762812688
YBL010C	-0.870422262615832	-0.319876587818432
YBL012C	-0.0453084213634611	0.0534838032818926
YBL013W	0.111176754966565	1.68675515124987
YBL015W	-0.781689886625118	0.0444372485829663
YBL016W	0.0795324824914225	-0.190568742605393
YBL017C	0.974729513901316	0.720342181146487
YBL019W	0.2069695528206	-1.46979656509994
YBL024W	-0.164530601397056	0.378359068338311
YBL028C	0.399594159321261	-0.0374614863932334
YBL029C-A	-0.358795318694157	-0.127643899371564
YBL029W	0.0852195139071284	-1.02506724002432
YBL031W	1.45327570593324	-0.491289853593319
YBL032W	-1.19230285897593	0.682640071590733
YBL036C	-0.440887673424149	-0.2384943381762
YBL037W	-0.269299027578505	-0.0452371469939715
YBL039C	-0.18366628424391	0.772523671767193
YBL039W-B	-0.110930605831256	-0.126359084631284
YBL042C	-0.718480475806199	-2.42608958645375
YBL043W	-0.344230204290705	0.184781481523908
YBL044W	0.0670676260304672	0.915929471125042
YBL045C	6.2811627153965	32.7915124401788
YBL048W	-0.720082473565346	0.521807563762926
YBL049W	0.616091009524027	0.214933761166769
YBL051C	0.80364436642021	1.97273363491225
YBL052C	-0.291695267586451	-3.57655908155819
YBL053W	-0.625834557492479	-0.8229736642029
YBL054W	0.0077235234899075	-0.345137844733557
YBL055C	-0.520069469576654	0.0272840121482301
YBL056W	-0.816301920938464	-0.21156117307446
YBL057C	0.0572275416798103	-0.477434489507735
YBL059W	0.532826426266415	2.13045102698308
YBL060W	-0.081412313260558	-0.300491469931254
YBL061C	1.25942135611289	0.586105337480801
YBL062W	0.890658653815543	0.802804881667484
YBL063W	-0.391926233071878	-0.622970649634927
YBL064C	0.17265571292094	-1.15890304387046
YBL066C	-0.0119323540550247	0.773371441801048
YBL067C	0.659777468221434	-1.05999974549849
YBL068W	-0.298462964532906	-0.0115906401225425
YBL070C	-0.225459369816471	-0.235843499642787
YBL071C	0.0457056475777355	0.249655393320265
YBL078C	-0.202204980190928	1.15827625048928
YBL081W	-1.11898314692245	0.247199046984388
YBL082C	0.494028318497482	-0.906964940185686
YBL083C	0.378420266485387	-0.216102985129929
YBL085W	-0.115721453122146	0.100509299618469
YBL086C	-0.772930479624954	0.526785018751345
YBL087C		0.456851059622914
YBL088C	0.097291491347734	-0.276917851630688
YBL089W	-0.892072690192005	6.97554042218692
YBL091C-A	-0.31429094974714844	-0.10639460293883699
YBL092W	0.307898102590194	-0.954393725417846
YBL094C	0.084724291757361	-0.46594155769558
YBL095W	0.200907539435339	0.402705406246327
YBL096C	-0.296290671239327	0.339742332035163
YBL098W	0.629216833955253	0.582317508517908
YBL099W	4.91230523543147	28.3770910870212
YBL100C	5.18231324987595	26.9330227790467
YBL100W-C	-1.04782593387157	0.10173272152089
YBL101C	-0.492821030106973	1.21790797084013
YBL102W	-0.0222351845358188	-0.597023625463344
YBL104C	-0.26593906052781047	-0.6239319607352025
YBL106C	0.684656133382297	0.47328499233045
YBL107C	0.0220705354223115	0.00894354254886231
YBR001C	-0.237851168331351	-0.321501077790657
YBR003W	5.59461313383757	26.9381204882494
YBR005W	-0.794829528075278	-0.154318985030906
YBR006W	-0.691446133702922	-0.0994459601270816
YBR007C	-0.370918169349824	-0.310050462590834
YBR008C	-0.233884533701155	-0.27481267394256
YBR009C	0.463744060888959	-0.382933140088278
YBR010W	0.737585231782124	-0.632348720607551
YBR012C	0.09992026504896	0.138995745351953
YBR013C	0.0407250609952279	-0.184793680129175
YBR014C	-0.405152809163141	-0.293385041860544
YBR015C	-0.0158040738327506	-2.06316671386892
YBR016W	-0.739997833388101	-0.621585751800752
YBR018C	-0.497641321434183	-0.0135276625096148
YBR019C	0.0997790558179897	0.0658722794076704
YBR020W	-0.052137322243911655	-0.6775126736640255
YBR022W	-0.119999188608641	0.0668384716849094
YBR023C	2.29597601934206	0.76383391790646
YBR024W	-0.526467514902166	-0.398763873621675
YBR025C	-0.451088179708139	-0.466014319153475
YBR027C	0.049395257187353	-0.427505846603131
YBR028C	-0.134078123909477	-0.244603831774052
YBR030W	0.263035883421724	-0.587246264282283
YBR031W	-0.453290906955939	0.20326143860313
YBR032W	0.532349740904187	-0.413754593679056
YBR033W	-0.645497865271716	0.096406163351728
YBR034C	0.359728547862281	-0.470443908160924
YBR036C	13.0475927852882	
YBR037C	6.16528635451951	34.2010708617763
YBR040W	0.633403494102423	-0.0709853083980423
YBR041W	0.261363515174529	0.214918305912019
YBR042C	-0.174286117588346	0.432654722492394
YBR043C	-0.506337568086795	-0.11652859779896
YBR044C	0.893826694294869	2.04575693772418
YBR045C	-0.24659616451632	-0.544395117986139
YBR046C	-0.896240876505605	0.0126285494608229
YBR047W	-0.188534260682764	-0.621614683077183
YBR048W		0.618786142406448
