orf	hap a | growth (colony size) | calcofluor white [50 ug/ml] | YPD | Zhao F~Han S, 2019	hap a | growth (colony size) | calcofluor white [500 ug/ml] | YPD | Zhao F~Han S, 2019
YGL012W	-3.0833822949500758	0.0
YGL020C	-3.0833822949500758	0.0
YGL027C	-3.0833822949500758	0.0
YGL036W	-3.0833822949500758	0.0
YGL041C-B	-3.0833822949500758	0.0
YGL045W	0.0	13.433972447512463
YGL058W	-3.0833822949500758	0.0
YGL066W	-3.0833822949500758	0.0
YGL070C	0.0	4.4779908158374875
YGL072C	-3.0833822949500758	0.0
YGL084C	-3.0833822949500758	0.0
YGL095C	-3.0833822949500758	0.0
YGL101W	-3.0833822949500758	0.0
YGL110C	-3.0833822949500758	0.0
YGL127C	-3.0833822949500758	0.0
YGL138C	-3.0833822949500758	0.0
YGL156W	-3.0833822949500758	0.0
YGL164C	-3.0833822949500758	0.0
YGL167C	-3.0833822949500758	0.0
YGL168W	-3.0833822949500758	0.0
YGL178W	-3.0833822949500758	0.0
YGL192W	-3.0833822949500758	0.0
YGL202W	-3.0833822949500758	0.0
YGL206C	-3.0833822949500758	0.0
YGL211W	-3.0833822949500758	0.0
YGL212W	-3.0833822949500758	0.0
YGL214W	-3.0833822949500758	0.0
YGL244W	-3.0833822949500758	0.0
YGL246C	-3.0833822949500758	0.0
YGL253W	0.0	4.4779908158374875
YGR001C	-3.0833822949500758	0.0
YGR010W	-3.0833822949500758	0.0
YGR020C	-3.0833822949500758	0.0
YGR025W	-3.0833822949500758	0.0
YGR035W-A	-3.0833822949500758	0.0
YGR036C	-3.0833822949500758	0.0
YGR055W	0.0	8.955981631674975
YGR068C	-3.0833822949500758	0.0
YGR072W	-3.0833822949500758	0.0
YGR078C	-3.0833822949500758	0.0
YGR079W	-3.0833822949500758	0.0
YGR086C	-3.0833822949500758	0.0
YGR092W	-3.0833822949500758	0.0
YGR104C	-3.0833822949500758	0.0
YGR105W	-3.0833822949500758	0.0
YGR107W	-3.0833822949500758	0.0
YGR122W	0.0	13.433972447512463
YGR136W	-3.0833822949500758	0.0
YGR155W	0.0	8.955981631674975
YGR159C	-3.0833822949500758	0.0
YGR166W	-3.0833822949500758	0.0
YGR167W	-3.0833822949500758	0.0
YGR180C	-3.0833822949500758	0.0
YGR189C	-3.0833822949500758	0.0
YGR227W	-3.0833822949500758	0.0
YGR228W	-3.0833822949500758	0.0
YGR229C	-3.0833822949500758	0.0
YGR238C	-3.0833822949500758	0.0
YGR243W	-3.0833822949500758	0.0
