orf	hap a | growth (colony size) | calcofluor white [50 ug/ml] | YPD | Zhao F~Han S, 2019	hap a | growth (colony size) | calcofluor white [500 ug/ml] | YPD | Zhao F~Han S, 2019
YAL010C	-1.0	0.0
YAL012W	0.0	2.0
YAL013W	-1.0	0.0
YAL022C	-1.0	0.0
YAL023C	-1.0	0.0
YAL035W	-1.0	0.0
YAL047C	-1.0	0.0
YAL053W	-1.0	0.0
YAL056C-A	-1.0	0.0
YBL007C	-1.0	0.0
YBL022C	-1.0	0.0
YBL024W	-1.0	0.0
YBL033C	-1.0	0.0
YBL058W	-1.0	0.0
YBL061C	0.0	3.0
YBL071W-A	-1.0	0.0
YBL082C	-1.0	0.0
YBL094C	-1.0	0.0
YBL104C	-1.0	0.0
YBR005W	-1.0	0.0
YBR015C	-1.0	0.0
YBR023C	0.0	3.0
YBR036C	0.0	2.0
YBR059C	-1.0	0.0
YBR069C	-1.0	0.0
YBR078W	-1.0	0.0
YBR081C	-1.0	0.0
YBR084C-A	0.0	1.0
YBR085C-A	-1.0	0.0
YBR090C	-1.0	0.0
YBR106W	0.0	2.0
YBR122C	-1.0	0.0
YBR126C	0.0	1.0
YBR127C	-1.0	0.0
YBR131W	-1.0	0.0
YBR133C	-1.0	0.0
YBR164C	-1.0	0.0
YBR171W	-1.0	0.0
YBR174C	-1.0	0.0
YBR175W	-1.0	0.0
YBR194W	0.0	1.0
YBR200W	-1.0	0.0
YBR276C	-1.0	0.0
YBR288C	-1.0	0.0
YBR289W	-1.0	0.0
YCL001W-B	-1.0	0.0
YCL007C	-1.0	0.0
YCL008C	0.0	2.0
YCL028W	-1.0	0.0
YCL033C	-1.0	0.0
YCR009C	-1.0	0.0
YCR020W-B	-1.0	0.0
YCR043C	-1.0	0.0
YCR047C	-1.0	0.0
YCR068W	-1.0	0.0
YCR094W	-1.0	0.0
YDL006W	-1.0	0.0
YDL020C	-1.0	0.0
YDL042C	-1.0	0.0
YDL047W	-1.0	0.0
YDL052C	-1.0	0.0
YDL074C	-1.0	0.0
YDL075W	-1.0	0.0
YDL077C	-1.0	0.0
YDL083C	-1.0	0.0
YDL095W	-1.0	0.0
YDL115C	-1.0	0.0
YDL116W	-1.0	0.0
YDL133C-A	-1.0	0.0
YDL134C	-1.0	0.0
YDL136W	-1.0	0.0
YDL137W	-1.0	0.0
YDL175C	-1.0	0.0
YDL185W	-1.0	0.0
YDL192W	-1.0	0.0
YDL216C	0.0	1.0
YDL223C	-1.0	0.0
YDR007W	-1.0	0.0
YDR024W	-1.0	0.0
YDR025W	-1.0	0.0
YDR027C	-1.0	0.0
YDR048C	-1.0	0.0
YDR069C	-1.0	0.0
YDR108W	-1.0	0.0
YDR136C	-1.0	0.0
YDR147W	-1.0	0.0
YDR156W	0.0	2.0
YDR162C	-1.0	0.0
YDR200C	-1.0	0.0
YDR202C	-1.0	0.0
YDR207C	-1.0	0.0
YDR245W	-1.0	0.0
YDR276C	-1.0	0.0
YDR290W	-1.0	0.0
YDR293C	-1.0	0.0
YDR305C	-1.0	0.0
YDR310C	-1.0	0.0
YDR318W	-1.0	0.0
YDR320C	-1.0	0.0
YDR337W	-1.0	0.0
YDR351W	-1.0	0.0
YDR359C	-1.0	0.0
YDR360W	-1.0	0.0
YDR364C	-1.0	0.0
YDR369C	-1.0	0.0
YDR372C	-1.0	0.0
YDR378C	0.0	1.0
YDR388W	0.0	2.0
YDR389W	-1.0	0.0
YDR414C	-1.0	0.0
YDR417C	0.0	1.0
YDR432W	-1.0	0.0
YDR436W	-1.0	0.0
YDR448W	-1.0	0.0
YDR455C	-1.0	0.0
YDR456W	-1.0	0.0
YDR463W	-1.0	0.0
YDR469W	-1.0	0.0
YDR470C	-1.0	0.0
YDR477W	-1.0	0.0
YDR484W	-1.0	0.0
YDR495C	-1.0	0.0
YDR505C	-1.0	0.0
YDR524C-B	-1.0	0.0
YDR525W	-1.0	0.0
YDR532C	-1.0	0.0
YDR537C	-1.0	0.0
YEL027W	-1.0	0.0
YEL031W	-1.0	0.0
YEL036C	-1.0	0.0
YEL042W	-1.0	0.0
YEL051W	-1.0	0.0
YEL061C	-1.0	0.0
YER005W	-1.0	0.0
YER015W	-1.0	0.0
YER016W	-1.0	0.0
YER040W	-1.0	0.0
YER068W	-1.0	0.0
YER070W	-1.0	0.0
YER083C	-1.0	0.0
YER099C	-1.0	0.0
YER111C	-1.0	0.0
YER149C	-1.0	0.0
YER151C	-1.0	0.0
YER154W	-1.0	0.0
YER155C	-1.0	0.0
YER167W	-1.0	0.0
YFL025C	-1.0	0.0
YFR011C	-1.0	0.0
YFR012W	-1.0	0.0
YFR012W-A	-1.0	0.0
YFR018C	-1.0	0.0
YFR019W	-1.0	0.0
YFR043C	-1.0	0.0
YGL003C	-1.0	0.0
YGL006W-A	-1.0	0.0
YGL012W	-1.0	0.0
YGL020C	-1.0	0.0
YGL027C	-1.0	0.0
YGL036W	-1.0	0.0
YGL041C-B	-1.0	0.0
YGL045W	0.0	3.0
YGL058W	-1.0	0.0
YGL066W	-1.0	0.0
YGL070C	0.0	1.0
YGL072C	-1.0	0.0
YGL084C	-1.0	0.0
YGL095C	-1.0	0.0
YGL101W	-1.0	0.0
YGL110C	-1.0	0.0
YGL127C	-1.0	0.0
YGL138C	-1.0	0.0
YGL156W	-1.0	0.0
YGL164C	-1.0	0.0
YGL167C	-1.0	0.0
YGL168W	-1.0	0.0
YGL178W	-1.0	0.0
YGL192W	-1.0	0.0
YGL202W	-1.0	0.0
YGL206C	-1.0	0.0
YGL211W	-1.0	0.0
YGL212W	-1.0	0.0
YGL214W	-1.0	0.0
YGL244W	-1.0	0.0
YGL246C	-1.0	0.0
YGL253W	0.0	1.0
YGR001C	-1.0	0.0
YGR010W	-1.0	0.0
YGR020C	-1.0	0.0
YGR025W	-1.0	0.0
YGR035W-A	-1.0	0.0
YGR036C	-1.0	0.0
YGR055W	0.0	2.0
YGR068C	-1.0	0.0
YGR072W	-1.0	0.0
YGR078C	-1.0	0.0
YGR079W	-1.0	0.0
