orf	hap alpha | abundance of calcium | hypotonic shock (sodium 2-(N-morpholino)ethanesulfonate [10 mM], minimal complete-leu [standard]) | Loukin SH~Saimi Y, 2007
YAL002W	-0.20998422644912865
YAL004W	0.026758420837221242
YAL005C	-0.00021226049919835402
YAL007C	-0.18474850122206937
YAL008W	0.05972258691506746
YAL009W	-0.18595374517454097
YAL010C	-0.20324997393067185
YAL011W	-0.20746065392642274
YAL012W	-0.02936975383586821
YAL013W	-0.15045162633294518
YAL014C	-0.08640722147126102
YAL015C	0.26949455286499774
YAL016C-B	0.41472129852264183
YAL016W	-0.20542396631978235
YAL017W	-0.004237735325529621
YAL018C	0.1865078410606297
YAL019W	0.0860939197773444
YAL020C	0.026758420837221242
YAL021C	-0.26485055174436345
YAL022C	-0.25548221280740346
YAL023C	-0.07851423857267464
YAL024C	-0.03257707810290186
YAL026C	-0.26878776052760134
YAL027W	0.5392013662291939
YAL028W	0.30429543200876497
YAL029C	0.3893642476935294
YAL030W	0.003937075091020067
YAL031C	-0.2362694525362925
YAL034C	-0.13085149822248085
YAL035W	-0.12975647794184372
YAL036C	0.05372910217364089
YAL037C-A	0.32343591553783696
YAL037W	0.1009277945123752
YAL039C	-0.019205698060057237
YAL040C	-0.011938643688945991
YAL042C-A	0.03178685295079102
YAL042W	5.663630820148921
YAL044C	-0.10038907689161404
YAL045C	-0.21322910672314943
YAL046C	0.16424311350336027
YAL047C	-0.13998732435947517
YAL048C	0.9167909049390683
YAL049C	0.15390591856605657
YAL051W	0.14404952339327862
YAL053W	0.15390591856605657
YAL054C	0.1865078410606297
YAL055W	0.3658184147807821
YAL056C-A	-0.10809498584487678
YAL056W	0.41472129852264183
YAL058W	0.07911327284321226
YAL059W	0.22454341730429844
YAL060W	0.3893642476935294
YAL061W	0.23867091705194676
YAL062W	0.41472129852264183
YAL064C-A	-0.019205698060057237
YAL065C	0.41472129852264183
YAL066W	0.6201134102384528
YAL067C	0.5392013662291939
YAL067W-A	0.042373025821464176
YAL068C	0.07911327284321226
YAR002C-A	-0.1863479485956154
YAR002W	-0.11513081575872539
YAR003W	0.06594224089201958
YAR014C	-0.24139239168064297
YAR015W	-0.2183229878285048
YAR018C	-0.21564880044255014
YAR020C	-0.09875898076688538
YAR023C	-0.0501579666777532
YAR027W	0.042373025821464176
YAR028W	-0.2058879598992328
YAR029W	-0.12280626657383295
YAR030C	-0.24354774100111753
YAR031W	-0.12975647794184372
YAR035C-A	0.14404952339327862
YAR035W	-0.09367501760560296
YAR042W	-0.046011530693118446
YAR047C	-0.004237735325529621
YAR050W	0.1088181534139873
YBL001C	0.5777309109955077
YBL002W	0.6201134102384528
YBL003C	0.6201134102384528
YBL005W	0.19851907566389357
YBL006C	0.16424311350336027
YBL007C	-0.14456238596172585
YBL008W	0.23867091705194676
YBL008W-A	0.14404952339327862
YBL009W	0.2536294461965157
YBL010C	0.1865078410606297
YBL011W	0.47177466288814485
YBL012C	0.30429543200876497
YBL013W	0.5777309109955077
YBL015W	0.41472129852264183
YBL016W	0.9167909049390683
YBL017C	0.1088181534139873
YBL019W	5.663630820148921
YBL021C	1.9551621363912237
YBL022C	0.41472129852264183
YBL024W	0.23867091705194676
YBL025W	-0.20542396631978235
YBL027W	-0.2594542592355068
YBL028C	-0.09709723229022026
YBL029C-A	0.19851907566389357
YBL029W	0.03178685295079102
YBL031W	-0.19696559155996438
YBL032W	-0.15357495829452555
YBL036C	-0.0501579666777532
YBL037W	0.26949455286499774
YBL038W	0.21117956619165804
YBL039C	0.07911327284321226
YBL039W-B	0.3893642476935294
YBL042C	-0.14799681576725102
YBL043W	-0.21322910672314943
YBL044W	0.22454341730429844
YBL045C	2.273030880713312
YBL046W	1.0993616709086782
YBL047C	1.0015559034249586
YBL048W	0.6669572251911816
YBL049W	0.5392013662291939
YBL051C	0.003937075091020067
YBL052C	0.26949455286499774
YBL053W	0.6201134102384528
YBL054W	1.0993616709086782
YBL055C	0.22454341730429844
YBL056W	0.7190059084719914
YBL057C	5.663630820148921
YBL058W	0.5392013662291939
YBL059W	0.04794967045869381
YBL060W	0.12565091907075984
YBL061C	0.07911327284321226
YBL062W	0.8426215312639145
YBL063W	0.01718817907268525
YBL064C	0.003937075091020067
YBL065W	0.13464114618289974
YBL066C	0.13464114618289974
YBL067C	-0.038741805265512096
YBL068W	5.663630820148921
YBL069W	0.06594224089201958
YBL070C	-0.16520936985141244
YBL071C	-0.00021226049919835402
YBL071C-B	-0.07213407739631732
YBL071W-A	-0.18433902731513993
YBL072C	-0.08055046022470358
YBL075C	-0.06991177406522657
YBL078C	-0.08254381405247928
YBL079W	-0.18266098718674278
YBL080C	2.696855873142763
YBL081W	0.04794967045869381
YBL082C	0.7190059084719914
YBL083C	0.3438964324137415
YBL085W	-0.06293477523505792
YBL086C	0.01718817907268525
YBL087C	0.012630921089572878
YBL088C	0.008216077418432778
YBL089W	-0.00021226049919835402
YBL090W	1.9551621363912237
YBL091C	0.026758420837221242
YBL091C-A	-0.10955286051171029
YBL093C	-0.24350861439449692
YBL094C	-0.03257707810290186
YBL095W	-0.02607455767110758
YBL096C	0.03178685295079102
YBL098W	-0.22101619012153473
YBL099W	1.9551621363912237
YBL100C	0.7771779662564258
YBL100W-C	0.0860939197773444
YBL101C	-0.10355786188174079
YBL102W	-0.11377302402096515
YBL103C	-0.22723166455395333
YBL104C	-0.0501579666777532
YBL106C	-0.10038907689161404
YBL107C	-0.00021226049919835402
YBR001C	-0.02268782827954801
YBR003W	8.630405767155077
YBR005W	0.05372910217364089
YBR006W	0.3658184147807821
YBR007C	0.13464114618289974
YBR008C	-0.02607455767110758
YBR009C	-0.11377302402096515
YBR010W	0.012630921089572878
YBR012C	0.41472129852264183
YBR013C	0.47177466288814485
YBR014C	0.32343591553783696
YBR015C	0.09335949107613498
YBR016W	0.09335949107613498
YBR018C	0.1865078410606297
YBR019C	-0.12033378241770586
YBR020W	-0.005651725642677933
YBR021W	0.05372910217364089
YBR022W	0.12565091907075984
YBR023C	0.28635122870026003
YBR024W	0.05372910217364089
YBR025C	-0.13085149822248085
YBR026C	0.1009277945123752
YBR027C	0.13464114618289974
YBR028C	0.22454341730429844
YBR030W	-0.02268782827954801
YBR031W	0.012630921089572878
YBR032W	-0.07643375123255813
