orf	hap alpha | abundance of calcium | hypotonic shock (sodium 2-(N-morpholino)ethanesulfonate [10 mM], minimal complete-leu [standard]) | Loukin SH~Saimi Y, 2007
YAL002W	0.1414141414141414
YAL004W	0.7
YAL005C	0.6363636363636364
YAL007C	0.20095693779904306
YAL008W	0.7777777777777778
YAL009W	0.19811320754716982
YAL010C	0.15730337078651685
YAL011W	0.14736842105263157
YAL012W	0.5675675675675675
YAL013W	0.28187919463087246
YAL014C	0.4329896907216495
YAL015C	1.2727272727272727
YAL016C-B	1.6153846153846154
YAL016W	0.15217391304347827
YAL017W	0.6268656716417911
YAL018C	1.0769230769230769
YAL019W	0.84
YAL020C	0.7
YAL021C	0.011958997722095672
YAL022C	0.0340632603406326
YAL023C	0.45161290322580644
YAL024C	0.56
YAL026C	0.0026692935905176522
YAL027W	1.9090909090909092
YAL028W	1.3548387096774193
YAL029C	1.5555555555555556
YAL030W	0.6461538461538462
YAL031C	0.07939508506616257
YAL034C	0.328125
YAL035W	0.33070866141732286
YAL036C	0.7636363636363637
YAL037C-A	1.4
YAL037W	0.875
YAL039C	0.5915492957746479
YAL040C	0.6086956521739131
YAL042C-A	0.711864406779661
YAL042W	14.0
YAL044C	0.4
YAL045C	0.1337579617834395
YAL046C	1.024390243902439
YAL047C	0.30656934306569344
YAL048C	2.8
YAL049C	1.0
YAL051W	0.9767441860465116
YAL053W	1.0
YAL054C	1.0769230769230769
YAL055W	1.5
YAL056C-A	0.38181818181818183
YAL056W	1.6153846153846154
YAL058W	0.8235294117647058
YAL059W	1.1666666666666667
YAL060W	1.5555555555555556
YAL061W	1.2
YAL062W	1.6153846153846154
YAL064C-A	0.5915492957746479
YAL065C	1.6153846153846154
YAL066W	2.1
YAL067C	1.9090909090909092
YAL067W-A	0.7368421052631579
YAL068C	0.8235294117647058
YAR002C-A	0.19718309859154928
YAR002W	0.3652173913043478
YAR003W	0.7924528301886793
YAR014C	0.0673076923076923
YAR015W	0.12173913043478261
YAR018C	0.12804878048780488
YAR020C	0.40384615384615385
YAR023C	0.5185185185185185
YAR027W	0.7368421052631579
YAR028W	0.1510791366906475
YAR029W	0.34710743801652894
YAR030C	0.06222222222222222
YAR031W	0.33070866141732286
YAR035C-A	0.9767441860465116
YAR035W	0.4158415841584158
YAR042W	0.5283018867924528
YAR047C	0.6268656716417911
YAR050W	0.8936170212765957
YBL001C	2.0
YBL002W	2.1
YBL003C	2.1
YBL005W	1.105263157894737
YBL006C	1.024390243902439
YBL007C	0.29577464788732394
YBL008W	1.2
YBL008W-A	0.9767441860465116
YBL009W	1.2352941176470589
YBL010C	1.0769230769230769
YBL011W	1.75
YBL012C	1.3548387096774193
YBL013W	2.0
YBL015W	1.6153846153846154
YBL016W	2.8
YBL017C	0.8936170212765957
YBL019W	14.0
YBL021C	5.25
YBL022C	1.6153846153846154
YBL024W	1.2
YBL025W	0.15217391304347827
YBL027W	0.024691358024691357
YBL028C	0.4077669902912621
YBL029C-A	1.105263157894737
YBL029W	0.711864406779661
YBL031W	0.1721311475409836
YBL032W	0.27450980392156865
YBL036C	0.5185185185185185
YBL037W	1.2727272727272727
YBL038W	1.135135135135135
YBL039C	0.8235294117647058
YBL039W-B	1.5555555555555556
YBL042C	0.2876712328767123
YBL043W	0.1337579617834395
YBL044W	1.1666666666666667
YBL045C	6.0
YBL046W	3.230769230769231
YBL047C	3.0
YBL048W	2.210526315789474
YBL049W	1.9090909090909092
YBL051C	0.6461538461538462
YBL052C	1.2727272727272727
YBL053W	2.1
YBL054W	3.230769230769231
YBL055C	1.1666666666666667
YBL056W	2.3333333333333335
YBL057C	14.0
YBL058W	1.9090909090909092
YBL059W	0.75
YBL060W	0.9333333333333333
YBL061C	0.8235294117647058
YBL062W	2.625
YBL063W	0.6774193548387096
YBL064C	0.6461538461538462
YBL065W	0.9545454545454546
YBL066C	0.9545454545454546
YBL067C	0.5454545454545454
YBL068W	14.0
YBL069W	0.7924528301886793
YBL070C	0.24705882352941178
YBL071C	0.6363636363636364
YBL071C-B	0.4666666666666667
YBL071W-A	0.20192307692307693
YBL072C	0.44680851063829785
YBL075C	0.47191011235955055
YBL078C	0.4421052631578947
YBL079W	0.20588235294117646
YBL080C	7.0
YBL081W	0.75
YBL082C	2.3333333333333335
YBL083C	1.4482758620689655
YBL085W	0.4883720930232558
YBL086C	0.6774193548387096
YBL087C	0.6666666666666666
YBL088C	0.65625
YBL089W	0.6363636363636364
YBL090W	5.25
YBL091C	0.7
YBL091C-A	0.3783783783783784
YBL093C	0.06231454005934718
YBL094C	0.56
YBL095W	0.5753424657534246
YBL096C	0.711864406779661
YBL098W	0.11538461538461539
YBL099W	5.25
YBL100C	2.4705882352941178
YBL100W-C	0.84
YBL101C	0.3925233644859813
YBL102W	0.3684210526315789
YBL103C	0.10071942446043165
YBL104C	0.5185185185185185
YBL106C	0.4
YBL107C	0.6363636363636364
YBR001C	0.5833333333333334
YBR003W	21.0
YBR005W	0.7636363636363637
YBR006W	1.5
YBR007C	0.9545454545454546
YBR008C	0.5753424657534246
YBR009C	0.3684210526315789
YBR010W	0.6666666666666666
YBR012C	1.6153846153846154
YBR013C	1.75
YBR014C	1.4
YBR015C	0.8571428571428571
YBR016W	0.8571428571428571
YBR018C	1.0769230769230769
YBR019C	0.35294117647058826
YBR020W	0.6235294117647059
YBR021W	0.7636363636363637
YBR022W	0.9333333333333333
YBR023C	1.3125
YBR024W	0.7636363636363637
YBR025C	0.328125
YBR026C	0.875
YBR027C	0.9545454545454546
YBR028C	1.1666666666666667
YBR030W	0.5833333333333334
YBR031W	0.6666666666666666
YBR032W	0.45652173913043476
YBR033W	0.6363636363636364
YBR034C	0.19718309859154928
YBR035C	0.0032139577594123047
YBR036C	0.04640883977900553
YBR037C	0.19004524886877827
YBR039W	0.012393036293892004
YBR040W	0.5
YBR041W	0.07155025553662692
YBR042C	0.75
YBR043C	0.4883720930232558
YBR044C	0.4158415841584158
YBR045C	0.5833333333333334
YBR046C	0.2937062937062937
YBR047W	0.6363636363636364
YBR048W	0.16030534351145037
YBR050C	0.168
YBR051W	0.42424242424242425
YBR052C	0.49411764705882355
YBR053C	1.0769230769230769
YBR054W	0.6885245901639344
YBR056W	0.40384615384615385
YBR056W-A	0.49411764705882355
YBR057C	0.45652173913043476
YBR058C	0.22826086956521738
YBR058C-A	0.009655172413793104
YBR059C	0.24561403508771928
YBR062C	0.15671641791044777
YBR063C	0.04883720930232558
YBR064W	0.6666666666666666
YBR065C	1.4482758620689655
YBR066C	1.024390243902439
YBR067C	1.75
YBR068C	0.7368421052631579
YBR069C	1.6153846153846154
YBR071W	1.68
YBR072C-A	0.32558139534883723
YBR072W	1.0769230769230769
YBR073W	0.711864406779661
YBR074W	0.7649732620320856
YBR076W	1.4482758620689655
YBR077C	2.210526315789474
YBR078W	0.8076923076923077
YBR081C	0.47191011235955055
YBR083W	0.5384615384615384
YBR084C-A	0.2781456953642384
YBR084W	0.8571428571428571
YBR085C-A	1.2352941176470589
YBR085W	0.6268656716417911
YBR089C-A	0.875
YBR090C	0.7241379310344828
YBR092C	0.8571428571428571
YBR093C	0.4772727272727273
YBR094W	0.75
YBR095C	1.6153846153846154
YBR096W	0.84
YBR097W	0.0065655776145068
YBR098W	0.4407142553100924
YBR099C	0.20192307692307693
YBR101C	0.5316455696202531
YBR103W	0.5185185185185185
YBR104W	0.65625
YBR105C	1.2727272727272727
YBR106W	0.05121951219512195
YBR107C	0.4421052631578947
YBR108W	0.4666666666666667
YBR111C	0.7924528301886793
YBR111W-A	2.0
YBR112C	0.0979020979020979
YBR113W	0.5121951219512195
YBR114W	0.8235294117647058
YBR115C	0.9545454545454546
YBR116C	1.68
YBR117C	0.6268656716417911
YBR119W	0.875
YBR120C	0.711864406779661
YBR125C	0.08898305084745763
YBR126C	0.5454545454545454
YBR127C	0.05890603085553997
YBR128C	2.8
YBR129C	1.75
YBR130C	0.1453287197231834
YBR131W	0.04580152671755725
YBR132C	0.9130434782608695
YBR133C	0.9130434782608695
YBR134W	2.0
YBR137W	1.68
YBR138C	1.2
YBR139W	0.875
YBR141C	1.3125
YBR144C	1.4
YBR145W	0.711864406779661
YBR146W	14.0
YBR147W	0.38181818181818183
YBR148W	0.4827586206896552
YBR149W	1.135135135135135
YBR150C	0.15162454873646208
YBR151W	0.49411764705882355
YBR156C	0.4772727272727273
YBR157C	0.7636363636363637
YBR158W	1.05
YBR159W	0.5526315789473685
YBR161W	0.267515923566879
YBR162C	0.47191011235955055
YBR162W-A	0.5753424657534246
YBR163W	0.5454545454545454
YBR164C	0.19718309859154928
YBR165W	0.38181818181818183
YBR166C	0.5
YBR168W	0.525
YBR169C	0.875
YBR170C	0.1926605504587156
YBR171W	0.9333333333333333
YBR172C	0.84
YBR173C	0.5454545454545454
YBR174C	0.9767441860465116
YBR175W	0.22580645161290322
YBR176W	0.3853211009174312
YBR177C	0.6176470588235294
YBR178W	2.625
YBR179C	0.6176470588235294
YBR180W	0.302158273381295
YBR181C	0.47191011235955055
YBR182C	0.7924528301886793
YBR182C-A	0.6885245901639344
YBR183W	0.7368421052631579
YBR184W	0.2916666666666667
YBR185C	0.1810344827586207
YBR186W	2.1
YBR187W	0.6176470588235294
YBR188C	1.5
YBR189W	0.21105527638190955
YBR191W	0.4772727272727273
YBR194W	0.875
YBR195C	0.2048780487804878
YBR196C-A	0.3387096774193548
YBR196C-B	1.1666666666666667
YBR197C	2.1
YBR199W	1.3548387096774193
YBR200W	0.375
YBR200W-A	0.7636363636363637
YBR201W	0.7241379310344828
YBR203W	0.5675675675675675
YBR204C	0.7
YBR205W	0.20388349514563106
YBR206W	0.6774193548387096
YBR207W	0.42
YBR208C	1.2727272727272727
YBR209W	0.46153846153846156
YBR210W	0.45652173913043476
YBR212W	1.2
YBR213W	2.210526315789474
YBR214W	1.5
YBR215W	0.14482758620689656
YBR216C	0.3684210526315789
YBR217W	0.5526315789473685
YBR218C	1.1666666666666667
YBR219C	0.7924528301886793
