ORF	hap alpha | abundance of calcium | hypotonic shock (sodium 2-(N-morpholino)ethanesulfonate [10 mM], minimal complete-leu [standard]) | Loukin SH~Saimi Y, 2007
YJR073C	0.001
YJL127C	0.002
YAL026C	0.003
YBR035C	0.003
YJR139C	0.004
YDR123C	0.004
YPL045W	0.004
YLR148W	0.004
YKL212W	0.004
YMR231W	0.004
YCR028C	0.005
YLR447C	0.005
YJL129C	0.201
YBR097W	0.007
YCR094W	0.008
YDR027C	0.008
YMR202W	0.008
YGL095C	0.008
YLR337C	0.009
YBR058C-A	0.010
YLR240W	0.010
YLR056W	0.011
YML067C	0.011
YEL046C	0.012
YAL021C	0.012
YMR012W	0.012
YDR337W	0.012
YBR039W	0.012
YMR015C	0.013
YER014C-A	0.014
YOR061W	0.016
YGR188C	0.016
YGL206C	0.016
YML008C	0.017
YNL042W	0.017
YDR495C	0.017
YOR290C	0.017
YCR034W	0.018
YLR338W	0.019
YNL063W	0.021
YML072C	0.023
YNL280C	0.024
YMR144W	0.025
YBL027W	0.025
YEL051W	0.026
YDL226C	0.026
YNL319W	0.027
YOL115W	0.027
YJR070C	0.028
YKL126W	0.028
YPL123C	0.029
YOL108C	0.029
YDR456W	0.029
YGL105W	0.030
YER068W	0.030
YNL320W	0.031
YPR141C	0.032
YKR031C	0.032
YPL213W	0.033
YDR323C	0.033
YGL012W	0.033
YER038W-A	0.034
YAL022C	0.034
YOL064C	0.034
YGR157W	0.035
YNL138W	0.036
YNL215W	0.037
YOR360C	0.037
YLL015W	0.037
YOR331C	0.037
YER083C	0.038
YKL119C	0.038
YLL038C	0.038
YDL232W	0.039
YGR093W	0.040
YGR036C	0.040
YKL139W	0.041
YIR030C	0.042
YER081W	0.042
YDR080W	0.042
YPR032W	0.043
YMR196W	0.045
YPL107W	0.045
YEL009C	0.045
YJL175W	0.045
YKR020W	0.045
YBR131W	0.046
YHL020C	0.046
YGR020C	0.046
YNR052C	0.046
YBR036C	0.046
YOL063C	0.048
YOR036W	0.048
YBR063C	0.049
YKL178C	0.049
YIL008W	0.049
YNL271C	0.049
YKR001C	0.049
YDR129C	0.049
YDR132C	0.050
YML097C	0.050
YIL090W	0.050
YER151C	0.050
YBR106W	0.051
YGR262C	0.051
YLR350W	0.054
YMR247C	0.054
YMR017W	0.055
YMR025W	0.055
YJL128C	0.055
YDR496C	0.055
YDR269C	0.056
YMR155W	0.056
YDR350C	0.056
YAR042W	0.057
YNL025C	0.057
YML013W	0.057
YOR327C	0.057
YNL206C	0.057
YMR104C	0.057
YLL045C	0.058
YDR363W	0.058
YBR127C	0.059
YFR019W	0.059
YGL007C-A	0.059
YPL100W	0.060
YLR113W	0.062
YAR030C	0.062
YBL093C	0.062
YJL189W	0.063
YKR036C	0.064
YNL264C	0.065
YOR016C	0.065
YJL177W	0.066
YMR250W	0.067
YAR014C	0.067
YFL001W	0.067
YDR104C	0.067
YMR245W	0.067
YGL006W	0.068
YNL055C	0.068
YMR195W	0.069
YJL115W	0.069
YDL198C	0.069
YDR073W	0.069
YNL096C	0.069
YOR018W	0.069
YNL133C	0.069
YMR147W	0.071
YLR048W	0.071
YDR133C	0.071
YBR041W	0.072
YIR005W	0.072
YER134C	0.072
YGR285C	0.073
YMR011W	0.073
YLR089C	0.073
YCL007C	0.074
YDL052C	0.074
YDR318W	0.075
YCL058C	0.075
YGL174W	0.076
YKR042W	0.076
YOL056W	0.077
YNL009W	0.077
YOL081W	0.077
YMR153W	0.077
YER150W	0.078
YKL184W	0.078
YMR041C	0.079
YPL179W	0.079
YIL076W	0.079
YAL031C	0.079
YEL027W	0.080
YJR118C	0.080
YGL020C	0.080
YHR191C	0.080
YOR040W	0.081
YFL016C	0.082
YJR105W	0.082
YNL248C	0.082
YDR096W	0.082
YML017W	0.083
YMR010W	0.083
YCL023C	0.698
YLL005C	0.085
YHR178W	0.085
YML047C	0.086
YCR047C	0.087
YLR360W	0.087
YIL065C	0.088
YMR078C	0.088
YBR125C	0.089
YLR087C	0.090
YJL218W	0.090
YGL016W	0.090
YPL178W	0.091
YBR279W	0.091
YBR267W	0.091
YML041C	0.092
YPL022W	0.093
YHR060W	0.093
YMR262W	0.093
YGL096W	0.093
YNL140C	0.094
YDR028C	0.094
YMR251W	0.095
YNL227C	0.095
YDR048C	0.095
YHR134W	0.097
YLR065C	0.097
YOL027C	0.097
YOR026W	0.097
YDR415C	0.097
YMR214W	0.097
YEL003W	0.097
YOR073W	0.097
YBR112C	0.098
YLL041C	0.098
YMR182C	0.098
YPL157W	0.099
YOR013W	0.099
YOL129W	0.100
YCL063W	0.100
YML042W	0.100
YJL089W	0.101
YBL103C	0.101
YBR255W	0.101
YGL039W	0.101
YMR018W	0.102
YDL090C	0.102
YMR031W-A	0.102
YNL028W	0.102
YMR090W	0.103
YLR242C	0.103
YNL180C	0.104
YLR062C	0.104
YDL192W	0.104
