ORF	hom | cell size | standard [standard] | Zhang J~Schneider BL, 2002	het | cell size | standard [standard] | Zhang J~Schneider BL, 2002
YMR251W-A	47.238	NaN
YMR252C	49.942	NaN
YMR253C	47.618	NaN
YMR254C	45.583	NaN
YMR255W	45.583	NaN
YMR258C	41.253	NaN
YMR259C	44.602	NaN
YMR261C	45.861	NaN
YMR262W	45.613	NaN
YMR263W	50.832	NaN
YMR264W	70.630	NaN
YMR265C	48.000	NaN
YMR266W	48.835	NaN
YMR269W	46.358	NaN
YMR272C	51.969	NaN
YMR273C	51.198	NaN
YMR274C	76.120	NaN
YMR275C	62.890	NaN
YMR276W	49.386	NaN
YMR278W	47.649	NaN
YMR280C	43.270	NaN
YMR283C	45.340	NaN
YMR284W	48.170	NaN
YMR285C	42.180	NaN
YMR289W	41.200	NaN
YMR291W	57.060	NaN
YMR292W	45.290	NaN
YMR294W	54.260	NaN
YMR294W-A	54.140	NaN
YMR295C	51.690	NaN
YMR297W	43.400	NaN
YMR299C	48.490	NaN
YMR302C	45.610	NaN
YMR303C	53.280	NaN
YMR304W	37.020	NaN
YMR304C-A	52.520	NaN
YMR305C	49.790	NaN
YMR306C-A	41.660	NaN
YMR307W	53.340	NaN
YMR310C	40.010	NaN
YNL339C	40.550	NaN
YNL338W	41.420	NaN
YNL336W	52.400	NaN
YNL335W	43.290	NaN
YNL334C	43.300	NaN
YNL333W	43.350	NaN
YNL332W	44.140	NaN
YNL329C	40.750	NaN
YNL328C	41.030	NaN
YNL327W	42.850	NaN
YNL326C	39.070	NaN
YNL324W	46.950	NaN
YNL325C	43.990	NaN
YNL323W	42.930	NaN
YNL322C	39.890	NaN
YNL321W	46.270	NaN
YNL319W	44.690	NaN
YNL318C	43.800	NaN
YNL314W	57.510	NaN
YNL311C	43.340	NaN
YNL307C	28.910	NaN
YNL305C	42.030	NaN
YNL304W	42.050	NaN
YNL303W	44.260	NaN
YNL301C	51.780	NaN
YNL299W	47.380	NaN
YGR077C	42.760	NaN
YGR118W	43.050	NaN
YNL295W	47.990	NaN
YNL294C	37.370	NaN
YNL293W	46.080	NaN
YNL292W	44.030	NaN
YNL291C	41.820	NaN
YNL289W	41.790	NaN
YNL288W	42.330	NaN
YNL286W	42.980	NaN
YNL285W	40.410	NaN
YNL283C	56.290	NaN
YNL281W	42.760	NaN
YGR112W	49.560	NaN
YNL278W	43.920	NaN
YNL275W	42.470	NaN
YNL273W	46.560	NaN
YNL271C	48.030	NaN
YNL270C	41.400	NaN
YNL269W	42.510	NaN
YNL266W	38.630	NaN
YNL265C	42.170	NaN
YNL264C	41.020	NaN
YNL259C	40.680	NaN
YNL257C	43.840	NaN
YNL255C	43.610	NaN
YNL254C	39.790	NaN
YNL253W	44.000	NaN
YNL249C	42.930	NaN
YNL248C	38.520	NaN
YGR072W	46.930	NaN
YOR001W	40.130	NaN
YOR002W	47.310	NaN
YOR003W	43.280	NaN
YOR005C	43.000	NaN
YOR006C	40.290	NaN
YOR007C	44.220	NaN
YOR008C	34.290	NaN
YOR009W	46.440	NaN
YOR010C	45.810	NaN
YOR011W	46.810	NaN
YOR012W	41.640	NaN
YOR013W	43.120	NaN
YOR014W	63.390	NaN
YOR015W	45.320	NaN
YOR016C	44.420	NaN
YOR017W	44.570	NaN
YOR018W	44.100	NaN
YOR019W	49.180	NaN
YOR021C	49.120	NaN
YOR022C	46.330	NaN
YOR023C	52.110	NaN
YOR024W	51.540	NaN
YOR025W	53.580	NaN
YOR027W	46.260	NaN
YOR028C	50.510	NaN
