orf	hom | cell size | standard [standard] | Zhang J~Schneider BL, 2002	het | cell size | standard [standard] | Zhang J~Schneider BL, 2002
YAL001C		41.1092569289248
YAL002W	54.292354382851215	
YAL003W		38.9034180392704
YAL004W	53.08777232875879	
YAL005C	54.292181565323894	
YAL007C	51.56559593942682	
YAL008W	49.321221949999995	
YAL009W	45.39755717327897	
YAL011W	49.81046557687979	
YAL013W	49.71232764755359	
YAL014C	48.51253913591147	
YAL015C	45.213181038653325	
YAL016W	64.5	
YAL017W	52.20469264099269	
YAL018C	51.2648584137844	
YAL019W	50.53409307042078	
YAL020C	49.777897044198404	
YAL021C	71.76901429935688	
YAL022C	53.05362496338492	
YAL023C	61.63873900544359	
YAL024C	54.59	
YAL025C		45.798902713348404
YAL026C	44.63276000004359	
YAL027W	53.12210343587839	
YAL028W	48.83488053796604	
YAL029C	52.917181931399355	
YAL030W	53.36147888807343	
YAL031C	53.32721424086166	
YAL032C		46.7023926890752
YAL033W		43.63626062315521
YAL034C	54.500636845670385	
YAL035W	67.77	
YAL036C	50.600222736720966	
YAL037W	49.6798018078516	
YAL038W		41.979367848140804
YAL040C	81.30807165690103	
YAL041W		57.22105608286759
YAL042C-A	56.6841647874656	
YAL042W	50.040115455052806	
YAL043C		46.38951481792321
YAL045C	54.396429155283585	
YAL046C	53.9809267250484	
YAL048C	56.25707786431038	
YAL049C	51.264695233053516	
YAL051W	54.77900011910057	
YAL053W	52.74695737219539	
YAL054C	52.03616594964479	
YAL055W	44.29892614839999	
YAL056C-A	51.19815073391481	
YAL056W	36.219107123353965	
YAL058W	57.6	
YAL059W	51.5992660938524	
YAL060W	48.89951968317387	
YAL061W	49.029125103635614	
YAL062W	48.15960538544383	
YAL064C-A	51.93512487896038	
YAL065C	47.840245650750276	
YAL066W	49.5164386662849	
YAL067C	49.22357111549725	
YAL068C	49.4838406168602	
YAR002C-A	54.39625600647675	
YAR002W	54.8487822764745	
YAR003W	48.03169149384832	
YAR007C		46.6397049220256
YAR008W		43.996889059199994
YAR014C	52.6112083306964	
YAR015W	60.7374454825819	
YAR018C	56.11501513020833	
YAR019C		49.28870960961641
YAR020C	53.877211279566836	
YAR023C	54.22304500264959	
YAR027W	50.40200663836772	
YAR028W	53.98075489882378	
YAR029W	50.79895783830853	
YAR030C	51.23149733560319	
YAR031W	49.745184298009185	
YAR035W	47.776695678588794	
YAR042W	51.9198260391118	
YAR047C	51.93495956471006	
YAR050W	49.843365554505596	
YBL001C	54.431150279228795	
YBL002W	56.898516444492806	
YBL003C	52.91735037216321	
YBL004W		47.23750816785
YBL005W	46.07803747205122	
YBL006C	75.16203871644159	
YBL008W	47.45903252231679	
YBL009W	50.9983749542036	
YBL010C	54.53540229445	
YBL011W	52.6112083306964	
YBL012C	53.258898484915214	
YBL013W	53.258898484915214	
YBL014C		52.03616594964479
YBL015W	51.666321661939605	
YBL017C	58.81547258125	
YBL018C		48.577048215418806
YBL019W	52.002471045047606	
YBL020W		51.064909029257194
YBL022C	63.82	
YBL023C		54.95374151408679
YBL024W	57.8336188911712	
YBL026W		52.71312411706881
YBL027W	60.51374440763962	
YBL028C	62.168473594149994	
YBL029W	58.450537911150015	
YBL030C		48.577048215418806
YBL031W	54.86	
YBL032W	53.6019130965472	
YBL034C		47.45903252231679
YBL035C		46.14022105
YBL036C	49.54920874845481	
YBL037W	50.4021670730732	
YBL039C	57.47276124817921	
YBL040C		41.979367848140804
YBL041W		45.7061089270016
YBL042C	58.81	
YBL043W	51.19815073391481	
YBL044W	52.340075303115604	
YBL046W	74.62	
YBL047C	54.7094513196	
YBL048W	50.8322926653696	
YBL049W	51.73343529936121	
YBL050W		42.44840675102721
YBL051C	52.9514392805244	
YBL052C	52.1710911183616	
YBL053W	50.96512959999998	
YBL054W	51.90147361118719	
YBL055C	49.48399812894999	
YBL056W	49.8761213249068	
YBL057C	47.808539731537195	
YBL058W	44.99885054122921	
YBL059W	51.632786620800005	
YBL060W	51.064909029257194	
YBL061C	48.255843297846816	
YBL062W	50.63347036439999	
YBL063W	51.23149733560319	
YBL064C	51.031634762908816	
YBL065W	53.0	
YBL066C	46.51449772742078	
YBL067C	52.002471045047606	
YBL068W	53.77397132119319	
YBL069W	53.70510391698761	
YBL070C	53.911882700090814	
YBL071C	50.171569281433584	
YBL072C	41.8626504882432	
YBL073W		40.67874693254681
YBL074C		37.88524841242679
YBL075C	54.95374151408679	
YBL076C		49.06152320287679
YBL077W		41.804373024937604
YBL078C	56.82700595879999	
YBL079W	59.80837661370881	
YBL081W	60.10470164160001	
YBL082C	54.500636845670385	
YBL083C	62.62494027669879	
YBL084C		38.0491353454212
YBL085W	54.396429155283585	
YBL086C	51.43188106203839	
YBL087C	43.218024563190404	
YBL088C	55.46	
YBL089W	53.327383986799994	
YBL091C	45.52089754519999	
YBL091C-A	48.19177270215	
YBL092W		44.968266819660805
YBL094C	51.33162401219159	
YBL095W	49.11	
YBL096C	49.47	
YBL097W		44.19
YBL098W	42.99	
YBL101C	44.38	
YBL102W	44.86	
YBL103C	45.29	
YBL104C	39.28	
YBL105C		47.03
YBL106C	44.85	
YBL107C	42.58	
YBR001C	48.66	
YBR005W	43.76	
YBR006W	53.12	
YBR007C	45.25	
YBR008C	41.37	
YBR009C	49.12	
YBR010W	42.03	
YBR011C		44.61
YBR012C	42.98	
YBR013C	43.2	
YBR014C	43.98	
YBR015C	46.28	
YBR016W	42.71	
YBR017C		42.21
YBR018C	45.67	
YBR019C	46.17	
YBR020W	47.02665459671749	
YBR021W		49.49
YBR022W	46.64	
YBR023C	43.91	
YBR024W	44.16	
YBR025C	43.69	
YBR026C	37.78	
YBR027C	57.02	
YBR028C	44.13	
YBR029C		43.245000000000005
YBR031W	42.9	
YBR032W	42.71	
YBR033W	46.06	
YBR034C	42.21	
YBR036C	36.31	
YBR038W	43.99528989025098	
YBR039W		40.38
YBR040W	50.96496737333331	
YBR041W	44.08721522675005	
YBR042C	47.585776793729714	
YBR043C	50.13852467273438	
YBR044C	54.918623671669444	
YBR045C	54.95356659130376	
YBR046C	46.326959943839576	
YBR047W	44.02689065328371	
YBR048W	42.125435280068444	
YBR049C		43.89
YBR050C	47.80838755258465	
YBR051W	43.69608890171167	
YBR052C	46.48308302079797	
YBR053C	43.75611099346804	
YBR054W	43.87632002249131	
YBR055C		45.32
YBR056W	50.63330919343499	
YBR057C	47.7765436009988	
YBR058C	47.427192909324305	
YBR059C	51.53210453804494	
YBR060C		44.62
YBR061C		45.97
YBR062C	49.38613231567444	
YBR063C	48.28774617523547	
YBR064W	55.51467080941846	
YBR065C	51.4986276413841	
YBR066C	48.77029838120081	
YBR067C	50.23722252764629	
YBR068C	49.06136703556331	
YBR069C	49.67964367250079	
YBR070C		46.31
YBR071W	47.9997484502307	
YBR072W	49.19110174245738	
YBR073W	51.666157203314505	
YBR074W	49.22494244867922	
YBR076W	47.52	
YBR077C	51.73327062710726	
YBR079C		47.25
YBR080C		44.3
YBR081C	43.85	
YBR082C		43.81
YBR083W	51.96862526778832	
YBR084C-A	48.51253913591147	
YBR084W	46.04682007369842	
YBR085W		46.85
YBR086C		45.77
YBR087W		44.34
YBR088C		43.52
YBR089C-A	49.84320689851643	
YBR089W		46.14
YBR090C	53.395758209652044	
YBR091C		48.2
YBR092C	50.53409307042078	
YBR093C	49.94151694299238	
YBR094W	48.48038323386336	
YBR095C		45.32
YBR096W		42.14
YBR097W		42.98
YBR098W	50.73390143968326	
YBR099C	48.38400079047166	
YBR101C	53.91171109363964	
YBR102C		43.9
YBR103W	48.35190171978664	
YBR104W	48.44824154436841	
YBR105C	47.36385813971812	
YBR106W	61.97873841098166	
YBR107C	49.22357111549725	
YBR108W	46.20231348177312	
YBR109C		45.35
YBR110W		49.2
YBR113W	47.20576795618122	
YBR114W	47.904004299387246	
YBR116C	47.39551847165167	
YBR117C		44.97
YBR118W		46.42
YBR119W	61.374808565774096	
YBR120C	48.31981684908846	
YBR121C		49.55
YBR123C		44.16
YBR124W		43.73
YBR125C	48.51253913591147	
YBR126C	47.268961746936164	
YBR127C	47.80838755258465	
YBR128C	47.80838755258465	
YBR129C	42.50714578863833	
YBR130C	45.33604287653803	
YBR131W	51.06474648498348	
YBR133C	50.865318323509186	
YBR134W	70.77146708647815	
YBR135W		49.29
YBR136W		47.65
YBR137W	45.58243387628886	
YBR138C	41.65878344282543	
YBR139W	45.58243387628886	
YBR140C		50.07
YBR141C	43.30728273513597	
YBR142W		40.9
YBR143C		44.38
YBR144C	43.486443871202304	
YBR145W	44.268519517815285	
YBR146W	45.213181038653325	
YBR147W	47.61753593181033	
YBR148W	41.92084864928165	
YBR149W	49.4838406168602	
YBR150C	45.89167593189199	
YBR151W	47.17419219270887	
YBR152W		43.85
YBR153W		46.41
