ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YML012C-A	0.048	0.101	0.247
YER123W	0.125	0.099	0.181
YCR094W	0.122	0.022	0.161
YDR334W	0.223	0.092	0.178
YER019W	0.034	0.124	0.147
YJR040W	0.094	0.095	0.275
YLR399C	0.152	0.128	0.013
YML041C	0.294	0.093	0.101
YLR374C	0.047	0.137	0.090
YNL098C	0.045	0.937	0.059
YLR295C	0.088	NaN	NaN
YPR159W	0.061	0.138	0.003
YKL139W	0.218	0.031	0.087
YDL095W	0.213	0.039	0.297
YNL079C	0.125	0.042	0.196
YJR018W	0.220	0.004	0.084
YPR032W	0.122	0.022	0.099
YMR035W	0.083	NaN	0.009
YAL047C	0.076	0.055	0.162
YDL226C	0.173	0.043	0.049
YGR101W	0.000	0.209	NaN
YJL183W	0.076	0.054	0.279
YDR126W	0.000	0.158	0.167
YAL011W	0.081	0.059	0.190
YOR216C	0.125	0.057	0.207
YDR162C	0.155	0.031	0.193
YBR267W	0.071	NaN	0.096
YHL034C	0.131	0.052	0.253
YOL111C	0.083	0.058	0.061
YKR035W-A	0.223	0.040	0.102
YDR310C	0.260	0.021	0.088
YNR030W	0.120	0.061	0.033
YGL205W	0.157	NaN	0.007
YKL055C	0.082	NaN	0.067
YML067C	0.184	0.045	0.071
YLR342W	0.024	0.067	0.165
YCR032W	0.061	0.067	0.124
YKR035C	0.168	0.061	0.073
YAL009W	0.001	0.133	0.264
YKR014C	0.092	0.067	0.055
YPR087W	0.363	0.022	0.045
YJL141C	0.072	0.047	0.035
YIL148W	0.091	0.025	0.048
YLR254C	NaN	0.009	0.402
YKL048C	0.070	0.065	0.050
YGL038C	NaN	0.064	NaN
YHR158C	0.036	0.102	0.044
YNL165W	0.062	NaN	NaN
YGL020C	0.077	0.027	0.215
YDR322W	0.062	NaN	0.016
YML036W	0.033	0.032	0.356
YPL069C	0.246	0.061	0.009
YDR200C	0.093	0.015	0.260
YAL014C	0.086	0.041	0.220
YDL119C	0.057	NaN	0.060
YML073C	0.091	0.035	0.186
YML112W	0.022	NaN	0.117
YAL056C-A	0.147	0.032	0.053
YJL179W	NaN	0.034	0.097
YGL206C	0.022	0.051	0.227
YJL080C	0.045	0.114	0.021
YNL238W	0.056	NaN	NaN
YOR246C	0.073	0.056	0.088
YCR033W	0.068	0.056	0.105
YJR117W	0.254	0.032	0.090
YOL076W	0.044	0.158	0.014
YOL128C	0.061	0.037	0.028
YCL038C	0.038	0.045	0.334
YBL083C	0.056	0.057	0.030
YNL164C	0.055	NaN	NaN
YMR054W	0.129	0.048	0.212
YHR108W	0.062	0.056	0.030
YGL173C	0.055	0.054	NaN
YCL058C	0.064	0.059	0.017
YOL098C	0.082	0.030	0.033
YOR292C	0.061	0.045	0.139
YER151C	0.081	0.042	0.226
YJL204C	0.047	0.124	0.074
YGR229C	0.036	0.052	0.191
YHL033C	0.038	0.052	0.056
YPL035C	0.158	0.029	0.046
YOL131W	0.052	0.039	0.027
YDR426C	0.141	0.040	0.030
YML104C	0.078	0.025	0.085
YNL156C	0.050	NaN	NaN
YML013W	NaN	0.030	0.085
YDR395W	0.085	0.075	0.038
YER083C	0.116	0.047	0.017
YKR041W	0.109	0.049	0.016
YJL006C	0.033	0.660	0.021
YHR206W	0.083	0.049	0.057
YAL058W	0.088	0.017	0.046
YDL160C	0.032	NaN	0.203
YNR032W	0.056	0.030	0.034
YOR067C	0.031	0.048	0.049
YJR080C	0.078	0.071	0.013
YML100W	0.048	0.041	0.089
YML099C	0.047	0.048	0.031
YLR242C	NaN	0.034	0.090
YBR283C	0.144	0.016	0.073
YHL039W	0.071	0.016	0.031
YBR006W	0.039	0.050	0.074
YAR018C	0.045	0.035	0.094
YHL002W	0.089	0.031	0.143
YFR019W	0.029	0.228	0.003
YDR425W	0.055	0.028	0.064
YIL017C	0.025	0.074	0.037
YKL194C	0.046	NaN	NaN
YDL006W	0.002	0.045	0.444
YPL236C	0.067	0.045	0.052
YCR068W	0.036	0.045	0.037
YLR110C	0.083	0.035	0.121
YML055W	0.034	0.016	0.097
YGR071C	0.193	0.030	0.030
YNL080C	0.060	0.021	NaN
YBL058W	0.081	0.043	0.113
YBR246W	0.034	0.065	0.099
YMR052C-A	0.072	0.035	NaN
YGR063C	0.069	0.070	0.000
YJL189W	NaN	NaN	0.043
YNR048W	0.045	0.032	0.027
YGR284C	0.016	0.037	0.057
YKL135C	0.177	0.011	0.043
YOL090W	0.067	0.051	0.014
YOL126C	0.043	0.038	0.045
YBR298C	0.032	0.043	0.057
YGR089W	0.050	0.034	0.057
YPL174C	0.036	0.049	0.035
YGR064W	0.068	0.041	0.041
YNL297C	0.035	0.042	0.072
YNL099C	0.072	0.009	0.071
YHR021C	0.045	0.036	0.109
YDR171W	0.170	0.035	0.012
