ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YML094C-A	0.016	NaN	0.024
YOR128C	0.020	NaN	NaN
YIL130W	0.037	0.031	0.012
YNR034W	0.038	0.022	0.009
YJR139C	0.022	0.026	0.018
YPR071W	0.061	0.020	0.007
YLR354C	0.033	0.020	0.051
YAL054C	0.016	0.022	0.013
YJR060W	0.026	0.036	0.010
YIL123W	0.010	0.017	0.041
YOR193W	NaN	0.027	0.012
YPR199C	0.020	0.032	0.006
YDL218W	0.017	0.024	0.033
YCR025C	0.075	0.024	0.008
YNL166C	0.020	0.020	NaN
YBL029W	0.020	0.021	0.013
YOR333C	NaN	0.024	0.016
YHR182W	0.013	0.043	0.014
YMR181C	0.008	0.032	0.033
YFL012W	0.005	0.020	0.072
YJR052W	0.025	0.010	0.023
YGR234W	0.024	0.020	0.016
YBR270C	0.023	0.010	0.011
YIR013C	0.020	0.026	0.016
YPL061W	NaN	0.023	0.009
YNR047W	0.017	0.045	NaN
YJL161W	0.023	0.038	0.013
YKL205W	0.049	0.009	0.042
YBR262C	0.072	0.014	0.009
YNL243W	0.006	0.033	NaN
YBR150C	0.107	0.007	0.013
YOR112W	0.042	0.019	0.008
YMR053C	0.077	0.014	0.025
YJR038C	0.046	0.005	0.017
YNL264C	0.011	0.020	0.037
YNL109W	0.000	0.023	0.033
YJR120W	0.025	0.011	0.015
YLR231C	0.033	0.005	0.030
YGL079W	0.076	0.030	0.018
YJR127C	0.027	0.007	0.031
YLR387C	0.016	0.021	0.023
YFL031W	0.028	0.037	0.010
YJR152W	0.048	0.019	0.000
YBL102W	0.045	0.011	0.033
YLR427W	0.019	0.022	0.019
YMR021C	0.012	0.015	0.151
YOR135C	0.027	NaN	0.019
YIL064W	0.015	0.028	0.024
YBR276C	0.211	0.010	0.012
YPR185W	0.022	0.024	0.006
YBR108W	0.035	0.013	0.009
YKL070W	0.016	0.003	0.128
YGR290W	0.019	0.029	0.015
YPL006W	0.078	0.001	0.019
YGL077C	0.006	0.038	0.020
YLR257W	0.019	0.021	0.017
YJL063C	0.010	0.012	0.027
YPL232W	0.029	0.019	0.016
YNR070W	0.017	0.019	0.011
YGR259C	0.031	0.061	0.010
YNL274C	0.042	0.019	0.006
YEL042W	0.064	0.017	0.025
YPR057W	0.092	0.018	0.008
YDR225W	0.035	0.011	0.120
YMR127C	0.040	0.019	0.000
YKL174C	0.076	0.011	0.013
YDR352W	0.031	0.013	0.017
YGR233C	0.000	0.019	0.061
YOL159C	0.035	0.009	0.032
YJL163C	0.020	0.044	0.013
YGR283C	0.022	0.036	0.019
YPL047W	0.020	0.015	0.010
YER113C	0.010	0.030	0.030
YLR362W	0.010	0.027	NaN
YNL233W	0.024	0.020	0.003
YIL001W	0.010	0.030	0.034
YGL042C	0.053	0.006	0.018
YNL206C	0.035	0.020	0.001
YCL011C	NaN	0.015	0.019
YGR117C	0.023	0.033	0.012
YLR401C	0.009	0.024	0.012
YDR263C	0.128	0.009	0.012
YDR077W	0.007	0.032	0.071
YGR086C	0.010	0.027	0.013
YMR147W	0.014	0.028	0.010
YIR020C	0.050	0.015	0.019
YIL112W	0.050	0.006	0.014
YML059C	NaN	0.012	0.037
YLR385C	0.003	0.032	0.023
YMR166C	0.020	0.018	0.019
YDR227W	0.038	0.016	NaN
YBL005W	0.030	0.010	0.068
YKR034W	0.020	0.015	0.018
YGR039W	0.073	0.013	0.010
YBL078C	0.027	0.019	0.025
YIR028W	0.029	0.012	0.020
YGL089C	0.035	0.156	0.005
YJR090C	NaN	0.018	NaN
YBR284W	0.122	0.009	0.009
YJR025C	0.061	0.010	0.012
YDR286C	0.021	0.018	0.010
YLR334C	0.009	0.032	0.032
YGR258C	0.069	0.017	0.008
YLL007C	0.010	0.024	0.013
YNL175C	0.046	0.017	0.009
YCR004C	NaN	0.018	0.017
YKL063C	0.050	0.040	0.008
YML119W	0.021	0.015	0.011
YNL278W	0.012	0.031	0.018
YGR289C	0.022	0.007	0.085
YCR087W	NaN	0.025	0.013
YDL211C	0.037	0.018	0.018
YML027W	NaN	0.041	0.014
YJR107W	0.031	0.018	0.018
YGR038W	NaN	0.023	0.015
YLR193C	0.009	0.023	0.025
YDR284C	0.015	0.021	0.026
YLR343W	0.021	0.018	0.023
YOR234C	0.047	0.008	0.021
YER186C	0.059	0.015	0.008
YEL005C	0.030	0.023	0.009
YLR040C	0.018	0.021	0.019
YKL033W-A	0.030	0.011	0.015
YPL221W	0.065	0.016	0.008
YPR098C	0.019	0.014	0.013
YGR248W	0.019	0.034	0.012
YDR272W	0.051	0.009	0.012
YGL226W	0.066	0.022	0.010
YJR144W	0.004	NaN	0.055
YBR170C	0.025	0.013	0.137
YGL157W	0.044	0.019	0.010
YLR297W	0.050	0.005	0.025
YOR202W	0.075	0.005	0.013
YPR093C	0.021	0.021	0.012
YIL117C	0.019	0.018	0.017
YBR111C	0.036	0.008	NaN
YGR270W	0.018	0.024	0.141
YOR243C	0.044	0.011	0.070
YOL124C	0.015	0.027	0.046
YLR420W	0.017	0.023	0.055
YNL066W	NaN	0.028	0.010
YDR307W	0.024	0.021	0.014
YJR099W	0.023	0.014	0.016
YBR007C	0.059	0.008	0.010
YIL014W	0.014	0.019	0.013
YBL052C	0.011	0.035	0.012
YOL060C	0.012	0.024	0.080
YDL231C	0.023	0.018	0.015
YIL095W	NaN	0.018	0.015
YBL010C	0.051	0.009	0.012
YLR432W	0.038	0.015	0.011
YBR107C	0.048	0.011	0.010
YOR277C	0.067	0.003	0.018
YOL116W	0.025	0.009	0.032
YLR171W	0.079	0.011	0.008
YIR019C	0.031	0.021	0.017
YHR025W	0.024	0.026	0.003
YER097W	0.038	0.008	0.013
YBL055C	0.012	0.189	0.007
YOL105C	0.022	0.018	0.028
YBR012C	0.027	0.007	0.016
YLR408C	NaN	0.016	0.020
YOR104W	0.013	0.005	0.055
YGR127W	0.018	0.020	0.018
YBL001C	0.030	0.018	0.003
YLR169W	0.023	0.021	0.018
YMR306W	0.016	0.027	0.010
YJL151C	0.018	0.036	0.011
YKR016W	0.025	0.018	0.016
YPL164C	0.023	0.018	0.029
YMR082C	0.018	0.016	0.020
YNL078W	0.061	0.011	0.007
YJR097W	0.036	0.017	0.051
YER079W	0.020	0.031	0.005
YEL040W	0.066	0.010	0.013
YPR084W	0.041	0.017	0.004
YGR166W	NaN	0.017	0.047
YHR066W	0.008	0.023	0.022
YGL056C	0.019	0.016	0.015
YER087C-B	0.025	0.008	0.046
YDR382W	0.096	0.013	0.008
YJR133W	0.025	0.015	0.020
YBR171W	0.021	0.014	0.111
YIR002C	NaN	0.017	0.016
YOR367W	0.009	0.022	0.016
YGL170C	0.016	0.017	0.018
YNL302C	0.001	0.036	NaN
YKL073W	0.058	0.017	0.013
YNR007C	0.029	0.028	0.010
YIL028W	0.014	0.019	0.016
YBR005W	0.019	0.015	0.012
YNL234W	0.017	NaN	NaN
YDR537C	0.020	0.022	0.012
YLR269C	0.017	0.006	0.029
YER173W	0.020	0.017	0.014
YKR039W	0.014	0.018	0.020
YPL134C	0.017	0.026	0.019
YLL044W	0.019	0.028	0.009
YML096W	0.017	0.018	0.040
YMR158C-A	0.025	0.017	0.017
YNL328C	0.009	0.015	0.024
YGR273C	0.027	0.013	0.054
YLR093C	0.009	0.012	0.021
YDR181C	0.049	0.010	0.058
YML072C	NaN	0.017	0.016
YER177W	0.023	0.018	0.013
YIL013C	0.031	0.017	0.017
YPR170C	0.053	0.006	0.013
YKR010C	NaN	0.027	0.016
YBR279W	0.013	0.037	0.020
YNL295W	0.005	0.018	0.030
YGR012W	0.043	0.011	0.011
YOL002C	0.002	0.029	0.075
YDL061W	NaN	0.017	NaN
YDR055W	NaN	0.017	0.021
YIL166C	0.020	0.036	0.012
YOL158C	0.024	0.010	0.027
YLR382C	0.017	NaN	NaN
YOR073W	0.008	0.039	0.030
YFR036W	0.015	0.009	0.092
YPL058C	0.094	0.016	0.006
YNR023W	0.033	0.017	NaN
YBL049W	0.012	0.035	0.008
YHL020C	0.060	0.017	0.036
YKR011C	0.014	0.019	0.020
YGL258W	0.024	0.030	0.012
YHR059W	0.023	0.007	0.021
YBL015W	0.025	0.014	0.010
YBL100C	0.017	NaN	NaN
YKL222C	0.022	0.017	0.032
YHR176W	0.018	0.021	0.007
YNR022C	0.021	0.016	NaN
YER140W	0.011	0.020	0.031
YOL095C	0.024	NaN	0.000
YPR095C	0.016	0.017	0.021
YHL011C	0.040	0.007	0.010
YNL094W	0.017	0.026	0.026
YNL298W	0.059	0.014	NaN
YKL054C	0.196	0.017	0.000
YDL071C	0.021	0.017	0.038
YDR333C	0.012	0.020	0.052
YNL197C	0.026	0.020	0.004
YPL150W	0.092	0.011	0.016
YNL100W	0.034	0.013	0.007
YFR031C-A	0.015	0.022	0.013
YKR072C	0.012	0.032	0.053
YJR142W	0.024	0.014	0.006
YGR084C	0.018	0.024	0.005
YER183C	0.025	0.008	0.012
YNL085W	NaN	0.017	0.017
YFR024C-A	0.029	0.026	0.009
YNR031C	NaN	0.029	0.012
YML123C	0.023	0.019	0.008
YOR312C	0.017	0.012	0.212
YMR078C	0.008	0.027	0.021
YMR161W	0.034	0.008	0.032
YGR110W	0.018	0.035	0.013
YIL164C	0.027	0.037	0.010
YDL240W	0.056	0.011	0.038
YBL060W	0.017	0.017	0.015
YKR043C	0.020	0.033	0.007
YAL053W	0.039	0.017	0.000
YHL017W	0.018	0.031	0.017
YDR146C	0.404	0.012	0.006
YML113W	0.022	0.013	0.014
YDR483W	0.033	0.007	0.023
YDR266C	0.022	0.014	0.010
YDR255C	0.010	0.018	0.019
YIL170W	0.015	0.030	0.015
YGR221C	0.016	0.019	0.015
YBR045C	0.017	0.009	0.022
YPL166W	0.031	0.017	0.014
YFL025C	0.019	0.009	0.023
YGR125W	0.014	0.032	0.016
YDL215C	0.025	0.016	0.012
YNR013C	0.012	0.034	0.018
YGL062W	0.037	0.011	0.012
YGL066W	0.013	0.013	0.016
YDR093W	0.000	0.016	0.048
YKL023W	0.071	0.016	0.005
YPL250C	NaN	0.016	0.014
YEL007W	0.063	0.020	0.007
YIL025C	0.011	0.048	0.021
YKR044W	0.020	0.071	0.004
YDL191W	0.024	0.015	0.063
YJR134C	0.032	0.016	0.021
YDL041W	0.029	0.014	0.018
YER078C	0.016	0.020	0.017
YDR270W	0.040	0.011	0.008
YDR445C	0.014	0.020	0.019
YIL101C	0.035	0.010	0.010
YBR169C	0.026	0.006	0.012
YER185W	0.031	0.015	0.012
YGL032C	0.026	0.018	0.012
YJR066W	0.013	0.021	0.021
YGR040W	0.012	0.048	0.023
YKR066C	0.043	0.016	0.015
YNR058W	0.048	0.017	0.010
YOL007C	NaN	0.014	0.032
YNL065W	NaN	0.076	0.011
YDR252W	0.015	0.019	0.011
YDR198C	0.001	0.028	0.043
YJR003C	0.000	0.016	0.040
YNL032W	0.037	0.003	0.018
YBL103C	0.031	0.003	0.055
YCL057W	0.032	0.009	0.022
YPL025C	0.026	0.007	0.012
YJR050W	0.017	0.011	0.065
YGL035C	0.045	0.012	0.017
YGL158W	0.009	0.038	0.009
YML009C-A	NaN	0.016	NaN
YFL010C	0.017	0.027	0.008
YPR022C	0.034	0.007	0.022
YPL098C	0.000	0.020	0.024
YGR150C	NaN	0.017	0.000
YFR041C	0.014	0.016	0.022
YER046W	0.015	0.019	0.025
YLR037C	0.016	0.019	0.021
YLR344W	0.014	0.016	0.013
YMR198W	0.050	0.016	0.040
YPR070W	0.036	0.014	0.004
YDR488C	NaN	0.028	0.011
YHR199C	0.018	0.016	0.015
YDR360W	0.008	0.018	0.051
YNR039C	0.026	0.016	0.011
YPR188C	0.049	0.013	0.007
YHR191C	0.029	0.016	0.004
YBR296C	0.000	0.055	0.016
YMR272C	0.017	0.024	0.014
YLR087C	0.008	0.011	0.036
YMR088C	0.012	0.016	0.027
YLR244C	0.031	0.017	0.000
YBL046W	0.016	0.011	0.024
YPR077C	0.020	0.015	0.009
YER170W	0.040	0.009	0.025
YGR260W	0.004	1.000	0.015
YKR050W	0.023	0.014	0.011
YJL107C	0.015	0.007	0.100
YJL028W	0.015	0.009	0.498
YDR035W	0.026	0.005	0.013
YJR096W	0.026	0.016	0.010
YBR281C	0.038	0.007	0.014
YGL031C	0.041	0.016	0.006
YKR082W	0.013	0.016	0.055
YPL052W	0.039	0.028	0.004
YGL041C	0.022	0.010	0.010
YMR171C	0.020	0.030	0.010
YKR073C	0.009	0.038	0.031
YIL099W	0.019	0.022	0.008
YMR086C-A	0.053	0.006	0.017
YKR059W	0.016	0.024	0.009
YOL016C	NaN	0.027	0.013
YNL119W	0.020	0.013	0.042
YER065C	0.007	0.020	0.009
YPL064C	0.035	0.018	0.004
YLR338W	0.019	0.014	0.032
YFR038W	0.059	0.016	0.013
YPR096C	0.011	0.020	0.022
YLR038C	0.003	0.017	0.036
YDL133C-A	0.020	0.016	0.007
YKL133C	0.016	0.007	0.036
YHR067W	0.033	0.012	0.004
YGL249W	0.041	0.012	0.011
YER091C-A	0.012	0.016	0.024
YGL083W	0.019	0.031	0.011
YJL191W	0.021	0.015	0.010
YGR177C	0.015	0.010	0.021
YDL199C	0.023	0.015	0.017
YGL086W	0.015	0.040	0.026
YNR040W	0.026	0.019	0.010
YJL049W	0.021	0.018	0.008
YPR101W	0.014	0.019	0.054
YDR321W	0.021	0.027	0.012
YIL024C	0.011	0.031	0.016
YNL208W	0.015	NaN	NaN
YOR177C	0.044	0.004	0.013
YDR320C	0.015	0.026	0.218
YJR153W	0.026	0.015	0.024
YKL191W	0.013	0.018	0.033
YGL033W	0.033	0.011	0.010
YIR037W	0.009	0.042	0.021
YBR174C	0.040	0.037	0.004
YOL160W	0.019	0.010	0.028
YDR273W	0.031	0.007	0.010
YBL059W	0.008	0.017	0.013
YGL229C	0.028	0.015	0.006
YNL125C	0.020	0.013	0.014
YGR287C	0.013	0.047	0.023
YLR375W	NaN	0.022	0.005
YLR219W	0.022	0.015	0.020
YER154W	0.015	NaN	0.006
YBR112C	0.015	NaN	NaN
YOR323C	0.041	0.012	0.048
YKR047W	0.019	0.015	0.012
YLR216C	0.017	0.015	0.045
YFL047W	0.011	0.012	0.016
YJR088C	0.026	0.015	0.016
YIR030C	NaN	0.011	0.017
YER182W	0.037	0.007	0.010
YKR061W	0.012	0.046	0.003
YHR139C	0.008	0.025	0.022
YPR083W	0.034	0.015	0.005
YNL069C	0.057	0.006	0.053
YHR079C-A	0.058	0.007	0.011
YOR308C	0.018	0.017	0.008
YCR085W	0.068	0.003	0.019
YJL055W	0.051	0.015	0.000
YIL137C	0.017	0.031	0.007
YER098W	0.031	0.006	0.011
YNL339C	0.043	0.019	0.001
YBR229C	NaN	0.023	0.015
YCL055W	0.009	0.015	0.017
YFL030W	0.010	0.039	0.011
YHR039C	0.022	0.015	0.015
YPR075C	0.018	0.016	0.010
YLR356W	0.024	0.015	0.015
YLR138W	0.013	0.014	0.017
YGL037C	0.039	0.014	0.006
YGR092W	0.012	0.039	0.008
YKR048C	0.030	0.015	0.015
YPL073W	NaN	0.015	NaN
YIR043C	0.013	0.015	0.016
YNL071W	0.033	0.007	0.011
YBR250W	0.027	0.013	0.015
YJL121C	0.438	0.015	0.002
YHR016C	0.027	0.027	0.007
YMR194W	0.010	0.008	0.077
YNL089C	0.897	0.015	0.006
YER045C	0.015	0.015	0.013
YNL196C	0.031	0.010	0.011
YMR090W	0.009	0.028	0.024
YLR218C	0.029	0.024	0.007
YNL127W	0.035	0.015	0.007
YGR210C	0.021	0.014	0.006
YPR040W	0.037	0.012	0.006
YEL011W	0.026	0.011	0.008
YOR350C	0.000	0.019	0.015
YLR390W-A	0.025	0.008	0.019
YDL072C	0.013	0.018	0.012
YML109W	0.016	0.013	0.008
YOR023C	0.008	0.025	0.009
YIL133C	0.018	0.046	0.014
YGL262W	0.028	0.002	0.018
YDR107C	0.003	0.033	0.025
YML124C	0.023	0.013	0.009
YPL203W	NaN	0.015	0.023
YGR093W	0.018	0.016	0.013
YBR066C	NaN	0.007	0.029
YKR101W	0.012	0.015	0.032
YIL008W	0.070	0.004	0.044
YOR342C	NaN	0.015	0.013
YDR135C	0.009	0.015	0.009
YKR026C	0.016	0.022	0.013
YCR095C	0.011	0.040	0.027
YDR289C	0.066	0.018	0.012
YMR246W	0.022	0.007	0.030
YPL111W	0.008	0.023	0.009
YKL162C-A	0.035	0.017	0.011
YGR126W	0.020	0.034	0.015
YHR034W	NaN	0.015	NaN
YBR240C	0.009	0.085	0.007
YIL073C	0.011	0.030	0.019
YGR144W	0.131	0.008	0.010
YJL213W	0.019	0.031	0.008
YMR031W-A	0.226	0.010	0.018
YBR289W	0.012	NaN	0.018
YNR074C	0.017	0.053	0.008
YJR082C	0.018	0.015	0.017
YER178W	0.052	0.015	0.010
YNL288W	0.034	0.020	0.010
YNL268W	0.000	0.026	0.051
YNL072W	0.023	0.009	0.008
YNL316C	0.025	0.015	0.012
YDL040C	0.017	0.007	0.041
YIR016W	NaN	0.036	0.010
YJL100W	0.017	0.016	0.000
YLR429W	0.335	0.010	0.007
YBR083W	0.043	0.011	0.019
YOL017W	0.026	0.015	0.036
YOR037W	NaN	0.014	0.045
YGR112W	0.023	0.008	0.018
YER074W	0.012	0.002	0.100
YKL005C	0.031	0.014	0.018
YPR066W	0.041	0.012	0.002
YHR210C	0.021	0.064	0.009
YDR541C	0.024	0.005	0.016
YPL192C	0.021	0.014	0.011
YBR295W	0.058	0.011	0.018
YIL037C	0.013	0.025	0.014
YKL136W	0.031	0.009	0.036
YHR185C	0.029	0.005	0.012
YDL206W	0.032	0.017	0.014
YLR428C	0.028	0.014	0.016
YNL009W	0.022	0.006	0.012
YCR102W-A	0.018	0.027	0.010
YOR368W	0.007	0.015	0.014
YKL184W	0.065	0.014	0.000
YBR287W	0.022	0.012	0.033
YOR339C	0.010	0.014	0.008
YGR276C	0.021	0.014	0.028
YEL066W	0.020	0.013	0.014
YLR353W	0.045	0.017	0.011
YER091C	0.016	0.015	0.008
YNL322C	0.009	0.014	0.034
YGL039W	0.024	0.011	0.009
YOL100W	0.014	0.035	0.016
YER014W	0.014	NaN	NaN
YLR241W	0.009	0.028	0.010
YBR072W	0.018	0.008	0.013
YDR494W	0.050	NaN	0.004
YKR053C	NaN	0.022	0.014
YBR074W	0.012	0.005	0.019
YDL234C	0.007	0.017	0.012
YLR396C	0.007	0.014	0.778
YGR162W	0.022	0.009	0.075
YDR262W	0.047	0.024	0.005
YFL004W	0.029	0.022	0.006
YOR385W	0.012	0.019	0.007
YDR293C	0.025	0.009	0.039
YPL248C	0.026	0.010	0.007
YMR081C	0.017	0.014	0.024
YDR116C	0.003	0.011	0.040
YAR002W	0.014	0.009	0.047
YJL165C	0.015	0.041	0.008
YDL062W	0.000	0.014	0.103
YCR100C	0.016	0.006	0.018
YNR061C	0.028	0.014	0.033
YKR021W	0.020	0.014	0.012
YBR022W	0.024	0.006	0.008
YPR076W	0.016	0.018	0.008
YJR116W	0.050	0.011	0.015
YPR092W	NaN	0.019	0.006
YIL039W	0.026	0.011	0.023
YDL178W	0.018	0.012	0.016
YPL163C	0.017	0.023	0.011
YDR161W	0.030	0.003	0.021
YCR077C	0.019	0.014	0.020
YMR104C	0.039	0.014	0.015
YOR156C	0.057	0.010	0.014
YPL059W	0.040	NaN	0.007
YBL043W	0.012	0.026	0.007
YNL183C	0.023	0.014	0.009
YNL130C	0.029	0.014	0.050
YDR336W	0.010	0.022	0.022
YGR235C	0.014	0.014	0.024
YDL005C	NaN	0.014	NaN
YDR538W	0.016	0.007	0.027
YHR087W	0.014	0.014	0.010
YNL300W	0.016	0.014	0.022
YCR020C-A	0.023	0.016	0.009
YPL136W	0.010	0.012	0.015
YKL163W	0.043	0.022	0.007
YBR275C	0.021	0.008	0.007
YDR213W	0.014	0.014	0.021
YJR084W	0.025	0.013	0.015
YBR166C	0.031	0.005	NaN
YPR029C	0.014	0.016	0.007
YGL226C-A	0.015	0.034	0.005
YBL075C	0.008	0.013	0.014
YPR042C	0.020	0.012	0.005
YER188W	0.021	0.014	0.018
YGL019W	0.014	0.011	0.029
YKR017C	0.021	0.023	0.006
YNL162W	0.014	NaN	NaN
YOR293W	0.104	0.010	0.005
YBR031W	0.019	0.008	0.014
YBR043C	0.039	0.008	0.007
YPR198W	0.014	0.022	0.001
YHR162W	0.025	0.003	0.012
YDR251W	0.016	0.014	0.012
YOR164C	0.057	0.014	0.082
YFL034C-A	0.016	0.009	0.009
YML011C	0.000	0.014	0.043
YMR105C	0.026	0.021	0.005
YGR271W	0.039	0.020	0.008
YOR150W	0.028	NaN	0.002
YML038C	0.000	0.035	0.025
YML107C	NaN	0.014	0.017
YHR156C	0.008	0.020	0.017
YOL032W	0.013	0.014	0.007
YER044C	0.057	NaN	0.003
YPR058W	0.025	0.014	0.002
YHR195W	0.026	0.032	0.007
YLR433C	0.034	0.013	0.003
YIL093C	0.012	0.028	0.000
YDR242W	0.033	0.016	0.011
YIR009W	0.013	0.020	0.020
YNL104C	0.028	0.008	0.009
YPL241C	0.045	0.015	0.010
YBR001C	0.052	0.004	0.011
YNR021W	0.013	0.027	0.011
YPL018W	0.062	0.006	0.017
YDR125C	0.067	0.022	0.013
YFL013C	0.000	0.013	0.050
YOR307C	0.036	0.013	0.016
YFL010W-A	0.009	0.021	0.018
YNR028W	0.034	0.029	0.010
YNL042W	0.090	0.008	NaN
YPL133C	0.029	0.015	0.013
YGR241C	0.002	0.013	0.057
YCL045C	0.009	0.016	0.006
YGR176W	0.012	0.013	0.013
YIR001C	0.004	0.028	0.010
YBR098W	0.006	0.010	0.011
YNR060W	0.040	0.013	0.014
YPR059C	0.013	0.020	0.000
YOR378W	0.011	0.016	0.008
YMR291W	0.013	0.060	0.004
YOL107W	0.018	0.013	0.013
YDR095C	0.010	0.013	0.017
YML074C	0.018	0.008	0.026
YNL013C	0.030	0.003	0.027
YDL216C	0.024	0.013	0.009
YDR183W	0.031	0.006	0.009
YPL046C	0.032	0.014	0.006
YML101C	0.012	0.020	0.027
YCR037C	0.057	0.030	0.004
YGL049C	0.015	0.017	0.012
YCR014C	0.089	0.004	0.010
YPL132W	0.014	NaN	0.000
YFL003C	0.020	0.013	0.013
YPL129W	0.112	0.003	0.149
YIL146C	0.012	0.011	0.017
YDR424C	NaN	0.014	0.008
YGR153W	0.019	0.010	0.013
YGL085W	0.011	0.024	0.008
YOL137W	0.019	0.008	0.023
YDR036C	0.043	0.013	0.006
YDR285W	0.014	0.014	0.011
YDL224C	0.011	0.013	0.014
YDR155C	0.005	0.020	0.025
YHL024W	0.013	0.015	0.007
YPR069C	0.025	0.013	0.001
YOR138C	0.060	0.006	0.009
YER161C	0.021	0.006	0.038
YJR109C	0.039	0.020	0.013
YJR087W	0.028	0.011	0.023
YJR031C	0.068	0.009	0.014
YOR383C	0.009	0.018	0.010
YIR027C	0.013	0.013	0.030
YPR046W	0.018	0.017	0.013
YNL159C	0.028	0.002	0.026
YEL023C	0.056	0.004	0.012
YPR097W	0.011	0.015	0.010
YML037C	0.017	0.013	0.013
YBR061C	0.030	0.013	NaN
YJR110W	0.029	0.014	0.002
YPL196W	0.006	0.019	0.018
YBL003C	0.089	0.012	0.003
YLR248W	0.026	0.013	0.014
YDR148C	0.024	0.002	0.017
YLR136C	0.058	0.045	0.009
YCL051W	0.019	0.013	0.020
YMR065W	0.009	0.031	0.020
YGL036W	0.070	0.010	0.004
YCL076W	0.010	0.013	0.015
YER090W	0.009	0.047	0.020
YJR094C	0.017	0.011	0.014
YNR036C	0.014	0.008	0.025
YER046W-A	0.015	0.015	0.010
YER005W	0.039	0.019	0.013
YGL232W	0.032	0.003	0.014
YPR172W	0.052	0.003	0.011
YGL027C	0.033	0.008	0.011
YDL173W	0.024	0.013	0.034
YDL229W	0.015	0.013	0.020
YMR247C	0.007	0.009	0.070
YDR089W	NaN	0.013	0.018
YDR277C	0.025	0.023	0.009
YOL029C	0.011	0.016	0.024
YML009C	0.016	0.010	0.016
YBL057C	0.030	0.006	0.013
YNL194C	0.026	0.019	0.002
YMR191W	NaN	0.013	0.011
YNR063W	0.018	0.019	0.013
YKL091C	0.044	0.013	0.000
YER007W	0.037	0.011	0.013
YPR002W	0.055	0.017	0.007
YDL210W	0.024	0.021	0.013
YPR012W	0.007	0.018	0.011
YNL257C	0.054	0.013	0.004
YJL123C	0.014	0.011	0.075
YNL049C	0.008	0.041	0.014
YKR009C	0.008	0.017	0.020
YOR316C	0.011	0.013	0.010
YJL122W	0.021	0.014	0.005
YGL070C	0.021	0.005	0.022
YMR062C	0.018	0.013	0.010
YPL206C	NaN	0.013	0.013
YHR155W	0.019	0.016	0.007
YLR445W	0.026	0.013	0.018
YDR124W	0.009	0.009	0.015
YML070W	0.015	0.011	0.015
YBR023C	0.021	0.007	0.009
YML094W	NaN	0.012	0.102
YMR326C	0.031	0.017	0.013
YJL094C	0.010	0.014	0.048
YDR400W	NaN	0.013	0.015
YBL032W	0.009	NaN	0.031
YGR201C	0.009	0.018	0.020
YDR291W	0.028	0.013	0.020
YER086W	0.013	0.004	0.024
YIR029W	0.038	0.013	0.018
YGR170W	0.030	0.011	0.015
YPR089W	0.019	0.011	0.005
YHR032W	0.010	0.013	0.019
YKR040C	0.009	0.009	0.014
YER116C	0.018	0.011	0.018
YPR149W	0.010	0.014	0.009
YOL118C	0.014	0.012	0.022
YOR167C	0.005	0.023	0.008
YOR123C	0.052	0.006	0.008
YHL014C	0.020	0.022	0.010
YKR087C	0.015	0.019	0.006
YHR138C	0.006	0.024	0.025
YBL068W	0.010	0.016	0.008
YER055C	0.030	0.013	0.012
YOR384W	0.011	0.013	0.009
YLL043W	0.008	0.005	0.041
YOR019W	0.018	0.027	0.008
YBR073W	0.015	0.007	0.020
YGL078C	0.008	0.011	0.018
YPR160W	0.600	0.012	0.008
YNR027W	0.010	0.031	0.010
YFL021W	0.024	0.013	0.013
YGR193C	0.018	0.014	0.010
YJR148W	0.018	0.013	0.017
YNR024W	0.013	0.012	0.019
YDR345C	0.039	0.013	0.022
YIL134W	0.012	0.026	0.017
YMR124W	0.013	0.025	0.000
YJR069C	0.012	0.012	0.021
YPL226W	0.057	0.025	0.001
YML102W	0.019	0.005	0.011
YDR085C	NaN	0.013	0.026
YBR067C	0.008	0.009	0.021
YPR073C	0.018	0.018	0.003
YJL119C	0.013	0.018	0.000
YPL053C	0.034	0.008	0.006
YKL207W	0.047	0.013	0.013
YJL020C	0.022	0.010	0.022
YER152C	0.010	0.012	0.031
YDR540C	0.015	0.003	0.068
YGR132C	0.009	0.011	0.021
YER179W	0.045	0.019	0.008
YOL048C	0.023	0.013	0.022
YDL074C	0.049	0.018	0.000
YJR150C	0.037	0.013	0.020
YPL030W	NaN	0.013	0.013
YJR092W	NaN	0.013	0.012
YLR041W	0.015	0.010	0.012
YHL019C	0.017	0.009	0.029
YOR154W	0.040	0.013	0.014
YOR213C	0.024	0.006	0.036
YEL039C	0.027	0.010	0.013
YLR217W	0.014	0.013	0.010
YBR013C	0.013	0.008	0.007
YOL043C	0.006	0.019	0.016
YJL093C	0.020	0.012	0.000
YLR446W	0.015	0.012	0.014
YBL013W	0.011	0.017	0.017
YBR047W	0.034	0.004	0.012
YHR181W	0.025	0.015	0.007
YNL008C	0.019	0.008	NaN
YKL217W	0.012	0.015	0.011
YOR153W	0.025	0.020	0.007
YOR344C	0.033	0.012	0.017
YKR064W	0.008	0.013	0.008
YDR329C	0.022	0.012	0.030
YJL201W	0.022	0.029	0.000
YJL108C	0.012	0.017	0.008
