orf	hap a | transport to vacuoles (CPY) | standard | YPD | Schluter C~Conibear E, 2008	hap alpha | transport to vacuoles (CPY) | standard | YPD | Schluter C~Conibear E, 2008	hom | transport to vacuoles (CPY) | standard | YPD | Schluter C~Conibear E, 2008
YBR228W	-2.9580547823508567e-05	-0.010533443778928312	-0.010837326054534429
YBR229C		-0.022632177797838802	-0.01506291273590101
YBR230C	-0.0031651186179751023	-0.018111984319669247	-0.006890466271278378
YBR231C	-0.26888845512407444	-0.13335838505852654	-0.20272005264470427
YBR232C	-0.016424465926590425	-0.0024882094452989825	-0.01309731155907955
YBR233W	-0.010126407541067535	-0.00726426949449191	-0.009044000407963666
YBR235W	-0.0933149341322369	-0.01845594563782306	-0.010262731051687426
YBR238C	-0.01794553235128243	-0.008581825486346537	-0.007902914502950088
YBR239C	-0.0058963892011366405	-0.015465314842051976	-0.006835512140731084
YBR240C	-0.00864738014947946	-0.08471233888662572	-0.007191960363163329
YBR241C	-0.0003451063913774289	-0.014593187279963267	-0.004850213075953907
YBR242W	-0.001676231043813576	-0.011621387840274552	-0.006086242756736682
YBR244W	-0.018527283125282314	-0.01891443275488833	-0.006182526053239948
YBR245C	-0.2125393768057713	-0.08229091798350907	-0.1468631186037128
YBR246W	-0.03400971808001042	-0.0654427763296974	-0.09947237919484887
YBR248C	-0.04055493107734371	-0.010604098257511362	-0.00977587029090131
YBR249C	-0.023664438265409246	-0.011891566203716572	-0.008421895224470911
YBR250W	-0.0266013944462404	-0.013483138073349393	-0.014935949463513877
YBR251W	-0.018127145214325232	-0.004352059900852422	
YBR255W	-0.0071190518448522	-0.015500378312346613	-0.008377331989505497
YBR258C	-1.972036521567238e-05	-0.016305260038112696	-0.00831017861037494
YBR259W	-0.002238261452597789	-0.00928007780408377	-0.006542524005666489
YBR260C	-0.0005620304087842126	-0.010502734900630738	-0.00915201412078288
YBR261C	-0.02086431744921072	-0.014115339572556986	-0.007126113016836971
YBR262C	-0.072253138489504	-0.01361414675108856	-0.009211690061992813
YBR263W	-0.000700072965362694	-0.014171783600688622	-0.012177049493643522
YBR264C	-0.0018438541481811792	-0.026458146736908564	-0.004342938892303191
YBR266C	0.0	-0.01062071429284258	-0.592184789555397
YBR267W	-0.07125802085914498		-0.09582086868327322
YBR268W	-0.006803526001298281		
YBR269C	-0.09102659127815156	-0.0060418285705473185	-0.028592789380790098
YBR270C	-0.023254631767453356	-0.009838502371374777	-0.0113493278883932
YBR271W	-0.024840474020063164	-0.004389678654708222	-0.01769616013801818
YBR272C	-0.019710495031195173	-0.005493032729071808	-0.0017951335715546935
YBR273C	-0.028714676390144273	-0.003067403599476569	-0.016336458954046475
YBR274W	-0.019325012937082744	-0.0029834418662795037	-0.031287319571871905
YBR275C	-0.021441427385077205	-0.008489121673940187	-0.00663603879532531
YBR276C	-0.2111619523243518	-0.010045116631680041	-0.012072485962246747
YBR277C	-0.03126012007202029	-0.003696271058927142	-0.022295550386186677
YBR278W	-0.049395474330929716	-0.006168389255158368	-0.009163586077027558
YBR279W	-0.01250144592526306	-0.03705079508502992	-0.020468054865669934
YBR280C	-0.015686471884799456	-0.005402168885463233	-0.013340139526993762
YBR281C	-0.038291061043627894	-0.0069766617236741504	-0.014402048013840426
YBR282W	-0.010518009469202286		0.0
YBR283C	-0.14357485095368583	-0.016358588496606284	-0.07301133339222372
YBR284W	-0.12201975800460686	-0.009278446746963546	-0.009236263262026909
YBR285W	-0.024905586664958512	-0.00753290394849216	-0.025265724473432238
YBR286W	-0.02771628250206431	-0.015780460027639158	-0.005759365555643312
YBR287W	-0.02175650763046154	-0.012336475944896296	-0.033116382569556846
YBR288C	-0.2150275909442857	-0.19526291777538962	-0.37644518167067487
YBR289W	-0.011962148028204117		-0.018446798804918205
YBR290W	-0.09528113338217767	-0.02479919909403423	-0.2703566591421797
YBR291C	-0.0628070053010821	-0.020880047218390936	-0.08161625282164481
YBR292C	-0.019761687719739792	-0.025309073423939267	-0.017313363573308593
YBR293W	-0.022528975126978424	-0.004466398082755497	-0.019940903076687107
