ORF	hap a | growth (GI50) | methyl methanesulfonate [0.004-0.016%] | Svensson JP~Samson LD, 2011
YAL068C	0.013
YAL067C	0.014
YAL066W	0.013
YAL065C	0.012
YAL062W	0.012
YAL061W	0.012
YAL060W	0.012
YAL059W	0.012
YAL058W	0.012
YAL056W	0.012
YAL055W	0.010
YAL053W	0.012
YAL051W	0.012
YAL049C	0.011
YAL048C	0.013
YAL046C	0.012
YAL045C	0.010
YAL044C	0.010
YAL042W	0.010
YAL042C-A	0.010
YAL040C	0.011
YAL036C	0.013
YAL035W	0.011
YAL034C	0.012
YAL031C	0.010
YAL030W	0.011
YAL029C	0.010
YAL028W	0.011
YAL027W	0.010
YAL026C	0.009
YAL023C	0.011
YAL022C	0.011
YAL021C	0.009
YAL020C	0.011
YAL019W	0.012
YAL015C	0.011
YAL014C	0.012
YAL013W	0.009
YAL011W	0.009
YAL010C	0.009
YAL009W	0.012
YAL008W	0.010
YAL007C	0.011
YAL004W	0.012
YAL005C	0.012
YAL002W	0.012
YAR002W	0.010
YAR014C	0.013
YAR015W	0.010
YAR018C	0.006
YAR020C	0.011
YAR023C	0.011
YAR027W	0.011
YAR028W	0.011
YAR029W	0.010
YAR031W	0.012
YAR030C	0.012
YAR035W	0.012
YAR040C	0.013
YAR042W	0.011
YAR043C	0.011
YAR047C	0.010
YLL001W	0.011
YLL002W	0.003
YLL005C	0.014
YLL006W	0.011
YLL009C	0.011
YLL010C	0.013
YLL013C	0.011
YLL014W	0.011
YLL015W	0.011
YLL016W	0.011
YLL017W	0.011
YLL019C	0.011
YLL020C	0.005
YLL021W	0.011
YLL023C	0.013
YLL024C	0.012
YLL025W	0.011
YLL026W	0.012
YLL028W	0.011
YLL029W	0.010
YLL032C	0.010
YLL033W	0.010
YLL038C	0.011
YLL039C	0.010
YLL040C	0.010
YLL041C	0.012
YLL042C	0.011
YLL043W	0.008
YLL045C	0.012
YLL046C	0.012
YLL047W	0.011
YLL051C	0.012
YLL052C	0.011
YLL053C	0.006
YLL054C	0.011
YLL055W	0.011
YLL056C	0.011
YLL057C	0.011
YLL058W	0.012
YLL060C	0.011
YLL061W	0.011
YLL062C	0.010
YLL063C	0.010
YLR001C	0.010
YLR003C	0.011
YLR012C	0.012
YLR013W	0.011
YLR014C	0.010
YLR015W	0.011
YLR016C	0.011
YLR017W	0.010
YLR018C	0.011
YLR019W	0.011
YLR020C	0.010
YLR021W	0.010
YLR023C	0.011
YLR024C	0.011
YLR025W	0.008
YLR027C	0.010
YLR043C	0.010
YLR044C	0.010
YLR046C	0.010
YLR047C	0.010
YLR048W	0.011
YLR049C	0.011
YLR053C	0.011
YLR054C	0.010
YLR055C	0.010
YLR056W	0.004
YLR057W	0.010
YLR058C	0.010
YLR059C	0.011
YLR061W	0.011
YLR062C	0.010
YLR063W	0.010
YLR064W	0.010
YLR065C	0.010
YLR067C	0.011
YLR068W	0.011
YLR069C	0.012
YLR070C	0.011
YLR072W	0.010
YLR073C	0.010
YLR077W	0.010
YLR079W	0.009
YLR080W	0.011
YLR081W	0.010
YLR082C	0.011
YLR083C	0.011
YLR084C	0.010
YLR085C	0.008
YLR087C	0.005
YLR089C	0.011
YLR090W	0.010
YLR092W	0.011
YLR093C	0.011
YLR094C	0.010
YLR095C	0.010
YLR096W	0.010
YLR097C	0.010
YLR098C	0.011
YLR099C	0.010
YLR102C	0.010
YLR104W	0.012
YLR107W	0.012
YLR108C	0.011
YLR109W	0.011
YLR111W	0.011
YLR112W	0.012
YLR113W	0.010
YLR114C	0.013
YLR118C	0.011
YLR119W	0.012
YLR120C	0.012
YLR121C	0.013
YLR122C	0.013
YLR123C	0.012
YLR124W	0.012
YLR125W	0.012
YML089C	0.013
YML088W	0.014
YML087C	0.012
YML086C	0.010
YML084W	0.012
YML083C	0.011
YML082W	0.012
YML081W	0.015
YML080W	0.011
YML079W	0.011
YML078W	0.011
YML063W	0.012
YML062C	0.012
YML061C	0.011
YML058W	0.013
YML057W	0.010
YML057C-A	0.011
YML056C	0.012
YML055W	0.012
YML054C	0.011
YML053C	0.011
YML052W	0.012
YML051W	0.011
YML050W	0.011
YML048W	0.012
YML047W-A	0.012
YML037C	0.011
YML035C	0.011
YML034W	0.010
YML032C	0.002
YML030W	0.010
YML029W	0.011
YML028W	0.011
YML026C	0.011
YML024W	0.011
YML020W	0.011
YML019W	0.013
YML018C	0.011
YML017W	0.011
YML016C	0.010
YML014W	0.009
YML013W	0.010
YML012C-A	0.010
YML012W	0.011
YML011C	0.010
YML009C	0.012
YML008C	0.010
YML007W	0.010
YML006C	0.010
YML005W	0.010
YML004C	0.011
YML003W	0.011
YML001W	0.010
YMR002W	0.011
YMR003W	0.007
YMR006C	0.011
YMR007W	0.011
YMR008C	0.011
YMR009W	0.013
YMR010W	0.012
YMR011W	0.012
YMR012W	0.011
YNR014W	0.011
YMR016C	0.009
YMR017W	0.011
YMR018W	0.011
YMR019W	0.011
YMR020W	0.011
YMR021C	0.010
YMR022W	0.013
YMR023C	0.012
YMR024W	0.012
YMR025W	0.013
YMR026C	0.010
YMR027W	0.013
YMR029C	0.013
YMR030W	0.012
YMR031W-A	0.007
YMR031C	0.012
YMR032W	0.004
YMR034C	0.011
YMR035W	0.011
YMR036C	0.014
YMR039C	0.011
YMR040W	0.012
YMR041C	0.013
YMR042W	0.014
YMR044W	0.012
YMR140W	0.013
YMR141C	0.013
YMR143W	0.013
YMR144W	0.012
YMR145C	0.011
YMR147W	0.011
YMR148W	0.013
YMR151W	0.011
YMR150C	0.013
YMR152W	0.014
YMR153W	0.014
YMR153C-A	0.013
YMR155W	0.012
YMR156C	0.011
YMR159C	0.013
YMR161W	0.011
YMR162C	0.012
YMR163C	0.013
YMR164C	0.011
YMR166C	0.011
YMR167W	0.011
YMR169C	0.010
YMR170C	0.012
YMR172C-A	0.013
YMR173W-A	0.012
YMR174C	0.011
YMR175W	0.011
YMR176W	0.012
YMR179W	0.011
YMR180C	0.011
YMR182C	0.011
YMR183C	0.012
YMR184W	0.012
YMR186W	0.012
YMR187C	0.012
YMR188C	0.011
YMR189W	0.013
YMR190C	0.002
YMR191W	0.012
YMR192W	0.012
YMR193W	0.013
YMR194W	0.012
YMR193C-A	0.011
YMR195W	0.012
YMR196W	0.012
YMR198W	0.009
YMR199W	0.012
YMR201C	0.009
YMR202W	0.008
YMR204C	0.012
YMR205C	0.012
YMR206W	0.014
YMR210W	0.011
YMR214W	0.013
YMR215W	0.011
YMR216C	0.011
YMR219W	0.010
YMR221C	0.011
YMR222C	0.012
YMR223W	0.012
YMR224C	0.012
YMR225C	0.012
YMR226C	0.011
YMR230W	0.012
YMR231W	0.011
YMR232W	0.011
YMR233W	0.011
YMR234W	0.009
YMR237W	0.011
YMR238W	0.011
YMR241W	0.011
YMR242C	0.011
YMR243C	0.012
YMR244W	0.011
YMR245W	0.012
YMR244C-A	0.012
YMR246W	0.012
YMR247C	0.011
YMR250W	0.013
YMR251W	0.013
YMR251W-A	0.012
YMR252C	0.012
YMR253C	0.013
YMR254C	0.012
YMR255W	0.013
YMR256C	0.012
YMR257C	0.012
YMR258C	0.014
YMR259C	0.013
YMR261C	0.013
YMR262W	0.012
YNL047C	0.013
YMR264W	0.011
YMR265C	0.011
YMR266W	0.012
YMR267W	0.013
YMR269W	0.011
YMR272C	0.012
YMR273C	0.012
YMR274C	0.013
YMR275C	0.013
YMR276W	0.013
YMR282C	0.011
YMR283C	0.011
YMR284W	0.010
YMR285C	0.012
YMR286W	0.011
YMR287C	0.012
YMR289W	0.012
YMR291W	0.011
YMR292W	0.012
YMR293C	0.013
YMR294W	0.012
YMR294W-A	0.014
YMR295C	0.010
YMR297W	0.012
YMR302C	0.011
YMR303C	0.013
YMR304W	0.010
YMR304C-A	0.013
YMR305C	0.013
YMR306C-A	0.012
YMR307W	0.012
YMR310C	0.013
YNL339C	0.013
YNL338W	0.010
YNL336W	0.012
YNL335W	0.011
YNL334C	0.012
YNL333W	0.012
YNL332W	0.011
YNL330C	0.013
YNL329C	0.011
YNL328C	0.013
YNL327W	0.013
YNL326C	0.013
YNL324W	0.011
YNL325C	0.012
YNL323W	0.014
YNL322C	0.011
YNL320W	0.012
YNL319W	0.012
YNL318C	0.011
YNL314W	0.013
YNL311C	0.012
YNL309W	0.012
YNL053W	0.012
YNL305C	0.011
YNL304W	0.011
YNL303W	0.012
YNL302C	0.010
YNL299W	0.013
YNL298W	0.011
YNL086W	0.008
YNL297C	0.012
YNL295W	0.013
YNL294C	0.010
YNL293W	0.012
YNL089C	0.010
YNL291C	0.010
YNL289W	0.013
YNL288W	0.012
YNL286W	0.012
YNL285W	0.011
YNL283C	0.012
YNL281W	0.012
YNL280C	0.015
YNL278W	0.012
YNL096C	0.008
YNL276C	0.013
YNL275W	0.012
YNL273W	0.009
YNL271C	0.013
YNL270C	0.014
YNL269W	0.016
YNL268W	0.013
YNL266W	0.015
YNL265C	0.015
YNL264C	0.016
YNL259C	0.012
YNL257C	0.014
YNL255C	0.011
YNL254C	0.014
YNL253W	0.015
YNL249C	0.012
YNL248C	0.013
YNL246W	0.009
YOR001W	0.014
YOR002W	0.016
YOR003W	0.015
YOR007C	0.014
YOR008C	0.012
YOR009W	0.014
YOR010C	0.014
YOR011W	0.012
YOR012W	0.013
YOR013W	0.016
YOR014W	0.012
YOR015W	0.013
YOR016C	0.016
YOR017W	0.015
YOR018W	0.015
YOR019W	0.015
YOR021C	0.014
YOR024W	0.013
YOR025W	0.014
YOR026W	0.009
YOR027W	0.012
YOR028C	0.013
YOR029W	0.013
YOR030W	0.010
YOR031W	0.016
YOR032C	0.015
YOR033C	0.013
YOR034C	0.015
YOR035C	0.015
YOR036W	0.013
YOR037W	0.014
YOR038C	0.012
YOR039W	0.010
YOR040W	0.015
YOR041C	0.014
YOR042W	0.014
YOR043W	0.011
YOR044W	0.014
YOR045W	0.012
YOR047C	0.014
YOR049C	0.013
YOR051C	0.012
YOR052C	0.015
