orf	hap a | growth (GI50) | methyl methanesulfonate [0.004-0.016%] | Svensson JP~Samson LD, 2011
YAL002W	0.011609086
YAL004W	0.011859557
YAL005C	0.011824408
YAL007C	0.011481565
YAL008W	0.010174132
YAL009W	0.011746837
YAL010C	0.009055916
YAL011W	0.008700797
YAL012W	0.011912488
YAL013W	0.00924389
YAL014C	0.011815434
YAL015C	0.010658998
YAL016W	0.0
YAL017W	0.012378892
YAL018C	0.012625644
YAL019W	0.012094031
YAL020C	0.011358739
YAL021C	0.009286963
YAL022C	0.01091289
YAL023C	0.010621646
YAL024C	0.010928026
YAL026C	0.008973254
YAL027W	0.00968119
YAL028W	0.011241494
YAL029C	0.010309355
YAL030W	0.011110788
YAL031C	0.010342338
YAL034C	0.012096082
YAL035W	0.010531504
YAL036C	0.013396379
YAL037W	0.011184384
YAL039C	0.004306894
YAL040C	0.010760594
YAL042C-A	0.009787931
YAL042W	0.009930159
YAL044C	0.00950267
YAL045C	0.010480192
YAL046C	0.011582662
YAL047C	0.009535197
YAL048C	0.01301248
YAL049C	0.011050964
YAL051W	0.011551835
YAL053W	0.012381934
YAL054C	0.01200082
YAL055W	0.009705993
YAL056C-A	0.013580161
YAL056W	0.011748398
YAL058W	0.011804458
YAL059W	0.011896221
YAL060W	0.012129544
YAL061W	0.011773969
YAL062W	0.01213041
YAL064C-A	0.0
YAL065C	0.011670907
YAL066W	0.013344386
YAL067C	0.014263209
YAL068C	0.013135574
YAR002C-A	0.0086055
YAR002W	0.0104111615
YAR014C	0.013366903
YAR015W	0.010259818
YAR018C	0.005835574
YAR020C	0.010628928
YAR023C	0.010557274
YAR027W	0.011362121
YAR028W	0.011054406
YAR029W	0.01049778
YAR030C	0.011688208
YAR031W	0.012430873
YAR035W	0.012358816
YAR042W	0.011475319000000001
YAR047C	0.010209599
YAR050W	0.010883085
YBL001C	0.012205045
YBL002W	0.0
YBL003C	0.010365813
YBL005W	0.011917557
YBL006C	0.009819692
YBL007C	0.009224975
YBL008W	0.012634801
YBL009W	0.015002617
YBL010C	0.01518931
YBL011W	0.017648664
YBL012C	0.015157194
YBL013W	0.016904628
YBL015W	0.021685729
YBL016W	0.011178025
YBL017C	0.009478971
YBL019W	0.011720562
YBL021C	0.009626928
YBL022C	0.009797425
YBL024W	0.010063621
YBL025W	0.0
YBL027W	0.009673496
YBL028C	0.015573742
YBL029W	0.014597951
YBL031W	0.018784712
YBL032W	0.013780598
YBL033C	0.0
YBL036C	0.011641685
YBL037W	0.010024995
YBL038W	0.009560781
YBL039C	0.009838532
YBL042C	0.014945974
YBL043W	0.013444323
YBL044W	0.013386348
YBL045C	0.014170016
YBL046W	0.014357562
YBL047C	0.020016809
YBL048W	0.019680545
YBL049W	0.01651014
YBL051C	0.009186915
YBL052C	0.0
YBL053W	0.011836871
YBL054W	0.011590786
YBL055C	0.011286337
YBL056W	0.011802094
YBL057C	0.011619182
YBL058W	0.008487567
YBL059W	0.014251672
YBL060W	0.01813852
YBL061C	0.018586658
YBL062W	0.016424532
YBL063W	0.009097776
YBL064C	0.0
YBL065W	0.0
YBL066C	0.012676804
YBL067C	0.009551195
YBL068W	0.015093299
YBL069W	0.012613347
YBL070C	0.014604726
YBL071C	0.018474454
YBL072C	0.011519319
YBL075C	0.01644001
YBL078C	0.018378533
YBL079W	0.008223764
YBL080C	0.010284516
YBL081W	0.0093969
YBL082C	0.01044477
YBL083C	0.010430724
YBL085W	0.0
YBL086C	0.010506628
YBL087C	0.01111133
YBL088C	0.009707925
YBL089W	0.014290295
YBL090W	0.017313046
YBL091C	0.022277246
YBL091C-A	0.008770644
YBL093C	0.0
YBL094C	0.007147191
YBL095W	0.008514775
YBL096C	0.009240205
YBL098W	0.009554915
YBL099W	0.006341715
YBL100C	0.003370617
YBL101C	0.010566774
YBL102W	0.01121683
YBL103C	0.012183848
YBL104C	0.012038053
YBL106C	0.014645758
YBL107C	0.010756559
YBR001C	0.0
YBR003W	0.009073248
YBR005W	0.008607857
YBR006W	0.009503565
YBR007C	0.01084242
YBR008C	0.011005276
YBR009C	0.014779284
YBR010W	0.011828688
YBR012C	0.013156134
YBR013C	0.014188517
YBR014C	0.01103491
YBR015C	0.008918267
YBR016W	0.009005916
YBR018C	0.022986166
YBR019C	0.008443944
YBR020W	0.013273508
YBR021W	0.013883932
YBR022W	0.010288825
YBR023C	0.017684444
YBR024W	0.014582757
YBR025C	0.014694816
YBR026C	0.010155755
YBR027C	0.009445721
YBR028C	0.007700206
YBR030W	0.007921145
YBR031W	0.009854797
YBR032W	0.009572173
YBR033W	0.010053941
YBR034C	0.010191248
YBR035C	0.0
YBR036C	0.028963331
YBR037C	0.012933883
YBR040W	0.063697376
YBR041W	0.009099772
YBR042C	0.01255814
YBR043C	0.0
YBR044C	0.007704133
YBR045C	0.010331021
YBR046C	0.010483794
YBR047W	0.009640461
YBR048W	0.011109244
YBR050C	0.012138445
YBR051W	0.010554984
YBR052C	0.014017508
YBR053C	0.012658827
YBR054W	0.013075391
YBR056W	0.017943606
YBR057C	0.011010796
YBR058C	0.007078397
YBR059C	0.009958233
YBR061C	0.011098757
YBR062C	0.009372836
YBR063C	0.010226372
YBR064W	0.011579338
YBR065C	0.012899173
YBR066C	0.011452522
YBR067C	0.013197736
YBR068C	0.007755872
YBR069C	0.002463291
YBR071W	0.00897654
YBR072W	0.008835936
YBR073W	0.009517385
YBR074W	0.012230343
YBR076W	0.010824674
YBR077C	0.0057463845
YBR081C	0.018025688
YBR082C	0.01105312
YBR083W	0.009538382
YBR084C-A	0.011836761
YBR084W	0.016923977
YBR085W	0.008807377
YBR089C-A	0.007626115
YBR090C	0.010872669
YBR092C	0.008231829
YBR093C	0.008058009
YBR094W	0.003120612
YBR095C	0.00881165
YBR097W	0.0
YBR098W	0.006382617333333333
YBR099C	0.004546626
YBR101C	0.0
YBR103W	0.01164294
YBR104W	0.012049727
YBR105C	0.015403305
YBR106W	0.010257618
YBR107C	0.008230414
YBR108W	0.008948997
YBR111C	0.006383372
YBR112C	0.0
YBR113W	0.012064821
YBR114W	0.019372435
YBR115C	0.018111486
YBR116C	0.012864977
YBR119W	0.018602395
YBR120C	0.022258517
YBR121C	0.0
YBR122C	0.0
YBR125C	0.012002405
YBR126C	0.008783085
YBR127C	0.009053498
YBR128C	0.009069853
YBR129C	0.009164229
YBR130C	0.010585091
YBR131W	0.011352085
YBR132C	0.009638308
YBR133C	0.008615376
YBR134W	0.011349402
YBR137W	0.011519679
YBR138C	0.012894175
YBR139W	0.010661885
YBR141C	0.013373527
YBR144C	0.009451371
YBR145W	0.008783658
YBR146W	0.008920838
YBR147W	0.009225709
YBR148W	0.009427063
YBR149W	0.011786381
YBR150C	0.010435767
YBR151W	0.011026626
YBR156C	0.011916925
YBR157C	0.011106589
YBR158W	0.012532153
YBR159W	0.012993148
YBR161W	0.012825123
YBR162C	0.010753113
YBR162W-A	0.008920601
YBR163W	0.009251832
YBR164C	0.008685198
YBR165W	0.009609463
YBR166C	0.010095672
YBR168W	0.007589828
YBR169C	0.009564204
YBR170C	0.00960645
YBR171W	0.013690308
YBR172C	0.010656284
YBR173C	0.010789969
YBR174C	0.013594029
YBR175W	0.012486877
YBR176W	0.01318191
YBR177C	0.01192929
YBR178W	0.008384717
YBR179C	0.008941953
YBR180W	0.011140458
YBR181C	0.011554681
YBR182C	0.011232946
YBR183W	0.011750789
YBR184W	0.011906425
YBR185C	0.010587924
YBR186W	0.012373
YBR187W	0.009796365
YBR188C	0.012290457
YBR189W	0.006068186
YBR191W	0.010659672
YBR194W	0.011933088
YBR195C	0.009519017
YBR197C	0.008262007
YBR199W	0.011290992
YBR200W	0.007203574
YBR201W	0.010799637
YBR203W	0.01103793
YBR204C	0.012049692
YBR205W	0.012758461
YBR206W	0.012353284
YBR207W	0.013531548
YBR208C	0.014215776
YBR209W	0.011027307
YBR210W	0.010812921
YBR212W	0.011740806
YBR213W	0.011855217
YBR214W	0.012302558
YBR215W	0.010390562
YBR216C	0.011296885
YBR217W	0.011108338
YBR218C	0.012569339
YBR219C	0.011591886
YBR220C	0.011692427
YBR221C	0.011843444
YBR222C	0.012491318
YBR223C	0.008659997
YBR224W	0.011067278
YBR225W	0.012643354
YBR226C	0.010516679
YBR227C	0.010187974
YBR228W	0.01073157
YBR229C	0.012321337
YBR230C	0.013094846
YBR231C	0.007880574
YBR232C	0.011038805
YBR233W	0.016330343
YBR235W	0.013185098
YBR238C	0.013731979
YBR239C	0.012427786
YBR240C	0.011963146
YBR241C	0.011868146
YBR242W	0.010798414
YBR244W	0.009482768
YBR245C	0.011240443
YBR246W	0.010829046
YBR248C	0.009861062
YBR249C	0.010700506
YBR250W	0.012417994
YBR251W	0.011742205
YBR255W	0.005191845
YBR258C	0.010918386
YBR259W	0.011344238
YBR260C	0.013398866
YBR261C	0.011778685
YBR262C	0.010244926
YBR263W	0.011274979
YBR264C	0.010080112
YBR266C	0.013163926
YBR267W	0.012939541
YBR268W	0.010971278
YBR269C	0.009041556
YBR270C	0.009171998
YBR271W	0.010245223
YBR272C	0.008583904
YBR273C	0.010171804
YBR274W	0.010337364
YBR275C	0.008948029
YBR276C	0.011337971
YBR277C	0.008655109
YBR278W	0.011792689
YBR279W	0.0
YBR280C	0.012495607
YBR281C	0.009432433
YBR282W	0.009244904
YBR283C	0.007936426
YBR284W	0.009767367
YBR285W	0.008731227
YBR286W	0.010855847
YBR287W	0.012002103
YBR288C	0.014821033
YBR289W	0.008604577
YBR290W	0.009381704
YBR291C	0.010596058
YBR292C	0.011520167
YBR293W	0.011813711
YBR294W	0.010415893
YBR295W	0.012873029
YBR296C	0.01280708
YBR297W	0.013124051
YBR298C	0.014342548
YBR299W	0.012681017
YBR300C	0.009705461
YBR301W	0.010341339
YCL001W	0.010587882
YCL001W-A	0.011083446
YCL002C	0.011441141
