orf	hom | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012	het | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012
YAL001C	-0.20939964031192626	0.045500266002482866
YAL002W	2.1063359517513103	-0.6809890803538942
YAL003W		-0.25868270050183
YAL004W	-0.3712695299645821	-1.0550311184526038
YAL005C	-0.19128630036800506	2.4913500454666067
YAL007C	-0.050226233181486966	0.007466613708973867
YAL008W	-0.13146706922043314	-1.2538822746819944
YAL009W	1.9230894901005973	0.251650866145853
YAL010C	-2.734545480012075	0.1891646558556479
YAL011W	-1.2133271690475878	-1.0435116123666743
YAL012W	0.0037600550250043397	0.3653290254569508
YAL013W	-0.07078065756333543	0.9623966055024233
YAL014C	0.12443170389606532	-0.0203842982237535
YAL015C	-0.6272567965552382	-1.0283520681587452
YAL016W		-0.1183461642069628
YAL017W	0.3896323746044239	-0.5003360786514405
YAL018C	1.217315328575176	0.10549464666961765
YAL019W	0.1754640679718469	-0.5509899813182529
YAL020C	-0.812623001645118	-0.1447342651900172
YAL021C	13.491408353523866	10.716286436017768
YAL022C	0.0864990186781376	0.12170294188233682
YAL023C	-0.09743885723836639	2.2145566895927526
YAL024C	1.0497867771859664	-0.1482233225413497
YAL025C		-1.465864768592148
YAL026C	-0.8578828824891006	0.24626496696804234
YAL027W	-0.6854455772838927	0.3957453272705049
YAL028W	-0.05403644490917033	0.2596865029164068
YAL029C	0.4517153870571953	-0.16815562509202375
YAL030W	0.0031831420613467934	0.43442802769494376
YAL031C	-0.13939303565897596	0.016632205251097012
YAL032C		-0.029928243252080322
YAL033W		-0.592464635540053
YAL034C	1.7052340566989403	0.34736730458715387
YAL034C-B		-0.817577347816585
YAL034W-A		-0.049144428710583034
YAL035W	-3.6300377277118847	3.300210824374883
YAL036C	-0.08819434199957547	-0.30410333999781675
YAL037W	-0.014749579120073334	1.1863885539624837
YAL038W		-0.371387615447993
YAL039C	-0.2025459001072468	0.2765937133728212
YAL040C	-1.8566517156126434	-1.77750878699043
YAL041W		-2.86473161084661
YAL042C-A	0.820820946525981	0.029909809709661322
YAL042W	0.25588025931339836	0.19285176354514932
YAL043C		-1.740341037539606
YAL044C	-0.3362825972583933	-4.9367636001348005
YAL045C	0.20208376138984432	-3.4068400897769564
YAL046C	0.0927086848997753	0.06976417218057197
YAL047C	-0.3388562852360255	0.11052658345594478
YAL048C	-0.25313595026026936	0.8428763328758525
YAL049C	0.14885936774824768	0.6146446425390099
YAL051W	0.394000943795985	-0.6608266969058869
YAL053W	-0.08087069697463273	0.4119450929874366
YAL054C	0.08537191782111499	0.39090380969049104
YAL055W	0.012402426233792238	1.1339949048538014
YAL056C-A	-0.7318990410432192	-0.160648053762665
YAL056W	-0.0747642535641819	-0.16446419998283615
YAL058W	-1.0815470941248722	0.005479333356085127
YAL059W	0.021138035478109694	0.02063433166523203
YAL060W	-0.03393481488787582	0.3178097163691813
YAL061W	0.19443873197313488	-0.8199957502613963
YAL062W	0.03191348912771417	-0.011550464714955562
YAL064C-A	-0.30412468576696133	-0.593147763248158
YAL065C	-0.07136440657271932	-0.10646742876367767
YAL066W	-0.014773411603126832	-0.268095459252726
YAL067C	-0.2156882463755431	1.9773556185662702
YAL068C	-0.35538707829281907	-0.7498872533701398
YAR002C-A	0.11065219296482436	-0.0108480527410911
YAR002W	-0.7975268757145285	4.23735780195367
YAR003W	-2.06026261969823	0.09555204705818166
YAR007C		0.0881429149765195
YAR008W		-0.8908421417138485
YAR014C	-0.1931751593719577	-0.04034372142932411
YAR015W		0.32298518398994636
YAR018C	0.1351871778743534	1.524749650739924
YAR019C		-0.3532542572921172
YAR020C	0.24761167771582046	0.1259549442954192
YAR023C	0.0476901595455184	-0.5118430984214063
YAR027W	0.26519781180232727	-0.6979704925459594
YAR028W	0.45634486993161166	0.6456678779450044
YAR029W	0.289853503988829	-0.27189165256917663
YAR030C	-0.39576580174407333	-0.29945758539336503
YAR031W	0.39866772877650697	-0.025080128736023537
YAR035W	0.34695183485622794	-0.4154079336743768
YAR042W	0.5395998922025915	-0.9024354788427228
YAR047C	-0.11773399694723836	-4.13479813779671
YAR050W	-0.08515752999099357	-0.13510504172806267
YBL001C	0.47746958437587267	-11.636219859140832
YBL002W	-0.6044099882481387	-5.10454877786625
YBL003C	0.556560168875783	
YBL004W		0.127883946436001
YBL005W	0.05161060069589329	
YBL006C	1.4623523728074737	-1.1359366018702988
YBL007C	-0.2250733800877837	0.6555005615290074
YBL008W	-0.46992394278145655	-0.519760723615193
YBL009W	-0.39761102729069986	1.1175558897643747
YBL010C	0.14528684878952458	-0.00520577735481658
YBL011W	-0.24396734071277734	-10.593229210338416
YBL012C	-0.26259095004185534	-0.3835694519194793
YBL013W	-0.887852129587352	-5.8212655530747
YBL015W	-0.1937686461083208	-0.1996614599633307
YBL016W		0.10902462053863983
YBL017C	0.499630835239546	-0.25732005728981083
YBL018C		-0.01166784796995037
YBL019W	-0.34943300825642093	0.015405960273673405
YBL020W		0.1179213549313342
YBL022C	2.1457836427617187	
YBL023C		5.8518210432809274
YBL024W	-0.42147775051934855	-0.08200445770851332
YBL025W		0.44526530817181337
YBL026W		-4.4157389583808895
YBL027W	-3.48730090970405	-2.165247030391575
YBL028C	0.07561359685373074	-0.059907254577371276
YBL029W	0.2138217960787412	0.47539181587152696
YBL030C		0.45605158766966897
YBL031W	-0.3808667557276784	-0.1547954791289448
YBL032W	-0.046493847554362776	0.04405896566891004
YBL033C		0.11630183360555187
YBL034C		-0.4168684231550395
YBL035C		-0.4389086907743504
YBL036C	-0.07691682955208966	0.16000328841326125
YBL037W	0.4545241088869684	-0.05476116486362944
YBL038W	-4.397152191059367	0.13281021321733852
YBL039C	-3.03680833022471	-0.5089921566917821
YBL040C		0.044010763450087774
YBL041W		-0.8010490033810321
YBL042C	-2.13458278017918	-3.67060700075715
YBL043W	0.08021356681318596	-0.30296201026262665
YBL044W	-0.010200605853894136	3.64796079554378
YBL045C	-1.398447757464661	-0.11249526274245138
YBL046W	1.5055599108705964	2.6310568267799392
YBL047C	0.06563418468652579	-8.52430210945838
YBL048W	0.2012715477560827	-0.1182085085388309
YBL049W	0.028115674146955736	-0.33352275372419493
YBL050W		1.3084799288010862
YBL051C	-0.5613770906972041	-0.4337120831073358
YBL052C	0.6083472699631304	-1.2800729972384817
YBL053W	-0.006768173568632013	-0.033028397315716766
YBL054W	0.783269014784294	0.6512799355316424
YBL055C	-0.1496586810337457	0.5912639967839276
YBL056W	0.44732495970194036	-0.02597628318536081
YBL057C	0.401382951039309	0.4408992262679046
YBL058W	-1.234624297897323	0.38795202454656974
YBL059W	0.7281360166617697	-0.5491410290259117
YBL060W	0.2997634598944756	-0.11126750963036762
YBL061C	-1.5369599288426699	-0.49633140585902896
YBL062W	-0.353545319595103	0.5149440210182266
YBL063W	0.02705107655170506	-0.07942360505599523
YBL064C	0.25315867907154493	-0.018085219652769335
YBL065W	0.18076136036383741	7.434759412705174
YBL066C	0.41814296055680317	-0.570216319993346
YBL067C	0.45577931468780813	1.7157674945841226
YBL068W	-0.19018013633159833	-0.0635598084993219
YBL069W	-0.020409480603775735	
YBL070C	0.4327848318070449	0.10808806579087389
YBL071C	-0.3530303253783464	-0.5592575768561213
YBL072C	0.7670648657322033	-0.7815806348005943
YBL073W		0.12990512474175056
YBL074C		0.02481893485201488
YBL075C	0.13129531707390904	
YBL076C		-0.09324576147400254
YBL077W		0.5407081173600613
YBL078C	-0.02779977204941747	-0.4833706072729475
YBL079W	-0.22587002154980565	-0.03723354733348344
YBL080C	-2.023864186136993	0.14301202256713721
YBL081W	0.15548387821190088	0.3278473487832237
YBL082C	0.25138424629494255	-0.16163748519172624
YBL083C	-0.4239540990488729	0.43930405008808965
YBL084C		-1.5215272765414436
YBL085W	-0.08587370939053864	-0.09621577603551044
YBL086C	0.19552178695028996	-0.38773578703636513
YBL087C	0.9687105308583056	-3.9979760183805264
YBL088C	-0.06560325743989479	-0.014921191920273533
YBL089W	-0.8414398887747384	0.28623035723565166
YBL090W	-2.3122637497474816	-0.32756264742083946
YBL091C	1.6752400840921233	3.13204719564615
YBL091C-A	0.8976998170367958	-0.6124271809319999
YBL092W		-1.3462702360865026
YBL093C	-2.3573916810407303	-4.96959242677452
YBL094C	1.4952455054588834	-0.044284022629391635
YBL095W	-0.007844070507497915	-0.31582438591156164
YBL096C	0.08779120407285108	0.044297670209935865
YBL097W		-0.12743983318674798
YBL098W	0.11173262328808846	0.05361717373422827
YBL099W	-0.017940790355982134	0.0012701197224180005
YBL100C	-0.0076024245471350005	-0.3609688915857865
YBL101C	1.1182076815293225	1.664223113168956
YBL102W	0.16144632605368867	-0.07250003527815736
YBL103C		0.4924659052304614
YBL104C	-1.9832726743152183	-0.0071403277676422875
YBL105C		0.0007986474351103409
YBL106C	-0.0662389775835076	-0.38130251962431744
YBL107C	-0.3553935696077141	-0.24051026492167935
YBR001C	0.15206879062619091	-0.09352686729575806
YBR002C		-3.21500624982065
YBR003W	0.033854072351067736	0.043402694082577555
YBR004C		0.6334056895147574
YBR005W	1.6420580585723836	-0.2375086567336079
YBR006W	1.0753434808756803	-0.03904817434475657
YBR007C	0.189765130363838	2.360387640207517
YBR008C	0.0809125383353768	0.3697223023031287
YBR009C	-0.26551963995787564	0.06522137638467407
YBR010W	0.014648645173378098	-0.18688942934723307
YBR011C		0.2655661314382363
YBR012C	0.2797927053554535	-0.0060338809852223995
YBR013C	0.04420694390651788	-0.6500763527378873
YBR014C	0.5841906481718707	-1.7035806962790812
YBR015C	-0.2457244191240319	0.3750123263324072
YBR016W	0.7065442053156753	0.05522135318723013
YBR017C		0.23105024139976849
YBR018C	1.1588286098332834	-0.12648359931995565
YBR019C	1.2380210905027036	0.043753133417060865
YBR020W	0.0783397511352274	-1.1841118297722923
YBR021W		0.9410460118063617
YBR022W	0.1403335460341406	-0.7094051167918481
YBR023C	-1.2266936177022618	-0.051384342163098264
YBR024W	0.1448618501411895	-0.29052010337827117
YBR025C	-0.7399514712516937	0.07253490454067456
YBR026C	-1.881431038642748	0.06715211107310497
YBR027C	0.16398336350448564	-0.18163251403780875
YBR028C	0.5886292267841694	-0.6915891714053005
YBR029C		0.015671811257287015
YBR030W	0.3694305115693483	0.358577920931556
YBR031W	-1.6402659098727659	1.0513637951738797
YBR032W	0.3128287906249871	0.9422382693015083
YBR033W	-0.03988734722624299	-0.7623272701803834
YBR034C	1.212420841453846	1.51548743171639
YBR035C	-0.7143821695669237	-0.1120152380240948
YBR036C	0.34509462349169534	-0.14817382981875032
YBR037C	0.5968232484473246	-0.05492154089345159
YBR038W		0.512017478713826
YBR039W		-0.47132744503045615
YBR040W	0.3754737624249857	-0.6627726174526458
YBR041W	4.28974083412163	
YBR042C	0.7513491286634714	0.8871370390626412
YBR043C	0.5239335665018453	-0.07723056240953484
YBR044C	-0.010845005021896467	-0.3734123485658935
YBR045C	0.017098984765018064	-0.530864661228375
YBR046C	0.1031454561151301	0.9837302280441017
YBR047W	-0.07076799774227067	0.0165789894818308
YBR048W	-1.1418374095717432	-0.7000932988563832
YBR049C		-0.9439813998699789
YBR050C	-0.004369473897760101	1.042036762811571
YBR051W	0.2982065744641132	-0.11630072233838319
YBR052C	0.12889853848097788	0.064222236878296
YBR053C	0.6201394243504117	-0.27702590563566193
YBR054W	0.0036906625086560005	-0.04763891887839863
YBR055C		0.11231471360086903
YBR056W	0.10475284375228279	-0.8982060141452016
YBR057C	0.45682591392749394	-0.744921998791752
YBR058C	-0.335802010982885	-0.05746226701600565
YBR059C	1.1563824294139486	-0.13545327120354522
YBR060C		0.092583189539561
YBR061C		0.16995201426227743
YBR062C	0.299461509049632	0.11685178285505414
YBR063C	0.16904178323791486	0.45858635845337786
YBR064W	0.3193281426403107	-1.0659874034279486
YBR065C	-0.03175079351294028	-0.4114822894905385
YBR066C	0.1119732417392027	0.018390850024384335
