ORF	hom | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012	het | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012
YDR018C	-0.061	0.009
YDR019C	-0.622	0.033
YDR020C	-2.585	-0.264
YDR021W	NaN	-0.306
YDR022C	-0.012	0.720
YDR023W	NaN	-0.188
YDR024W	-0.965	-1.791
YDR025W	-0.843	-3.150
YDR026C	-0.048	0.088
YDR028C	9.967	1.554
YDR029W	-0.060	-0.969
YDR030C	0.287	0.292
YDR031W	0.040	0.284
YDR032C	-0.591	0.165
YDR033W	0.570	NaN
YDR034C	-0.390	0.611
YDR035W	-0.207	-0.364
YDR036C	-0.361	-0.246
YDR037W	NaN	29.518
YDR041W	NaN	-0.634
YDR042C	-0.254	0.128
YDR043C	-0.132	-0.452
YDR044W	NaN	0.288
YDR045C	NaN	-0.935
YDR046C	0.551	-0.066
YDR047W	NaN	1.292
YDR048C	0.191	-0.158
YDR049W	-2.380	-0.152
YDR050C	NaN	-0.324
YDR051C	0.259	-0.021
YDR052C	NaN	3.805
YDR053W	NaN	0.335
YDR054C	NaN	0.913
YDR055W	-0.335	0.399
YDR056C	-0.014	-0.389
YDR057W	-0.970	-0.108
YDR058C	0.259	0.004
YDR059C	-0.060	-0.755
YDR060W	NaN	-3.610
YDR061W	-0.016	0.060
YDR062W	NaN	0.143
YDR063W	0.017	-0.043
YDR064W	NaN	0.339
YDR065W	-2.802	-0.599
YDR066C	0.746	NaN
YDR067C	2.162	2.653
YDR068W	-0.392	0.363
YDR069C	-1.132	-0.880
YDR070C	-0.101	0.006
YDR071C	1.195	0.354
YDR072C	-0.055	-1.611
YDR073W	1.799	0.293
YDR074W	2.144	1.318
YDR075W	-0.135	-0.081
YDR076W	-0.305	0.097
YDR077W	0.237	3.803
YDR078C	0.472	-0.402
YDR079W	-0.129	-0.417
YDR080W	0.993	0.195
YDR081C	NaN	-0.160
YDR082W	NaN	2.111
YDR083W	-3.336	-0.194
YDR084C	-0.077	-0.156
YDR085C	0.102	0.160
YDR086C	NaN	1.035
YDR087C	NaN	-1.472
YDR088C	NaN	-0.014
YDR089W	-0.193	0.128
YDR090C	0.358	NaN
YDR091C	NaN	0.541
YDR092W	0.460	NaN
YDR093W	-0.314	0.011
YDR094W	0.019	0.354
YDR095C	0.066	-0.523
YDR096W	0.278	0.133
YDR097C	0.010	-0.016
YDR098C	-0.059	-0.156
YDR099W	0.098	0.431
YDR100W	0.023	0.757
YDR101C	-1.620	-0.074
YDR102C	-0.030	-0.378
YDR103W	NaN	0.218
YDR104C	0.042	0.279
YDR105C	-0.001	0.159
YDR107C	0.057	-0.000
YDR108W	-0.397	0.261
YDR109C	-0.364	0.551
YDR110W	0.004	-1.448
YDR111C	0.176	0.050
YDR112W	0.287	0.187
YDR113C	NaN	0.274
YDR114C	-3.636	-1.263
YDR115W	-3.616	-3.360
YDR116C	-0.169	0.326
YDR117C	-0.024	0.393
YDR118W	NaN	-0.254
YDR119W	-0.035	0.359
YDR120C	1.053	-0.398
YDR121W	-5.152	0.076
YDR122W	-0.008	-0.003
YDR123C	0.287	-0.013
YDR124W	-0.129	0.016
YDR125C	0.338	0.097
YDR126W	0.534	0.895
YDR127W	1.052	0.747
YDR128W	0.019	-0.070
YDR129C	2.264	0.301
YDR130C	0.119	0.098
YDR131C	-0.120	0.173
YDR132C	-0.303	-0.068
YDR133C	-0.316	0.244
YDR135C	-0.218	0.272
YDR136C	-2.420	-0.081
YDR137W	NaN	-0.017
YDR138W	-0.587	0.799
YDR139C	0.046	0.203
YDR140W	-1.401	-0.616
YDR141C	NaN	-0.089
YDR142C	0.208	-0.041
YDR143C	0.506	0.529
YDR144C	0.724	0.012
YDR145W	NaN	5.080
YDR146C	0.355	0.171
YDR147W	0.102	NaN
YDR148C	-0.232	0.282
YDR149C	-1.303	0.213
YDR150W	-1.951	-0.009
YDR151C	0.334	-1.150
YDR152W	-0.063	0.203
YDR153C	0.042	0.273
YDR154C	-0.439	0.077
YDR155C	0.026	-0.471
YDR156W	-1.168	1.170
YDR157W	0.131	-0.035
YDR158W	NaN	1.694
YDR159W	5.259	1.180
YDR160W	NaN	-0.141
YDR161W	-1.925	0.695
YDR162C	-2.079	0.281
YDR163W	-1.101	0.451
YDR164C	NaN	-0.039
YDR165W	0.267	0.682
YDR166C	NaN	-0.220
YDR167W	NaN	2.833
YDR168W	NaN	-0.020
YDR169C	-0.660	-0.141
YDR170C	NaN	-0.838
YDR171W	-0.028	0.159
YDR172W	NaN	-1.311
YDR173C	-5.434	0.075
YDR174W	-1.683	-0.919
YDR175C	-3.156	0.098
YDR176W	0.695	1.246
YDR177W	NaN	0.015
YDR178W	-1.204	0.004
YDR179C	-0.071	-0.024
YDR179W-A	0.113	-0.247
YDR180W	NaN	0.125
YDR181C	-0.527	0.389
YDR182W	NaN	0.932
YDR183W	0.104	0.275
YDR184C	-0.748	-0.015
YDR185C	0.684	0.331
YDR186C	0.230	-0.263
YDR187C	NaN	0.039
YDR188W	NaN	0.182
YDR189W	NaN	-0.048
YDR190C	NaN	0.184
YDR191W	0.010	-0.594
YDR192C	0.148	-0.113
YDR193W	0.605	-0.021
YDR194C	-1.672	0.670
YDR195W	4.381	-0.845
YDR196C	NaN	-0.096
YDR197W	-0.535	-0.060
YDR198C	0.021	-0.338
YDR199W	0.432	0.504
YDR200C	-3.619	-0.128
YDR201W	NaN	0.233
YDR202C	-1.067	0.794
YDR203W	-0.301	-0.090
YDR204W	0.025	-0.993
YDR205W	0.177	-0.946
YDR206W	-0.421	0.062
YDR207C	-2.168	-1.969
YDR208W	NaN	0.070
YDR209C	0.029	0.732
YDR210W	0.185	0.394
YDR211W	NaN	-0.278
YDR212W	NaN	-0.074
YDR213W	-0.295	0.133
YDR214W	0.217	-0.094
YDR215C	0.491	-0.282
YDR216W	0.380	-0.619
YDR217C	0.109	0.783
YDR218C	-0.035	0.982
YDR219C	-0.182	-0.562
YDR220C	-0.004	-0.486
YDR221W	0.043	-0.642
YDR222W	0.015	0.084
YDR223W	0.283	0.045
YDR224C	NaN	-0.794
YDR225W	-1.056	-0.714
YDR226W	1.779	-0.186
YDR227W	NaN	0.359
YDR228C	NaN	0.152
YDR229W	0.003	-0.076
YDR230W	-0.108	-0.056
YDR231C	-0.871	-0.013
YDR232W	NaN	0.214
YDR233C	-0.079	-0.230
YDR234W	NaN	-0.171
YDR235W	NaN	0.446
YDR236C	NaN	-0.138
YDR237W	-1.236	-0.448
YDR238C	NaN	-0.213
YDR239C	-0.709	-0.072
YDR240C	NaN	0.331
YDR241W	-1.376	0.018
YDR242W	0.734	-0.342
YDR243C	NaN	0.037
YDR244W	0.058	-0.024
YDR245W	0.113	-0.805
YDR246W	NaN	-1.649
YDR247W	0.149	-0.346
YDR248C	0.032	0.245
YDR249C	-0.268	-0.506
YDR250C	0.048	-0.203
YDR251W	0.222	-0.923
YDR252W	-0.307	0.788
YDR253C	0.067	-0.662
YDR254W	-0.007	1.740
YDR255C	0.161	1.017
YDR256C	0.208	0.031
YDR257C	-0.395	0.218
YDR258C	0.108	0.177
YDR259C	0.206	-2.878
YDR260C	-0.360	0.296
YDR261C	0.993	-0.167
YDR262W	-0.430	-0.591
YDR263C	-0.036	-0.730
YDR264C	NaN	0.534
YDR265W	0.018	-0.596
YDR266C	-0.991	-0.593
YDR267C	NaN	-1.478
YDR268W	-4.770	-0.100
YDR269C	0.194	5.472
YDR270W	0.590	0.130
YDR271C	1.765	4.877
YDR272W	0.070	-0.204
YDR273W	-0.014	-0.055
YDR274C	0.831	0.888
YDR275W	0.722	-0.170
YDR276C	1.143	0.074
YDR277C	-0.087	-0.170
YDR278C	0.470	-0.196
YDR279W	-0.355	0.335
YDR280W	NaN	-8.050
YDR281C	NaN	0.101
YDR282C	0.428	0.068
YDR283C	2.584	0.434
YDR284C	0.510	-0.078
YDR285W	0.090	0.192
YDR286C	-0.023	-0.182
YDR287W	-0.146	0.082
YDR288W	NaN	-2.101
YDR289C	-0.330	-0.536
YDR290W	0.071	3.331
YDR291W	0.125	0.075
YDR292C	NaN	-0.141
YDR293C	2.470	-0.164
YDR294C	0.077	-0.002
YDR295C	0.578	0.513
YDR296W	-2.886	-0.393
YDR297W	0.157	-0.084
YDR298C	-5.861	-1.028
YDR299W	NaN	-0.331
YDR300C	NaN	3.121
YDR301W	NaN	-3.461
YDR302W	NaN	-1.829
YDR303C	NaN	-2.311
YDR304C	0.002	-0.274
YDR305C	0.166	-0.099
YDR306C	0.190	0.027
YDR307W	0.077	-0.078
YDR308C	NaN	-1.236
YDR309C	-0.335	0.780
YDR310C	2.050	0.447
YDR311W	NaN	-1.870
YDR312W	0.072	-2.308
YDR313C	0.192	0.030
YDR314C	0.221	0.021
YDR315C	3.982	NaN
YDR316W	-0.200	0.174
YDR317W	0.975	0.036
YDR318W	-0.634	-0.001
YDR319C	0.562	0.053
YDR320C	-2.446	-0.510
YDR321W	-0.188	-0.764
YDR322W	-0.048	0.724
YDR323C	0.765	-0.437
YDR324C	NaN	-0.991
YDR325W	NaN	-0.427
YDR326C	0.751	-0.243
YDR327W	NaN	0.232
YDR328C	NaN	0.768
YDR329C	-0.186	-3.294
YDR330W	0.007	-0.366
YDR331W	NaN	-1.807
YDR332W	-1.397	-0.036
YDR333C	-0.008	-0.092
YDR334W	-0.650	1.459
YDR335W	-0.118	1.949
YDR336W	-0.007	0.011
YDR337W	-2.214	-0.289
YDR338C	0.234	-0.493
YDR339C	NaN	-0.324
YDR340W	0.003	-0.984
YDR341C	NaN	-0.047
YDR344C	-0.041	0.018
YDR345C	1.067	0.106
YDR346C	0.299	0.507
YDR347W	-2.082	-0.103
YDR348C	-1.040	-1.776
YDR349C	-2.184	-0.635
YDR350C	-1.294	-0.152
YDR351W	-0.333	-0.005
YDR352W	0.059	0.205
YDR353W	NaN	-0.347
YDR354W	0.773	-0.180
YDR355C	NaN	-0.369
YDR356W	NaN	-0.077
YDR357C	1.374	-0.028
YDR358W	-0.320	-0.967
YDR359C	3.778	0.131
YDR360W	-0.462	-2.104
YDR361C	NaN	0.181
YDR362C	NaN	-0.198
YDR363W	-2.134	-0.094
YDR363W-A	0.942	0.364
YDR364C	0.107	-0.030
YDR365C	NaN	-0.294
YDR367W	NaN	-0.063
YDR368W	1.050	-0.317
YDR369C	-1.516	-0.348
YDR370C	0.766	0.259
YDR371W	0.292	-0.850
YDR372C	0.025	-0.162
YDR373W	NaN	0.296
YDR374C	0.019	-0.327
YDR375C	-0.272	0.359
YDR376W	NaN	-0.222
YDR377W	-2.995	-0.015
YDR378C	3.637	0.045
YDR379W	-0.024	-0.122
YDR380W	-0.201	-0.049
YDR381W	NaN	0.579
YDR382W	NaN	-1.504
YDR383C	-0.051	-0.323
YDR384C	-0.039	0.049
YDR385W	-0.634	0.752
YDR386W	-0.247	-0.625
YDR387C	-0.155	0.112
YDR388W	6.566	0.023
YDR389W	0.752	-0.001
YDR390C	NaN	0.151
YDR391C	1.080	-0.049
YDR392W	-0.008	0.341
YDR393W	-1.821	0.069
YDR394W	NaN	-2.142
YDR395W	-1.696	-0.171
YDR396W	NaN	-0.365
YDR397C	NaN	-0.657
YDR398W	NaN	-1.521
YDR399W	0.618	0.402
YDR400W	0.108	-0.054
YDR401W	0.023	-0.262
YDR402C	0.306	-0.343
YDR403W	0.043	0.550
YDR404C	NaN	-5.214
YDR405W	-0.894	-0.220
YDR406W	0.547	0.772
YDR407C	NaN	0.408
YDR408C	NaN	-0.343
YDR409W	0.538	0.046
YDR410C	NaN	0.565
YDR411C	-0.029	-0.002
YDR412W	NaN	0.175
YDR413C	NaN	-0.006
YDR414C	-1.467	-0.051
YDR415C	0.624	-0.672
YDR416W	NaN	0.540
YDR417C	-2.318	-4.872
YDR418W	-4.067	NaN
YDR419W	0.774	0.274
YDR420W	0.175	-0.530
YDR421W	0.454	-0.051
YDR422C	0.346	-0.060
YDR423C	0.475	0.824
YDR424C	0.507	0.184
YDR425W	0.316	0.105
YDR426C	0.361	-0.042
YDR427W	NaN	-0.691
YDR428C	0.200	0.461
YDR429C	NaN	-2.736
YDR430C	-0.047	0.075
YDR431W	0.184	0.067
YDR432W	-1.073	-0.327
YDR433W	-1.184	NaN
YDR434W	NaN	-0.006
YDR435C	-0.247	-0.706
YDR436W	-0.053	-0.130
YDR437W	NaN	-1.464
YDR438W	-0.434	-0.033
YDR439W	-2.053	-0.008
YDR440W	-0.416	0.404
YDR441C	1.220	1.792
YDR442W	1.516	0.848
YDR443C	0.082	0.052
YDR444W	0.149	0.304
YDR445C	0.571	0.040
YDR446W	-0.003	-0.186
YDR447C	-0.290	-0.164
YDR448W	0.138	NaN
YDR449C	NaN	-0.038
YDR450W	-1.159	-2.247
YDR451C	3.528	0.302
YDR452W	1.341	0.527
YDR453C	0.009	0.442
YDR454C	NaN	0.713
YDR455C	1.342	0.661
YDR456W	1.148	0.094
YDR457W	-1.980	-0.051
YDR458C	0.114	-2.764
YDR459C	0.218	-0.417
YDR460W	NaN	0.076
YDR461W	0.247	1.066
YDR462W	-0.077	0.710
YDR463W	0.877	-0.481
YDR464W	NaN	2.806
YDR465C	0.831	1.491
YDR466W	0.332	1.317
YDR467C	0.721	5.382
YDR468C	NaN	-1.070
YDR469W	-0.837	-0.035
YDR470C	NaN	-1.267
YDR471W	-1.727	1.428
YDR472W	NaN	0.618
YDR473C	NaN	1.491
YDR475C	0.062	-0.300
YDR476C	0.571	0.102
YDR477W	-0.305	-0.438
YDR478W	NaN	0.649
YDR479C	0.196	0.477
YDR480W	0.822	-0.085
YDR481C	0.203	0.300
YDR482C	0.018	0.091
YDR483W	-0.013	-0.434
YDR484W	0.407	-0.026
YDR485C	-1.092	NaN
YDR486C	0.506	-0.031
YDR487C	NaN	0.926
YDR488C	-0.051	1.699
YDR489W	NaN	0.045
YDR490C	0.201	0.229
YDR491C	0.031	0.711
YDR492W	0.033	0.818
YDR493W	-0.182	-0.002
YDR494W	-0.434	0.540
YDR495C	0.357	0.163
YDR496C	-1.956	-0.621
YDR497C	-0.041	-0.839
YDR498C	NaN	-0.371
YDR499W	NaN	0.322
YDR500C	0.638	-0.630
YDR501W	-0.041	5.963
YDR502C	0.289	0.642
YDR503C	0.023	0.064
YDR504C	0.203	0.207
YDR505C	-0.098	-0.094
YDR506C	0.253	0.720
YDR507C	-1.031	NaN
YDR508C	0.479	0.454
YDR509W	0.562	0.185
YDR510W	NaN	0.150
YDR511W	-0.668	0.629
YDR512C	-0.966	0.830
YDR513W	0.203	0.073
YDR514C	0.474	0.452
YDR515W	0.024	-0.857
YDR516C	0.142	-8.411
YDR517W	-0.023	0.397
YDR518W	-1.813	NaN
YDR519W	-0.060	0.188
YDR520C	0.491	-0.016
YDR521W	0.892	0.582
YDR522C	-0.054	-0.310
YDR523C	0.523	-0.745
YDR524C	1.028	0.856
YDR525W	-0.025	-0.090
YDR525W-A	-0.032	-0.435
YDR526C	NaN	0.400
YDR527W	NaN	-0.106
YDR528W	0.203	1.090
YDR529C	0.565	0.764
YDR530C	0.128	0.303
YDR531W	NaN	0.542
YDR532C	NaN	-0.655
YDR533C	-0.465	-0.236
YDR534C	-0.545	0.516
YDR535C	0.459	0.166
YDR536W	-0.042	0.273
YDR537C	-0.899	0.006
YDR538W	-0.064	0.341
YDR539W	0.055	-0.061
YDR540C	-6.435	0.227
YDR541C	-0.145	0.247
YEL001C	0.362	0.023
YEL002C	NaN	0.919
YEL003W	-0.446	0.267
YEL004W	0.545	0.570
YEL005C	0.559	0.219
YEL006W	0.447	0.137
YEL007W	0.052	-1.779
YEL008W	0.269	0.293
YEL009C	3.164	0.459
YEL010W	0.068	-0.393
YEL011W	0.059	0.157
YEL012W	0.456	0.572
YEL013W	-1.364	2.178
YEL014C	-0.622	-0.219
YEL015W	-0.173	-0.707
YEL016C	0.472	0.130
YEL017C-A	-0.112	-0.916
YEL017W	0.262	-3.708
YEL018W	0.262	-0.125
YEL019C	NaN	-0.111
YEL020C	0.080	-0.419
YEL023C	0.295	0.278
YEL024W	0.157	-0.954
YEL025C	0.201	0.711
YEL026W	NaN	0.365
YEL027W	-0.328	1.157
YEL028W	1.073	0.152
YEL029C	-2.656	-0.439
YEL030W	0.850	0.801
YEL031W	-0.615	-0.366
YEL032W	NaN	-1.275
YEL033W	-0.975	-5.497
YEL034W	1.637	-5.625
YEL035C	NaN	-5.214
YEL036C	-0.887	-1.716
YEL037C	0.247	-0.065
YEL038W	0.757	0.115
YEL039C	0.731	-0.301
YEL040W	0.041	0.189
YEL041W	0.211	NaN
YEL042W	-2.263	-0.337
YEL043W	-0.388	-0.008
YEL044W	0.687	-0.087
YEL045C	2.689	-0.448
YEL046C	0.668	0.874
YEL047C	0.126	-0.022
YEL048C	-0.115	0.435
YEL049W	-0.481	-0.097
YEL050C	-5.396	-1.175
YEL051W	-0.794	0.532
YEL052W	0.031	-0.119
YEL053C	-0.410	-0.349
YEL054C	-4.307	-1.587
YEL055C	NaN	0.531
YEL056W	-0.163	-0.107
YEL057C	0.274	-0.019
YEL058W	NaN	-0.402
YEL059W	-0.240	-0.352
YEL060C	-0.084	-0.434
YEL061C	-2.561	0.147
YEL062W	-0.258	0.055
YEL063C	-0.402	-0.208
YEL064C	-0.002	-0.676
YEL065W	-0.011	0.133
YEL066W	-0.173	0.238
YEL067C	-0.248	-0.235
YEL068C	-0.418	-0.003
YEL071W	-0.282	-0.606
YEL072W	NaN	0.979
YER001W	-0.001	0.043
YER002W	-0.215	0.036
YER003C	NaN	-0.317
YER004W	1.538	-0.062
YER005W	-1.050	-0.015
YER006W	NaN	-0.271
YER007C-A	3.368	-0.031
YER007W	-0.160	2.601
YER008C	NaN	-0.037
YER009W	NaN	0.057
YER010C	NaN	0.111
YER011W	-0.024	-0.086
YER012W	NaN	-1.445
YER013W	NaN	0.935
YER014C-A	NaN	-0.242
YER014W	NaN	-0.004
YER017C	-1.806	1.239
YER018C	NaN	0.008
YER019C-A	-0.139	-0.085
YER019W	3.970	0.144
YER020W	1.153	0.517
YER021W	NaN	-1.531
YER022W	NaN	-0.131
YER023W	NaN	0.003
YER024W	-0.017	-0.412
YER025W	NaN	-3.928
YER027C	0.133	-0.238
YER028C	0.258	0.056
YER030W	0.304	0.325
YER031C	0.020	-0.015
YER032W	0.328	0.724
YER033C	0.214	0.308
YER034W	0.473	-0.268
YER035W	NaN	-0.068
YER036C	NaN	0.077
YER037W	-0.053	2.068
YER038C	NaN	0.510
YER038W-A	0.429	-0.198
YER039C	0.578	0.730
YER039C-A	-0.137	0.031
YER040W	-4.486	0.792
YER041W	-0.610	0.146
YER042W	0.139	-0.585
YER043C	NaN	-0.469
YER044C	NaN	0.722
YER044C-A	0.099	0.641
YER045C	0.311	0.120
YER046W	0.073	0.382
YER046W-A	0.485	-0.137
YER047C	0.296	0.074
YER048C	0.687	-0.309
YER048W-A	NaN	0.319
YER049W	-0.547	0.214
YER050C	-4.104	-0.431
YER051W	0.527	1.155
YER052C	NaN	-0.430
YER053C	0.043	0.941
YER054C	NaN	0.879
YER055C	0.055	-0.300
YER056C	0.695	0.631
YER056C-A	0.585	-2.004
YER057C	-0.666	-0.645
YER058W	-1.123	0.136
YER059W	-0.441	-0.015
YER060W	0.131	0.584
YER060W-A	-0.228	-0.021
YER061C	NaN	0.357
YER062C	0.060	-0.012
YER063W	-0.004	-0.083
YER064C	-0.016	0.328
YER065C	0.922	-0.243
YER066C-A	0.448	-0.343
YER066W	0.035	-0.859
YER067C-A	0.326	-0.283
YER067W	-0.072	-0.122
YER068C-A	NaN	-0.591
YER068W	-3.599	5.446
YER069W	NaN	-2.212
YER070W	NaN	0.259
YER071C	-0.022	-0.255
YER072W	-0.343	0.025
YER073W	0.783	-0.376
YER074W	0.409	-0.799
YER075C	0.174	0.037
YER077C	-2.255	-0.302
YER078C	-0.239	-0.022
YER079W	0.146	0.463
YER080W	1.032	-0.201
YER081W	-0.009	0.093
YER082C	NaN	0.542
YER083C	1.169	1.515
YER084W	-0.389	0.253
YER085C	-0.050	-0.364
YER086W	NaN	-0.051
YER087C-B	0.495	0.197
YER087W	-2.561	0.376
YER088C	-0.230	0.047
YER089C	-0.271	-0.212
YER090W	-0.391	0.149
YER091C	NaN	0.029
YER091C-A	-0.045	-0.027
YER092W	-0.156	0.651
YER093C	NaN	0.022
YER093C-A	-0.535	0.129
YER094C	NaN	-2.412
YER095W	-0.752	0.672
YER096W	0.117	-0.050
YER097W	0.265	0.257
YER098W	1.048	0.202
YER101C	0.540	0.345
YER103W	0.456	0.491
YER104W	NaN	0.422
YER106W	-0.021	0.108
YER107C	NaN	-0.164
YER108C	0.027	-0.010
YER109C	-0.052	6.657
YER110C	-5.400	0.559
YER111C	-6.156	-0.929
YER112W	NaN	1.983
YER113C	-0.114	0.086
YER114C	-0.014	-0.074
YER115C	0.112	0.161
YER116C	-2.616	2.627
YER117W	-1.431	-3.058
YER118C	-0.684	0.751
YER119C	-0.316	0.041
YER119C-A	0.917	-0.079
YER120W	0.098	0.421
YER121W	0.452	0.345
YER122C	-3.195	0.416
YER123W	0.516	-0.601
YER124C	-0.400	0.103
YER125W	NaN	0.780
YER126C	NaN	-1.161
YER127W	NaN	-0.221
YER128W	0.180	0.674
YER129W	0.343	-0.097
YER130C	0.102	0.704
YER131W	-0.403	-0.277
YER132C	0.907	0.240
YER133W	NaN	8.187
YER134C	0.130	-0.133
YER135C	0.729	-0.068
YER136W	NaN	-0.226
YER137C	-0.407	0.437
YER139C	-5.049	0.052
YER140W	0.250	-0.048
YER141W	-0.123	0.091
YER142C	0.272	0.023
YER143W	-0.001	0.286
YER144C	0.568	0.288
YER145C	-0.065	-0.123
YER146W	NaN	0.450
YER147C	NaN	-0.073
YER148W	NaN	0.752
YER149C	-0.186	0.027
YER150W	0.599	0.616
YER151C	13.579	0.496
YER152C	0.037	0.180
YER153C	-0.757	0.006
YER154W	-1.632	0.111
YER155C	NaN	-0.186
YER156C	-2.849	0.368
YER157W	NaN	9.353
YER158C	-0.118	-2.326
YER159C	NaN	0.382
YER161C	-0.038	0.160
YER162C	-0.414	NaN
YER163C	0.095	-0.287
YER164W	0.540	0.718
YER165W	NaN	-10.612
YER166W	0.135	0.855
YER167W	-3.262	-0.837
YER168C	NaN	0.443
YER169W	-0.609	0.870
YER170W	0.045	1.175
YER171W	NaN	0.260
YER172C	NaN	-0.564
YER173W	0.129	-0.227
YER174C	0.270	0.735
YER175C	0.088	-0.116
YER176W	-0.207	1.151
YER177W	-0.158	0.668
YER178W	NaN	-0.179
YER179W	-0.064	-0.135
YER180C	-0.335	-0.200
YER181C	-0.380	0.031
YER182W	-0.285	0.021
YER183C	-0.953	0.364
YER184C	-0.381	-0.201
YER185W	-0.026	0.562
YER186C	-0.225	NaN
YER187W	-0.469	-0.170
YER188W	-0.311	0.438
YFL001W	-2.469	-0.274
YFL002C	NaN	-0.439
YFL003C	0.442	0.293
YFL004W	0.099	0.208
YFL005W	NaN	-1.614
YFL007W	0.996	1.098
YFL008W	NaN	3.655
YFL009W	NaN	-0.997
YFL010C	0.421	-0.277
YFL010W-A	0.726	NaN
YFL011W	1.420	-0.473
YFL012W	1.045	0.020
YFL012W-A	-0.266	0.281
YFL013C	0.015	0.012
YFL014W	-0.298	-0.016
YFL015C	0.631	-0.059
YFL016C	-3.236	-0.252
YFL017C	NaN	-0.331
YFL018C	-0.369	0.690
YFL019C	-0.052	-0.405
YFL020C	0.442	0.074
YFL021W	0.519	0.646
YFL022C	NaN	-0.101
YFL023W	-0.862	0.447
YFL024C	NaN	-0.219
YFL025C	1.083	-0.209
YFL026W	NaN	0.160
YFL027C	0.085	0.490
YFL028C	0.281	-0.030
YFL029C	NaN	0.134
YFL030W	0.043	0.313
YFL031W	0.737	0.094
YFL032W	0.858	-0.984
YFL033C	0.162	-0.513
YFL034C-A	0.019	-0.141
YFL034C-B	NaN	0.343
YFL034W	-0.049	-0.409
YFL036W	-4.292	-0.215
YFL037W	NaN	0.017
YFL038C	NaN	-0.799
YFL039C	NaN	1.893
YFL040W	0.066	-0.043
YFL041W	0.044	-0.324
YFL042C	-0.016	2.096
YFL044C	0.096	0.114
YFL045C	NaN	0.481
YFL046W	0.269	-0.152
YFL047W	0.212	-0.130
YFL048C	0.016	0.717
YFL049W	-0.583	0.220
YFL050C	0.502	0.621
YFL051C	-0.010	-0.165
YFL052W	-0.042	0.201
YFL053W	0.456	0.119
YFL054C	-0.035	-0.204
YFL055W	0.406	0.247
YFL056C	-0.653	-0.021
YFL060C	NaN	-1.304
YFL063W	-0.419	-0.972
YFR001W	-5.103	-1.448
YFR002W	NaN	-0.470
YFR003C	NaN	-0.080
YFR004W	NaN	-1.919
YFR005C	NaN	-0.064
YFR006W	0.302	0.215
YFR007W	-0.021	0.417
YFR008W	0.159	0.491
YFR009W	1.567	-0.381
YFR010W	1.307	-0.915
YFR011C	-0.089	-0.020
YFR012W	0.809	0.536
YFR013W	0.820	-0.027
YFR014C	0.199	0.096
YFR015C	-0.187	-0.130
YFR016C	-0.179	0.336
YFR017C	0.003	0.346
YFR018C	0.502	-0.615
YFR019W	-0.550	0.344
YFR020W	-0.035	0.432
YFR021W	1.522	0.245
YFR022W	0.046	-0.407
YFR023W	0.597	-0.128
YFR024C-A	-0.317	0.471
YFR025C	0.582	0.077
YFR026C	0.045	-0.472
YFR027W	NaN	0.529
YFR028C	NaN	-0.447
YFR029W	NaN	0.513
YFR030W	-0.224	0.466
YFR031C	NaN	-0.607
YFR031C-A	-3.057	0.238
YFR032C	0.029	-0.638
YFR032C-A	-3.049	-2.091
YFR033C	-0.919	-0.304
YFR034C	-2.166	-1.089
YFR035C	-0.006	-0.375
YFR036W	-4.873	0.740
YFR037C	NaN	-2.806
YFR038W	-0.066	NaN
YFR039C	0.003	0.760
YFR040W	-0.148	-0.878
YFR041C	0.019	-0.251
YFR042W	NaN	-0.190
YFR043C	-0.245	-0.191
YFR044C	-0.073	0.530
YFR045W	-0.419	0.416
YFR046C	-0.154	0.555
YFR047C	-0.433	-0.244
YFR048W	0.082	0.305
YFR049W	-0.823	0.548
YFR050C	NaN	-1.046
YFR051C	NaN	-0.581
YFR052W	NaN	-0.441
YFR053C	-0.140	-0.106
YFR054C	-0.249	0.024
YFR055W	-0.997	-1.339
YFR056C	-0.464	-0.042
YFR057W	-0.166	-0.419
YGL001C	NaN	0.953
YGL002W	0.173	-0.178
YGL003C	-0.480	0.231
YGL004C	-0.033	0.262
YGL005C	-0.622	-0.122
YGL006W	-0.256	NaN
YGL007W	0.164	-1.012
YGL008C	NaN	-1.203
YGL009C	NaN	-0.144
YGL010W	-0.013	0.326
YGL011C	NaN	-1.527
YGL012W	3.906	0.047
YGL013C	13.947	9.169
YGL014W	0.495	1.352
YGL015C	0.072	0.022
YGL016W	-0.452	-0.034
YGL017W	0.386	-0.374
YGL018C	NaN	0.051
YGL019W	1.635	0.063
YGL020C	0.189	-0.274
YGL021W	0.163	0.052
YGL022W	NaN	-0.365
YGL023C	1.723	-0.278
YGL024W	NaN	0.449
YGL025C	8.166	0.156
YGL026C	NaN	-0.408
YGL027C	0.090	-0.964
YGL028C	0.747	-0.081
YGL029W	NaN	0.017
YGL031C	-4.741	-3.600
YGL032C	0.794	NaN
YGL033W	0.565	-0.286
YGL034C	0.370	0.952
YGL035C	1.533	0.181
YGL036W	NaN	-0.340
YGL037C	-0.177	0.030
YGL038C	-0.056	0.123
YGL039W	0.078	0.404
YGL040C	NaN	0.604
YGL041C	1.543	-0.062
YGL042C	-0.128	-0.339
YGL043W	1.880	-0.693
YGL045W	1.452	1.193
YGL047W	NaN	0.763
YGL048C	NaN	-1.322
YGL049C	-0.306	-0.165
