ORF	hom | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012	het | growth (relative abundance in pooled culture) | asperentin [110 uM] | Hoepfner D~Winzeler EA, 2012
YBR034C	1.212	1.515
YBR035C	-0.714	-0.112
YBR036C	0.345	-0.148
YBR037C	0.597	-0.055
YBR038W	NaN	0.512
YBR039W	NaN	-0.471
YBR040W	0.375	-0.663
YBR041W	4.290	NaN
YBR042C	0.751	0.887
YBR043C	0.524	-0.077
YBR044C	-0.011	-0.373
YBR045C	0.017	-0.531
YBR046C	0.103	0.984
YBR047W	-0.071	0.017
YBR048W	-1.142	-0.700
YBR049C	NaN	-0.944
YBR050C	-0.004	1.042
YBR051W	0.298	-0.116
YBR052C	0.129	0.064
YBR053C	0.620	-0.277
YBR054W	0.004	-0.048
YBR055C	NaN	0.112
YBR056W	0.105	-0.898
YBR057C	0.457	-0.745
YBR058C	-0.336	-0.057
YBR059C	1.156	-0.135
YBR060C	NaN	0.093
YBR061C	NaN	0.170
YBR062C	0.299	0.117
YBR063C	0.169	0.459
YBR064W	0.319	-1.066
YBR065C	-0.032	-0.411
YBR066C	0.112	0.018
YBR067C	0.176	-0.063
YBR068C	0.214	-0.014
YBR069C	0.692	-0.126
YBR070C	NaN	-0.380
YBR071W	0.006	-0.887
YBR072W	0.411	-0.817
YBR073W	0.076	-0.458
YBR074W	-0.052	0.006
YBR076W	-0.082	0.145
YBR077C	-1.283	0.001
YBR078W	NaN	0.652
YBR079C	NaN	0.025
YBR080C	NaN	0.202
YBR081C	NaN	1.902
YBR082C	NaN	-0.050
YBR083W	0.068	-0.945
YBR084C-A	-1.196	-0.692
YBR084W	0.433	0.228
YBR085W	NaN	-0.191
YBR086C	NaN	-0.205
YBR087W	NaN	-0.023
YBR088C	NaN	-0.124
YBR089W	NaN	-0.502
YBR090C	0.095	-0.398
YBR091C	NaN	-3.810
YBR092C	0.867	0.182
YBR093C	0.071	0.181
YBR094W	0.076	-0.626
YBR095C	NaN	-0.877
YBR096W	-0.005	0.330
YBR097W	NaN	-0.596
YBR098W	-0.077	0.493
YBR099C	-0.234	0.436
YBR101C	0.335	-7.434
YBR102C	NaN	0.030
YBR103W	-0.194	-0.711
YBR104W	0.232	0.570
YBR105C	-0.223	NaN
YBR106W	-2.385	-0.026
YBR107C	-0.028	0.073
YBR108W	-0.006	-0.056
YBR109C	NaN	-1.155
YBR110W	NaN	-2.090
YBR111C	NaN	-1.093
YBR112C	NaN	-2.121
YBR113W	-0.097	-2.729
YBR114W	0.288	-0.485
YBR115C	NaN	-0.329
YBR116C	0.261	0.723
YBR117C	NaN	-0.315
YBR118W	NaN	0.573
YBR119W	0.173	-2.521
YBR120C	0.246	0.468
YBR121C	NaN	0.051
YBR123C	NaN	-3.160
YBR124W	NaN	0.967
YBR125C	0.199	-0.398
YBR126C	12.075	0.960
YBR127C	-0.371	0.156
YBR128C	0.069	0.141
YBR129C	0.777	-0.015
YBR130C	0.406	-0.066
YBR131W	0.867	-0.039
YBR132C	NaN	0.038
YBR133C	-1.243	-6.343
YBR134W	-0.848	-0.186
YBR135W	NaN	-0.991
YBR136W	NaN	0.203
YBR137W	0.060	0.389
YBR138C	0.446	0.744
YBR139W	0.439	1.242
YBR140C	NaN	-1.547
YBR141C	0.416	-0.321
YBR142W	NaN	-0.588
YBR143C	NaN	-0.841
YBR144C	0.573	-0.083
YBR145W	0.122	-0.256
YBR146W	-0.008	-0.022
YBR147W	-0.211	0.303
YBR148W	0.000	-0.241
YBR149W	0.003	0.655
YBR150C	0.937	0.430
YBR151W	0.711	0.500
YBR152W	NaN	0.118
YBR153W	NaN	0.122
YBR154C	NaN	-2.734
YBR155W	NaN	-0.236
YBR156C	-2.165	-5.284
YBR157C	0.085	0.284
YBR158W	0.647	-0.770
YBR159W	1.120	0.162
YBR160W	NaN	-0.496
YBR161W	0.079	0.276
YBR162C	1.405	-0.039
YBR162W-A	0.399	0.394
YBR163W	-0.667	0.272
YBR164C	-0.146	-0.290
YBR165W	NaN	0.291
YBR166C	NaN	0.175
YBR167C	NaN	-0.433
YBR168W	-3.738	-0.069
YBR169C	0.018	-0.143
YBR170C	0.289	-0.151
YBR171W	-2.733	-0.012
YBR172C	0.202	-0.023
YBR173C	-0.065	-3.760
YBR174C	-1.538	0.133
