ORF	hom | endoglucanase activity (C. thermocellum cel8A) | expression of Clostridium thermocellum cel8A [NA] | Kitagawa T~Imaeda T, 2011
YNL297C	1.000
YJR033C	1.000
YLR025W	1.000
YPL002C	1.000
YGR020C	1.000
YDR495C	1.000
YPR173C	1.000
YPL045W	1.000
YJR102C	1.000
YNR006W	1.000
YPL065W	1.000
YLR417W	1.000
YDR080W	1.000
YGL095C	1.000
YDR065W	1.000
YKL118W	1.000
YOR331C	1.000
YML001W	1.000
YLR242C	1.000
YBR036C	1.000
YMR029C	1.000
YCR044C	1.000
YKL212W	1.000
YGR157W	1.000
YLR056W	1.000
YML008C	1.000
YJR073C	1.000
YDR448W	1.000
YGR252W	1.000
YDR174W	1.000
YLR403W	1.000
YCR047C	1.000
YMR142C	1.000
YBL027W	1.000
YMR194W	1.000
YPL090C	1.000
YPL193W	1.000
YOL138C	1.000
YNL228W	1.000
YGR285C	1.000
YOR375C	1.000
YEL062W	1.000
YHL023C	1.000
YLR338W	1.000
YLR337C	1.000
YGL234W	1.000
YLR226W	1.000
YMR299C	1.000
YNL133C	1.000
YHR183W	1.000
YLL006W-A	1.000
YDR162C	1.000
YIL153W	1.000
YIL008W	1.000
YNL120C	1.000
