orf	hap a | abundance of a specific protein/peptide (Deg1) | standard [standard] | Ravid T~Hochstrasser M, 2006
YBR173C	17.422208049880858
YDL020C	11.614805366587238
YDR363W-A	17.422208049880858
YGR188C	17.422208049880858
YHR191C	11.614805366587238
YIL009C-A	11.614805366587238
YIL030C	23.229610733174475
YJL092W	17.422208049880858
YLR233C	11.614805366587238
YLR318W	11.614805366587238
YMR022W	23.229610733174475
YMR264W	23.229610733174475
YOR026W	17.422208049880858
YPL008W	11.614805366587238
YPR131C	17.422208049880858
YPR141C	17.422208049880858
