orf	hap a | growth (CFU) | MANCOZEB [1.2-1.5 mg/L] | MM4 + his + leu + lys + met + trp + ura, DMSO [0.15%] | Dias PJ~Sa Correia I, 2010
YAL002W	-3.413480220174911
YAL004W	-1.7067401100874555
YAL005C	-1.7067401100874555
YAL021C	-3.413480220174911
YAL024C	-3.413480220174911
YAL034C	-1.7067401100874555
YAL048C	-1.7067401100874555
YAL056W	-3.413480220174911
YAR014C	-1.7067401100874555
YAR018C	-1.7067401100874555
YBL014C	-3.413480220174911
YBL025W	-1.7067401100874555
YBL071C-B	-3.413480220174911
YBL071W-A	-3.413480220174911
YBL093C	-1.7067401100874555
YBL099W	-3.413480220174911
YBL100C	-3.413480220174911
YBL101C	-1.7067401100874555
YBL103C	-3.413480220174911
YBR003W	-3.413480220174911
YBR008C	-3.413480220174911
YBR023C	-1.7067401100874555
YBR025C	-1.7067401100874555
YBR035C	-3.413480220174911
YBR041W	-1.7067401100874555
YBR048W	-1.7067401100874555
YBR081C	-3.413480220174911
YBR082C	-1.7067401100874555
YBR085C-A	-1.7067401100874555
YBR093C	-1.7067401100874555
YBR095C	-1.7067401100874555
YBR101C	-1.7067401100874555
YBR106W	-3.413480220174911
YBR111W-A	-1.7067401100874555
YBR120C	-3.413480220174911
YBR122C	-3.413480220174911
YBR123C	-1.7067401100874555
YBR132C	-3.413480220174911
YBR147W	-1.7067401100874555
YBR152W	-1.7067401100874555
YBR163W	-1.7067401100874555
YBR171W	-1.7067401100874555
YBR173C	-3.413480220174911
YBR174C	-1.7067401100874555
YBR175W	-1.7067401100874555
YBR179C	-3.413480220174911
YBR181C	-1.7067401100874555
YBR193C	-1.7067401100874555
YBR194W	-1.7067401100874555
YBR196C-A	-1.7067401100874555
YBR200W	-3.413480220174911
YBR212W	-1.7067401100874555
YBR216C	-1.7067401100874555
YBR217W	-1.7067401100874555
YBR221C	-1.7067401100874555
YBR224W	-1.7067401100874555
YBR225W	-1.7067401100874555
YBR226C	-1.7067401100874555
YBR229C	-3.413480220174911
YBR231C	-1.7067401100874555
YBR238C	-1.7067401100874555
YBR239C	-1.7067401100874555
YBR248C	-3.413480220174911
YBR267W	-3.413480220174911
YBR282W	-1.7067401100874555
YCL005W	-1.7067401100874555
YCL005W-A	-3.413480220174911
YCL007C	-3.413480220174911
YCL008C	-1.7067401100874555
YCL032W	-3.413480220174911
YCL033C	-1.7067401100874555
YCL036W	-1.7067401100874555
YCL050C	-1.7067401100874555
YCL056C	-3.413480220174911
YCL061C	-1.7067401100874555
YCL063W	-1.7067401100874555
YCR002C	-1.7067401100874555
YCR009C	-3.413480220174911
YCR024C	-1.7067401100874555
YCR033W	-1.7067401100874555
YCR044C	-1.7067401100874555
YCR046C	-1.7067401100874555
YCR071C	-1.7067401100874555
YCR081W	-1.7067401100874555
YCR084C	-3.413480220174911
YCR094W	-3.413480220174911
YCR095W-A	-1.7067401100874555
YDL005C	-3.413480220174911
YDL006W	-3.413480220174911
YDL009C	-1.7067401100874555
YDL020C	-3.413480220174911
YDL035C	-1.7067401100874555
YDL040C	-1.7067401100874555
YDL043C	-1.7067401100874555
YDL047W	-3.413480220174911
YDL066W	-1.7067401100874555
YDL074C	-3.413480220174911
YDL075W	-3.413480220174911
YDL077C	-1.7067401100874555
YDL081C	-1.7067401100874555
YDL115C	-3.413480220174911
YDL116W	-1.7067401100874555
YDL126C	-1.7067401100874555
YDL135C	-1.7067401100874555
YDL151C	-3.413480220174911
YDL156W	-3.413480220174911
YDL160C	-3.413480220174911
YDL168W	-3.413480220174911
YDL226C	-3.413480220174911
YDL229W	-1.7067401100874555
YDL232W	-1.7067401100874555
YDL239C	-3.413480220174911
YDR008C	-3.413480220174911
YDR017C	-1.7067401100874555
YDR020C	-1.7067401100874555
YDR027C	-1.7067401100874555
YDR028C	-3.413480220174911
YDR032C	-1.7067401100874555
YDR033W	-3.413480220174911
YDR049W	-1.7067401100874555
YDR050C	-1.7067401100874555
YDR051C	-1.7067401100874555
YDR055W	-1.7067401100874555
YDR056C	-1.7067401100874555
YDR057W	-1.7067401100874555
YDR063W	-1.7067401100874555
YDR065W	-1.7067401100874555
YDR069C	-3.413480220174911
YDR075W	-1.7067401100874555
YDR078C	-1.7067401100874555
YDR079C-A	-3.413480220174911
YDR079W	-1.7067401100874555
YDR080W	-3.413480220174911
YDR099W	-1.7067401100874555
YDR101C	-1.7067401100874555
YDR114C	-3.413480220174911
YDR115W	-3.413480220174911
YDR123C	-3.413480220174911
YDR126W	-3.413480220174911
YDR129C	-3.413480220174911
YDR136C	-1.7067401100874555
YDR137W	-1.7067401100874555
YDR138W	-3.413480220174911
YDR140W	-1.7067401100874555
YDR144C	-3.413480220174911
YDR154C	-1.7067401100874555
YDR155C	-1.7067401100874555
YDR156W	-1.7067401100874555
YDR159W	-1.7067401100874555
YDR162C	-1.7067401100874555
YDR173C	-3.413480220174911
YDR176W	-3.413480220174911
YDR186C	-1.7067401100874555
YDR195W	-3.413480220174911
YDR200C	-1.7067401100874555
YDR207C	-3.413480220174911
YDR226W	-3.413480220174911
YDR245W	-1.7067401100874555
YDR264C	-3.413480220174911
YDR268W	-1.7067401100874555
YDR293C	-1.7067401100874555
YDR294C	-1.7067401100874555
YDR295C	-3.413480220174911
YDR296W	-3.413480220174911
YDR298C	-3.413480220174911
YDR302W	-1.7067401100874555
YDR320C	-1.7067401100874555
YDR322W	-3.413480220174911
YDR332W	-1.7067401100874555
YDR337W	-3.413480220174911
YDR363W-A	-3.413480220174911
YDR369C	-3.413480220174911
YDR372C	-3.413480220174911
YDR382W	-1.7067401100874555
YDR388W	-3.413480220174911
YDR392W	-3.413480220174911
YDR393W	-3.413480220174911
YDR414C	-1.7067401100874555
YDR432W	-3.413480220174911
YDR433W	-3.413480220174911
YDR442W	-3.413480220174911
YDR443C	-3.413480220174911
YDR448W	-3.413480220174911
YDR455C	-1.7067401100874555
YDR456W	-3.413480220174911
YDR469W	-1.7067401100874555
YDR470C	-3.413480220174911
YDR477W	-3.413480220174911
YDR480W	-3.413480220174911
YDR481C	-3.413480220174911
YDR484W	-1.7067401100874555
YDR495C	-3.413480220174911
YDR507C	-1.7067401100874555
YDR512C	-1.7067401100874555
YDR532C	-3.413480220174911
YEL003W	-1.7067401100874555
