orf	hap a | growth (CFU) | MANCOZEB [1.2-1.5 mg/L] | MM4 + his + leu + lys + met + trp + ura, DMSO [0.15%] | Dias PJ~Sa Correia I, 2010
YDR295C	-2.0
YDR296W	-2.0
YDR298C	-2.0
YDR302W	-1.0
YDR320C	-1.0
YDR322W	-2.0
YDR332W	-1.0
YDR337W	-2.0
YDR363W-A	-2.0
YDR369C	-2.0
YDR372C	-2.0
YDR382W	-1.0
YDR388W	-2.0
YDR392W	-2.0
YDR393W	-2.0
YDR414C	-1.0
YDR432W	-2.0
YDR433W	-2.0
YDR442W	-2.0
YDR443C	-2.0
YDR448W	-2.0
YDR455C	-1.0
YDR456W	-2.0
YDR469W	-1.0
YDR470C	-2.0
YDR477W	-2.0
YDR480W	-2.0
YDR481C	-2.0
YDR484W	-1.0
YDR495C	-2.0
YDR507C	-1.0
YDR512C	-1.0
YDR532C	-2.0
YEL003W	-1.0
YEL009C	-2.0
YEL013W	-1.0
YEL027W	-2.0
YEL029C	-2.0
YEL031W	-1.0
YEL036C	-2.0
YEL044W	-2.0
YEL050C	-1.0
YEL051W	-2.0
YEL061C	-1.0
YEL062W	-1.0
YER005W	-1.0
YER007W	-1.0
YER014C-A	-1.0
YER016W	-1.0
YER019W	-1.0
YER020W	-1.0
YER040W	-1.0
YER050C	-1.0
YER087W	-1.0
YER133W	-1.0
YER151C	-1.0
YER155C	-1.0
YER165W	-1.0
YFL001W	-2.0
YFL013C	-1.0
YFL014W	-1.0
YFL018C	-2.0
YFL023W	-2.0
YFL025C	-2.0
YFL033C	-1.0
YFR001W	-2.0
YFR010W	-2.0
YFR012W-A	-2.0
YFR029W	-1.0
YFR040W	-1.0
YGL003C	-1.0
YGL007W	-1.0
YGL016W	-1.0
YGL019W	-1.0
YGL020C	-1.0
YGL025C	-2.0
YGL027C	-1.0
YGL038C	-2.0
YGL041C-B	-1.0
YGL042C	-1.0
YGL043W	-1.0
YGL054C	-1.0
YGL058W	-2.0
YGL062W	-2.0
YGL066W	-1.0
YGL070C	-2.0
YGL071W	-2.0
YGL080W	-1.0
YGL084C	-1.0
YGL097W	-2.0
YGL104C	-1.0
YGL105W	-1.0
YGL115W	-1.0
YGL124C	-2.0
YGL127C	-1.0
YGL135W	-2.0
YGL136C	-1.0
YGL163C	-1.0
YGL167C	-1.0
YGL168W	-1.0
YGL173C	-2.0
YGL174W	-1.0
YGL188C-A	-1.0
YGL190C	-1.0
YGL192W	-1.0
YGL195W	-2.0
YGL211W	-1.0
YGL212W	-1.0
YGL218W	-2.0
YGL220W	-1.0
YGL240W	-2.0
YGL244W	-2.0
YGL246C	-2.0
YGL252C	-2.0
YGR007W	-1.0
YGR036C	-2.0
YGR055W	-1.0
YGR056W	-2.0
YGR062C	-1.0
YGR064W	-2.0
YGR076C	-1.0
YGR077C	-1.0
YGR078C	-2.0
YGR087C	-1.0
YGR092W	-1.0
YGR101W	-1.0
YGR102C	-1.0
YGR104C	-2.0
YGR105W	-2.0
YGR112W	-1.0
YGR129W	-1.0
YGR132C	-1.0
YGR135W	-1.0
YGR150C	-1.0
YGR155W	-1.0
YGR157W	-2.0
YGR159C	-2.0
YGR160W	-2.0
YGR162W	-1.0
YGR163W	-2.0
YGR164W	-1.0
YGR165W	-2.0
YGR166W	-2.0
YGR167W	-2.0
YGR170W	-2.0
YGR174C	-1.0
YGR180C	-2.0
YGR187C	-2.0
YGR188C	-1.0
YGR200C	-2.0
YGR204C-A	-2.0
YGR214W	-2.0
YGR215W	-2.0
YGR229C	-2.0
YGR240C	-2.0
YGR252W	-2.0
YGR262C	-2.0
YGR270W	-1.0
YGR273C	-1.0
YGR285C	-1.0
YHL002W	-2.0
YHL011C	-2.0
YHL015W	-1.0
YHL023C	-2.0
YHL031C	-2.0
YHL034C	-2.0
YHR008C	-2.0
YHR010W	-2.0
YHR012W	-1.0
YHR013C	-1.0
YHR026W	-2.0
YHR030C	-1.0
YHR038W	-2.0
YHR041C	-1.0
YHR050W	-2.0
YHR060W	-2.0
YHR064C	-1.0
YHR067W	-1.0
YHR075C	-1.0
YHR090C	-1.0
YHR091C	-1.0
YHR100C	-2.0
YHR111W	-1.0
YHR141C	-1.0
YHR172W	-1.0
YHR178W	-1.0
YHR187W	-1.0
YIL005W	-2.0
YIL006W	-2.0
YIL007C	-2.0
YIL008W	-1.0
YIL017C	-1.0
YIL021W	-2.0
YIL026C	-1.0
YIL028W	-1.0
YIL031W	-1.0
YIL036W	-1.0
YIL038C	-1.0
YIL040W	-2.0
YIL050W	-1.0
YIL073C	-1.0
YIL090W	-1.0
YIL097W	-2.0
YIL098C	-1.0
YIL110W	-1.0
YIL112W	-1.0
YIL126W	-1.0
YIL128W	-1.0
YIL148W	-1.0
YIL153W	-1.0
YIR011C	-1.0
YIR017C	-1.0
YIR026C	-2.0
YIR034C	-1.0
YJL006C	-1.0
YJL016W	-1.0
YJL026W	-1.0
YJL046W	-2.0
YJL047C	-2.0
YJL056C	-2.0
YJL062W	-2.0
YJL075C	-2.0
YJL080C	-2.0
YJL086C	-1.0
YJL095W	-1.0
YJL097W	-1.0
YJL101C	-2.0
YJL110C	-2.0
YJL111W	-1.0
YJL117W	-1.0
YJL120W	-2.0
YJL121C	-2.0
YJL128C	-2.0
YJL129C	-2.0
YJL136C	-1.0
YJL140W	-2.0
YJL175W	-2.0
YJL176C	-2.0
YJL180C	-2.0
YJL184W	-2.0
YJL204C	-1.0
YJR006W	-1.0
YJR011C	-1.0
YJR014W	-2.0
YJR018W	-2.0
YJR025C	-1.0
YJR032W	-1.0
YJR060W	-2.0
YJR073C	-2.0
YJR090C	-1.0
YJR102C	-2.0
YJR104C	-2.0
YJR105W	-2.0
YJR109C	-1.0
YJR118C	-1.0
YKL002W	-1.0
YKL006W	-1.0
YKL032C	-1.0
YKL033W	-1.0
YKL040C	-1.0
YKL041W	-1.0
YKL054C	-2.0
YKL055C	-2.0
YKL059C	-1.0
YKL096C-B	-2.0
YKL096W-A	-1.0
YKL113C	-1.0
YKL118W	-1.0
YKL119C	-1.0
YKL121W	-1.0
YKL126W	-1.0
YKL134C	-1.0
YKL135C	-1.0
YKL139W	-2.0
YKL152C	-1.0
YKL165C	-1.0
YKL184W	-1.0
YKL212W	-2.0
YKL213C	-2.0
YKL215C	-1.0
YKL220C	-1.0
YKR001C	-2.0
YKR024C	-2.0
YKR035C	-2.0
YKR035W-A	-1.0
YKR082W	-2.0
YLL002W	-2.0
YLL009C	-1.0
YLL018C-A	-1.0
YLL019C	-1.0
YLL020C	-1.0
YLL028W	-2.0
YLL033W	-1.0
YLL038C	-2.0
YLL039C	-2.0
YLL043W	-2.0
YLR015W	-1.0
YLR025W	-2.0
YLR039C	-1.0
YLR052W	-1.0
YLR138W	-1.0
YLR148W	-2.0
YLR177W	-1.0
YLR182W	-2.0
YLR184W	-1.0
YLR192C	-1.0
YLR197W	-2.0
YLR200W	-2.0
YLR202C	-1.0
YLR210W	-1.0
YLR220W	-1.0
YLR226W	-2.0
YLR242C	-1.0
YLR261C	-1.0
YLR262C	-1.0
YLR268W	-1.0
YLR292C	-1.0
YLR295C	-1.0
YLR318W	-2.0
YLR319C	-1.0
YLR320W	-1.0
YLR322W	-2.0
YLR337C	-2.0
YLR338W	-2.0
YLR342W	-1.0
YLR352W	-1.0
YLR357W	-1.0
YLR358C	-2.0
YLR369W	-1.0
YLR370C	-1.0
YLR372W	-1.0
YLR373C	-2.0
YLR374C	-1.0
YLR384C	-1.0
YLR393W	-1.0
YLR396C	-1.0
YLR402W	-1.0
YLR403W	-2.0
YLR404W	-1.0
YLR407W	-1.0
YLR410W	-1.0
YLR417W	-2.0
YLR418C	-2.0
YML001W	-1.0
YML007W	-2.0
YML008C	-1.0
YML009W-B	-2.0
YML012C-A	-1.0
YML022W	-1.0
YML024W	-1.0
YML028W	-1.0
YML030W	-1.0
YML032C	-1.0
YML035C	-1.0
YML036W	-1.0
YML094C-A	-1.0
YML094W	-1.0
YML112W	-1.0
YMR016C	-1.0
YMR031W-A	-1.0
YMR033W	-1.0
YMR037C	-1.0
YMR038C	-2.0
YMR043W	-1.0
YMR060C	-2.0
YMR061W	-1.0
YMR067C	-2.0
YMR073C	-1.0
YMR077C	-2.0
YMR078C	-1.0
YMR091C	-2.0
YMR135W-A	-1.0
YMR142C	-1.0
YMR145C	-2.0
YMR179W	-1.0
YMR190C	-1.0
YMR191W	-1.0
YMR198W	-1.0
YMR199W	-1.0
YMR202W	-2.0
YMR205C	-1.0
YMR207C	-2.0
YMR214W	-1.0
YMR224C	-1.0
YMR228W	-1.0
YMR231W	-2.0
YMR242W-A	-1.0
YMR263W	-1.0
YMR269W	-1.0
YMR272C	-1.0
YMR275C	-1.0
YMR294W	-1.0
YMR300C	-1.0
YMR307W	-2.0
YMR309C	-1.0
YMR312W	-1.0
YMR326C	-1.0
YNL003C	-2.0
YNL015W	-2.0
YNL016W	-1.0
YNL021W	-1.0
YNL023C	-1.0
YNL025C	-1.0
YNL039W	-1.0
YNL040W	-2.0
YNL055C	-1.0
YNL059C	-2.0
YNL071W	-1.0
YNL148C	-2.0
YNL153C	-2.0
YNL171C	-2.0
YNL183C	-1.0
YNL192W	-1.0
YNL198C	-1.0
YNL199C	-2.0
YNL215W	-2.0
YNL229C	-1.0
YNL235C	-1.0
YNL238W	-1.0
YNL241C	-2.0
YNL245C	-1.0
YNL246W	-1.0
YNL248C	-1.0
YNL250W	-1.0
YNL280C	-2.0
YNL296W	-2.0
YNL297C	-2.0
YNL298W	-2.0
YNL302C	-1.0
YNL307C	-1.0
YNL315C	-1.0
YNL319W	-1.0
YNL322C	-1.0
YNL323W	-1.0
YNR005C	-1.0
YNR006W	-2.0
YNR010W	-1.0
YNR017W	-1.0
YNR020C	-1.0
YNR021W	-1.0
YNR032W	-1.0
YNR037C	-1.0
YNR038W	-1.0
YNR043W	-1.0
YNR047W	-1.0
YNR051C	-2.0
YNR052C	-2.0
YOL004W	-2.0
YOL006C	-2.0
YOL023W	-1.0
YOL032W	-1.0
YOL036W	-1.0
YOL041C	-1.0
YOL042W	-1.0
YOL049W	-2.0
YOL051W	-2.0
YOL052C	-1.0
YOL059W	-1.0
YOL064C	-1.0
YOL067C	-2.0
YOL072W	-1.0
YOL076W	-1.0
YOL108C	-2.0
YOL110W	-1.0
YOL121C	-2.0
YOL143C	-2.0
YOR008C	-1.0
YOR026W	-1.0
YOR035C	-2.0
YOR036W	-2.0
YOR039W	-1.0
YOR043W	-1.0
YOR068C	-1.0
YOR069W	-1.0
YOR070C	-1.0
YOR080W	-1.0
YOR089C	-1.0
YOR096W	-1.0
YOR106W	-1.0
YOR109W	-1.0
YOR123C	-1.0
YOR139C	-1.0
YOR140W	-1.0
YOR141C	-2.0
YOR150W	-1.0
YOR162C	-1.0
YOR187W	-1.0
YOR196C	-2.0
YOR199W	-1.0
YOR200W	-1.0
YOR201C	-1.0
YOR205C	-1.0
YOR211C	-2.0
YOR221C	-2.0
YOR235W	-2.0
YOR241W	-2.0
YOR258W	-1.0
YOR267C	-1.0
YOR269W	-1.0
YOR270C	-1.0
YOR293W	-1.0
YOR295W	-1.0
YOR304C-A	-1.0
YOR306C	-1.0
YOR312C	-1.0
YOR323C	-1.0
YOR330C	-1.0
YOR331C	-2.0
YOR332W	-2.0
YOR333C	-1.0
YOR345C	-1.0
YOR349W	-1.0
YPL002C	-1.0
YPL006W	-1.0
YPL031C	-2.0
YPL042C	-1.0
YPL055C	-1.0
YPL057C	-1.0
YPL065W	-1.0
YPL079W	-1.0
YPL084W	-2.0
YPL086C	-1.0
YPL091W	-2.0
YPL097W	-2.0
YPL101W	-1.0
YPL102C	-1.0
YPL105C	-1.0
YPL106C	-2.0
YPL120W	-1.0
YPL123C	-1.0
YPL129W	-1.0
YPL144W	-1.0
YPL161C	-2.0
YPL165C	-1.0
YPL174C	-1.0
YPL180W	-2.0
YPL193W	-1.0
YPL205C	-1.0
YPL233W	-2.0
YPL234C	-2.0
YPL239W	-1.0
YPL241C	-2.0
YPL249C-A	-2.0
YPL262W	-1.0
YPL271W	-2.0
YPR024W	-2.0
YPR036W	-2.0
YPR039W	-1.0
YPR040W	-1.0
YPR043W	-1.0
YPR044C	-1.0
YPR045C	-2.0
YPR047W	-2.0
YPR049C	-2.0
YPR052C	-1.0
YPR063C	-1.0
YPR066W	-2.0
YPR069C	-1.0
YPR070W	-1.0
