ORF	hap a | protein/peptide metabolism (unfolded protein response (UPR)) | standard [standard] | Jonikas MC~Schuldiner M, 2009
YMR214W	4.238
YLR242C	4.042
YEL031W	3.785
YJR117W	3.729
YFL025C	3.399
YJL062W	3.371
YLR087C	3.065
YML012W	2.992
YNL080C	2.985
YAL023C	2.984
YBL082C	2.891
YBL083C	2.847
YOR085W	2.827
YML012C-A	2.788
YDR414C	2.772
YNL133C	2.753
YJR118C	2.603
YML055W	2.590
YML013W	2.517
YOR002W	2.505
YGL084C	2.466
YCR044C	2.236
YER122C	2.228
YKL073W	2.196
YNL219C	2.116
YNR030W	2.102
YDL095W	2.101
YIR033W	2.062
YDL096C	2.044
YML115C	2.013
YGL020C	2.010
YHR039C-A	1.976
YGL054C	1.956
YKR020W	1.908
YOR067C	1.903
YIL039W	1.891
YDL020C	1.834
YEL036C	1.813
YPL227C	1.795
YHR018C	1.790
YOL013C	1.788
YMR022W	1.766
YJR145C	1.749
YMR161W	1.687
YBL022C	1.669
YGL228W	1.652
YKL212W	1.597
YGL168W	1.596
YDL192W	1.587
YLR110C	1.581
YDR484W	1.542
YGL167C	1.542
YLR207W	1.520
YGL033W	1.492
YGR064W	1.426
YMR264W	1.409
YGR063C	1.406
YAL058W	1.401
YER083C	1.398
YOL001W	1.353
YDR027C	1.351
YAR002C-A	1.327
YDR136C	1.323
YLR372W	1.322
YCR094W	1.306
YLR268W	1.269
YML029W	1.260
YDR525W	1.257
YGR227W	1.257
YOL031C	1.256
YCR081W	1.240
YNL238W	1.210
YDR290W	1.208
YAL056C-A	1.205
YLR338W	1.203
YLR111W	1.199
YDR289C	1.195
YNL148C	1.192
YAL021C	1.190
YER140W	1.140
YDR127W	1.127
YNL206C	1.123
YLR261C	1.123
YBR041W	1.106
YMR307W	1.067
YAL012W	1.055
YJL029C	1.055
YBR171W	1.036
YOR154W	1.008
YDL100C	1.002
YOR035C	1.001
YOL064C	1.000
YDR320C	0.994
YBR201W	0.994
YOR061W	0.978
YLR337C	0.959
YDL117W	0.932
YKR001C	0.931
YGR105W	0.924
YAR014C	0.914
YAR018C	0.912
YGL226C-A	0.908
YER084W	0.903
YMR179W	0.896
YDR057W	0.886
YPL069C	0.883
YML112W	0.874
YBR010W	0.868
YBL007C	0.864
YDR372C	0.859
YHR078W	0.851
YDR226W	0.842
YKR042W	0.842
YBR106W	0.831
YJR073C	0.830
YMR216C	0.829
YER019W	0.820
YOR288C	0.814
YNL322C	0.803
YJL139C	0.787
YML101C-A	0.781
YLR104W	0.777
YDR028C	0.772
YCR033W	0.762
YHR183W	0.760
YGR229C	0.758
YML097C	0.753
YGL149W	0.746
YBR009C	0.736
YLR370C	0.735
YGR284C	0.724
YDR443C	0.718
YBL032W	0.718
YDR455C	0.711
YKL139W	0.684
YDR310C	0.683
YJR010C-A	0.677
YHR004C	0.676
YML128C	0.675
YNL199C	0.675
YGR092W	0.670
YKL048C	0.664
YBR103W	0.652
YGL007W	0.650
YIL131C	0.644
YNL140C	0.638
YCR088W	0.636
YHR167W	0.632
YLR262C	0.632
YPR018W	0.630
YDL190C	0.612
YGR202C	0.612
YFR041C	0.610
YOR089C	0.598
YBR195C	0.597
YGL027C	0.592
YBR229C	0.583
YPR054W	0.576
YDR456W	0.573
YNL323W	0.573
YPL065W	0.572
YDR389W	0.571
YEL042W	0.565
YLL016W	0.561
YMR165C	0.561
YKL118W	0.560
YOR189W	0.558
YHL031C	0.558
YNL198C	0.553
YGL115W	0.550
YLR085C	0.546
YAL019W	0.546
YPR130C	0.541
YGR155W	0.541
YMR123W	0.541
YBR015C	0.538
YLR360W	0.536
YOR171C	0.534
YDR108W	0.528
YGL110C	0.514
YMR067C	0.510
YDR518W	0.507
YGL194C	0.505
YJR075W	0.503
YOR026W	0.493
YDL226C	0.492
YPL184C	0.484
YKL160W	0.484
YBR162W-A	0.477
YCR067C	0.471
YML009C-A	0.470
YCL008C	0.466
YJR033C	0.465
YDR485C	0.464
YPL244C	0.464
YPR140W	0.462
YOR093C	0.461
YHR158C	0.461
YOR127W	0.461
YNL031C	0.461
YBR245C	0.460
YBL002W	0.460
YHR185C	0.459
YLR386W	0.459
YOR242C	0.457
YJL056C	0.455
YMR202W	0.449
YJL004C	0.448
YKR029C	0.448
YPL256C	0.445
YBR238C	0.445
YCR017C	0.444
YMR224C	0.440
YML041C	0.440
YMR148W	0.436
YAL026C	0.434
YJL012C	0.432
YML071C	0.429
YOR109W	0.428
YDR074W	0.425
YOR130C	0.423
YNL296W	0.421
YFR018C	0.420
YNL162W	0.419
YDR069C	0.418
YOR070C	0.417
YGR058W	0.411
YKR028W	0.410
YOR216C	0.404
YBL047C	0.397
YDR442W	0.393
YIL090W	0.393
YAL007C	0.392
YBL081W	0.390
YNL192W	0.389
YLR025W	0.387
YHR050W	0.385
YOR165W	0.383
YGL077C	0.381
YOL018C	0.381
YAL002W	0.379
YJL169W	0.378
YNL041C	0.375
YJR140C	0.367
YHR012W	0.366
YGR166W	0.365
YHR178W	0.365
YJL123C	0.364
YJR102C	0.364
YPL062W	0.364
YMR075C-A	0.364
YOL012C	0.363
YIL040W	0.362
YDR495C	0.362
YCL001W	0.362
YER064C	0.361
YOR246C	0.359
YML062C	0.357
YJL168C	0.357
YBR164C	0.349
YCL045C	0.349
YNL051W	0.348
YIR004W	0.348
YDR497C	0.347
YMR075W	0.347
YIL101C	0.346
YBR231C	0.345
YJL127C	0.345
YCR009C	0.344
YJL124C	0.343
YPL050C	0.340
YLR216C	0.340
YOR275C	0.338
YPL051W	0.336
YLR119W	0.335
YLR133W	0.333
YPR106W	0.333
YER092W	0.329
YGL126W	0.327
YAL011W	0.322
YNL236W	0.321
YKR048C	0.318
YOR023C	0.318
YLR436C	0.317
YMR036C	0.315
YNR006W	0.314
YGL019W	0.314
YCR034W	0.311
YGR170W	0.310
YMR292W	0.309
YDR233C	0.309
YDR036C	0.308
YMR077C	0.306
YGR123C	0.305
YBR215W	0.305
YNL297C	0.305
YFL013C	0.305
YGL005C	0.303
YDL240W	0.303
YML102W	0.303
YKL074C	0.301
YOL111C	0.301
YGR188C	0.300
YOR043W	0.293
YDR245W	0.292
YPR129W	0.292
YNR051C	0.291
YKR007W	0.290
YPL260W	0.289
YJR060W	0.287
YML008C	0.286
YER031C	0.284
YPL115C	0.284
YER151C	0.283
YPL120W	0.281
YCR082W	0.280
YPL226W	0.280
YBR162C	0.279
YML019W	0.278
YFL012W-A	0.276
YOR164C	0.275
YDR482C	0.274
YML113W	0.273
YBR036C	0.273
YHL020C	0.272
YGL253W	0.272
YBR144C	0.271
YDR126W	0.270
YPL061W	0.269
YDR221W	0.268
YLR425W	0.266
YKL207W	0.266
YIL159W	0.266
YDR334W	0.266
YBL051C	0.265
YNL205C	0.265
YMR274C	0.265
YDL002C	0.265
YDR162C	0.265
YDR388W	0.265
YNL030W	0.264
YOR024W	0.261
YCR077C	0.261
YBL003C	0.258
YKL057C	0.258
YDL155W	0.256
YKR019C	0.255
YNR005C	0.254
YGR228W	0.254
YHR003C	0.253
YKL007W	0.253
YGL133W	0.251
YPL192C	0.250
YBL008W	0.250
YLL014W	0.248
YML123C	0.247
YOR359W	0.247
YNL154C	0.245
YGR037C	0.245
YDR517W	0.245
YLR267W	0.244
YOR265W	0.243
YDR508C	0.243
YML081W	0.241
YKL041W	0.240
YMR004W	0.240
YEL001C	0.240
YJL053W	0.240
YMR275C	0.239
YML121W	0.238
YGL222C	0.238
YOR247W	0.237
YGR163W	0.237
YJR087W	0.236
YER050C	0.235
YER005W	0.235
YBR086C	0.235
YDR137W	0.234
YML028W	0.234
YGL173C	0.233
YGR226C	0.233
YGL101W	0.231
YBR226C	0.229
YER149C	0.229
YPL158C	0.228
YIL123W	0.227
YPL089C	0.227
YNL298W	0.227
YJR108W	0.226
YJL073W	0.226
YOL062C	0.163
YJL154C	0.221
YPL180W	0.220
YDL099W	0.219
YML075C	0.219
YOR038C	0.216
YCL046W	0.216
YLR057W	0.216
YGL231C	0.214
YFR013W	0.213
YER135C	0.212
YOL068C	0.211
YHR204W	0.211
YHR108W	0.210
YMR069W	0.209
YKL002W	0.209
YDR202C	0.208
YPL261C	0.207
YBR246W	0.205
YER075C	0.205
YMR238W	0.205
YNL324W	0.204
YDL194W	0.203
YNL253W	0.203
YJL075C	0.202
YIR003W	0.202
YDL122W	0.202
YIR042C	0.201
YLR278C	0.198
YPL072C	0.198
YOR248W	0.196
YBR169C	0.196
YAL053W	0.196
YGL109W	0.195
YDR093W	0.194
YNL270C	0.193
YDR440W	0.192
YIL112W	0.191
YFR045W	0.191
YIL161W	0.189
YER030W	0.188
YJR125C	0.188
YIL027C	0.187
YER114C	0.187
YKL213C	0.186
YGR268C	0.185
YPR173C	0.184
YEL014C	0.184
YIL055C	0.184
YBR276C	0.183
YLR109W	0.183
YDR314C	0.182
YDR348C	0.182
YER072W	0.181
YMR038C	0.181
YBL053W	0.180
YOR068C	0.179
YMR316C-A	0.179
YGL256W	0.178
YKR035C	0.177
YGL203C	0.176
YDL109C	0.176
YLR217W	0.175
YDR072C	0.175
YJR004C	0.175
YGL081W	0.174
YDR128W	0.174
YML038C	0.174
YMR273C	0.172
YBR147W	0.172
YOR141C	0.172
YER120W	0.171
YEL027W	0.170
YIL030C	0.170
YIL160C	0.169
YOR008C	0.169
YGR209C	0.169
YEL060C	0.169
YGR017W	0.168
YDR492W	0.168
YOR304W	0.166
YER145C	0.166
YMR243C	0.166
YBL037W	0.166
YDR477W	0.166
YBL072C	0.166
YEL023C	0.165
YJR131W	0.164
YNL106C	0.164
YBR111C	0.164
YMR010W	0.162
YJR053W	0.162
YHR181W	0.161
YJR092W	0.161
YFL003C	0.161
YKR100C	0.161
YAL040C	0.161
YPL148C	0.160
YDL077C	0.160
YPR006C	0.160
YPR063C	0.160
YIL092W	0.160
YNL339C	0.159
YJL214W	0.159
YBR130C	0.158
YPR153W	0.158
YNR047W	0.158
YDL006W	0.158
YDL125C	0.158
YOL035C	0.158
YPR031W	0.157
YOR112W	0.157
YIL124W	0.156
YDR059C	0.155
YIL023C	0.155
YDL011C	0.155
YKL077W	0.155
YPL077C	0.154
YOR139C	0.154
YKR101W	0.154
YLR350W	0.153
YKR009C	0.153
YOL050C	0.153
YGL028C	0.153
YDL010W	0.153
YDR179W-A	0.152
YNL215W	0.151
