orf	hap a | protein/peptide metabolism (unfolded protein response (UPR)) | standard [standard] | Jonikas MC~Schuldiner M, 2009
YBR121C	-0.03591383
YBR122C	-0.0547782
YBR125C	0.0214319
YBR126C	-0.3146684
YBR128C	-0.0003824799
YBR129C	0.01923597
YBR130C	0.1582741
YBR131W	0.02448283
YBR132C	0.0730363
YBR134W	-0.106572
YBR137W	-0.025735
YBR138C	-0.04536584
YBR139W	0.05698507
YBR141C	-0.02733378
YBR144C	0.2708937
YBR145W	0.03102979
YBR146W	-0.436947
YBR147W	0.1720952
YBR148W	-0.02172544
YBR149W	-0.04000361
YBR150C	0.1437827
YBR151W	0.01910377
YBR156C	-0.09214227
YBR157C	0.06198579
YBR158W	0.05929323
YBR159W	-0.0007731212
YBR161W	0.02234023
YBR162C	0.2793847
YBR162W-A	0.4765326
YBR163W	-0.2978881
YBR164C	0.349376
YBR165W	-0.1146826
YBR166C	0.01360212
YBR168W	0.01626529
YBR169C	0.1963063
YBR170C	0.0284997
YBR171W	1.036137
YBR172C	-0.2149054
YBR173C	-0.1416986
YBR174C	-0.4221337
YBR175W	-0.5488877
YBR176W	0.009642406
YBR177C	-0.07898016
YBR178W	-0.0282433
YBR179C	-0.385768
YBR180W	0.02850463
YBR181C	-0.8957829
YBR182C	0.02834108
YBR183W	0.1211492
YBR184W	-0.04016011
YBR185C	-0.07975678
YBR186W	-0.0036775
YBR187W	0.0374184
YBR188C	-0.06880608
YBR189W	-0.808506
YBR191W	-1.101246
YBR194W	-0.9622072
YBR195C	0.5967819
YBR197C	0.03127236
YBR199W	0.04879847
YBR200W	0.05747677
YBR201W	0.9940556
YBR203W	0.01501163
YBR204C	0.005157994
YBR205W	-0.04531436
YBR206W	-0.04320776
YBR207W	-0.007382875
YBR208C	-0.007556038
YBR209W	0.141202
YBR210W	-0.04890878
YBR212W	-0.001477944
YBR213W	0.08946121
YBR214W	0.07013173
YBR215W	0.3052049
YBR216C	-0.219399
YBR217W	-0.05942567
YBR218C	0.09133132
YBR219C	-0.01289473
YBR220C	0.04876784
YBR221C	-0.3205376
YBR222C	0.03733052
YBR223C	-0.02730458
YBR224W	-0.1023438
YBR225W	0.07961315
YBR226C	0.2290497
YBR227C	-0.03912845
YBR228W	0.04894377
YBR229C	0.5826739
YBR230C	0.006454611
YBR231C	0.3451758
YBR232C	-0.06601565
YBR233W	-0.02658634
YBR235W	0.05340922
YBR238C	0.4448109
YBR239C	-0.1033674
YBR240C	0.03734793
YBR241C	0.07296188
YBR242W	0.02139312
YBR244W	0.05089364
YBR245C	0.4598453
YBR246W	0.2051416
YBR248C	0.05810758
YBR249C	0.08559958
YBR250W	0.03254187
YBR255W	0.142233
YBR258C	0.09366672
YBR259W	0.008574768
YBR260C	0.1309281
YBR261C	-0.1808323
YBR262C	0.1365316
YBR263W	0.003617466
YBR264C	0.0850296
YBR266C	-1.438545
YBR267W	-0.7756426
YBR268W	-0.2151484
YBR269C	0.07540918
YBR270C	-0.168453
YBR271W	-0.0373341
YBR272C	-0.3442354
YBR273C	0.008523632
YBR274W	0.04682465
YBR275C	-0.05077149
YBR276C	0.1827208
YBR277C	-0.621193
YBR278W	-0.7215649
YBR280C	0.02574434
YBR281C	-0.01301983
YBR282W	-0.2742534
YBR283C	-0.04329963
YBR284W	0.01779009
YBR285W	0.08325527
YBR286W	-0.07923135
YBR287W	-0.03671759
YBR288C	-0.1587593
YBR289W	-0.000684203
YBR290W	-0.09940483
YBR291C	-0.08209286
YBR292C	-0.02619594
YBR293W	0.01745918
YBR294W	0.02656301
YBR295W	-0.003758025
YBR296C	-0.003753693
YBR297W	-0.01201541
YBR298C	0.01875083
YBR299W	0.07744391
YBR300C	-0.01150019
YBR301W	0.007363548
YCL001W	0.3617721
YCL001W-A	-0.06244747
YCL002C	0.04502857
YCL008C	0.4663816
