ORF	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YBR029C	NaN	-0.610
YBR030W	0.220	NaN
YBR031W	0.600	NaN
YBR032W	-0.070	NaN
YBR033W	-0.190	NaN
YBR034C	0.110	NaN
YBR035C	3.860	NaN
YBR036C	1.540	NaN
YBR037C	1.460	NaN
YBR038W	NaN	-0.920
YBR039W	2.620	NaN
YBR040W	-0.340	NaN
YBR041W	-1.570	NaN
YBR042C	-0.820	NaN
YBR043C	-0.150	NaN
YBR044C	0.600	NaN
YBR045C	-0.970	NaN
YBR046C	-1.540	NaN
YBR047W	0.260	NaN
YBR048W	1.200	NaN
YBR049C	NaN	0.550
YBR050C	-0.260	NaN
YBR051W	-0.040	NaN
YBR052C	-0.370	NaN
YBR053C	0.410	NaN
YBR054W	-0.300	NaN
YBR055C	NaN	0.310
YBR056W	-1.800	NaN
YBR057C	-0.370	NaN
YBR058C	0.070	NaN
YBR059C	-1.460	NaN
YBR060C	NaN	1.100
YBR061C	-1.420	NaN
YBR062C	-0.260	NaN
YBR063C	0.220	NaN
YBR064W	0.040	NaN
YBR065C	-0.150	NaN
YBR066C	0.450	NaN
YBR067C	0.370	NaN
YBR068C	0.710	NaN
YBR069C	6.520	NaN
YBR070C	NaN	-0.000
YBR071W	-0.190	NaN
YBR072W	0.560	NaN
YBR073W	-0.600	NaN
YBR074W	-0.090	NaN
YBR076W	-0.640	NaN
YBR077C	1.690	NaN
YBR078W	0.040	NaN
YBR079C	NaN	0.310
YBR080C	NaN	-0.670
YBR082C	5.170	NaN
YBR083W	0.260	NaN
YBR084C-A	2.470	NaN
YBR084W	0.860	NaN
YBR085W	0.490	NaN
YBR087W	NaN	0.740
YBR088C	NaN	1.720
YBR089C-A	0.860	NaN
YBR089W	NaN	0.490
YBR090C	0.260	NaN
YBR091C	NaN	-0.920
YBR092C	1.240	NaN
YBR093C	0.900	NaN
YBR094W	-1.050	NaN
YBR095C	-0.640	NaN
YBR098W	-0.340	NaN
YBR099C	0.190	NaN
YBR101C	-0.670	NaN
YBR102C	NaN	1.350
YBR103W	-0.490	NaN
YBR104W	0.260	NaN
YBR106W	0.560	NaN
YBR107C	2.510	NaN
YBR108W	-0.670	NaN
YBR109C	NaN	0.920
YBR110W	NaN	2.820
YBR111W-A	-0.260	NaN
YBR113W	0.070	NaN
YBR114W	0.190	NaN
YBR115C	-1.200	NaN
YBR116C	-1.120	NaN
YBR119W	-2.360	NaN
YBR120C	2.020	NaN
YBR121C	NaN	0.060
YBR123C	NaN	1.040
YBR124W	NaN	0.550
YBR125C	-0.640	NaN
YBR128C	-1.840	NaN
YBR129C	-0.940	NaN
YBR130C	0.300	NaN
YBR131W	1.160	NaN
YBR134W	-1.610	NaN
YBR135W	NaN	0.060
YBR136W	NaN	-3.620
YBR137W	-0.190	NaN
YBR138C	-0.860	NaN
YBR139W	-0.790	NaN
YBR140C	NaN	0.860
YBR141C	-1.950	NaN
YBR142W	NaN	0.120
YBR143C	NaN	1.530
YBR144C	0.670	NaN
YBR145W	0.040	NaN
YBR146W	-0.710	NaN
YBR147W	-2.140	NaN
YBR148W	0.040	NaN
YBR149W	1.050	NaN
YBR150C	0.340	NaN
YBR151W	-1.240	NaN
YBR152W	NaN	0.980
YBR153W	NaN	1.410
YBR154C	NaN	-2.330
YBR155W	NaN	0.180
YBR156C	0.520	NaN
