orf	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YBR093C	0.9	
YBR094W	-1.05	
YBR095C	-0.64	
YBR098W	-0.34	
YBR099C	0.19	
YBR101C	-0.67	
YBR102C		1.35
YBR103W	-0.49	
YBR104W	0.26	
YBR106W	0.56	
YBR107C	2.51	
YBR108W	-0.67	
YBR109C		0.92
YBR110W		2.82
YBR111W-A	-0.26	
YBR113W	0.07	
YBR114W	0.19	
YBR115C	-1.2	
YBR116C	-1.12	
YBR119W	-2.36	
YBR120C	2.02	
YBR121C		0.06
YBR123C		1.04
YBR124W		0.55
YBR125C	-0.64	
YBR128C	-1.84	
YBR129C	-0.94	
YBR130C	0.3	
YBR131W	1.16	
YBR134W	-1.61	
YBR135W		0.06
YBR136W		-3.62
YBR137W	-0.19	
YBR138C	-0.86	
YBR139W	-0.79	
YBR140C		0.86
YBR141C	-1.95	
YBR142W		0.12
YBR143C		1.53
YBR144C	0.67	
YBR145W	0.04	
YBR146W	-0.71	
YBR147W	-2.14	
YBR148W	0.04	
YBR149W	1.05	
YBR150C	0.34	
YBR151W	-1.24	
YBR152W		0.98
YBR153W		1.41
YBR154C		-2.33
YBR155W		0.18
YBR156C	0.52	
YBR157C	0.34	
YBR158W	-1.24	
YBR159W	-0.56	
YBR160W		1.84
YBR161W	-1.65	
YBR162C	1.05	
YBR162W-A	1.72	
YBR163W	2.55	
YBR164C	1.16	
YBR165W	0.11	
YBR167C		-0.37
YBR169C	-0.45	
YBR170C	-0.56	
YBR171W	1.05	
YBR172C	-0.19	
YBR173C	2.36	
YBR174C	1.57	
YBR175W	-0.37	
YBR176W	1.27	
YBR177C	-0.9	
YBR178W	0.0	
YBR180W	0.04	
YBR181C	0.41	
YBR182C	-0.52	
YBR183W	-0.45	
YBR184W	0.34	
YBR185C	-0.3	
YBR186W	0.37	
YBR187W	0.37	
YBR188C	0.56	
YBR190W		-6.01
YBR191W	0.94	
YBR192W		0.18
YBR193C		1.59
YBR194W	0.67	
YBR195C	-0.11	
YBR196C		0.55
YBR197C	-0.67	
YBR198C		-0.06
YBR199W	-0.34	
YBR200W	-8.17	
YBR201W	-0.75	
YBR202W		-2.64
YBR203W	0.97	
YBR204C	-0.97	
YBR205W	-0.37	
YBR206W	-0.07	
YBR207W	0.07	
YBR208C	-0.94	
YBR210W	-0.52	
YBR211C		0.18
YBR212W	-0.56	
YBR213W	0.19	
YBR214W	-0.3	
YBR216C	-0.15	
YBR217W	0.45	
YBR218C	0.45	
YBR219C	-0.04	
YBR220C	-0.86	
YBR221C	0.49	
YBR222C	-0.26	
YBR223C	-0.49	
YBR224W	0.67	
YBR225W	2.25	
YBR226C	1.2	
YBR227C	-0.22	
YBR228W	1.01	
YBR229C	-1.87	
YBR230C	0.82	
YBR231C	0.6	
YBR232C	-0.6	
YBR233W	0.26	
YBR233W-A		0.74
YBR234C		0.18
YBR235W	1.12	
YBR236C		-0.12
YBR237W		-1.1
YBR238C	0.82	
YBR239C	0.04	
YBR240C	-0.6	
YBR241C	-0.37	
YBR242W	-0.52	
YBR243C		0.49
YBR244W	-6.11	
YBR245C	-1.57	
YBR246W	-0.07	
YBR247C		-0.25
YBR248C	1.2	
YBR249C	-1.95	
YBR250W	-0.79	
YBR251W	2.77	
YBR252W		-1.23
YBR253W		-2.02
YBR254C		-0.12
YBR255W	-2.02	
YBR256C		-0.12
YBR257W		-1.53
YBR258C	0.82	
YBR259W	4.95	
YBR260C	-0.37	
YBR261C	-1.87	
YBR262C	0.71	
YBR263W	2.74	
YBR264C	0.86	
YBR265W		-0.55
YBR266C	1.72	
YBR267W	0.41	
YBR268W	2.29	
YBR269C	1.95	
YBR270C	-0.34	
YBR271W	-0.41	
YBR272C	-1.05	
YBR273C	2.59	
YBR275C	2.36	
YBR276C	-2.7	
YBR277C	0.04	
YBR278W	1.46	
YBR279W	-3.71	
YBR281C	0.86	
YBR282W	-0.3	
YBR283C	1.35	
YBR284W	-0.37	
YBR285W	1.12	
YBR286W	1.46	
YBR287W	-0.15	
YBR288C	2.17	
YBR289W	-0.56	
YBR290W	-1.99	
YBR291C	-2.74	
YBR292C	-0.6	
YBR293W	-0.6	
YBR294W	0.9	
YBR295W	2.59	
YBR296C	0.75	
YBR297W	-1.69	
YBR298C	-3.82	
YBR299W	-0.07	
YBR300C	0.11	
YBR301W	0.82	
YCL001W	-2.29	
YCL001W-A	-2.62	
YCL002C	-0.86	
YCL004W		-0.495
YCL005W	-1.2	
YCL008C	-6.15	
YCL009C	0.19	
YCL010C	-0.67	
YCL011C	-1.65	
YCL014W	-0.39	
YCL016C	1.5	
YCL017C		-1.1
YCL022C	2.62	
YCL023C	-0.79	
YCL024W	0.22	
YCL025C	-0.3	
YCL026C-A	1.31	
YCL027W	2.51	
YCL028W	1.09	
YCL029C	2.66	
YCL030C	-0.37	
YCL031C		-0.06
YCL032W	-2.96	
YCL033C	-0.49	
YCL034W	-1.5	
YCL035C	0.34	
YCL036W	0.52	
YCL037C	-0.34	
YCL038C	-0.52	
YCL039W	1.8	
YCL040W	0.67	
YCL041C		0.31
YCL042W	0.64	
YCL043C		-2.21
YCL044C	-0.97	
YCL045C	-0.64	
YCL046W	1.24	
YCL047C	1.69	
YCL048W	1.09	
YCL049C	-0.19	
YCL050C	0.19	
YCL051W	-1.01	
YCL052C		2.21
