orf	hap a | growth (relative abundance in pooled culture) | ethidium bromide [25 ug/ml] | Dunn CD~Jensen RE, 2006
YAL012W	-0.9259259259259258
YAL024C	1245.3300124533
YAL054C	5.2356020942408374
YAL056C-A	-0.4065040650406504
YAL064C-A	-4.524886877828054
YAR002C-A	9.615384615384615
YAR050W	2.506265664160401
YBL001C	-8.130081300813009
YBL002W	-0.3802281368821293
YBL003C	28.98550724637681
YBL005W	1.3774104683195594
YBL007C	1.8518518518518516
YBL008W	-3.4482758620689657
YBL009W	1.7921146953405016
YBL010C	-9.345794392523365
YBL011W	1.524390243902439
YBL012C	-0.4694835680751174
YBL014C	0.6896551724137931
YBL015W	14.064697609001406
YBL016W	-8.771929824561402
YBL017C	41.666666666666664
YBL019W	3.2051282051282053
YBL022C	-2.7777777777777777
YBL027W	1.6920473773265652
YBL029W	5.291005291005291
YBL031W	1.9305019305019304
YBL032W	9.708737864077671
YBL048W	2.710027100271003
YBL049W	3.215434083601286
YBL051C	-2.347417840375587
YBL052C	4.464285714285714
YBL053W	11.1731843575419
YBL055C	0.8695652173913044
YBL056W	-8.849557522123893
YBL057C	13.793103448275863
YBL060W	1.8518518518518516
YBL061C	3.236245954692557
YBL062W	1.2376237623762376
YBL063W	66.66666666666667
YBL064C	2.6881720430107525
YBL065W	1.4124293785310735
YBL067C	-1.8691588785046729
YBL068W	53.763440860215056
YBL069W	26.666666666666668
YBL070C	1.7452006980802794
YBL074C	-238.6634844868735
YBL075C	1.6
YBL076C	1.0060362173038229
YBL077W	5.434782608695652
YBL078C	3.558718861209964
YBL079W	-1.4450867052023122
YBL080C	-0.40322580645161293
YBL081W	4.761904761904762
YBL083C	-0.7042253521126761
YBL084C	0.36496350364963503
YBL085W	2.0366598778004072
YBL086C	3.6900369003690034
YBL088C	2.2222222222222223
YBL090W	-0.49019607843137253
YBL091C	-5.88235294117647
YBL091C-A	1.949317738791423
YBL093C	1.183431952662722
YBL094C	1.040582726326743
YBL096C	1.6420361247947455
YBL098W	-8.849557522123893
YBL099W	0.970873786407767
YBL101C	10.080645161290322
YBL102W	-17.793594306049823
YBL103C	-862.0689655172414
YBL104C	3.134796238244514
YBL107C	1.0660980810234542
YBR001C	-5.05050505050505
YBR006W	4.166666666666667
YBR007C	29.58579881656805
YBR008C	10.34126163391934
YBR010W	51.282051282051285
YBR013C	2.0366598778004072
YBR014C	5.524861878453039
YBR018C	2.2988505747126435
YBR019C	2.531645569620253
YBR020W	1.8115942028985506
YBR021W	1.3966480446927374
YBR022W	-24.752475247524753
YBR023C	-2.6954177897574123
YBR024W	0.6329113924050632
