orf	hom | growth (culture turbidity) | hot-compressed water-treated lignocellulose hydrolysate | CSM | Jayakody LN~Kitagaki H, 2015
YAL002W	-0.4134286
YAL004W	-0.08438308
YAL005C	-0.2864821
YAL007C	0.14326221
YAL008W	-0.21506828
YAL009W	-0.54430944
YAL010C	0.010922087
YAL011W	-0.5046598
YAL013W	-0.562275
YAL014C	0.03950492
YAL015C	-0.2684606
YAL016C-B	-0.24828437
YAL016W	1.0418562
YAL017W	-0.17983395
YAL018C	-0.10764039
YAL019W	1.347931
YAL020C	-0.40311322
YAL021C	-1.2038372
YAL022C	0.34843978
YAL023C	-1.0508182
YAL024C	-0.14466834
YAL026C	-0.67942494
YAL027W	-1.2448637
YAL028W	-0.5181406
YAL029C	-0.04962659
YAL030W	0.07531379
YAL031C	-0.056342978
YAL034C	-0.24631228
YAL035W	-1.6276388
YAL036C	-0.543719
YAL037C-A	-0.03284452
YAL037W	-0.016848875
YAL039C	0.82817686
YAL040C	-0.84492457
YAL042C-A	-0.2549992
YAL042W	-0.76147264
YAL044C	-1.0991573
YAL044W-A	-0.034877382
YAL045C	0.17225161
YAL046C	0.44546795
YAL047C	-1.6135488
YAL048C	0.008709165
YAL049C	-0.006369627
YAL051W	2.1916347
YAL053W	4.7402043
YAL055W	0.39920527
YAL056W	-2.0281386
YAL058W	-0.24614176
YAL059W	-0.19435634
YAL060W	-0.44772795
YAL061W	-0.63194
YAL062W	0.5497597
YAL065C	0.011983373
YAL066W	0.032753535
YAL067C	0.023916483
YAL067W-A	-0.11989927
YAL068C	-0.4192838
YAR002C-A	-0.09180954
YAR002W	-1.6821417
YAR003W	-0.58859336
YAR014C	-2.2016792
YAR015W	-1.8113581
YAR018C	-0.47703835
YAR020C	-0.6357748
YAR023C	-0.4489165
YAR027W	-0.049337726
YAR028W	-0.4221502
YAR029W	-0.27901492
YAR030C	0.09889242
YAR031W	0.038885836
YAR035C-A	-0.0030088867
YAR035W	0.105382934
YAR042W	-0.027037987
YAR047C	0.16947432
YBL001C	-0.29795486
YBL002W	-0.16758907
YBL003C	-0.004476745
YBL005W	0.038338013
YBL006C	-0.58215404
YBL007C	-2.007558
YBL008W	0.117081895
YBL008W-A	-0.060383886
YBL009W	0.038378734
YBL010C	-0.029214006
YBL011W	-0.15302756
YBL012C	-0.3705108
YBL013W	-0.7484127
YBL015W	-0.20915803
YBL017C	-0.12667038
YBL019W	-0.19991758
YBL021C	0.17754914
YBL022C	-2.4205735
YBL024W	0.11096996
YBL025W	1.7189511
YBL027W	0.12832084
YBL028C	0.10602429
YBL029C-A	-0.011824308
YBL029W	-0.033732746
YBL031W	-0.033663392
YBL032W	-0.24283765
YBL033C	-0.04471973
YBL036C	-0.09285874
YBL037W	-0.06901097
YBL038W	-0.05364968
YBL039C	-0.11140707
YBL039W-B	0.035910673
YBL042C	-0.30481854
YBL043W	0.018945998
YBL044W	-0.19842014
YBL045C	-0.047868595
YBL046W	-0.3089514
YBL047C	-0.24626647
YBL048W	-0.10077067
YBL049W	-0.28329918
YBL051C	-0.9097734
YBL052C	-0.29133487
YBL053W	-0.07185061
YBL054W	-0.06642456
YBL055C	-0.34088638
YBL056W	-0.09170328
YBL057C	-0.14494766
YBL058W	-1.0233963
YBL059W	-0.12177497
YBL060W	-0.24501176
YBL061C	-0.22326048
YBL062W	-0.24299704
YBL063W	-0.26461756
YBL064C	-0.33205602
YBL065W	0.05725156
YBL066C	0.0149063645
YBL067C	-0.28734487
YBL068W	-0.0060616755
YBL069W	-0.05688253
YBL070C	-0.06324643
YBL071C	-0.08589866
YBL071C-B	-0.673599
YBL071W-A	-1.0906537
YBL072C	-0.10970252
YBL075C	-0.3022983
YBL078C	-0.17161725
YBL079W	-0.39480647
YBL080C	-0.13397086
YBL081W	-0.057231203
YBL082C	-0.11357164
YBL083C	-0.15520422
YBL085W	-0.10569598
YBL086C	-0.13129982
YBL087C	-0.092033505
YBL088C	-0.2673395
YBL089W	-0.3166101
YBL090W	-0.35925114
YBL091C	-0.23607036
YBL091C-A	-0.06300656
YBL093C	1.1394227
YBL094C	-0.31051725
YBL099W	-0.34560618
YBL100C	-0.12667547
YBL100W-C	-0.24017744
YBL103C	-0.41087562
YBL104C	-0.4233031
YBR003W	0.3784523
YBR020W	-0.15701629
YBR026C	-1.472496
YBR040W	
YBR041W	0.28079104
YBR042C	0.53884906
YBR043C	0.23583908
YBR044C	0.22041607
YBR045C	-0.034921285
YBR046C	0.1343348
YBR047W	0.16206695
YBR048W	-0.45565164
YBR050C	-0.1315047
YBR051W	-0.06755648
YBR052C	
YBR053C	0.13156325
YBR054W	0.15603964
YBR056W	0.006159024
YBR056W-A	0.21548566
YBR057C	0.113799416
YBR058C	-0.27264625
YBR058C-A	-0.06680696
YBR059C	-0.33213457
YBR062C	0.022403449
YBR063C	0.043404575
YBR064W	-0.064490326
YBR065C	-0.13031107
YBR066C	0.018298918
YBR067C	-0.20158173
YBR068C	0.07532652
YBR069C	0.030833932
YBR071W	-0.009664832
YBR072C-A	-0.088628866
YBR072W	-0.105035536
YBR073W	-0.05414851
YBR074W	0.17162998
YBR076W	-0.09591089
YBR077C	-2.9513912
YBR078W	-3.1127605
YBR081C	-3.250898
YBR083W	0.13206461
YBR084C-A	1.1976159
YBR084W	-0.63159454
YBR085C-A	-0.20342053
YBR089C-A	0.16611104
YBR090C	-0.013299165
YBR092C	-0.0967813
YBR093C	-0.11118438
YBR094W	0.020796249
YBR098W	-0.66922724
YBR099C	-1.4290354
YBR101C	-0.3327018
YBR103W	-0.5807705
YBR104W	0.016455665
YBR105C	-0.006911723
YBR106W	-1.9287231
YBR107C	-0.5219954
YBR108W	-0.19954029
YBR111W-A	-1.2912664
YBR112C	0.26883122
YBR113W	-0.6652592
YBR114W	-0.38640717
YBR116C	-0.12730537
YBR119W	-0.18362544
YBR120C	-0.14043847
YBR122C	-0.6043113
YBR125C	-0.31684774
YBR126C	1.4615759
YBR127C	-0.9481875
YBR128C	-0.11240664
YBR129C	-0.30130255
YBR130C	-0.14127389
YBR131W	-1.1695414
YBR133C	-0.11240409
YBR134W	-0.30382282
YBR137W	-0.336207
YBR138C	-0.6511173
YBR139W	-0.29610938
YBR141C	-0.37711647
YBR144C	-0.656321
YBR145W	-0.023478733
YBR146W	-0.26426125
YBR147W	-0.05501001
YBR148W	-0.4945152
YBR149W	0.031143792
YBR150C	0.78774804
YBR151W	-0.073618785
YBR156C	-0.00048165093
YBR157C	-0.5675283
YBR158W	-0.26777214
YBR159W	-0.03809751
YBR161W	-0.44243425
YBR162C	-0.95855343
YBR162W-A	-0.27884695
YBR163W	0.09595288
YBR164C	-0.23267208
YBR168W	0.24960463
YBR169C	-0.19350056
YBR170C	0.17496528
YBR171W	-1.3309377
YBR172C	-0.029626941
YBR173C	-0.875733
YBR174C	0.025940435
YBR175W	-0.23145396
YBR176W	-0.09037095
YBR177C	0.25326568
YBR178W	-0.21659945
YBR179C	-0.45350966
YBR180W	-0.5998269
YBR181C	-0.111310996
YBR182C	-0.4275842
YBR182C-A	-0.061100315
YBR183W	0.014041048
YBR184W	-0.6522807
YBR185C	0.14860044
YBR186W	-0.14270738
YBR187W	-0.28542843
YBR188C	0.096942276
YBR189W	-0.28405634
YBR191W	-3.1929214
YBR194W	-0.456105
YBR195C	-0.056813814
YBR196C-A	-1.7210562
YBR196C-B	-0.11960214
YBR197C	-0.97090715
YBR199W	-0.5140701
YBR200W	-0.9772834
YBR200W-A	-0.26977193
YBR201W	-0.16768388
YBR203W	-0.023298671
YBR204C	0.051082995
YBR205W	-0.27753943
YBR206W	-0.016394584
YBR207W	-0.3001608
YBR208C	0.0012986123
YBR210W	-0.1918485
YBR212W	-0.005478859
YBR213W	-0.28266674
YBR214W	0.008910861
YBR215W	0.075907424
YBR216C	-0.30314392
YBR217W	0.028798526
YBR218C	0.16250978
YBR219C	-0.49929163
YBR220C	-0.17274408
YBR221C	-0.09060191
YBR221W-A	-0.3872251
YBR222C	-0.11469209
YBR223C	0.44505563
YBR224W	0.044689827
YBR225W	0.15019684
YBR226C	0.15071347
YBR227C	-0.2746072
YBR228W	0.42227426
YBR229C	0.06039979
YBR230C	-0.3278802
YBR230W-A	-0.2640408
YBR231C	-0.71857005
YBR232C	0.7033809
YBR233W	-0.3933052
YBR233W-A	-0.13895088
YBR235W	-0.20000476
YBR238C	-0.45998493
YBR239C	-0.8490549
YBR240C	-0.33455333
YBR241C	-0.12840483
YBR242W	0.18618068
YBR244W	-0.23924913
YBR245C	0.14218755
YBR246W	0.25111383
YBR248C	0.0851695
YBR249C	0.30008698
YBR250W	-0.23094209
YBR251W	-0.09644853
YBR255W	0.1471205
YBR258C	-0.012879868
YBR259W	0.1884744
YBR260C	0.072071396
YBR261C	-0.022473438
YBR262C	0.023359753
YBR263W	-0.0597139
YBR264C	0.29863122
YBR266C	-0.037402708
YBR267W	0.06951935
YBR268W	0.119301185
YBR270C	0.4673331
YBR272C	0.08566006
YBR274W	-0.018655226
YBR275C	0.16587752
YBR276C	0.3239411
YBR279W	-2.20759
YBR280C	0.026596421
YBR282W	-1.8061423
YBR287W	0.29837418
YBR288C	-1.5040416
YBR289W	-2.978321
YBR294W	0.4092595
YBR296C-A	0.19052126
YBR299W	0.07555875
YBR301W	5.163968
YCL001W	-0.120483994
YCL001W-B	-0.20262203
YCL002C	-0.12156119
YCL005W	0.26678434
YCL005W-A	-0.63672346
YCL007C	1.1442964
YCL008C	0.015431281
YCL009C	-0.013436598
YCL010C	0.01662491
YCL011C	-0.06701311
YCL012C	0.055706717
YCL014W	0.06483009
YCL016C	-0.40308043
YCL021W-A	-0.018827016
YCL023C	0.19507244
YCL024W	-0.17056233
YCL025C	0.31209517
YCL026C-A	0.29545882
YCL026C-B	-0.05298224
YCL027W	0.09114083
YCL028W	0.17582677
YCL029C	0.024874695
YCL030C	0.21977535
YCL032W	0.06561524
YCL033C	0.28113654
YCL034W	1.0091434
YCL035C	0.22020228
YCL036W	-0.64286083
YCL037C	0.039032176
YCL038C	-0.26450813
YCL039W	-0.13816193
YCL040W	0.31930086
YCL042W	0.4273917
YCL044C	0.7809572
YCL045C	0.25431168
YCL046W	0.35437292
YCL047C	5.092848
YCL048W	6.190172
YCL049C	-1.2129465
YCL050C	-1.1720865
YCL051W	-0.8329243
YCL055W	-1.6027081
YCL056C	-0.9356658
YCL057C-A	-0.13591592
YCL057W	-1.0366127
YCL061C	-1.4776258
YCL063W	-1.2668326
YCL064C	-0.8856988
YCL069W	-1.5852851
