orf	hom | growth (culture turbidity) | hot-compressed water-treated lignocellulose hydrolysate | CSM | Jayakody LN~Kitagaki H, 2015
YAL002W	0.95711666
YAL004W	1.0187662
YAL005C	0.9809012
YAL007C	1.0614175
YAL008W	0.9942812
YAL009W	0.932595
YAL010C	1.0366224
YAL011W	0.9400237
YAL013W	0.929229
YAL014C	1.0419776
YAL015C	0.98427767
YAL016C-B	0.98805785
YAL016W	1.2297767
YAL017W	1.0008826
YAL018C	1.0144087
YAL019W	1.2871225
YAL020C	0.95904934
YAL021C	0.80902684
YAL022C	1.0998592
YAL023C	0.83769625
YAL024C	1.0074712
YAL026C	0.90727997
YAL027W	0.80134016
YAL028W	0.937498
YAL029C	1.0252781
YAL030W	1.0486867
YAL031C	1.0240197
YAL034C	0.98842734
YAL035W	0.729624
YAL036C	0.93270564
YAL037C-A	1.0284224
YAL037W	1.0314193
YAL039C	1.1897421
YAL040C	0.8762722
YAL042W	0.89190763
YAL043C-A	0.9867998
YAL044C	0.8286395
YAL044W-A	1.0280415
YAL045C	1.0668489
YAL046C	1.1180383
YAL047C	0.73226386
YAL048C	1.0362078
YAL049C	1.0333827
YAL051W	1.4451976
YAL053W	1.922694
YAL055W	1.1093706
YAL056W	0.6545869
YAL058W	0.9884593
YAL059W	0.99816173
YAL060W	0.9506904
YAL061W	0.9161767
YAL062W	1.1375782
YAL065C	1.0368212
YAL066W	1.0407127
YAL067C	1.039057
YAL067W-A	1.0121119
YAL068C	0.95601964
YAR002C-A	1.0173748
YAR002W	0.7194124
YAR003W	0.92429805
YAR014C	0.6220726
YAR015W	0.6952026
YAR018C	0.94519883
YAR020C	0.9154582
YAR023C	0.9504677
YAR027W	1.0253322
YAR028W	0.9554826
YAR029W	0.9823002
YAR030C	1.0531044
YAR031W	1.0418617
YAR035C-A	1.0340123
YAR035W	1.0543205
YAR037W	1.0273778
YAR040C	1.0426419
YAR042W	1.0295103
YAR043C	1.0422794
YAR047C	1.0663285
YBL001C	0.97875166
YBL002W	1.0031768
YBL003C	1.0337373
YBL005W	1.041759
YBL006C	0.9255045
YBL007C	0.65844285
YBL008W	1.0565124
YBL008W-A	1.0232626
YBL009W	1.0417666
YBL010C	1.0291026
YBL011W	1.005905
YBL012C	0.9651577
YBL013W	0.8943545
YBL015W	0.9953885
YBL017C	1.0108433
YBL019W	0.9971198
YBL021C	1.0678414
YBL022C	0.5810609
YBL024W	1.0553672
YBL025W	1.3566363
YBL027W	1.0586181
YBL028C	1.0544406
YBL029C-A	1.0323607
YBL029W	1.0282559
YBL031W	1.0282689
YBL032W	0.98907834
YBL033C	1.0261974
YBL036C	1.0171782
YBL037W	1.0216463
YBL038W	1.0245243
YBL039C	1.013703
YBL039W-B	1.0413042
YBL042C	0.9774657
YBL043W	1.0381258
YBL044W	0.99740034
YBL045C	1.0256075
YBL046W	0.97669137
YBL047C	0.9884359
YBL048W	1.0156958
YBL049W	0.9814975
YBL051C	0.8641222
YBL052C	0.979992
YBL053W	1.0211142
YBL054W	1.0221308
YBL055C	0.9707081
YBL056W	1.0173947
YBL057C	1.0074189
YBL058W	0.842834
YBL059W	1.0117605
YBL060W	0.988671
YBL061C	0.9927463
YBL062W	0.9890485
YBL063W	0.9849977
YBL064C	0.9723625
YBL065W	1.0453026
YBL066C	1.0373689
YBL067C	0.98073953
YBL068W	1.0334404
YBL069W	1.0239186
YBL070C	1.0227263
YBL071C	1.0184822
YBL071C-B	0.9083715
YBL071W-A	0.83023274
YBL072C	1.0140224
YBL075C	0.9779379
YBL078C	1.0024221
YBL079W	0.9606057
YBL080C	1.0094755
YBL081W	1.0238533
YBL082C	1.0132974
YBL083C	1.0054972
YBL085W	1.014773
YBL086C	1.0099759
YBL087C	1.0173328
YBL088C	0.9844877
YBL089W	0.97525644
YBL090W	0.9672673
YBL091C	0.99034625
YBL091C-A	1.0227712
YBL093C	1.2480567
YBL094C	0.976398
YBL099W	0.9698238
YBL100C	1.0108423
YBL100W-C	0.98957676
YBL103C	0.957595
YBL104C	0.9552666
YBR003W	1.1054823
YBR020W	1.0051577
YBR026C	0.7586913
YBR040W	
YBR041W	1.0871847
YBR042C	1.135534
YBR043C	1.0787625
YBR044C	1.0758729
YBR045C	1.0280333
YBR046C	1.0597448
YBR047W	1.0649407
YBR048W	0.9492058
YBR050C	1.0099375
YBR051W	1.0219188
YBR052C	
YBR053C	1.0592256
YBR054W	1.0638114
YBR056W	1.03573
YBR056W-A	1.0749491
YBR057C	1.0558974
YBR058C	0.98349345
YBR058C-A	1.0220592
YBR059C	0.9723478
YBR062C	1.0387735
YBR063C	1.0427083
YBR064W	1.0224932
YBR065C	1.0101612
YBR066C	1.0380045
YBR067C	0.996808
YBR068C	1.0486891
YBR069C	1.0403531
YBR071W	1.0327653
YBR072C-A	1.0179707
YBR072W	1.0148968
YBR073W	1.0244309
YBR074W	1.0667324
YBR076W	1.0166063
YBR077C	0.48160762
YBR078W	0.45137373
YBR081C	0.42549247
YBR083W	1.0593195
YBR084C-A	1.2589597
YBR084W	0.9162414
YBR085C-A	0.9964635
YBR089C-A	1.0656984
YBR090C	1.0320843
YBR092C	1.0164433
YBR093C	1.0137447
YBR094W	1.0384724
YBR098W	0.9091906
YBR099C	0.766834
YBR101C	0.9722415
YBR103W	0.9257637
YBR104W	1.0376592
YBR105C	1.0332811
YBR106W	0.67321324
YBR107C	0.93677574
YBR108W	0.9971905
YBR111W-A	0.7926462
YBR112C	1.0849439
YBR113W	0.90993404
YBR114W	0.96217936
YBR116C	1.0107243
YBR119W	1.0001723
YBR120C	1.0082637
YBR122C	0.92135316
YBR125C	0.9752119
YBR126C	1.3084148
YBR127C	0.856925
YBR128C	1.0135157
YBR129C	0.97812444
YBR130C	1.0081072
YBR131W	0.81545246
YBR133C	1.0135162
YBR134W	0.97765225
YBR137W	0.9715848
YBR138C	0.91258365
YBR139W	0.9790974
YBR141C	0.96392006
YBR144C	0.9116087
YBR145W	1.0301771
YBR146W	0.98506445
YBR147W	1.0242695
YBR148W	0.9419244
YBR149W	1.0404111
YBR150C	1.1821674
YBR151W	1.020783
YBR156C	1.0344858
YBR157C	0.92824477
YBR158W	0.98440665
YBR159W	1.0274382
YBR161W	0.9516822
YBR162C	0.85498285
YBR162W-A	0.9823317
YBR163W	1.0525537
YBR164C	0.99098295
YBR168W	1.0813416
YBR169C	0.99832207
YBR170C	1.0673573
YBR171W	0.7852135
YBR172C	1.0290252
YBR173C	0.87049997
YBR174C	1.0394362
YBR175W	0.9912112
YBR176W	1.0176443
YBR177C	1.0820276
YBR178W	0.9939943
YBR179C	0.94960713
YBR180W	0.92219335
YBR181C	1.013721
YBR182C	0.9544645
YBR182C-A	1.0231284
YBR183W	1.0372068
YBR184W	0.9123657
YBR185C	1.0624176
