COMPOUND	COMPOUND_CONCENTRATION	CONCENTRATION	EXPERIMENT	EXPERIMENT_NUMBER_HIPHOP	EXPERIMENT_TYPE	GENE_NAME	SCORE	SCORE_TYPE	SYSTEMATIC_NAME	VIABILITY	Z_SCORE
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SLZ1	0.0143454296634189	Adj.	YNL196C	viable	0.0235138198775872
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	WHI3	0.374169967045792	Adj.	YNL197C	viable	0.314804361747251
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL198C	0.0984273543224841	Adj.	YNL198C	viable	0.117152131535586
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	GCR2	-0.0520933938660099	Adj.	YNL199C	viable	-0.0597313343472741
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL203C	-0.159136758870548	Adj.	YNL203C	viable	-0.158085808889626
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL200C	0.0239038178497855	Adj.	YNL200C	viable	0.0216262644773881
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PSY2	-0.0600582998538343	Adj.	YNL201C	viable	-0.0401268621966784
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SPS19	0.924070506394027	Adj.	YNL202W	viable	0.646406012819496
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SPS18	0.676230210414586	Adj.	YNL204C	viable	0.656314715914593
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL205C	-0.0460033310811796	Adj.	YNL205C	viable	-0.0404068321506593
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RTT106	0.689895051912994	Adj.	YNL206C	viable	0.552803370671437
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RIO2	0.0417479399814604	Adj.	YNL207W	inviable	0.033206054965263
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MER1	0.0224158182969579	Adj.	YNL210W	viable	0.0204811952021115
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL211C	-0.00375811264954959	Adj.	YNL211C	viable	-0.00418798667001224
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	VID27	-0.159894844602649	Adj.	YNL212W	viable	-0.0784390929243324
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RRG9	0.584991800705237	Adj.	YNL213C	viable	0.464003703383633
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PEX17	0.0328004344926092	Adj.	YNL214W	viable	0.0326875538875087
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	IES2	0.179867978606725	Adj.	YNL215W	viable	0.192669424017606
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RAP1	-0.0331864774324011	Adj.	YNL216W	inviable	-0.0211977572668618
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL217W	-0.0730357979185753	Adj.	YNL217W	viable	-0.0785541672646274
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MGS1	0.316056703193346	Adj.	YNL218W	viable	0.307116935280415
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ALG9	-0.0931763842784258	Adj.	YNL219C	viable	-0.0797575563289568
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ADE12	-2.73772881771204	Adj.	YNL220W		-1.80955105532833
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	POP1	-3.28671197394973	Adj.	YNL221C	inviable	-1.51201295896382
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SSU72	-0.022324986721602	Adj.	YNL222W	inviable	-0.0188397961320895
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SQS1	0.379491289946593	Adj.	YNL224C	viable	0.301701087134479
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	CNM67	-0.0170399396760251	Adj.	YNL225C	viable	-0.0172264531137112
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL226W	0.000548266402680567	Adj.	YNL226W	viable	0.000523430762559186
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	JJJ1	-0.191496507669921	Adj.	YNL227C	viable	-0.122541128510757
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL228W	-0.139344058572238	Adj.	YNL228W	viable	-0.217972558559131
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	URE2	-0.371813463523573	Adj.	YNL229C	viable	-0.495280247085263
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ELA1	-0.338773850260106	Adj.	YNL230C	viable	-0.368323216898039
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	PDR16	-6.18690384117895	Adj.	YNL231C	viable	-5.14903521470543
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	CSL4	3.99962173339061	Adj.	YNL232W	inviable	3.13322091020351
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	BNI4	0.171284288212191	Adj.	YNL233W	viable	0.245743863310666
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL235C	-0.865069510471417	Adj.	YNL235C	viable	-1.09320853762574
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SIN4	-0.215987222621786	Adj.	YNL236W	viable	-0.163658968404834
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YTP1	1.04528261577041	Adj.	YNL237W	viable	0.865870635036348
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	KEX2	0.0798114227869876	Adj.	YNL238W	viable	0.0627058716580053
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	LAP3	0.166144174902257	Adj.	YNL239W	viable	0.250764861967624
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	NAR1	0.0499866264125914	Adj.	YNL240C	inviable	0.072925996875329
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ZWF1	0.00747408644345478	Adj.	YNL241C	viable	0.00734239017687095
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	ATG2	-0.216914793012276	Adj.	YNL242W	viable	-0.290217183322487
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SLA2	-0.0471038788919939	Adj.	YNL243W	viable	-0.0508630511296819
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	SUI1	-0.00352753337918566	Adj.	YNL244C	inviable	-0.00547100399909264
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	CWC25	-1.47416693004937	Adj.	YNL245C	inviable	-0.958071607241245
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	VPS75	-0.0304147510133479	Adj.	YNL246W	viable	-0.0218261613904323
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	YNL247W	0.196029479500137	Adj.	YNL247W	inviable	0.134233509741496
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RPA49	1.438358335569	Adj.	YNL248C	viable	0.910297067628398
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MPA43	-0.311616631443913	Adj.	YNL249C	viable	-0.244169801677063
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	RAD50	0.149386214763917	Adj.	YNL250W	viable	0.170986667918534
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	NRD1	0.0455202820911401	Adj.	YNL251C	inviable	0.0436675385683983
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	MRPL17	-0.0235424016781738	Adj.	YNL252C	viable	-0.0231492330187193
7230	7230_0.25	0.25	7230_0.25_0230	0230/31	HIP	TEX1	-0.899790244292974	Adj.	YNL253W	viable	-0.724417986542668
