COMPOUND	COMPOUND_CONCENTRATION	CONCENTRATION	EXPERIMENT	EXPERIMENT_NUMBER_HIPHOP	EXPERIMENT_TYPE	GENE_NAME	SCORE	SCORE_TYPE	SYSTEMATIC_NAME	VIABILITY	Z_SCORE
1216	1216_12	12	1216_12_0033	0032/33	HIP	TFC3	0.870178603345337	Adj.	YAL001C	inviable	1.08681266836308
1216	1216_12	12	1216_12_0033	0032/33	HIP	VPS8	-1.41048005962623	Adj.	YAL002W	viable	-0.730400108731321
1216	1216_12	12	1216_12_0033	0032/33	HIP	EFB1	2.27637322867954	Adj.	YAL003W	inviable	2.25413219204505
1216	1216_12	12	1216_12_0033	0032/33	HIP	YAL004W	-0.445475066929564	Adj.	YAL004W	viable	-0.24005439115855
1216	1216_12	12	1216_12_0033	0032/33	HIP	SSA1	-1.46439291890997	Adj.	YAL005C	viable	-0.173159402472961
1216	1216_12	12	1216_12_0033	0032/33	HIP	ERP2	0.361059218163786	Adj.	YAL007C	viable	0.322112480759201
1216	1216_12	12	1216_12_0033	0032/33	HIP	FUN14	-0.063162001621194	Adj.	YAL008W	viable	-0.0436081048174568
1216	1216_12	12	1216_12_0033	0032/33	HIP	SPO7	0.132886626305931	Adj.	YAL009W	viable	0.135211864001509
1216	1216_12	12	1216_12_0033	0032/33	HIP	MDM10	0.414790702814056	Adj.	YAL010C	viable	0.447657274646439
1216	1216_12	12	1216_12_0033	0032/33	HIP	SWC3	0.224063307757867	Adj.	YAL011W	viable	0.0956675132811162
1216	1216_12	12	1216_12_0033	0032/33	HIP	CYS3	-0.145985018331798	Adj.	YAL012W	viable	-0.113069357148327
1216	1216_12	12	1216_12_0033	0032/33	HIP	DEP1	0.81010348934462	Adj.	YAL013W	viable	0.721216430768478
1216	1216_12	12	1216_12_0033	0032/33	HIP	SYN8	0.076904281121439	Adj.	YAL014C	viable	0.0775614200544622
1216	1216_12	12	1216_12_0033	0032/33	HIP	NTG1	0.074438728143468	Adj.	YAL015C	viable	0.0627750579908488
1216	1216_12	12	1216_12_0033	0032/33	HIP	TPD3	0.124320046612158	Adj.	YAL016W	viable	0.095826354035565
1216	1216_12	12	1216_12_0033	0032/33	HIP	PSK1	-0.147935625062744	Adj.	YAL017W	viable	-0.102961431225091
1216	1216_12	12	1216_12_0033	0032/33	HIP	YAL018C	0.109528467615792	Adj.	YAL018C	viable	0.0941650580380003
1216	1216_12	12	1216_12_0033	0032/33	HIP	FUN30	0.401660871572617	Adj.	YAL019W	viable	0.316332877419181
1216	1216_12	12	1216_12_0033	0032/33	HIP	ATS1	1.03952582296548	Adj.	YAL020C	viable	0.988299297242314
1216	1216_12	12	1216_12_0033	0032/33	HIP	CCR4	-4.02681514956105	Adj.	YAL021C	viable	-1.84501837889909
1216	1216_12	12	1216_12_0033	0032/33	HIP	FUN26	0.17134602220034	Adj.	YAL022C	viable	0.181962924591771
1216	1216_12	12	1216_12_0033	0032/33	HIP	PMT2	-0.542214693134984	Adj.	YAL023C	viable	-0.195313184818504
1216	1216_12	12	1216_12_0033	0032/33	HIP	LTE1	-0.116690806065558	Adj.	YAL024C		-0.14626333135517
1216	1216_12	12	1216_12_0033	0032/33	HIP	MAK16	0.255387399561726	Adj.	YAL025C	inviable	0.124197303731875
1216	1216_12	12	1216_12_0033	0032/33	HIP	DRS2	-1.01957215072461	Adj.	YAL026C	viable	-0.579841171109101
1216	1216_12	12	1216_12_0033	0032/33	HIP	SAW1	-0.0784290520598565	Adj.	YAL027W	viable	-0.090520105731202
1216	1216_12	12	1216_12_0033	0032/33	HIP	FRT2	-0.895641436987064	Adj.	YAL028W	viable	-0.590156437812194
1216	1216_12	12	1216_12_0033	0032/33	HIP	MYO4	1.92041122221887	Adj.	YAL029C	viable	2.05209365938359
1216	1216_12	12	1216_12_0033	0032/33	HIP	SNC1	1.26730804554295	Adj.	YAL030W	viable	1.72161015756316
1216	1216_12	12	1216_12_0033	0032/33	HIP	GIP4	0.206465499467512	Adj.	YAL031C	viable	0.263983673647403
1216	1216_12	12	1216_12_0033	0032/33	HIP	PRP45	0.479556859201946	Adj.	YAL032C	inviable	0.465798720711316
1216	1216_12	12	1216_12_0033	0032/33	HIP	POP5	-0.223795999993898	Adj.	YAL033W	inviable	-0.200981296879991
1216	1216_12	12	1216_12_0033	0032/33	HIP	FUN19	-0.914493457455638	Adj.	YAL034C	viable	-0.625152449381948
1216	1216_12	12	1216_12_0033	0032/33	HIP	MTW1	0.483881197726249	Adj.	YAL034W-A	inviable	0.437860603327503
1216	1216_12	12	1216_12_0033	0032/33	HIP	YAL035C-A	-0.0264261534977161	Adj.	YAL035C-A		-0.0203117170197103
1216	1216_12	12	1216_12_0033	0032/33	HIP	FUN12	-7.46178906141324	Adj.	YAL035W	viable	-2.00736313234258
1216	1216_12	12	1216_12_0033	0032/33	HIP	RBG1	0.12063150223891	Adj.	YAL036C	viable	0.125849426292951
1216	1216_12	12	1216_12_0033	0032/33	HIP	YAL037W	-0.00997743242399828	Adj.	YAL037W	viable	-0.00616392411025471
1216	1216_12	12	1216_12_0033	0032/33	HIP	CDC19	0.0625364726815141	Adj.	YAL038W	inviable	0.0516316495936139
1216	1216_12	12	1216_12_0033	0032/33	HIP	CYC3	0.115218827176082	Adj.	YAL039C	viable	0.102279721219291
1216	1216_12	12	1216_12_0033	0032/33	HIP	CLN3	-0.0204716789556767	Adj.	YAL040C	viable	-0.0162650348258917
1216	1216_12	12	1216_12_0033	0032/33	HIP	CDC24	0.00167786082201011	Adj.	YAL041W	inviable	0.00128779005323287
1216	1216_12	12	1216_12_0033	0032/33	HIP	ERV46	0.0956520176040773	Adj.	YAL042W	viable	0.0571007324483767
1216	1216_12	12	1216_12_0033	0032/33	HIP	PTA1	-0.0291229644452282	Adj.	YAL043C	inviable	-0.0146948500328927
1216	1216_12	12	1216_12_0033	0032/33	HIP	YAL043C-A	0.0899824027023844	Adj.	YAL043C-A		0.0814411324861703
1216	1216_12	12	1216_12_0033	0032/33	HIP	GCV3	-6.01560522718145	Adj.	YAL044C	viable	-1.84100260686063
1216	1216_12	12	1216_12_0033	0032/33	HIP	YAL045C	0.00604286261471356	Adj.	YAL045C	viable	0.00273526643768631
