COMPOUND	COMPOUND_CONCENTRATION	CONCENTRATION	EXPERIMENT	EXPERIMENT_NUMBER_HIPHOP	EXPERIMENT_TYPE	GENE_NAME	SCORE	SCORE_TYPE	SYSTEMATIC_NAME	VIABILITY	Z_SCORE
7210	7210_200	200	7210_200_0231	0230/31	HOP	TFC3	-1.09129323835908	Adj.	YAL001C	inviable	-0.830272142449671
7210	7210_200	200	7210_200_0231	0230/31	HOP	VPS8	0.212879667255896	Adj.	YAL002W	viable	0.0995731605075231
7210	7210_200	200	7210_200_0231	0230/31	HOP	YAL004W	-0.00539677399672352	Adj.	YAL004W	viable	-0.00638766243583258
7210	7210_200	200	7210_200_0231	0230/31	HOP	SSA1	-0.125283126681115	Adj.	YAL005C	viable	-0.172209487675462
7210	7210_200	200	7210_200_0231	0230/31	HOP	ERP2	-0.615188703276868	Adj.	YAL007C	viable	-0.765085994252315
7210	7210_200	200	7210_200_0231	0230/31	HOP	FUN14	0.281130730313712	Adj.	YAL008W	viable	0.266857029675038
7210	7210_200	200	7210_200_0231	0230/31	HOP	SPO7	0.01677650214568	Adj.	YAL009W	viable	0.00538057165137094
7210	7210_200	200	7210_200_0231	0230/31	HOP	MDM10	0.00218340333147277	Adj.	YAL010C	viable	0.000852718177435342
7210	7210_200	200	7210_200_0231	0230/31	HOP	SWC3	0.919477301827334	Adj.	YAL011W	viable	0.355996505866185
7210	7210_200	200	7210_200_0231	0230/31	HOP	CYS3	1.38329965381446	Adj.	YAL012W	viable	0.253969666931488
7210	7210_200	200	7210_200_0231	0230/31	HOP	DEP1	-1.09697703688746	Adj.	YAL013W	viable	-0.53733484629267
7210	7210_200	200	7210_200_0231	0230/31	HOP	SYN8	-0.0496895342316645	Adj.	YAL014C	viable	-0.0505825459296776
7210	7210_200	200	7210_200_0231	0230/31	HOP	NTG1	-0.250602754045292	Adj.	YAL015C	viable	-0.174104797668182
7210	7210_200	200	7210_200_0231	0230/31	HOP	PSK1	0.233707412615784	Adj.	YAL017W	viable	0.189730384787512
7210	7210_200	200	7210_200_0231	0230/31	HOP	YAL018C	0.363310168777605	Adj.	YAL018C	viable	0.289442752083248
7210	7210_200	200	7210_200_0231	0230/31	HOP	FUN30	0.00463090523456463	Adj.	YAL019W	viable	0.00357769163650459
7210	7210_200	200	7210_200_0231	0230/31	HOP	ATS1	-0.181287847047601	Adj.	YAL020C	viable	-0.1665227409825
7210	7210_200	200	7210_200_0231	0230/31	HOP	CCR4	0.427942826890057	Adj.	YAL021C	viable	0.0977950202448117
7210	7210_200	200	7210_200_0231	0230/31	HOP	FUN26	-0.0636412876962233	Adj.	YAL022C	viable	-0.111035240463988
7210	7210_200	200	7210_200_0231	0230/31	HOP	PMT2	0.418867179918359	Adj.	YAL023C	viable	0.144966455309237
7210	7210_200	200	7210_200_0231	0230/31	HOP	LTE1	0.230198579873427	Adj.	YAL024C		0.114029289292556
7210	7210_200	200	7210_200_0231	0230/31	HOP	DRS2	1.30584622203267	Adj.	YAL026C	viable	0.375144922020819
7210	7210_200	200	7210_200_0231	0230/31	HOP	SAW1	-0.167613664952305	Adj.	YAL027W	viable	-0.23274642139809
7210	7210_200	200	7210_200_0231	0230/31	HOP	FRT2	-0.0651360628771625	Adj.	YAL028W	viable	-0.0899263769214348
7210	7210_200	200	7210_200_0231	0230/31	HOP	MYO4	0.100424581062919	Adj.	YAL029C	viable	0.0874173904970719
7210	7210_200	200	7210_200_0231	0230/31	HOP	SNC1	-0.163892956203547	Adj.	YAL030W	viable	-0.241400352861088
